McCC,CLOC,LLOC,Number of developer commits,Number of previous modifications,Number of previous fixes,Number of committers,target
1,0,3,2053,7,0,6,0
1,0,24,8,7,0,6,0
9,0,51,15,10,0,7,0
13,0,382,15,385,12,17,1
3,0,24,15,14,0,9,0
4,0,199,15,57,0,11,0
7,0,75,15,57,1,11,0
1,0,8,8,16,0,7,0
1,0,1,15,6,0,4,0
8,0,255,15,122,1,16,0
2,0,88,15,15,0,9,1
5,0,71,15,11,0,8,1
1,0,18,8,9,0,7,1
1,0,1,15,6,0,4,0
1,0,23,8,20,1,8,1
1,0,43,15,36,1,11,0
73,0,328,15,71,1,15,1
1,0,7,8,14,0,6,0
1,0,10,15,45,2,11,1
1,0,1,15,6,0,4,0
2,0,18,15,23,0,9,0
243,0,1378,51,7,0,7,0
1,0,1,15,6,0,4,0
35,0,259,15,85,4,12,1
1,0,5,15,15,0,9,0
1,0,1,15,6,0,4,0
8,0,158,15,28,1,9,1
2,0,105,15,37,1,11,1
2,0,94,15,28,1,10,1
2,0,37,8,9,0,6,0
2,0,89,288,10,0,6,1
3,0,53,15,34,1,11,1
34,0,480,753,75,8,11,1
5,0,57,15,25,1,11,1
3,0,84,15,35,1,11,1
4,0,99,15,52,9,13,1
67,0,812,15,160,10,14,1
11,0,199,15,37,1,10,1
14,0,254,15,67,5,13,1
13,0,236,15,55,3,10,1
12,0,206,15,46,3,10,1
4,0,97,15,33,1,11,1
1,0,11,288,29,1,8,1
2,0,76,15,38,1,12,1
1,0,1,15,7,0,5,0
2,0,42,2053,19,0,6,0
1,0,12,8,19,0,6,0
1,0,43,15,26,0,8,1
1,0,17,51,25,0,7,1
1,0,12,2899,14,0,4,0
1,0,11,2053,8,0,3,0
14,0,146,753,81,9,10,1
1,0,4,831,11,0,4,0
1,0,5,15,11,0,6,1
1,0,1,15,6,0,4,0
26,0,244,15,133,8,12,1
1,0,4,2053,5,0,4,0
1,0,6,2053,9,0,4,0
11,0,128,15,16,0,8,1
1,0,1,15,6,0,4,0
15,0,147,15,70,0,12,1
19,0,149,15,48,0,9,1
30,0,208,15,10,0,6,1
2,0,42,8,16,0,8,0
11,0,58,15,31,1,12,0
8,0,73,288,13,0,9,0
5,0,46,15,23,0,9,1
1,0,1,15,6,0,4,0
3,0,15,8,11,0,5,0
3,0,22,15,28,0,11,0
1,0,18,8,9,0,5,0
17,0,121,15,12,0,9,1
7,0,60,15,18,0,10,0
37,0,370,1733,71,2,12,1
71,0,580,15,79,3,13,1
3,0,14,8,6,0,6,1
3,0,16,8,6,0,6,0
11,0,70,15,22,0,10,1
15,0,94,15,22,0,10,0
1,0,1,15,6,0,4,0
40,0,228,15,55,1,11,1
59,0,403,15,216,11,14,1
2,0,110,15,61,1,12,1
7,0,136,15,49,1,10,1
14,0,147,15,38,0,8,1
1,0,1,15,6,0,4,0
2,0,17,15,13,0,6,0
1,0,35,2899,20,3,6,0
7,0,143,15,48,4,11,0
5,0,81,15,35,5,9,0
3,0,53,15,33,0,9,0
4,0,66,753,25,3,6,0
1,0,35,2899,20,3,6,0
1,0,1,15,6,0,4,0
1,0,24,288,20,0,6,0
4,0,82,288,29,3,11,0
17,0,423,15,117,24,14,0
21,0,250,51,20,1,6,0
1,0,56,51,12,0,6,0
37,0,373,15,71,6,11,0
1,0,72,288,8,1,4,0
4,0,120,288,10,0,3,0
1,0,23,51,5,3,3,0
2,0,103,51,15,0,8,0
15,0,125,2899,13,0,3,0
1,0,40,15,12,0,8,0
1,0,75,288,13,1,5,0
1,0,58,1733,32,0,7,0
5,0,389,1733,54,0,10,0
4,0,186,288,44,2,8,0
2,0,123,288,31,0,7,0
1,0,133,51,43,0,10,0
3,0,82,288,38,1,7,0
15,0,193,288,7,0,3,0
5,0,159,288,29,0,7,0
1,0,195,288,17,0,6,0
2,0,167,288,11,0,6,0
2,0,135,288,11,0,6,0
3,0,50,288,34,0,7,0
1,0,176,51,8,0,4,0
2,0,73,51,8,0,4,0
11,0,526,51,13,0,4,0
5,0,140,753,63,3,14,0
3,0,109,288,24,0,8,0
2,0,12,1733,5,2,2,0
3,0,48,1733,5,2,2,0
1,0,39,288,22,0,7,0
9,0,94,2053,3,0,2,0
2,0,75,1147,23,2,7,0
3,0,53,15,25,0,11,0
1,0,49,288,10,0,2,0
1,0,45,288,13,0,5,0
1,0,39,288,10,0,2,0
7,0,110,2053,8,0,2,0
11,0,154,288,23,0,9,0
9,0,157,831,48,0,11,0
1,0,58,288,10,0,4,0
14,0,927,51,6,0,4,0
5,0,105,8,20,0,7,0
4,0,485,51,5,0,4,0
7,0,143,2899,5,3,3,0
25,0,705,831,98,6,11,0
9,0,136,51,4,0,4,0
10,0,198,288,13,1,4,0
1,0,11,2053,8,1,4,0
6,0,78,288,3,1,3,0
2,0,78,288,10,4,6,0
1,0,17,2053,3,0,2,0
34,0,493,51,24,0,6,0
14,0,247,288,14,0,4,0
23,0,273,51,16,0,6,0
6,0,95,51,11,0,4,0
7,0,287,51,16,2,7,0
13,0,279,51,30,0,8,0
3,0,22,8,14,0,8,0
2,0,16,288,9,0,5,0
1,0,77,288,7,0,2,0
5,0,57,288,12,0,6,0
11,0,101,288,17,0,8,0
28,0,447,2053,42,2,8,0
63,0,657,15,35,2,10,0
4,0,192,288,42,0,9,0
8,0,114,2053,8,0,3,0
1,0,124,2899,15,2,6,0
6,0,82,288,14,0,5,0
11,0,103,51,15,0,6,0
6,0,79,288,15,0,5,0
14,0,117,288,15,0,5,0
17,0,152,288,8,0,4,0
2,0,58,288,37,0,9,0
1,0,24,288,3,0,2,0
1,0,13,288,3,0,2,0
1,0,15,288,3,0,2,0
1,0,22,288,3,0,2,0
1,0,44,51,6,0,4,0
1,0,41,51,6,0,4,0
1,0,38,288,3,0,2,0
1,0,9,288,3,0,2,0
1,0,9,51,5,0,4,0
7,0,35,51,7,2,5,0
1,0,5,51,7,2,5,0
1,0,15,288,12,0,7,0
1,0,10,288,11,0,5,0
16,0,161,288,48,4,9,1
1,0,36,15,16,0,11,0
2,0,15,288,19,0,7,0
1,0,50,288,9,0,7,0
2,0,27,288,15,0,8,0
1,0,51,288,9,0,7,0
3,0,48,288,27,0,8,1
22,0,205,15,107,1,13,1
1,0,31,288,40,3,7,0
52,0,495,1147,114,5,11,1
1,0,4,288,11,0,5,0
2,0,14,288,14,0,6,0
13,0,39,288,22,3,7,0
1,0,34,288,24,3,8,0
10,0,70,288,10,0,7,0
2,0,49,288,23,3,7,1
1,0,58,15,31,1,9,0
1,0,59,288,15,0,9,1
1,0,23,288,16,0,8,0
1,0,10,288,14,0,6,0
10,0,62,288,18,3,7,0
2,0,49,288,16,0,7,1
1,0,12,288,17,0,8,0
1,0,64,288,22,3,9,0
2,0,40,288,20,3,7,0
1,0,17,288,11,0,6,0
1,0,7,288,11,0,5,0
2,0,14,288,22,0,7,0
1,0,17,288,12,0,7,0
6,0,73,288,32,4,7,0
1,0,32,288,10,0,7,0
1,0,1,288,4,0,4,0
