Type,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,target
0,111,1,955,2,0.0655106,2,4,4,0.0473373,0.0736648,40,40,1,2,2,93,37,77,391,62,134,0.352113,0.298649,221,216,25,46,0.302057,235,0,0,0,0,0,519,812,18,18,18,18,72,1,70,12,72,240,1,70,12,543,845,18,18,18,18,74,1,72,12,74,251,1,72,12,74.0,1.0,0.0,84.0,163.0,2213.0,44.0,46.0,70.0,0.901946647,1119.0,0.894736842,12.0,0.0,0.055222603,0.0,0.0,13.86486486,11.0,1.2297,0
0,77,1,484,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,68,30,0,0,78,137,0.0172414,0.0653951,24,23,1,57,0.0653951,24,0,0,0,0,0,343,408,1,4,1,4,59,0,57,1,59,81,0,57,1,343,408,1,4,1,4,59,0,57,1,59,81,0,57,1,59.0,1.0,0.0,31.0,148.0,0.0,0.0,31.0,57.0,0.017241379,895.0,1.0,1.0,0.0,0.190862196,0.0,0.0,14.15254237,4.0,1.0339,0
0,68,1,507,2,0.0557276,1,4,2,0.0454545,0.0483871,20,18,1,4,4,68,26,1,4,74,86,0.5,0.0676692,27,17,1,1,0.0676692,27,0,0,0,0,0,372,440,1,2,1,2,12,0,1,0,12,193,0,1,0,372,440,1,2,1,2,12,0,1,0,12,193,0,1,0,13.0,1.0,0.0,29.0,148.0,78.0,0.0,0.0,1.0,0.972222222,1407.0,0.333333333,0.0,0.0,0.192307692,0.0,0.0,107.0,8.0,2.3077,1
0,33,1,103,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,15,0,0,0,0,12,0.0769231,0.0983607,6,4,1,12,0.0983607,6,0,0,0,0,0,55,71,3,1,3,1,12,0,12,3,12,22,0,12,3,55,71,3,1,3,1,12,0,12,3,12,22,0,12,3,13.0,3.0,0.0,8.0,32.0,4.0,0.0,0.0,13.0,0.666666667,134.0,1.0,0.0,0.755102041,0.192307692,2.0,2.0,9.076923077,1.0,0.9231,0
0,60,1,170,2,0.0,0,0,0,0.0,0.0,0,0,1,4,4,22,8,0,0,8,20,0.1,0.208696,24,23,1,9,0.208696,24,3,3,0,0,2,91,111,9,9,5,4,12,0,9,4,21,47,0,16,7,91,111,9,9,5,4,12,0,9,4,21,47,0,16,7,13.0,2.0,0.0,11.0,50.0,46.0,0.0,0.0,10.0,0.783333333,267.0,1.0,0.0,0.428571429,0.323076923,0.0,0.0,19.15384615,8.0,1.5385,0
0,52,1,129,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,16,7,0,0,6,15,0.125,0.217949,17,17,1,7,0.217949,17,3,3,0,0,2,61,78,8,7,4,2,9,0,7,3,18,33,0,14,6,61,78,8,7,4,2,9,0,7,3,18,33,0,14,6,10.0,2.0,0.0,9.0,38.0,15.0,0.0,0.0,8.0,0.694444444,197.0,1.0,0.0,0.5,0.4,0.0,0.0,18.3,7.0,1.6,0
0,31,1,136,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,9,4,2,2,3,10,0.285714,0.369231,24,23,2,5,0.318681,29,2,2,0,0,1,41,73,8,3,4,0,7,0,6,0,24,18,0,21,1,62,106,9,3,5,0,14,0,13,0,31,23,0,28,1,7.0,2.0,0.0,12.0,24.0,0.0,2.0,0.0,6.0,0.541666667,122.0,1.0,0.0,0.76,0.333333333,1.0,8.0,15.85714286,3.0,1.1429,0
0,41,1,369,2,0.0,0,0,0,0.0,0.0,0,0,2,3,3,56,12,6,23,25,51,0.15,0.0962343,23,20,3,17,0.0845588,23,0,0,0,0,0,216,285,9,10,9,10,26,0,19,9,26,108,0,19,9,249,329,13,14,13,14,35,0,28,13,35,117,0,28,13,29.0,3.0,0.0,21.0,97.0,316.0,4.0,0.0,20.0,0.853571429,677.0,0.9,1.0,0.517241379,0.206896552,2.0,2.0,22.0,8.0,1.931,0
0,31,1,107,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,13,3,1,1,8,14,0.166667,0.208955,14,14,1,5,0.208955,14,2,2,0,0,2,53,77,4,3,2,1,6,0,5,2,12,30,0,8,3,53,77,4,3,2,1,6,0,5,2,12,30,0,8,3,6.0,2.0,0.0,6.0,36.0,0.0,1.0,0.0,5.0,0.3,165.0,1.0,0.0,0.583333333,0.5,1.0,2.0,26.16666667,3.0,1.8333,0
0,32,1,97,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,12,9,1,3,14,21,0.142857,0.0526316,3,3,1,6,0.0526316,3,2,2,0,0,1,54,66,21,32,3,2,7,0,6,4,72,30,1,40,22,54,66,21,32,3,2,7,0,6,4,72,30,1,40,22,8.0,5.0,0.0,11.0,32.0,18.0,0.0,0.0,7.0,0.666666667,149.0,1.0,0.0,0.936936937,0.5,1.0,2.0,17.25,2.0,1.0,0
