McCC,CLOC,LLOC,Number of developer commits,Number of previous modifications,Number of previous fixes,Number of committers,target
1,0,5,1118,12,0,6,0
4,0,34,1118,24,0,5,0
1,0,20,1118,21,0,6,1
1,0,8,1118,17,0,6,0
1,0,59,1118,17,0,6,1
4,0,56,1118,16,0,7,1
2,0,25,1118,17,0,6,0
2,0,14,1118,13,0,6,1
35,0,154,575,30,0,6,0
1,0,32,1733,27,0,6,0
1,0,187,1118,13,0,6,0
27,0,182,2899,35,1,5,0
71,0,384,1733,56,10,8,0
4,0,226,753,22,1,5,0
64,0,317,831,73,2,7,0
7,0,53,753,13,0,5,0
1,0,11,1118,6,0,2,0
8,0,185,1118,5,0,2,0
186,0,1292,2899,257,7,7,1
144,0,1034,753,125,8,7,1
2,0,47,1118,12,0,3,0
2,0,22,753,8,0,4,0
1,0,43,1118,6,0,2,0
48,0,326,831,63,7,7,0
127,0,1490,831,69,5,7,1
6,0,61,831,48,0,6,1
4,0,42,1118,9,0,3,0
4,0,48,1118,5,0,3,0
1,0,147,831,79,1,4,0
407,0,1737,2899,321,18,8,0
639,0,3896,2899,484,27,10,1
3,0,77,753,22,0,5,0
1,0,17,1118,8,0,2,0
11,0,176,1118,8,0,2,0
7,0,50,831,14,0,5,0
1,0,20,831,12,0,4,0
1,0,18,831,9,0,3,0
3,0,39,2899,3,0,2,0
1,0,62,1118,8,0,2,0
15,0,96,1733,38,2,7,1
3,0,58,2899,6,0,3,0
1,0,6,575,7,0,4,0
30,0,176,831,19,2,3,0
1,0,46,2899,7,0,2,0
1,0,6,1118,4,0,2,0
1,0,8,1118,8,0,3,0
73,0,636,831,108,6,7,0
12,0,96,1118,25,0,3,0
7,0,64,831,18,0,4,0
115,0,815,831,267,3,8,1
2,0,10,2899,11,0,4,0
5,0,291,2899,114,3,6,0
1,0,5,1118,3,0,1,0
1,0,4,1118,5,0,2,0
9,0,103,1118,6,0,3,0
1,0,4,1733,4,0,3,0
1,0,20,2899,10,0,2,0
1,0,4,2899,3,0,2,0
1,0,10,2899,14,1,3,0
6,0,52,831,15,0,5,0
9,0,128,575,33,0,5,0
86,0,416,831,96,0,6,0
1,0,4,1118,4,0,2,0
4,0,121,1118,16,0,4,0
1,0,4,753,2,0,2,0
1,0,7,1118,5,0,2,0
10,0,181,575,18,0,5,1
4,0,36,1118,6,0,1,0
1,0,6,831,6,1,3,0
16,0,167,1118,31,1,4,0
4,0,46,1118,9,0,2,0
1,0,19,2899,15,1,4,0
51,0,879,2899,76,5,7,0
34,0,170,2899,41,4,5,0
1,0,4,1118,1,0,1,0
21,0,149,575,36,0,4,0
1,0,6,1118,7,0,3,0
7,0,283,575,14,1,4,0
1,0,27,1118,8,0,2,0
42,0,236,753,21,1,5,0
1,0,10,2899,3,0,2,0
56,0,521,2899,241,3,7,0
1,0,24,2899,27,0,4,0
23,0,74,2899,16,1,5,0
5,0,28,1118,3,0,1,0
18,0,97,575,5,0,2,0
197,0,964,2899,189,9,5,0
27,0,174,575,42,0,4,0
1,0,4,1118,5,0,2,0
1,0,19,1118,7,0,2,0
1,0,7,1118,10,0,3,0
25,0,306,1118,14,0,3,0
1,0,100,1733,89,1,7,0
7,0,249,2899,65,4,5,0
1,0,11,1118,8,0,2,0
1,0,14,1118,6,0,2,0
24,0,389,575,9,0,4,0
1,0,5,1118,10,2,3,0
7,0,178,1118,12,2,4,0
1,0,37,2899,12,0,3,0
7,0,47,2899,29,1,5,0
1,0,4,1118,3,0,1,0
79,0,395,2899,68,5,5,0
41,0,565,2899,31,2,3,0
17,0,191,753,63,0,4,0
11,0,119,2899,33,2,5,0
1,0,8,1118,9,0,3,0
7,0,128,1118,13,0,3,0
84,0,405,575,78,9,4,1
1,0,15,2899,8,0,2,0
17,0,109,575,19,0,4,0
6,0,32,2899,11,0,2,0
1,0,18,575,17,0,6,0
1,0,6,2899,2,0,2,0
1,0,6,1118,4,0,3,0
1,0,7,2899,2,0,2,0
1,0,5,575,1,0,1,0
1,0,9,1733,12,0,6,0
33,0,264,575,42,0,7,0
1,0,9,2899,5,0,2,0
1,0,11,1118,3,0,2,0
1,0,59,831,30,0,7,0
3,0,22,1118,5,0,1,0
1,0,8,1118,8,0,1,0
1,0,5,575,9,0,4,0
9,0,185,1733,74,1,7,0
1,0,15,2899,2,0,1,0
1,0,34,1733,77,0,7,0
1,0,4,1118,4,0,1,0
1,0,23,1118,20,0,5,0
1,0,7,831,15,0,5,0
1,0,12,575,17,0,5,0
1,0,5,1733,14,0,5,0
1,0,4,831,8,0,4,0
1,0,9,575,30,0,6,0
1,0,62,575,113,0,6,0
12,0,78,831,23,0,6,0
1,0,30,831,8,0,5,0
1,0,30,831,7,0,3,0
1,0,6,1118,5,0,1,0
1,0,6,2899,20,1,5,0
1,0,36,831,17,0,6,0
1,0,4,831,10,0,5,0
1,0,33,2899,9,0,5,0
3,0,20,1118,2,0,1,0
1,0,6,1118,6,0,1,0
1,0,9,831,14,0,6,0
5,0,43,831,13,0,5,0
1,0,5,1118,4,0,2,0
1,0,11,831,6,0,3,0
1,0,4,575,9,0,4,0
1,0,13,753,10,0,5,0
1,0,9,1118,9,0,1,0
1,0,6,1118,3,0,1,0
1,0,9,1118,8,0,1,0
1,0,5,1118,2,0,2,0
1,0,16,1733,23,0,5,0
1,0,28,575,21,0,5,0
2,0,28,831,12,0,4,0
1,0,6,1118,7,0,1,0
1,0,12,831,6,0,5,0
1,0,5,1118,8,0,2,0
1,0,35,575,35,0,6,0
1,0,25,575,10,0,4,0
1,0,8,2899,3,0,1,0
1,0,14,575,8,0,3,0
1,0,17,575,6,0,2,0
1,0,4,1118,3,0,1,0
1,0,28,831,26,2,6,1
1,0,8,2899,8,0,3,0
1,0,4,575,8,0,4,0
1,0,16,575,18,0,5,0
1,0,12,2899,14,0,2,0
1,0,21,1118,8,0,2,0
1,0,18,1118,10,0,2,0
1,0,34,1118,16,0,2,0
3,0,33,2899,8,0,2,0
3,0,47,2899,18,1,2,0
18,0,129,2899,52,1,4,0
174,0,949,2899,161,8,6,0
35,0,270,831,154,2,8,0
4,0,14,2899,15,0,2,0
1,0,7,2899,15,0,2,0
2,0,73,1733,25,0,6,0
6,0,98,575,49,0,7,0
1,0,36,2899,17,0,2,0
10,0,74,1733,17,0,5,0
4,0,31,831,18,0,3,0
10,0,80,575,26,2,4,0
1,0,6,1118,10,0,4,0
1,0,7,1118,8,0,2,0
1,0,30,575,20,0,3,0
19,0,130,1118,8,0,4,1
3,0,99,831,10,0,4,0
1,0,72,1118,11,0,3,0
2,0,22,575,8,0,4,0
83,0,709,575,110,0,8,1
1,0,4,1733,9,0,4,0
10,0,55,1733,5,0,4,0
61,0,359,2899,80,2,7,1
1,0,43,2899,7,0,2,0
1,0,49,2899,8,0,2,0
4,0,85,1733,33,0,7,0
1,0,22,575,8,0,4,0
11,0,73,831,9,0,4,0
3,0,20,575,8,0,4,0
6,0,68,831,16,0,4,0
1,0,38,2899,8,0,2,0
1,0,45,831,14,0,5,0
1,0,42,1118,8,0,3,0
2,0,53,2899,7,0,2,0
1,0,43,831,4,0,2,0
58,0,421,753,101,0,8,0
1,0,38,1733,6,0,4,0
1,0,77,1118,12,0,3,0
2,0,46,575,12,0,6,0
1,0,24,1118,3,0,2,0
1,0,42,1118,2,0,1,0
1,0,88,831,15,0,4,0
2,0,70,1733,22,0,6,0
3,0,78,575,10,0,4,1
7,0,175,1733,24,0,7,0
1,0,60,2899,7,0,2,0
5,0,86,2899,9,0,2,0
1,0,43,2899,8,0,2,0
8,0,83,1733,44,0,7,1
1,0,73,2899,7,0,2,0
3,0,86,575,9,0,5,0
1,0,54,2899,7,0,2,0
1,0,51,2899,3,0,2,0
6,0,97,831,10,0,4,0
15,0,124,831,18,0,4,0
8,0,74,1733,18,0,6,0
1,0,22,575,8,0,4,0
2,0,36,2899,9,0,2,0
1,0,26,575,9,0,5,0
