McCC,CLOC,LLOC,Number of developer commits,Number of committers,Number of previous fixes,Number of previous modifications,target
5,0,28,0,0,0,1,0
2,0,17,0,0,0,1,0
7,0,34,0,0,0,1,0
1,0,9,0,0,0,1,0
1,0,10,0,0,0,1,0
1,0,6,327,1,0,2,0
3,0,41,0,0,0,1,0
1,0,59,327,1,0,5,0
4,0,56,327,1,1,3,0
12,0,81,0,0,0,1,0
1,0,8,327,1,0,1,0
5,0,40,327,1,0,1,0
1,0,18,327,1,0,1,0
1,0,19,327,1,0,1,0
1,0,11,0,0,0,1,0
25,0,205,327,1,0,2,0
7,0,112,327,1,0,3,0
5,0,37,327,1,0,1,0
5,0,31,327,1,0,1,0
5,0,30,327,1,0,1,0
13,0,79,327,1,0,1,0
1,0,5,327,1,0,1,0
1,0,5,327,1,0,1,0
1,0,8,327,1,0,1,0
52,0,350,327,1,0,2,1
1,0,21,0,0,0,1,0
1,0,16,0,0,0,1,0
1,0,49,327,1,1,2,0
2,0,68,0,0,0,1,0
1,0,19,0,0,0,1,0
1,0,63,327,1,0,1,0
4,0,23,327,1,0,1,0
3,0,24,327,1,0,1,0
1,0,27,0,0,0,1,0
1,0,58,0,0,0,1,0
1,0,42,0,0,0,1,0
11,0,102,327,1,0,2,0
3,0,50,0,0,0,1,0
1,0,15,0,0,0,1,0
1,0,25,0,0,0,1,0
18,0,165,327,1,0,3,1
3,0,29,327,1,0,3,0
1,0,26,327,1,0,2,0
2,0,25,0,0,0,1,0
8,0,275,0,0,0,1,0
8,0,275,0,0,0,1,0
1,0,50,0,0,0,1,0
29,0,250,327,1,0,5,1
1,0,12,0,0,0,1,0
1,0,36,327,1,1,3,0
8,0,82,0,0,0,1,0
3,0,30,327,1,0,2,0
1,0,15,0,0,0,1,0
1,0,11,0,0,0,1,0
8,0,59,327,1,0,2,1
8,0,61,327,1,1,3,0
5,0,21,0,0,0,1,1
2,0,24,0,0,0,1,0
3,0,33,0,0,0,1,0
2,0,22,327,1,0,2,0
2,0,28,327,1,1,3,0
10,0,88,327,1,1,6,0
3,0,21,0,0,0,1,0
13,0,86,327,1,0,3,0
3,0,49,0,0,0,1,0
5,0,89,327,1,0,2,1
6,0,100,327,1,0,2,1
18,0,109,327,2,0,4,0
5,0,36,327,2,0,5,0
8,0,63,327,1,0,4,0
10,0,153,327,1,0,4,1
2,0,30,327,1,1,3,0
1,0,11,327,1,0,2,0
3,0,24,0,0,0,1,0
1,0,14,327,1,0,2,0
1,0,11,327,1,0,3,0
1,0,11,327,1,0,3,0
3,0,22,0,0,0,1,0
3,0,44,327,1,1,3,0
4,0,67,327,1,1,5,0
30,0,139,327,1,0,4,0
3,0,27,327,1,0,2,0
2,0,39,327,1,0,2,0
1,0,21,0,0,0,1,0
1,0,19,0,0,0,1,0
3,0,18,0,0,0,1,0
1,0,10,0,0,0,1,0
2,0,28,0,0,0,1,0
1,0,14,0,0,0,1,0
2,0,30,327,1,0,2,0
3,0,24,327,1,0,2,0
1,0,14,0,0,0,1,0
2,0,17,327,1,0,3,0
3,0,33,0,0,0,1,0
1,0,10,0,0,0,1,0
1,0,10,0,0,0,1,0
3,0,40,327,1,0,2,0
2,0,34,327,1,1,3,0
2,0,25,0,0,0,1,0
2,0,50,327,1,1,3,0
2,0,26,327,1,0,2,0
2,0,40,0,0,0,1,0
4,0,50,0,0,0,1,0
2,0,45,327,1,1,3,0
2,0,23,0,0,0,1,0
4,0,46,0,0,0,1,0
2,0,48,327,1,1,3,0
3,0,47,0,0,0,1,0
3,0,40,327,1,0,2,0
2,0,34,327,1,1,3,0
5,0,101,0,0,0,1,0
3,0,44,0,0,0,1,0
13,0,85,327,1,0,2,0
5,0,44,327,1,0,2,0
12,0,99,0,0,0,1,0
14,0,116,327,1,1,5,1
10,0,84,0,0,0,1,0
4,0,48,327,1,0,2,0
10,0,80,327,1,0,2,0
2,0,40,0,0,0,1,0
8,0,74,327,1,0,2,0
86,0,804,327,1,1,5,1
1,0,26,327,1,0,3,0
3,0,40,327,1,0,3,0
8,0,87,327,1,2,5,0
5,0,101,327,1,0,2,0
17,0,220,327,1,1,4,1
8,0,83,327,1,1,6,0
7,0,78,327,1,1,3,0
9,0,50,327,1,1,4,0
6,0,46,327,2,1,6,0
5,0,42,327,1,1,4,0
16,0,72,327,1,1,2,0
4,0,24,327,1,0,3,0
9,0,78,327,1,1,3,0
2,0,19,0,0,0,1,0
9,0,52,327,1,1,5,0
12,0,75,327,1,0,5,0
8,0,51,327,1,1,5,0
1,0,11,0,0,0,1,0
9,0,60,327,1,1,6,0
7,0,49,327,1,1,4,0
8,0,75,0,0,0,1,0
1,0,22,0,0,0,1,0
12,0,88,0,0,0,1,0
1,0,11,0,0,0,1,0
3,0,33,327,1,1,2,1
4,0,31,0,0,0,1,0
1,0,8,0,0,0,1,0
3,0,25,0,0,0,1,0
1,0,7,0,0,0,1,0
11,0,83,0,0,0,1,0
7,0,85,0,0,0,1,0
69,0,566,0,0,0,1,0
44,0,252,327,1,1,1,0
11,0,100,327,1,1,2,0
4,0,26,0,0,0,1,0
1,0,15,0,0,0,1,0
1,0,5,0,0,0,1,0
1,0,11,0,0,0,1,0
3,0,61,0,0,0,1,0
2,0,22,0,0,0,1,0
5,0,72,327,1,0,2,0
5,0,79,0,0,0,1,0
4,0,40,0,0,0,1,0
1,0,32,0,0,0,1,0
16,0,84,0,0,0,1,0
4,0,42,0,0,0,1,0
11,0,82,327,1,0,2,1
58,0,386,0,0,0,1,0
63,0,475,0,0,0,1,0
66,0,293,0,0,0,1,0
7,0,65,0,0,0,1,0
23,0,112,327,1,0,3,0
16,0,118,327,1,0,2,0
1,0,7,0,0,0,1,0
1,0,21,0,0,0,1,0
2,0,37,0,0,0,1,0
1,0,19,0,0,0,1,0
4,0,33,0,0,0,1,0
3,0,42,327,1,0,2,0
1,0,4,0,0,0,1,0
1,0,5,0,0,0,1,0
