McCC,CLOC,LLOC,Number of previous fixes,Number of developer commits,Number of committers,Number of previous modifications,target
585,0,2225,0,4735,1,3,0
1,0,14,0,4735,1,1,0
1034,0,4187,0,4735,1,3,0
28,0,158,0,4735,1,2,0
13,0,88,0,4735,1,2,0
18,0,88,0,4735,1,2,0
524,0,1705,0,4735,1,3,0
160,0,721,0,4735,1,2,0
4,0,38,0,4735,1,2,0
13,0,85,0,4735,1,2,0
7,0,62,0,4735,1,2,0
18,0,83,0,4735,1,2,0
1,0,11,0,4735,1,1,0
1,0,16,0,4735,1,1,0
285,0,784,0,4735,1,3,0
35,0,174,0,4735,1,2,0
171,0,695,0,4735,1,2,0
27,0,157,0,4735,1,2,0
571,0,1755,0,4735,1,2,0
149,0,692,0,4735,1,2,0
4,0,38,0,4735,1,2,0
165,0,575,0,4735,1,2,0
1,0,1,0,4735,1,3,0
112,0,490,0,4735,1,2,0
1,0,11,0,4735,1,2,0
1,0,16,0,4735,1,2,0
10,0,67,0,4735,1,1,0
1,0,10,0,4735,1,1,0
11,0,114,0,4735,1,3,0
19,0,152,0,4735,1,3,0
254,0,1346,0,4735,1,2,0
20,0,158,0,4735,1,1,0
1,0,46,0,4735,1,1,1
16,0,78,1,4735,1,3,0
1,0,9,0,4735,1,2,0
1,0,17,0,4735,1,2,0
1,0,12,0,4735,1,2,0
1,0,9,0,4735,1,2,0
1,0,12,0,4735,1,2,0
1,0,14,0,4735,1,3,0
1,0,9,0,4735,1,2,0
1,0,4,0,4735,1,2,0
14,0,69,1,4735,2,4,1
53,0,278,0,4735,4,60,1
1,0,9,0,4735,2,6,1
1,0,15,0,4735,1,2,1
1,0,5,0,4735,1,2,1
5,0,222,0,762,6,17,1
1,0,31,0,811,2,5,1
1,0,44,0,4735,3,6,1
3,0,31,0,4735,1,2,1
1,0,15,0,4735,1,3,1
1,0,12,0,4735,1,2,1
1,0,24,0,4735,2,3,1
1,0,5,0,4735,1,2,1
1,0,19,1,4735,1,3,1
1,0,6,0,4735,1,2,1
1,0,7,0,4735,1,2,1
1,0,22,0,4735,1,2,1
1,0,10,0,762,2,3,1
15,0,70,0,4735,1,2,1
1,0,12,0,4735,1,2,1
2,0,54,0,811,3,6,1
2,0,20,0,11,2,4,1
2,0,10,0,11,2,2,1
9,0,39,0,4735,1,2,1
25,0,202,1,244,4,9,1
1,0,10,0,11,2,3,0
1,0,97,0,762,6,12,0
1,0,75,0,762,4,7,0
1,0,177,0,762,4,16,0
1,0,157,0,319,5,6,0
24,0,124,1,762,3,4,0
1,0,51,1,474,2,3,0
7,0,51,0,1466,1,1,0
1,0,26,0,762,3,4,1
43,0,441,1,4735,1,6,1
1,0,5,0,4735,1,1,1
1,0,6,0,0,0,1,0
1,0,4,0,4735,1,1,1
1,0,5,0,4735,1,3,1
124,0,940,0,4735,2,2,0
28,0,39,0,4735,1,1,0
1,0,15,0,4735,1,1,0
10,0,61,0,1466,1,2,0
1,0,72,0,4735,1,2,0
14,0,62,0,4735,2,2,0
11,0,136,0,1466,1,1,0
187,0,832,0,1466,3,5,0
10,0,86,0,91,2,2,1
1,0,20,0,4735,1,3,1
1,0,15,0,4735,1,2,0
16,0,130,0,1466,2,4,0
43,0,198,0,319,2,7,0
2,0,20,0,4735,1,1,0
1,0,14,0,4735,1,1,0
49,0,229,0,4735,2,11,1
1,0,65,0,4735,1,2,0
15,0,174,0,1466,3,9,0
1,0,9,0,4735,1,1,0
1,0,52,0,811,2,2,0
1,0,30,0,4735,1,1,0
1,0,5,0,4735,1,1,0
3,0,48,0,1466,2,3,0
1,0,15,0,4735,1,2,0
1,0,13,0,4735,1,1,0
16,0,63,1,479,1,1,0
1,0,9,0,762,1,1,0
1,0,13,1,36,1,1,0
1,0,33,0,4735,1,2,0
1,0,50,0,762,2,7,0
1,0,19,0,4735,1,3,0
11,0,74,0,4735,1,2,0
48,0,381,0,762,4,20,1
1,0,102,1,762,3,7,0
10,0,101,0,4735,1,2,0
1,0,58,0,4735,1,1,0
1,0,17,0,762,1,1,0
1,0,8,0,762,1,1,0
47,0,308,0,474,2,3,1
9,0,111,0,762,1,2,1
1,0,53,0,4735,1,2,0
2,0,35,0,4735,1,1,0
1,0,21,0,4735,1,3,0
