McCC,CLOC,LLOC,Number of previous fixes,Number of developer commits,Number of committers,Number of previous modifications,target
13,0,88,0,1466,1,1,0
18,0,88,0,1466,1,1,0
13,0,85,0,1466,1,1,0
18,0,83,0,1466,1,1,0
35,0,174,0,1466,1,1,0
1,0,64,0,1466,1,1,0
4,0,19,0,1466,1,1,0
25,0,185,0,1466,1,1,0
1,0,9,0,1466,1,1,0
1,0,12,0,1466,1,1,0
1,0,14,0,1466,1,1,0
1,0,9,0,1466,1,1,0
1,0,4,0,1466,1,1,0
46,0,210,0,1466,1,1,0
115,0,545,0,1466,1,1,0
1,0,9,0,1466,1,1,0
1,0,15,0,1466,1,1,0
1,0,5,0,1466,1,1,0
1,0,23,0,1466,1,1,0
6,0,279,0,1466,1,1,0
1,0,22,0,1466,1,1,0
1,0,47,0,1466,1,1,0
3,0,31,0,1466,1,1,0
1,0,15,0,1466,1,1,0
1,0,12,0,1466,1,1,0
9,0,210,0,1466,1,1,0
1,0,6,0,1466,1,1,0
1,0,5,0,1466,1,1,0
1,0,10,0,1466,1,1,0
1,0,12,0,1466,1,1,0
1,0,24,0,1466,1,1,0
1,0,9,0,1466,1,1,0
1,0,26,0,1466,1,1,0
1,0,4,0,1466,1,1,0
1,0,19,0,1466,1,1,0
1,0,6,0,1466,1,1,0
1,0,32,0,1466,1,1,0
1,0,7,0,1466,1,1,0
1,0,27,0,1466,1,1,0
1,0,18,0,1466,1,1,0
15,0,69,0,1466,1,1,0
1,0,16,0,1466,1,1,0
2,0,31,0,1466,1,1,0
2,0,20,0,1466,1,1,0
2,0,10,0,1466,1,1,0
9,0,38,0,1466,1,1,0
66,0,532,0,231,1,2,1
86,0,432,1,479,1,1,0
68,0,572,0,474,1,1,0
119,0,954,0,185,1,1,0
11,0,125,0,244,1,1,0
5,0,67,0,1466,1,1,0
6,0,114,0,1466,1,1,0
49,0,268,0,1466,1,1,0
4,0,56,0,1466,1,1,0
10,0,59,0,1466,1,1,0
7,0,68,0,1466,1,1,0
6,0,56,0,1466,1,1,0
6,0,32,0,1466,1,1,0
3,0,34,0,244,1,1,0
15,0,97,0,17,1,1,0
141,0,832,0,17,1,1,0
