McCC,CLOC,LLOC,Number of previous fixes,Number of committers,Number of previous modifications,Number of developer commits,target
1,0,27,0,2,5,1615,0
5,0,63,0,1,4,1077,0
1,0,18,0,3,7,1615,0
1,0,19,0,2,5,1077,0
1,0,25,0,3,10,1615,0
1,0,11,0,1,3,1077,0
1,0,8,0,1,1,1077,0
1,0,8,0,2,2,1615,0
1,0,8,0,2,4,46,0
1,0,15,0,1,3,1077,0
1,0,24,0,1,3,1077,0
19,0,181,0,3,12,1615,0
16,0,151,0,4,20,1615,0
6,0,61,0,1,5,1077,0
5,0,89,1,3,24,1077,0
1,0,39,0,3,15,1077,0
1,0,42,0,3,7,142,0
2,0,45,0,3,13,1077,0
1,0,2,0,1,2,1615,0
3,0,101,0,3,9,1077,0
25,0,252,0,3,25,1077,0
1,0,25,0,1,2,1615,0
1,0,20,0,3,5,142,0
1,0,20,0,2,2,1615,0
1,0,20,0,3,5,142,0
1,0,17,0,3,13,1077,0
1,0,15,0,3,11,1077,0
1,0,11,0,3,15,1077,0
1,0,10,0,2,2,1077,0
1,0,9,0,3,19,1077,0
1,0,20,0,3,5,142,0
1,0,20,0,2,2,1615,0
1,0,20,0,3,5,142,0
1,0,16,1,2,4,1077,0
1,0,17,0,3,13,1077,0
3,0,38,0,2,5,1077,0
1,0,15,0,3,11,1077,0
1,0,23,0,3,5,142,0
1,0,25,0,3,5,142,0
1,0,23,0,3,5,142,0
1,0,22,0,3,18,1077,0
1,0,20,0,3,11,1077,0
1,0,20,0,3,11,1077,0
1,0,34,0,3,29,1077,0
1,0,14,0,3,14,1077,0
1,0,14,0,3,14,1077,0
1,0,25,0,3,5,142,0
1,0,23,0,3,5,142,0
1,0,23,0,3,5,142,0
1,0,20,0,3,11,1077,0
1,0,22,0,3,14,1077,0
1,0,20,0,3,11,1077,0
10,0,134,0,3,44,1077,0
17,0,83,0,3,9,1077,0
23,0,285,0,3,39,1615,0
39,0,381,0,3,55,1077,0
62,0,410,0,3,37,1615,0
38,0,303,0,3,47,1077,0
41,0,440,0,3,45,1615,0
81,0,620,0,3,55,1615,0
4,0,30,0,1,1,1615,0
2,0,16,0,3,3,1615,0
1,0,23,0,3,5,1077,0
5,0,91,0,3,9,1077,0
3,0,33,0,3,9,142,0
21,0,215,0,3,10,142,0
3,0,24,0,3,10,142,0
1,0,31,0,3,7,1615,0
7,0,75,0,2,2,1615,0
1,0,7,0,2,2,1615,0
1,0,7,0,2,2,1615,0
4,0,29,0,1,1,1077,0
4,0,32,0,2,2,1615,0
4,0,29,0,2,2,1615,0
4,0,32,0,2,2,1615,0
2,0,37,0,2,2,1615,0
1,0,8,0,3,6,1615,0
1,0,9,0,3,3,1615,0
2,0,34,0,3,6,1615,0
3,0,87,1,3,11,1077,0
6,0,99,0,3,7,1615,0
4,0,36,0,3,4,1615,0
24,0,266,0,3,10,1615,0
4,0,39,0,3,6,1615,0
8,0,85,0,4,12,46,0
2,0,40,0,4,8,1077,0
1,0,28,0,4,9,1077,0
1,0,17,0,4,9,142,0
1,0,20,0,4,9,142,0
1,0,14,0,4,7,1077,0
1,0,14,0,2,2,1615,0
1,0,14,0,4,7,1077,0
29,0,279,0,4,31,1615,0
39,0,300,0,4,30,1077,1
1,0,9,0,2,4,1077,0
1,0,17,0,3,6,142,0
1,0,26,0,4,14,1615,0
1,0,17,0,3,9,142,0
1,0,15,0,3,8,142,0
1,0,14,0,3,9,142,0
5,0,63,0,3,8,142,0
1,0,8,0,3,6,142,0
1,0,15,0,2,8,1077,0
1,0,8,0,3,6,142,0
1,0,8,0,3,6,142,0
24,0,222,0,5,32,1615,0
11,0,146,0,5,30,1615,0
13,0,121,0,5,26,1615,0
7,0,44,0,2,7,1615,0
8,0,102,1,2,6,1615,0
22,0,193,0,1,2,1077,0
12,0,203,0,2,2,1615,0
1,0,11,0,4,11,1077,0
4,0,66,0,2,6,1077,0
57,0,648,0,4,49,1615,0
4,0,56,0,2,9,1615,0
15,0,195,0,4,14,1615,0
7,0,67,0,2,4,1077,0
