McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of developer commits,Number of committers,target
81,0,951,11,71,4057,4,0
27,0,186,2,15,1649,3,0
1,0,47,1,8,4057,2,0
19,0,105,2,15,4057,2,0
4,0,601,0,7,4057,1,0
1,0,166,2,50,4057,5,0
1,0,24,2,11,1649,2,0
1,0,15,0,8,4057,2,0
17,0,172,0,8,4057,3,0
6,0,88,0,4,4057,2,0
5,0,64,0,5,4057,1,0
52,0,365,2,19,1649,3,0
137,0,1249,4,70,27,8,0
3,0,63,1,12,4057,2,0
2,0,229,4,31,1649,4,0
19,0,697,1,21,4057,2,0
43,0,481,0,2,4057,2,0
1,0,1,0,11,4057,3,0
47,0,382,3,21,2,3,0
24,0,236,1,12,4057,2,0
16,0,96,0,3,1649,2,0
11,0,116,2,21,4057,2,0
17,0,221,3,19,4057,4,0
16,0,307,4,16,4057,3,0
7,0,248,4,16,4057,2,0
33,0,320,7,25,4057,3,0
21,0,152,0,4,4057,1,0
39,0,346,1,5,4057,2,1
3,0,239,5,31,1649,5,0
13,0,261,4,13,4057,3,0
16,0,100,1,4,4057,2,0
4,0,59,0,4,4057,1,0
8,0,228,5,38,4057,4,0
9,0,695,6,46,1649,4,0
94,0,494,2,35,1649,5,0
2,0,27,2,11,4057,2,0
41,0,486,10,34,4057,3,0
17,0,357,6,20,4057,2,0
53,0,418,9,21,4057,2,0
4,0,62,1,15,4057,2,0
7,0,135,2,3,1649,1,0
2,0,671,1,9,4057,3,0
148,0,2122,7,28,4057,4,0
9,0,613,8,33,4057,5,0
1,0,12,1,2,1649,1,0
1,0,20,1,2,1649,1,0
1,0,24,0,2,4057,2,0
1,0,14,1,1,1649,1,0
11,0,168,0,2,4,2,0
1,0,41,0,4,1649,2,0
11,0,147,0,5,4057,3,0
1,0,34,0,3,4,3,0
1,0,29,1,4,4057,2,0
1,0,17,0,1,1649,1,0
2,0,193,0,2,4057,2,0
1,0,6,0,1,1649,1,0
1,0,20,1,2,1649,1,0
1,0,16,0,1,1649,1,0
1,0,14,1,1,1649,1,0
2,0,15,0,1,2,1,0
1,0,17,1,1,4057,1,0
1,0,15,1,1,4057,1,0
1,0,17,1,1,4057,1,0
1,0,16,1,1,4057,1,0
1,0,8,1,1,1649,1,0
1,0,135,1,3,4057,3,0
3,0,154,2,5,1649,2,0
1,0,15,1,2,4,2,0
1,0,79,4,7,1649,2,0
22,0,469,1,13,4057,3,0
1,0,20,0,1,1649,1,0
11,0,87,0,1,4057,1,0
193,0,860,0,1,4057,1,1
2,0,70,2,34,1649,3,1
32,0,177,14,65,1649,4,1
1,0,15,0,5,4057,2,0
1,0,15,0,7,4057,3,0
1,0,15,0,6,4057,3,0
7,0,53,1,6,4057,2,0
1,0,5,0,1,4057,1,0
83,0,673,0,4,4057,1,1
35,0,184,2,23,1649,3,0
1,0,17,0,6,72,2,0
1,0,142,0,1,4057,1,0
1,0,15,0,6,4057,3,0
4,0,29,2,25,1649,3,0
27,0,196,4,25,1649,3,0
16,0,75,0,19,1649,4,0
17,0,94,1,9,1649,2,0
1,0,14,0,1,4057,1,0
32,0,217,0,1,4057,1,1
7,0,73,3,33,1649,3,0
1,0,60,3,45,4057,4,0
5,0,50,7,55,4057,3,0
10,0,74,8,53,1649,3,0
1,0,1,0,5,4057,3,0
1,0,15,0,5,72,3,0
20,0,118,13,68,1649,5,0
22,0,831,4,59,4057,4,0
1,0,4,0,1,4057,1,0
1,0,42,0,1,4057,1,0
1,0,15,0,7,4057,3,0
6,0,35,0,6,1649,3,0
30,0,208,1,16,4057,3,0
2,0,27,1,18,4057,3,0
1,0,133,0,5,72,2,0
2,0,31,0,17,4057,3,0
1,0,1,0,6,4057,2,0
1,0,16,2,21,1649,3,0
1,0,17,0,25,4057,3,0
1,0,1,0,6,4057,2,0
13,0,76,0,2,27,1,0
12,0,60,0,2,27,1,0
20,0,148,0,2,27,1,0
21,0,160,0,3,27,1,0
1,0,23,0,3,27,1,0
56,0,237,0,7,27,2,0
460,0,1880,0,1,27,1,0
19,0,168,0,2,27,1,0
26,0,104,0,2,27,1,0
13,0,94,0,3,27,1,0
41,0,207,0,1,27,1,0
3,0,49,0,2,27,1,0
13,0,97,0,1,27,1,0
1,0,41,0,2,27,1,0
1,0,16,1,6,4057,3,0
2,0,82,0,1,27,1,0
2,0,94,0,2,4057,2,0
1,0,16,0,1,4057,1,0
60,0,303,2,9,27,4,0
27,0,206,3,25,27,4,0
18,0,113,1,10,27,5,0
30,0,227,3,21,27,5,0
14,0,102,0,2,27,1,0
6,0,60,0,1,27,1,0
1,0,1,0,8,27,3,0
73,0,412,2,13,27,3,0
25,0,135,1,15,27,5,0
8,0,70,1,14,1,4,0
18,0,89,0,10,1,6,0
1,0,6,0,19,4057,3,0
1,0,13,0,24,4057,3,0
11,0,58,1,12,27,4,0
1,0,7,0,5,3,3,0
35,0,132,1,5,1649,3,0
1,0,1,0,1,28,1,0
4,0,47,0,9,4057,3,0
1,0,31,0,16,4057,3,0
8,0,64,2,19,4057,3,0
1,0,22,0,8,1649,3,0
2,0,26,1,6,4057,2,0
1,0,17,0,3,72,2,0
1,0,17,0,3,72,2,0
5,0,66,0,10,4057,3,0
1,0,6,0,3,72,2,0
2,0,39,0,12,1649,3,0
1,0,26,0,10,1649,3,0
1,0,1,0,6,72,3,0
2,0,24,0,5,4057,3,0
2,0,24,0,5,4057,3,0
1,0,6,0,4,72,2,0
1,0,1,0,6,4057,2,0
6,0,65,1,21,4057,3,0
3,0,27,3,23,4057,3,0
6,0,35,1,18,4057,3,0
1,0,22,0,16,1,4,0
2,0,21,0,3,4057,1,0
2,0,15,0,4,4057,1,0
1,0,4,0,3,4057,1,0
3,0,43,0,11,1649,2,0
6,0,51,0,8,4057,2,0
5,0,28,1,6,72,2,0
6,0,52,2,22,4057,3,0
2,0,33,0,12,27,3,0
6,0,146,0,6,4057,1,0
1,0,25,0,14,4057,3,0
4,0,110,0,10,72,2,0
1,0,1,0,4,4057,1,0
3,0,68,0,4,4057,1,0
1,0,13,0,6,4057,2,0
1,0,13,0,6,4057,2,0
1,0,1,0,5,4057,1,0
2,0,28,1,19,4057,3,0
3,0,31,0,25,1649,3,0
1,0,1,0,1,2,1,0
51,0,126,1,4,1649,3,0
3,0,122,1,5,1649,3,0
1,0,67,0,6,1649,4,0
5,0,58,1,3,4057,2,0
4,0,74,0,5,1649,3,0
1,0,17,0,1,1649,1,0
8,0,64,2,9,1649,4,0
3,0,165,5,29,1649,3,0
1,0,34,0,15,4057,1,0
1,0,42,0,18,4057,2,0
5,0,191,0,7,27,3,0
5,0,86,0,4,27,2,0
1,0,31,0,2,27,1,0
11,0,125,0,1,27,1,0
1,0,17,0,5,4057,3,0
1,0,11,0,8,1649,4,0
3,0,103,0,1,27,1,0
3,0,72,0,1,27,1,0
1,0,12,0,2,27,1,0
1,0,108,0,8,1,4,0
3,0,113,0,12,1,5,0
4,0,75,2,15,27,5,0
1,0,149,0,6,17,2,0
1,0,11,1,1,4057,1,0
1,0,17,1,3,4057,2,0
19,0,255,2,11,1649,3,0
2,0,174,0,3,4057,2,0
1,0,87,1,15,4057,3,0
1,0,43,0,12,4057,1,0
1,0,16,0,2,4057,1,0
1,0,16,0,3,4,2,0
1,0,9,0,3,4,2,0
1,0,9,0,3,4,2,0
2,0,30,1,11,4057,3,0
1,0,14,0,6,4057,2,0
1,0,9,0,3,4,2,0
1,0,7,0,3,4057,1,0
1,0,9,0,6,4,3,0
1,0,7,0,3,4057,1,0
1,0,16,0,2,4057,1,0
1,0,16,0,3,4,2,0
1,0,9,0,3,4,2,0
1,0,9,0,3,4,2,0
2,0,30,1,11,4057,3,0
1,0,14,0,7,4,3,0
1,0,9,0,3,4,2,0
1,0,7,0,2,4057,1,0
1,0,9,0,6,4,3,0
1,0,7,0,3,4057,1,0
2,0,44,0,12,1649,2,0
