McCC,CLOC,LLOC,Number of previous modifications,Number of previous fixes,Number of committers,Number of developer commits,target
1,0,11,13,0,9,665,0
1,0,30,10,0,6,665,0
1,0,20,18,0,11,665,0
1,0,21,21,0,8,665,0
5,0,91,21,0,8,665,0
1,0,20,11,0,7,665,0
1,0,26,21,0,9,665,0
1,0,20,17,0,9,665,0
14,0,92,13,0,7,665,0
1,0,12,17,0,9,5350,0
26,0,317,26,0,10,1404,0
1,0,1,11,0,5,665,0
1,0,7,12,0,7,665,0
1,0,24,11,0,8,665,0
1,0,21,17,0,9,505,0
1,0,63,10,0,5,665,0
1,0,11,16,0,9,505,0
1,0,35,18,0,10,505,0
3,0,31,13,0,7,665,0
8,0,130,13,0,7,665,0
2,0,70,29,0,11,505,0
2,0,71,22,0,11,665,0
37,0,246,20,0,11,665,0
18,0,183,15,0,7,665,0
1,0,55,29,0,13,1296,0
2,0,65,31,0,10,5350,0
15,0,150,17,0,8,665,0
2,0,67,31,0,11,5350,0
5,0,76,25,0,11,505,0
4,0,55,10,0,5,665,0
1,0,20,12,0,7,665,0
1,0,19,12,0,7,665,0
4,0,42,11,0,7,665,0
12,0,107,13,0,7,665,0
1,0,5,10,0,5,665,0
2,0,24,10,0,5,665,0
3,0,119,23,0,10,1404,0
4,0,106,29,0,12,505,0
10,0,239,35,0,15,1296,0
5,0,68,30,0,11,505,0
1,0,72,19,0,10,505,0
1,0,11,19,0,8,1296,0
1,0,29,24,0,8,5350,0
2,0,34,16,0,8,505,0
1,0,4,10,0,5,665,0
4,0,52,24,0,11,1296,0
1,0,15,13,0,8,665,0
1,0,43,34,0,13,1296,0
27,0,486,123,1,20,815,1
12,0,175,63,0,14,1296,0
1,0,9,16,0,8,1296,0
1,0,80,39,0,13,1296,0
4,0,122,15,0,6,815,0
5,0,40,18,0,9,815,0
1,0,20,12,0,5,815,0
1,0,19,37,0,11,815,0
1,0,19,16,0,8,815,0
2,0,28,32,0,12,815,0
1,0,16,17,0,9,815,0
1,0,34,22,0,10,1296,0
1,0,29,42,0,13,815,0
2,0,28,13,0,7,5350,0
2,0,28,13,0,7,5350,0
2,0,28,13,0,7,5350,0
1,0,11,13,0,7,5350,0
2,0,28,13,0,7,5350,0
2,0,28,13,0,7,5350,0
2,0,28,13,0,7,5350,0
4,0,28,13,0,7,5350,0
