McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of developer commits,Number of committers,target
85,0,961,4,60,4057,4,1
16,0,131,2,11,4,3,0
1,0,28,0,5,4057,2,1
20,0,107,1,10,4057,2,1
1,0,162,2,48,4,5,0
1,0,21,2,7,4057,2,0
1,0,11,0,6,1649,2,0
17,0,172,0,7,4057,3,0
6,0,88,0,4,4057,2,0
5,0,64,0,5,4057,1,0
43,0,235,0,12,1649,3,0
133,0,1234,1,56,1649,5,1
3,0,52,1,9,1649,2,0
2,0,229,2,29,4057,4,1
19,0,690,1,17,4057,2,0
1,0,1,0,10,1649,3,0
43,0,339,2,16,4057,2,1
29,0,261,1,5,4057,2,0
16,0,96,0,3,1649,2,0
13,0,126,2,17,4057,2,0
22,0,205,2,10,4057,2,0
12,0,244,1,10,4057,2,1
6,0,229,1,11,4057,2,1
30,0,278,3,16,4057,2,1
20,0,138,0,3,4057,1,0
1,0,10,0,1,4057,1,0
3,0,239,3,29,4057,5,1
15,0,266,3,7,1649,2,1
15,0,96,1,2,1649,1,0
8,0,228,3,35,4057,4,1
9,0,685,4,41,1649,4,1
93,0,486,2,31,4,4,0
2,0,21,2,9,1649,2,0
41,0,430,3,22,4057,2,1
16,0,339,2,15,4057,1,1
51,0,374,2,9,4057,2,1
5,0,669,1,12,4057,2,0
129,0,1446,1,15,1649,3,0
5,0,417,5,20,1649,3,0
1,0,6,0,1,1649,1,0
1,0,17,0,1,1649,1,0
1,0,24,0,2,4057,2,0
11,0,168,0,2,4,2,0
1,0,38,0,3,4057,1,0
11,0,147,0,5,4057,3,0
1,0,34,0,3,4,3,0
1,0,20,0,1,1649,1,0
1,0,6,0,1,1649,1,0
1,0,17,0,1,1649,1,0
1,0,16,0,1,1649,1,0
1,0,17,1,1,4057,1,0
1,0,15,1,1,4057,1,0
1,0,17,1,1,4057,1,0
1,0,16,1,1,4057,1,0
1,0,8,1,1,1649,1,0
1,0,135,1,2,5,2,0
3,0,146,2,4,1649,2,0
1,0,15,1,2,4,2,0
1,0,23,0,1,1649,1,0
22,0,464,0,11,4057,3,0
1,0,20,0,1,1649,1,0
2,0,70,2,32,1649,3,0
30,0,173,12,55,4057,3,1
1,0,15,0,5,4057,2,0
1,0,15,0,7,4057,3,0
1,0,15,0,6,4057,3,0
7,0,53,0,4,4057,2,1
35,0,186,1,21,1649,3,0
1,0,17,0,6,72,2,0
1,0,15,0,6,4057,3,0
4,0,29,2,24,1649,3,0
31,0,198,3,22,1649,3,1
16,0,74,0,18,1649,4,0
17,0,94,1,8,1649,2,0
8,0,71,3,30,1649,3,0
1,0,60,3,44,1649,4,0
5,0,49,7,53,1649,3,0
8,0,64,8,51,1649,3,0
1,0,1,0,5,4057,3,0
1,0,15,0,5,72,3,0
19,0,110,10,61,4057,3,1
21,0,814,4,54,4057,4,0
1,0,15,0,7,4057,3,0
6,0,35,0,6,1649,3,0
30,0,208,1,15,1649,3,0
2,0,27,1,18,4057,3,0
1,0,133,0,5,72,2,0
2,0,31,0,17,4057,3,0
1,0,1,0,6,4057,2,0
4,0,26,1,20,4057,3,1
1,0,17,0,25,4057,3,0
1,0,1,0,6,4057,2,0
1,0,16,1,6,4057,3,0
1,0,16,0,1,4057,1,0
18,0,167,2,19,1649,3,1
17,0,109,0,8,4057,4,1
30,0,224,2,19,1649,4,1
1,0,1,0,7,4057,2,0
73,0,414,2,10,4057,2,0
25,0,134,1,13,4057,3,0
8,0,70,1,13,4057,3,0
8,0,64,0,5,1649,3,0
1,0,6,0,19,4057,3,0
1,0,13,0,24,4057,3,0
7,0,40,0,10,4057,3,1
1,0,7,0,5,3,3,0
4,0,47,0,8,4057,3,0
1,0,31,0,15,4057,3,0
8,0,64,2,18,4057,3,0
1,0,22,0,8,1649,3,0
2,0,26,0,4,72,2,1
1,0,17,0,3,72,2,0
1,0,17,0,3,72,2,0
5,0,66,0,9,4057,3,0
1,0,6,0,3,72,2,0
