McCC,CLOC,LLOC,Number of previous fixes,Number of developer commits,Number of committers,Number of previous modifications,target
584,0,2225,0,4735,1,4,0
1,0,14,0,4735,1,1,0
1049,0,4244,0,4735,1,5,0
28,0,158,0,4735,1,3,0
13,0,88,0,4735,1,2,0
18,0,88,0,4735,1,2,0
524,0,1705,0,4735,1,4,0
160,0,723,0,4735,1,3,0
4,0,38,0,4735,1,2,0
13,0,85,0,4735,1,2,0
7,0,62,0,4735,1,2,0
18,0,83,0,4735,1,2,0
1,0,11,0,4735,1,1,0
1,0,16,0,4735,1,2,0
306,0,810,0,4735,1,4,0
35,0,174,0,4735,1,2,0
171,0,695,0,4735,1,2,0
27,0,157,0,4735,1,3,0
571,0,1755,0,4735,1,3,0
149,0,694,0,4735,1,3,0
4,0,38,0,4735,1,2,0
165,0,575,0,4735,1,2,0
1,0,1,0,4735,1,4,0
112,0,490,0,4735,1,2,0
1,0,11,0,4735,1,2,0
1,0,16,0,4735,1,3,0
10,0,67,0,4735,1,2,0
1,0,10,0,4735,1,1,0
11,0,114,0,4735,1,4,0
19,0,152,0,4735,1,4,0
254,0,1346,0,4735,1,2,0
20,0,158,0,4735,1,2,0
1,0,60,1,1466,2,3,0
16,0,78,1,1466,1,2,0
1,0,9,1,1466,1,2,0
1,0,17,1,1466,1,2,0
1,0,12,1,1466,1,2,0
1,0,12,1,1466,1,2,0
1,0,14,1,1466,1,2,0
1,0,9,1,1466,1,2,0
1,0,4,1,1466,1,2,0
16,0,81,3,1466,3,7,1
66,0,336,1,1466,8,83,1
1,0,9,1,1466,3,7,0
1,0,15,1,31,3,6,0
1,0,5,1,1466,2,3,0
5,0,257,1,762,9,27,0
1,0,31,1,1466,3,6,0
1,0,44,1,1466,4,8,0
3,0,31,1,1466,2,4,0
1,0,15,1,1466,2,4,0
1,0,12,1,1466,2,4,0
1,0,24,1,1466,3,4,0
1,0,5,1,1466,2,3,0
1,0,19,2,1466,2,4,0
1,0,6,1,1466,2,3,0
1,0,7,1,1466,2,4,0
1,0,27,1,1466,3,5,0
1,0,10,1,1466,3,4,0
15,0,70,1,1466,2,4,0
1,0,12,1,1466,2,4,1
3,0,59,1,1466,4,9,1
2,0,20,1,1466,3,6,0
2,0,10,1,1466,3,3,0
9,0,39,1,1466,2,4,0
25,0,201,2,244,5,11,0
1,0,9,0,1466,1,1,0
1,0,10,0,1466,1,2,0
1,0,102,0,1,9,17,1
1,0,123,0,479,5,9,1
1,0,193,0,762,8,22,0
1,0,190,0,762,6,9,0
1,0,10,0,1466,2,2,1
20,0,112,1,762,3,6,0
1,0,17,0,230,1,1,0
1,0,5,0,230,1,1,0
1,0,48,1,474,3,8,0
7,0,51,0,1466,1,1,0
1,0,27,0,4735,4,7,1
52,0,455,2,244,5,14,1
1,0,5,0,4735,1,1,1
3,0,31,0,230,1,1,0
1,0,21,0,1466,2,2,0
38,0,237,0,1466,2,3,0
1,0,6,0,1466,1,2,0
1,0,4,0,4735,1,1,1
1,0,5,0,4735,1,4,1
124,0,940,0,1466,2,4,0
51,0,61,0,479,2,2,0
14,0,80,0,319,2,2,0
1,0,15,0,34,2,2,0
10,0,60,0,1466,1,3,1
1,0,72,0,4735,1,2,0
9,0,50,0,34,2,2,0
27,0,167,0,1466,1,1,0
14,0,62,0,1466,3,4,0
11,0,136,0,1466,1,1,0
194,0,876,0,31,8,14,0
15,0,130,1,91,3,12,0
2,0,32,0,1466,2,2,0
1,0,23,0,1466,2,2,0
1,0,8,0,1466,2,2,0
1,0,26,0,474,2,5,1
1,0,10,0,1466,1,1,0
2,0,30,0,4735,1,1,0
6,0,82,0,4735,3,3,1
1,0,15,0,1466,2,3,0
16,0,130,0,1466,2,4,0
43,0,198,0,319,2,7,1
2,0,20,0,4735,1,1,0
1,0,14,0,4735,1,1,0
49,0,228,0,4735,3,16,1
1,0,64,0,474,2,3,0
1,0,4,0,4735,1,1,0
19,0,181,0,811,3,10,0
1,0,9,0,4735,1,1,0
1,0,52,0,811,2,2,0
1,0,30,0,4735,1,1,0
1,0,5,0,4735,1,1,0
3,0,48,0,1466,2,3,0
1,0,15,0,4735,1,2,0
1,0,13,0,4735,1,1,0
16,0,63,1,91,2,2,0
1,0,16,0,4735,1,1,0
1,0,9,0,762,1,1,0
1,0,13,1,36,1,1,0
1,0,17,0,1466,1,1,0
1,0,17,0,1466,1,1,0
1,0,38,0,474,3,4,0
1,0,53,0,230,3,8,1
1,0,19,0,4735,1,3,0
25,0,133,0,474,3,5,0
24,0,293,1,244,6,27,0
1,0,17,0,1466,1,1,0
23,0,197,1,244,4,9,0
1,0,17,0,31,2,2,0
10,0,101,0,4735,1,2,0
1,0,58,0,4735,1,1,0
5,0,582,0,36,7,13,1
1,0,18,0,319,2,3,0
1,0,8,0,1466,2,2,0
117,0,735,5,762,5,30,1
40,0,313,1,1466,3,16,1
1,0,53,0,4735,1,2,0
2,0,35,0,4735,1,1,0
1,0,21,0,4735,1,3,0
89,0,431,9,811,9,21,1
2,0,36,0,4735,1,1,0
83,0,394,1,811,3,11,1
2,0,35,0,4735,1,1,0
1,0,29,0,319,1,1,0
39,0,317,0,319,2,3,1
1,0,17,0,319,1,2,0
2,0,15,0,319,1,1,0
1,0,11,0,319,1,1,0
2,0,39,0,319,1,1,0
10,0,36,0,319,1,1,0
1,0,12,0,319,1,1,0
1,0,16,0,319,1,1,0
1,0,12,0,319,1,1,0
3,0,48,0,244,2,2,0
2,0,25,0,1466,1,1,0
2,0,31,0,230,3,4,0
1,0,34,0,319,1,1,0
1,0,10,0,811,1,1,0
24,0,172,0,9,2,3,1
1,0,12,0,4735,1,1,0
1,0,4,0,4735,1,1,0
9,0,107,0,474,5,9,0
1,0,20,0,244,2,2,0
1,0,64,0,1466,1,1,0
1,0,16,0,4735,2,4,0
7,0,70,0,4735,2,2,0
8,0,103,0,1466,4,7,0
1,0,5,0,474,1,1,0
6,0,59,0,1466,1,1,0
22,0,234,1,474,4,7,0
1,0,73,0,246,3,5,0
1,0,6,0,4735,1,1,0
1,0,5,0,18,2,2,1
23,0,218,0,319,3,9,0
1,0,38,0,1466,5,6,1
1,0,41,0,762,2,5,1
1,0,12,0,762,2,2,0
1,0,46,0,230,7,10,0
89,0,733,4,762,8,33,1
16,0,103,0,4735,1,1,0
1,0,16,0,1466,2,2,0
1,0,15,0,319,1,1,0
1,0,13,0,319,1,1,0
4,0,97,0,319,1,1,0
57,0,452,1,31,3,6,1
1,0,15,0,319,1,1,0
1,0,11,0,319,1,1,0
2,0,16,0,319,1,1,0
17,0,187,1,31,2,4,0
1,0,15,0,319,1,1,0
1,0,10,0,319,1,1,0
11,0,116,0,319,1,2,0
121,0,836,1,31,3,8,1
5,0,29,0,319,1,2,0
25,0,84,0,762,2,2,0
71,0,561,5,4735,5,46,1
4,0,57,0,4735,1,2,0
10,0,148,0,4735,1,7,0
1,0,7,1,4735,1,2,0
1,0,3,0,4735,1,1,0
1,0,37,0,4735,1,1,0
1,0,23,0,4735,1,1,0
1,0,14,0,4735,1,1,0
9,0,75,0,31,3,5,0
1,0,21,0,4735,1,2,0
1,0,8,0,4735,1,1,0
1,0,50,0,4735,1,1,0
2,0,31,0,1466,2,4,0
6,0,60,0,4735,1,1,0
1,0,7,1,4735,1,2,0
6,0,58,0,4735,1,3,0
6,0,60,0,4735,1,1,0
1,0,7,0,4735,1,1,0
23,0,316,0,762,3,11,1
1,0,97,0,474,2,3,0
1,0,8,0,4735,1,1,0
35,0,221,0,4735,3,5,1
2,0,30,0,319,1,1,0
1,0,18,0,319,1,1,0
38,0,206,0,319,1,1,0
1,0,5,0,319,1,1,0
1,0,8,0,319,1,1,0
4,0,57,0,319,1,1,0
1,0,25,1,1466,3,4,0
7,0,91,3,1466,4,14,0
9,0,99,3,1466,4,15,0
2,0,39,1,319,4,7,1
76,0,270,0,230,1,1,1
4,0,67,0,4735,1,1,1
10,0,101,1,4735,3,9,1
6,0,57,2,1466,2,7,0
4,0,20,1,1466,2,2,0
1,0,1,0,4735,1,2,0
1,0,27,0,4735,2,4,0
7,0,55,0,762,3,5,0
27,0,194,1,244,5,8,0
18,0,210,1,1466,2,8,1
65,0,371,4,762,7,23,1
1,0,79,0,4735,3,5,0
7,0,70,0,811,2,4,0
7,0,65,0,762,3,6,0
3,0,40,0,811,2,4,0
48,0,275,3,244,7,19,1
81,0,498,4,230,7,35,1
1,0,18,0,11,2,2,0
4,0,147,1,1466,8,18,0
3,0,63,0,762,5,10,0
8,0,49,1,479,3,4,0
1,0,1,0,11,2,2,0
8,0,81,1,762,6,14,0
1,0,27,0,811,2,3,0
9,0,153,2,1466,8,24,1
1,0,18,0,11,2,2,0
6,0,124,1,244,4,10,1
1,0,57,0,811,3,7,0
1,0,54,0,230,3,7,0
1,0,1,0,4735,1,2,0
13,0,169,2,230,5,15,0
1,0,18,0,11,2,2,0
5,0,125,0,1466,6,14,0
3,0,87,0,762,4,7,0
9,0,61,0,762,3,6,0
13,0,106,0,762,4,12,0
5,0,64,0,762,3,5,0
1,0,1,0,4735,1,2,0
11,0,113,0,762,4,12,0
1,0,15,0,4735,1,3,0
3,0,72,0,762,5,10,0
3,0,67,0,762,4,9,0
3,0,122,0,1466,6,14,1
1,0,16,0,762,1,1,0
8,0,159,1,762,5,10,0
7,0,99,0,762,4,8,0
6,0,69,0,811,3,4,0
1,0,1,0,762,1,1,0
9,0,124,2,36,9,21,1
1,0,18,0,11,2,2,0
14,0,181,0,244,6,12,1
5,0,88,0,479,5,9,1
1,0,82,0,1466,3,8,0
1,0,18,0,11,2,2,0
6,0,66,0,811,2,3,0
69,0,351,2,1466,8,20,1
3,0,47,0,811,3,5,1
5,0,116,0,811,2,4,0
14,0,149,0,762,4,9,1
7,0,71,0,762,2,4,0
1,0,1,0,4735,1,2,0
6,0,81,0,1466,6,17,1
14,0,123,1,762,7,15,1
8,0,99,0,1466,6,18,1
1,0,18,0,11,2,2,0
40,0,397,3,244,8,26,1
1,0,145,0,1466,5,10,0
1,0,54,0,4735,4,8,0
1,0,1,0,4735,1,2,0
21,0,240,3,4735,7,26,0
1,0,19,0,11,2,2,0
28,0,390,3,762,7,18,0
1,0,116,1,34,6,9,0
1,0,1,0,4735,1,2,0
35,0,292,6,34,9,26,1
1,0,18,0,1466,2,2,0
92,0,317,0,1466,2,8,1
1,0,27,0,1466,2,3,0
7,0,115,0,1466,2,4,0
1,0,18,0,11,2,2,0
10,0,174,0,1466,5,21,0
4,0,147,0,1466,5,21,0
20,0,219,1,762,4,16,0
1,0,72,0,1466,2,6,1
12,0,140,0,1466,2,12,0
21,0,210,0,762,2,11,0
