McCC,CLOC,LLOC,Number of previous fixes,Number of committers,Number of previous modifications,Number of developer commits,target
45,0,385,7,13,354,648,1
3,0,62,0,5,13,1840,0
1,0,53,0,7,28,1840,0
8,0,171,0,8,48,1840,1
5,0,72,0,7,32,648,0
1,0,17,0,2,2,648,0
3,0,39,1,4,13,648,0
5,0,24,0,1,2,1840,0
6,0,39,2,2,8,648,1
8,0,53,1,2,9,648,0
2,0,24,0,5,8,1840,0
14,0,73,0,1,1,1840,0
2,0,24,0,5,8,1840,0
19,0,90,1,4,9,648,0
3,0,28,0,3,5,1840,0
1,0,27,0,4,10,1840,0
13,0,72,0,3,7,648,0
5,0,55,0,3,6,648,0
9,0,60,1,2,7,648,0
14,0,79,0,3,5,1840,0
152,0,569,6,8,96,648,1
19,0,97,0,5,9,648,0
69,0,345,7,12,204,648,1
6,0,71,0,5,34,1840,0
3,0,43,0,4,12,258,1
1,0,23,0,5,19,1840,1
11,0,59,0,4,7,55,0
85,0,706,1,5,35,648,1
129,0,992,1,5,43,1840,1
1,0,6,0,1,1,1840,0
100,0,255,1,12,166,648,1
123,0,453,7,8,168,648,1
62,0,271,7,6,55,648,1
117,0,455,12,8,257,648,1
3,0,33,0,7,17,648,0
5,0,47,1,4,50,1840,0
10,0,94,2,6,14,648,0
20,0,281,0,5,8,1840,0
63,0,355,4,10,90,648,0
16,0,100,0,5,30,1840,0
2,0,16,0,1,1,648,0
4,0,25,1,2,4,648,0
1,0,14,0,2,2,55,0
2,0,18,0,3,6,55,0
4,0,25,0,3,7,648,1
1,0,24,0,6,20,1840,0
89,0,198,1,4,21,1840,1
17,0,131,2,7,42,648,0
2,0,36,0,1,1,648,0
11,0,139,0,2,8,648,1
19,0,101,2,5,16,648,1
43,0,305,0,4,14,648,0
201,0,428,0,3,24,1840,0
2,0,14,0,2,3,1840,0
10,0,22,0,2,3,648,0
15,0,82,7,10,111,648,1
24,0,120,2,4,15,1840,0
39,0,218,0,2,2,648,0
16,0,86,0,5,19,648,0
2,0,137,2,10,80,648,0
12,0,74,0,4,12,1840,0
1,0,7,0,1,1,1840,0
1,0,7,0,1,1,1840,0
1,0,12,0,2,3,1840,0
18,0,105,0,3,10,648,0
6,0,47,1,3,4,648,0
10,0,58,0,2,2,55,1
3,0,29,0,2,5,1840,0
6,0,43,1,4,14,648,0
4,0,30,0,3,4,1840,0
2,0,36,1,2,8,1840,0
2,0,36,1,3,7,1840,0
5,0,38,0,1,1,1840,1
21,0,114,6,4,22,648,0
3,0,40,1,3,8,1840,0
20,0,130,3,4,21,648,0
8,0,53,0,3,8,1840,0
20,0,104,0,2,4,1840,0
8,0,53,0,3,8,1840,0
4,0,31,0,2,5,1840,0
3,0,29,1,3,6,1840,0
5,0,40,0,2,4,1840,0
51,0,197,4,8,53,648,1
6,0,37,0,2,5,1840,0
4,0,31,0,2,3,1840,0
2,0,26,2,4,4,232,0
17,0,99,1,3,17,1840,0
6,0,49,1,3,11,1840,0
11,0,71,0,3,9,1840,0
11,0,57,3,3,11,1840,0
5,0,42,1,3,7,648,0
14,0,60,0,3,5,1840,0
3,0,31,0,2,3,1840,0
7,0,46,1,2,5,1840,0
13,0,48,0,2,3,648,0
9,0,46,0,1,1,648,0
17,0,90,2,5,24,648,0
8,0,54,0,4,6,208,0
14,0,79,3,8,41,648,0
6,0,49,0,4,12,1840,0
17,0,93,2,8,34,648,0
13,0,74,1,7,47,208,0
10,0,79,0,3,3,1840,0
44,0,177,0,1,1,648,0
12,0,73,1,7,45,208,1
17,0,92,1,7,51,208,0
6,0,49,0,7,36,208,0
29,0,159,1,9,75,55,0
36,0,128,1,7,48,208,0
22,0,120,1,8,52,648,0
35,0,127,1,7,70,648,0
14,0,126,0,5,18,648,0
14,0,83,1,3,6,1840,0
16,0,94,0,5,9,208,0
14,0,81,2,7,45,208,0
27,0,138,1,8,49,648,0
20,0,102,1,7,53,208,0
13,0,74,0,8,44,208,0
48,0,199,0,3,11,648,1
6,0,27,0,2,3,648,0
6,0,27,0,2,3,648,0
11,0,76,1,4,28,1840,0
14,0,83,0,3,12,1840,0
9,0,48,0,2,7,1840,0
11,0,88,0,2,11,1840,0
6,0,27,0,2,3,648,0
6,0,27,0,2,3,648,0
4,0,32,0,3,3,1840,0
87,0,350,2,4,21,1840,1
1,0,18,0,1,2,1840,0
5,0,20,0,1,1,1840,0
1,0,12,0,4,8,1,0
1,0,9,0,1,1,258,0
2,0,14,0,2,2,1840,0
1,0,20,0,3,9,1840,0
1,0,36,0,2,3,1840,0
1,0,20,0,2,9,1840,0
6,0,33,0,1,2,1840,0
37,0,269,1,3,18,648,0
6,0,43,0,2,2,1840,0
1,0,52,0,1,1,1840,0
4,0,21,0,1,2,1840,0
76,0,592,2,8,65,1840,1
15,0,147,2,6,49,208,1
17,0,149,0,5,8,208,0
1,0,54,0,2,2,648,0
16,0,179,0,6,24,648,0
7,0,43,0,1,1,258,0
1,0,22,0,1,1,648,0
1,0,7,0,3,6,1840,0
1,0,7,0,3,5,648,0
1,0,7,0,2,3,1840,0
2,0,18,0,2,2,1840,0
1,0,7,0,1,2,1840,0
1,0,38,0,2,4,258,0
1,0,10,1,5,8,1840,0
1,0,59,1,5,10,258,0
1,0,16,1,5,8,1840,0
1,0,39,0,4,10,1840,0
1,0,8,0,2,2,1840,0
1,0,20,0,1,1,648,0
1,0,20,1,4,12,648,0
1,0,24,0,4,9,648,0
1,0,9,0,4,6,258,0
1,0,10,0,4,4,258,0
1,0,8,0,2,4,1840,1
1,0,8,0,2,4,1840,1
1,0,9,0,1,1,1840,0
1,0,8,0,3,4,258,0
1,0,10,0,1,1,1840,0
1,0,28,0,1,1,648,0
1,0,44,0,1,3,1840,0
2,0,51,0,1,1,648,0
2,0,53,0,3,5,258,0
1,0,40,0,1,1,648,0
1,0,27,0,3,4,258,0
1,0,48,0,1,1,648,0
1,0,29,0,4,10,1840,0
19,0,93,0,1,7,648,0
3,0,29,0,5,12,648,0
8,0,54,0,3,10,1840,0
3,0,32,2,5,13,648,0
6,0,56,0,4,8,1840,0
1,0,26,0,1,1,1840,0
6,0,73,0,3,9,1840,0
2,0,19,0,2,2,648,1
3,0,18,0,3,4,208,1
2,0,13,0,2,4,1840,0
7,0,45,2,2,9,1840,0
5,0,45,0,2,6,1840,0
8,0,35,2,3,9,1840,0
1,0,13,0,3,5,1840,0
2,0,11,0,1,1,55,0
2,0,20,0,1,1,1840,0
9,0,60,0,2,6,1840,0
7,0,33,2,3,7,648,0
13,0,82,3,3,11,648,0
8,0,48,0,1,2,648,0
3,0,31,0,2,3,1840,0
12,0,74,0,2,3,1840,0
