McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of committers,Number of developer commits,target
18,0,112,0,15,0,0,0
1,0,126,0,25,6,1345,0
5,0,56,0,11,3,16,0
6,0,57,0,6,0,0,0
33,0,410,0,54,5,16,1
237,0,1574,0,228,9,3122,1
4,0,23,0,7,3,16,0
1,0,371,0,68,8,3122,0
1,0,13,0,3,0,0,0
3,0,22,0,62,2,3122,0
1,0,7,0,3,0,0,0
41,0,337,0,77,5,3122,0
2,0,16,0,3,0,0,0
1,0,15,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
5,0,80,0,33,0,0,0
1,0,20,0,3,0,0,0
5,0,45,0,3,0,0,0
14,0,159,1,18,2,33,0
14,0,94,0,36,2,6,0
20,0,81,0,29,2,6,0
39,0,165,0,26,4,16,0
1,0,5,0,3,0,0,0
1,0,18,0,12,3,16,0
1,0,4,0,1,0,0,0
1,0,3,0,1,0,0,0
1,0,13,0,15,4,16,0
2,0,51,0,23,4,16,0
1,0,11,0,2,0,0,0
8,0,45,0,2,0,0,0
5,0,62,0,9,0,0,0
1,0,4,0,2,0,0,0
1,0,6,0,3,0,0,0
1,0,17,0,1,0,0,0
1,0,16,0,16,4,16,0
9,0,100,0,25,4,16,0
1,0,5,0,3,0,0,0
1,0,12,0,16,3,16,0
1,0,6,0,13,5,16,0
17,0,126,0,35,5,1345,0
1,0,5,0,4,1,3122,0
1,0,27,0,2,0,0,0
1,0,4,0,2,0,0,0
10,0,54,0,8,0,0,0
33,0,402,1,193,6,3122,1
1,0,7,0,3,0,0,0
1,0,12,0,4,0,0,0
42,0,340,0,85,7,3122,1
1,0,23,0,9,0,0,0
1,0,11,0,4,0,0,0
1,0,32,0,5,5,16,0
1,0,13,0,4,0,0,0
1,0,24,0,4,0,0,0
1,0,6,0,4,0,0,0
1,0,6,0,1,0,0,0
1,0,5,0,10,0,0,0
1,0,49,0,1,0,0,0
4,0,43,0,13,4,16,0
2,0,30,0,5,0,0,0
1,0,84,0,69,7,3122,0
1,0,73,0,42,6,16,0
12,0,62,0,7,0,0,0
1,0,5,0,6,0,0,0
1,0,13,0,6,0,0,0
16,0,123,0,27,5,33,0
10,0,92,0,20,4,16,0
1,0,6,0,5,0,0,0
12,0,41,0,2,0,0,0
4,0,36,0,8,1,3122,0
12,0,304,0,83,6,3122,0
1,0,5,0,5,0,0,0
1,0,5,0,2,0,0,0
3,0,273,0,68,7,3122,0
1,0,5,0,2,0,0,0
3,0,13,0,4,0,0,0
1,0,11,0,11,0,0,0
4,0,45,0,11,0,0,0
1,0,10,0,5,0,0,0
3,0,17,0,3,0,0,0
29,0,86,0,11,5,16,0
13,0,91,0,22,4,16,0
5,0,50,0,3,0,0,0
1,0,4,0,3,0,0,0
1,0,9,0,3,3,33,0
1,0,11,0,2,0,0,0
2,0,72,0,12,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,20,0,2,0,0,0
1,0,11,0,1,0,0,0
1,0,11,0,2,0,0,0
1,0,7,0,3,0,0,0
4,0,45,0,5,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,19,0,5,0,0,0
1,0,11,0,4,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,10,0,1,0,0,0
1,0,10,0,1,0,0,0
1,0,11,0,2,0,0,0
1,0,10,0,2,0,0,0
1,0,28,0,3,0,0,0
129,0,458,0,56,6,3122,1
1,0,18,0,5,0,0,0
41,0,187,0,18,5,16,0
2,0,21,0,3,0,0,0
1,0,17,0,9,1,1345,0
26,0,134,0,9,1,1345,0
1,0,13,0,12,6,16,0
5,0,109,0,10,4,16,0
7,0,90,0,8,4,6,0
4,0,81,0,9,4,6,0
1,0,37,0,5,1,1345,0
65,0,365,0,14,4,6,0
25,0,211,0,50,1,1345,0
1,0,24,0,15,0,0,0
9,0,46,0,2,0,0,0
97,0,485,0,35,2,3122,1
51,0,353,0,9,0,0,0
14,0,96,0,4,0,0,0
1,0,33,0,51,5,3122,1
7,0,208,0,35,6,3122,1
1,0,5,0,2,0,0,0
1,0,19,0,6,0,0,0
27,0,108,0,2,0,0,0
1,0,8,0,5,0,0,0
3,0,35,0,19,5,16,1
