McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of developer commits,Number of committers,target
86,0,963,8,65,4057,4,1
21,0,157,2,13,4057,3,0
1,0,47,1,8,4057,2,0
19,0,106,2,14,1649,2,0
4,0,601,0,6,4057,1,0
1,0,166,2,50,4057,5,0
1,0,23,2,9,4057,2,0
1,0,15,0,8,4057,2,0
17,0,172,0,7,4057,3,0
6,0,88,0,4,4057,2,0
5,0,64,0,5,4057,1,0
48,0,294,0,17,4057,3,1
137,0,1250,3,66,4057,6,1
3,0,63,1,12,4057,2,0
2,0,229,4,31,1649,4,0
19,0,697,1,21,4057,2,0
43,0,481,0,1,1649,1,0
1,0,1,0,11,4057,3,0
43,0,341,3,19,1649,2,0
29,0,261,1,5,4057,2,0
16,0,96,0,3,1649,2,0
11,0,117,2,19,4057,2,0
20,0,196,2,13,4057,2,1
16,0,307,4,14,4057,2,0
7,0,248,4,15,4057,2,0
33,0,316,6,21,4057,2,1
20,0,138,0,3,4057,1,0
1,0,10,0,1,4057,1,1
3,0,239,5,31,1649,5,0
13,0,261,4,11,4057,3,0
16,0,100,1,3,4057,2,0
4,0,59,0,4,4057,1,0
8,0,228,5,37,1649,4,0
9,0,695,6,45,4057,4,0
94,0,494,2,35,1649,5,0
2,0,27,2,11,4057,2,0
42,0,486,8,31,4057,3,1
17,0,356,5,18,1649,2,1
53,0,412,6,16,4057,2,1
4,0,62,1,15,4057,2,0
2,0,670,1,8,4057,3,0
149,0,1682,5,22,1649,3,0
9,0,614,8,32,1649,5,0
1,0,6,0,1,1649,1,0
1,0,20,1,2,1649,1,0
1,0,24,0,2,4057,2,0
1,0,14,1,1,1649,1,0
11,0,168,0,2,4,2,0
1,0,41,0,4,1649,2,0
11,0,147,0,5,4057,3,0
1,0,34,0,3,4,3,0
1,0,35,1,3,1649,1,0
1,0,17,0,1,1649,1,0
2,0,193,0,2,4057,2,0
1,0,6,0,1,1649,1,0
1,0,20,1,2,1649,1,0
1,0,16,0,1,1649,1,0
1,0,14,1,1,1649,1,0
1,0,17,1,1,4057,1,0
1,0,15,1,1,4057,1,0
1,0,17,1,1,4057,1,0
1,0,16,1,1,4057,1,0
1,0,8,1,1,1649,1,0
1,0,135,1,2,5,2,0
3,0,146,2,4,1649,2,0
1,0,15,1,2,4,2,0
1,0,63,2,4,1649,1,0
22,0,469,1,12,1649,3,0
1,0,20,0,1,1649,1,0
2,0,70,2,33,4057,3,0
29,0,170,13,62,2,4,1
1,0,15,0,5,4057,2,0
1,0,15,0,7,4057,3,0
1,0,15,0,6,4057,3,0
7,0,53,1,6,4057,2,0
35,0,186,1,21,1649,3,1
1,0,17,0,6,72,2,0
1,0,15,0,6,4057,3,0
4,0,29,2,24,1649,3,0
27,0,196,4,25,1649,3,0
16,0,75,0,19,1649,4,0
17,0,94,1,8,1649,2,0
7,0,69,3,32,4057,3,0
1,0,60,3,45,4057,4,0
5,0,50,7,55,4057,3,0
8,0,64,8,52,4057,3,0
1,0,1,0,5,4057,3,0
1,0,15,0,5,72,3,0
19,0,112,12,65,4057,3,1
20,0,825,4,58,4057,4,0
1,0,15,0,7,4057,3,0
6,0,35,0,6,1649,3,0
30,0,208,1,15,1649,3,0
2,0,27,1,18,4057,3,0
1,0,133,0,5,72,2,0
2,0,31,0,17,4057,3,0
1,0,1,0,6,4057,2,0
1,0,16,2,21,1649,3,0
1,0,17,0,25,4057,3,0
1,0,1,0,6,4057,2,0
1,0,16,1,6,4057,3,0
2,0,94,0,1,17,1,0
1,0,16,0,1,4057,1,0
55,0,283,1,5,4057,2,1
24,0,196,3,23,1649,3,0
18,0,113,1,9,4057,4,0
30,0,227,3,20,4057,4,0
1,0,1,0,7,4057,2,0
73,0,413,2,11,17,2,0
25,0,134,1,13,4057,3,0
8,0,70,1,13,4057,3,0
15,0,90,0,8,5,4,0
1,0,6,0,19,4057,3,0
1,0,13,0,24,4057,3,0
11,0,58,1,11,4057,3,0
1,0,7,0,5,3,3,0
4,0,47,0,8,4057,3,0
1,0,31,0,15,4057,3,0
8,0,64,2,18,4057,3,0
1,0,22,0,8,1649,3,0
2,0,26,1,6,4057,2,0
1,0,17,0,3,72,2,0
1,0,17,0,3,72,2,0
5,0,66,0,9,4057,3,0
1,0,6,0,3,72,2,0
2,0,39,0,12,1649,3,0
1,0,26,0,10,1649,3,0
1,0,1,0,6,72,3,0
2,0,23,0,3,72,2,0
2,0,23,0,3,72,2,0
1,0,6,0,4,72,2,0
1,0,1,0,6,4057,2,0
6,0,65,1,21,4057,3,0
3,0,27,3,23,4057,3,0
6,0,35,1,18,4057,3,0
1,0,22,0,15,4057,3,0
2,0,21,0,3,4057,1,0
2,0,15,0,3,4057,1,0
1,0,4,0,3,4057,1,0
3,0,43,0,10,4057,2,0
6,0,51,0,7,72,2,0
5,0,28,1,6,72,2,0
6,0,52,2,22,4057,3,0
2,0,30,0,11,1649,2,0
6,0,146,0,6,4057,1,0
1,0,25,0,14,4057,3,0
4,0,110,0,10,72,2,0
1,0,1,0,4,4057,1,0
3,0,68,0,4,4057,1,0
1,0,13,0,5,1649,2,0
1,0,13,0,5,1649,2,0
1,0,1,0,5,4057,1,0
2,0,28,1,19,4057,3,0
3,0,31,0,25,1649,3,0
1,0,1,0,1,2,1,0
51,0,128,0,3,2,2,1
1,0,84,0,4,2,3,0
1,0,67,0,6,1649,4,0
5,0,58,1,3,4057,2,0
4,0,74,0,5,1649,3,0
