McCC,CLOC,LLOC,Number of previous fixes,Number of committers,Number of previous modifications,Number of developer commits,target
5,0,96,0,2,16,1077,0
6,0,60,0,1,4,1077,0
8,0,85,0,1,3,1077,0
1,0,19,0,1,5,1077,0
4,0,20,0,1,1,1077,0
28,0,355,0,2,9,1077,0
4,0,52,0,1,2,1077,0
15,0,192,0,1,5,1077,0
7,0,63,0,1,2,1077,0
11,0,191,0,2,11,1077,0
41,0,241,0,2,9,1077,0
19,0,201,0,1,3,1077,0
25,0,272,0,2,7,1077,0
44,0,606,5,3,28,1077,0
8,0,99,0,2,6,1077,0
1,0,30,0,1,5,1077,0
1,0,26,0,1,4,1077,0
6,0,88,0,1,4,1077,0
2,0,34,0,1,1,1077,0
7,0,105,0,1,11,1077,0
6,0,47,0,1,3,1077,0
1,0,19,0,1,1,1077,0
1,0,22,0,1,6,1077,0
2,0,38,0,2,5,1615,0
2,0,35,0,1,2,1077,0
9,0,122,0,1,1,1077,0
3,0,29,0,1,1,1077,0
9,0,75,0,1,1,1077,0
1,0,24,0,2,15,1077,0
1,0,30,0,2,18,1077,0
1,0,24,0,2,12,1077,0
1,0,18,0,2,7,1077,0
1,0,24,0,2,9,1077,0
1,0,18,0,2,7,1077,0
23,0,237,0,1,2,1077,0
1,0,28,0,2,7,1077,0
1,0,22,0,2,5,1077,0
1,0,23,0,1,1,1077,0
1,0,16,0,2,5,1077,0
1,0,17,0,2,7,1077,0
1,0,11,0,2,5,1077,0
1,0,22,0,2,18,1077,0
1,0,21,0,2,9,1077,0
1,0,16,0,2,5,1077,0
1,0,22,0,1,1,1077,0
1,0,15,0,2,6,1077,0
1,0,17,0,2,5,1077,0
1,0,15,0,2,4,1077,0
1,0,23,0,2,2,1077,0
2,0,17,0,1,1,1077,0
1,0,18,0,1,4,1077,0
1,0,15,0,2,5,1077,0
1,0,12,0,2,5,1077,0
10,0,131,0,1,2,1077,0
2,0,53,0,1,2,1077,0
5,0,52,0,1,1,1077,0
1,0,21,0,1,1,1077,0
1,0,22,0,2,7,1077,0
1,0,22,0,2,11,1077,0
1,0,15,0,1,1,1077,0
1,0,16,0,2,6,1077,0
1,0,8,0,2,4,1077,0
1,0,8,0,2,4,1077,0
1,0,8,0,2,4,1077,0
1,0,20,0,2,7,1077,0
1,0,20,0,2,7,1077,0
1,0,20,0,2,7,1077,0
1,0,8,0,1,1,1077,0
1,0,8,0,1,6,1615,0
1,0,15,0,1,1,1077,0
1,0,14,0,2,9,1077,0
1,0,8,0,2,4,1077,0
1,0,8,0,1,2,1077,0
1,0,8,0,1,2,1077,0
1,0,33,1,3,5,1615,0
4,0,50,0,1,1,1077,0
3,0,72,0,1,1,1077,0
11,0,146,0,3,5,731,0
1,0,11,0,1,1,1077,0
1,0,13,0,1,1,1077,0
6,0,28,0,1,1,1077,0
1,0,4,0,1,1,1077,0
1,0,29,0,2,2,87,0
1,0,27,0,1,1,1077,0
8,0,69,0,1,1,1077,0
1,0,3,0,1,1,1077,0
