McCC,CLOC,LLOC,Number of previous fixes,Number of developer commits,Number of committers,Number of previous modifications,target
17,0,84,0,4735,1,2,0
1,0,9,0,4735,1,2,0
1,0,17,0,4735,1,2,0
1,0,12,0,4735,1,2,0
1,0,9,0,4735,1,2,0
1,0,12,0,4735,1,2,0
1,0,14,0,4735,1,3,0
1,0,9,0,4735,1,2,0
1,0,4,0,4735,1,2,0
13,0,61,0,4735,1,2,1
18,0,119,0,4735,2,14,0
1,0,9,0,11,2,5,0
1,0,15,0,4735,1,2,0
1,0,5,0,4735,1,2,0
5,0,184,0,4735,2,3,0
1,0,7,0,4735,1,2,0
1,0,6,0,11,2,2,0
3,0,31,0,4735,1,2,0
1,0,4,0,4735,1,2,0
1,0,12,0,4735,1,2,0
1,0,23,0,11,2,2,0
1,0,5,0,4735,1,2,0
1,0,11,0,4735,1,2,0
1,0,6,0,4735,1,2,0
1,0,7,0,4735,1,2,0
1,0,22,0,4735,1,2,0
1,0,8,0,4735,1,2,0
15,0,70,0,4735,1,2,0
1,0,12,0,4735,1,2,0
2,0,48,0,11,2,2,0
2,0,20,0,11,2,4,0
2,0,10,0,11,2,2,0
9,0,39,0,4735,1,2,0
25,0,200,0,4735,2,5,0
1,0,10,0,11,2,3,0
1,0,79,0,4735,3,7,0
1,0,56,0,11,2,3,0
1,0,136,0,11,3,6,0
1,0,150,0,11,2,2,0
20,0,108,0,4735,1,1,1
1,0,19,0,4735,1,1,0
2,0,179,0,4735,1,1,0
5,0,60,0,4735,1,2,0
48,0,341,0,4735,1,1,0
1,0,18,0,4735,1,2,0
1,0,15,0,4735,1,2,0
16,0,129,0,4735,1,2,0
43,0,196,0,4735,1,6,0
2,0,20,0,4735,1,1,0
1,0,14,0,4735,1,1,0
52,0,233,0,4735,2,5,0
1,0,50,0,4735,1,1,0
15,0,172,0,4735,1,3,0
1,0,58,0,4735,1,1,0
3,0,48,0,4735,1,1,0
2,0,19,0,4735,1,1,0
1,0,33,0,4735,1,1,0
1,0,39,0,4735,1,2,0
1,0,18,0,4735,1,1,0
11,0,74,0,4735,1,1,0
17,0,295,0,4735,1,3,0
1,0,143,1,4735,2,2,0
2,0,16,0,4735,1,1,0
3,0,48,0,4735,1,1,0
28,0,180,0,4735,1,1,0
10,0,101,0,4735,1,1,0
1,0,58,0,4735,1,1,0
1,0,53,0,4735,1,2,0
2,0,35,0,4735,1,1,0
1,0,21,0,4735,1,2,0
45,0,251,0,4735,1,1,0
2,0,36,0,4735,1,1,0
56,0,287,0,4735,2,6,0
2,0,35,0,4735,1,1,0
24,0,172,0,4735,1,2,0
1,0,12,0,4735,1,1,0
1,0,4,0,4735,1,1,0
23,0,221,0,4735,1,1,0
1,0,6,0,4735,1,1,0
20,0,170,0,4735,1,1,0
1,0,11,0,4735,1,1,0
1,0,38,0,4735,1,1,0
35,0,430,0,4735,1,10,0
4,0,57,0,4735,1,2,0
1,0,12,0,4735,1,1,0
7,0,127,0,4735,1,3,0
8,0,67,0,4735,1,1,0
1,0,50,0,4735,1,1,0
3,0,33,0,4735,1,1,0
20,0,309,0,4735,1,1,0
1,0,99,0,4735,1,1,0
1,0,20,0,4735,1,2,0
4,0,70,0,11,2,4,1
1,0,15,0,11,2,2,0
6,0,77,0,11,2,4,1
4,0,28,0,4735,1,3,0
1,0,6,0,4735,1,2,0
50,0,307,1,4735,2,10,0
4,0,31,0,4735,1,3,0
50,0,236,0,4735,1,2,0
17,0,55,0,4735,1,2,0
40,0,174,1,11,2,5,0
1,0,13,1,4735,1,3,0
11,0,59,0,4735,1,2,0
15,0,71,0,4735,1,2,0
9,0,75,0,11,2,2,0
1,0,1,0,4735,1,2,0
1,0,23,0,11,2,2,0
5,0,50,0,4735,1,2,0
21,0,190,0,4735,1,2,0
46,0,229,0,4735,2,5,0
1,0,59,0,11,2,2,0
7,0,74,0,4735,1,2,0
6,0,60,0,4735,1,2,0
3,0,38,0,4735,1,2,0
38,0,239,0,11,2,6,1
43,0,280,0,4735,2,9,1
1,0,18,0,11,2,2,0
11,0,207,0,11,2,5,0
1,0,55,0,11,2,2,0
1,0,32,0,4735,1,2,0
1,0,1,0,11,2,2,0
8,0,87,0,11,2,5,0
1,0,27,0,4735,1,2,0
5,0,99,0,11,2,7,0
1,0,18,0,11,2,2,0
8,0,157,0,11,2,4,0
1,0,64,0,11,2,3,0
1,0,68,0,4735,1,2,0
1,0,1,0,4735,1,2,0
14,0,167,1,11,2,6,1
1,0,18,0,11,2,2,0
10,0,190,0,11,2,6,0
1,0,83,0,11,2,2,0
3,0,43,0,4735,1,2,0
13,0,106,0,11,2,5,0
1,0,54,0,4735,1,2,0
1,0,1,0,4735,1,2,0
14,0,121,0,11,2,5,0
1,0,14,0,4735,1,2,0
3,0,55,0,11,2,5,0
3,0,60,0,11,2,6,0
3,0,82,0,11,2,6,0
1,0,18,0,11,2,2,0
17,0,173,0,11,2,4,0
1,0,57,0,11,2,3,0
1,0,96,0,4735,1,2,0
1,0,18,0,11,2,2,0
6,0,84,0,4735,1,2,0
43,0,268,0,11,2,4,0
3,0,50,0,11,2,2,0
7,0,133,0,4735,1,2,0
16,0,134,0,4735,1,2,0
7,0,69,0,4735,1,2,0
1,0,1,0,4735,1,2,0
4,0,75,0,11,2,7,0
10,0,115,0,11,2,6,0
6,0,86,0,11,2,8,0
1,0,18,0,11,2,2,0
51,0,485,0,11,2,5,0
1,0,156,0,11,2,3,0
11,0,101,0,4735,1,2,0
1,0,1,0,4735,1,2,0
23,0,246,1,11,2,7,1
