McCC,CLOC,PDA,PUA,LLOC,LOC,ID.1,LongName.1,Parent.1,McCC.1,CLOC.1,LLOC.1,Number of previous fixes,Number of committers,Number of previous modifications,Number of developer commits,target
21,0,0,13,192,234,284,0,62,21.0,0.0,192.0,0.0,4.0,35.0,142.0,0
23,0,0,11,223,292,285,1,62,23.0,0.0,223.0,0.0,5.0,60.0,142.0,0
9,0,0,6,81,101,286,2,62,9.0,0.0,81.0,0.0,4.0,27.0,142.0,0
1,0,0,5,22,30,37,3,15,1.0,0.0,22.0,0.0,3.0,8.0,53.0,0
6,0,1,7,66,85,41,4,17,6.0,0.0,66.0,0.0,4.0,11.0,142.0,0
1,0,0,5,25,36,291,5,64,1.0,0.0,25.0,0.0,3.0,9.0,1615.0,0
1,0,0,2,11,18,292,6,64,1.0,0.0,11.0,0.0,3.0,8.0,53.0,0
1,0,0,2,12,18,293,7,64,1.0,0.0,12.0,0.0,3.0,8.0,53.0,0
1,0,0,5,24,35,294,8,64,1.0,0.0,24.0,0.0,3.0,9.0,1615.0,0
1,0,0,2,10,15,68,9,26,1.0,0.0,10.0,0.0,3.0,3.0,53.0,0
1,0,0,2,10,16,69,10,26,1.0,0.0,10.0,0.0,3.0,3.0,53.0,0
3,0,0,4,55,71,70,11,26,3.0,0.0,55.0,1.0,4.0,14.0,1615.0,0
1,0,0,2,10,15,71,12,26,1.0,0.0,10.0,0.0,3.0,3.0,53.0,0
1,0,0,2,11,16,72,13,26,1.0,0.0,11.0,0.0,3.0,3.0,53.0,0
1,0,1,1,13,22,73,14,26,1.0,0.0,13.0,0.0,3.0,4.0,53.0,0
17,0,2,10,199,291,918,15,173,17.0,0.0,199.0,0.0,4.0,108.0,1615.0,0
8,0,1,4,46,60,923,16,173,8.0,0.0,46.0,0.0,3.0,4.0,53.0,0
1,0,0,4,6,11,924,17,173,1.0,0.0,6.0,0.0,3.0,4.0,53.0,0
1,0,0,6,42,54,920,18,173,1.0,0.0,42.0,0.0,4.0,29.0,1077.0,0
15,0,0,12,268,359,958,19,179,15.0,0.0,268.0,0.0,4.0,25.0,142.0,0
47,0,0,11,420,645,959,20,179,47.0,0.0,420.0,0.0,5.0,141.0,1615.0,0
41,0,0,11,363,512,98,21,31,41.0,0.0,363.0,0.0,4.0,87.0,142.0,0
38,0,2,9,274,385,99,22,31,38.0,0.0,274.0,0.0,4.0,113.0,142.0,0
39,0,3,18,389,537,138,23,42,39.0,0.0,389.0,0.0,4.0,90.0,142.0,0
55,0,2,11,458,628,139,24,42,55.0,0.0,458.0,0.0,4.0,129.0,1077.0,0
3,0,1,7,36,55,207,25,51,3.0,0.0,36.0,0.0,4.0,16.0,53.0,0
12,0,3,16,156,216,208,26,51,12.0,0.0,156.0,0.0,4.0,38.0,1077.0,1
4,0,2,1,24,65,209,27,51,4.0,0.0,24.0,0.0,4.0,15.0,53.0,0
4,0,1,3,38,88,248,28,57,4.0,0.0,38.0,0.0,3.0,8.0,1077.0,0
9,0,1,5,99,137,249,29,57,9.0,0.0,99.0,0.0,4.0,9.0,53.0,0
1,0,1,1,8,22,825,30,157,1.0,0.0,8.0,0.0,4.0,6.0,53.0,0
8,0,2,13,134,184,52,31,22,8.0,0.0,134.0,1.0,4.0,65.0,1615.0,0
1,0,1,3,18,29,42,32,18,1.0,0.0,18.0,0.0,4.0,11.0,142.0,0
1,0,1,1,23,32,43,33,18,1.0,0.0,23.0,0.0,4.0,6.0,142.0,0
1,0,1,2,27,39,44,34,18,1.0,0.0,27.0,0.0,4.0,13.0,142.0,0
3,0,0,10,102,137,925,35,175,3.0,0.0,102.0,0.0,4.0,16.0,142.0,0
3,0,1,3,59,84,926,36,175,3.0,0.0,59.0,0.0,2.0,2.0,1077.0,0
1,0,0,2,25,35,927,37,175,1.0,0.0,25.0,0.0,1.0,2.0,1615.0,0
1,0,0,4,20,26,960,38,180,1.0,0.0,20.0,0.0,4.0,13.0,142.0,0
1,0,0,3,16,22,961,39,180,1.0,0.0,16.0,0.0,4.0,11.0,142.0,0
1,0,0,3,19,26,962,40,180,1.0,0.0,19.0,0.0,4.0,15.0,142.0,0
1,0,0,3,16,22,963,41,180,1.0,0.0,16.0,0.0,4.0,11.0,142.0,0
1,0,0,3,17,22,964,42,180,1.0,0.0,17.0,0.0,2.0,3.0,1077.0,0
1,0,0,4,22,29,965,43,180,1.0,0.0,22.0,0.0,4.0,11.0,142.0,0
1,0,0,3,15,20,100,44,32,1.0,0.0,15.0,0.0,4.0,10.0,53.0,0
1,0,0,2,11,15,101,45,32,1.0,0.0,11.0,0.0,3.0,8.0,53.0,0
1,0,0,3,19,25,102,46,32,1.0,0.0,19.0,0.0,4.0,15.0,142.0,0
1,0,0,2,11,16,103,47,32,1.0,0.0,11.0,0.0,3.0,8.0,53.0,0
1,0,0,5,34,43,104,48,32,1.0,0.0,34.0,0.0,4.0,11.0,142.0,0
2,0,0,4,24,31,140,49,43,2.0,0.0,24.0,0.0,4.0,11.0,142.0,0
1,0,0,4,20,26,141,50,43,1.0,0.0,20.0,0.0,4.0,13.0,142.0,0
1,0,0,3,16,22,142,51,43,1.0,0.0,16.0,0.0,4.0,11.0,142.0,0
1,0,0,3,19,26,143,52,43,1.0,0.0,19.0,0.0,4.0,15.0,142.0,0
1,0,0,3,16,22,144,53,43,1.0,0.0,16.0,0.0,4.0,11.0,142.0,0
1,0,0,3,17,23,145,54,43,1.0,0.0,17.0,0.0,2.0,3.0,1077.0,0
1,0,0,4,22,29,146,55,43,1.0,0.0,22.0,0.0,4.0,11.0,142.0,0
1,0,1,5,76,96,53,56,23,1.0,0.0,76.0,0.0,4.0,7.0,1615.0,0
1,0,0,3,18,25,74,57,27,1.0,0.0,18.0,0.0,4.0,6.0,142.0,0
1,0,0,3,15,22,75,58,27,1.0,0.0,15.0,0.0,4.0,6.0,142.0,0
1,0,0,2,10,14,76,59,27,1.0,0.0,10.0,0.0,3.0,10.0,1077.0,0
1,0,0,3,16,22,77,60,27,1.0,0.0,16.0,0.0,4.0,6.0,142.0,0
1,0,0,3,15,22,78,61,28,1.0,0.0,15.0,0.0,4.0,6.0,142.0,0
1,0,1,2,18,29,79,62,28,1.0,0.0,18.0,0.0,4.0,6.0,142.0,0
1,0,1,2,15,26,80,63,28,1.0,0.0,15.0,0.0,4.0,6.0,142.0,0
1,0,0,2,10,14,81,64,28,1.0,0.0,10.0,0.0,3.0,10.0,1077.0,0
1,0,0,3,16,22,82,65,28,1.0,0.0,16.0,0.0,4.0,6.0,142.0,0
1,0,0,3,17,22,83,66,29,1.0,0.0,17.0,0.0,4.0,6.0,142.0,0
1,0,0,3,20,29,84,67,29,1.0,0.0,20.0,0.0,4.0,18.0,142.0,0
1,0,0,3,18,25,85,68,29,1.0,0.0,18.0,0.0,4.0,6.0,142.0,0
1,0,0,4,24,31,86,69,29,1.0,0.0,24.0,0.0,4.0,14.0,142.0,0
1,0,0,3,16,23,87,70,29,1.0,0.0,16.0,0.0,4.0,6.0,142.0,0
3,0,0,3,45,56,88,71,29,3.0,0.0,45.0,0.0,4.0,14.0,142.0,0
1,0,0,2,10,14,89,72,29,1.0,0.0,10.0,0.0,3.0,10.0,1077.0,0
1,0,0,3,15,21,90,73,29,1.0,0.0,15.0,0.0,4.0,6.0,142.0,0
1,0,0,3,15,21,91,74,29,1.0,0.0,15.0,0.0,4.0,6.0,142.0,0
1,0,0,3,16,22,92,75,29,1.0,0.0,16.0,0.0,4.0,6.0,142.0,0
1,0,0,3,15,23,93,76,29,1.0,0.0,15.0,0.0,4.0,7.0,142.0,0
1,0,1,0,2,11,416,77,85,1.0,0.0,2.0,0.0,2.0,3.0,1077.0,0
1,0,1,0,2,10,417,78,85,1.0,0.0,2.0,0.0,1.0,2.0,1615.0,0
1,0,21,0,25,249,424,79,87,1.0,0.0,25.0,0.0,4.0,19.0,53.0,0
1,0,1,0,6,28,425,80,87,1.0,0.0,6.0,0.0,2.0,3.0,53.0,0
1,0,4,0,6,45,426,81,87,1.0,0.0,6.0,0.0,3.0,5.0,53.0,0
1,0,2,0,4,18,427,82,87,1.0,0.0,4.0,0.0,4.0,6.0,142.0,0
1,0,3,2,18,41,428,83,87,1.0,0.0,18.0,0.0,2.0,3.0,53.0,0
1,0,1,3,12,22,429,84,87,1.0,0.0,12.0,0.0,1.0,1.0,1615.0,0
15,0,4,2,47,101,430,85,87,15.0,0.0,47.0,0.0,4.0,11.0,142.0,0
1,0,2,0,4,18,431,86,87,1.0,0.0,4.0,0.0,3.0,5.0,53.0,0
3,0,2,0,16,44,432,87,87,3.0,0.0,16.0,0.0,3.0,11.0,53.0,0
1,0,3,0,5,36,433,88,87,1.0,0.0,5.0,0.0,3.0,6.0,53.0,0
1,0,8,0,13,61,434,89,87,1.0,0.0,13.0,0.0,3.0,5.0,53.0,0
1,0,4,0,13,38,435,90,87,1.0,0.0,13.0,0.0,3.0,4.0,53.0,0
1,0,3,0,6,44,436,91,87,1.0,0.0,6.0,0.0,3.0,6.0,53.0,0
1,0,1,2,9,19,437,92,87,1.0,0.0,9.0,0.0,1.0,1.0,1077.0,0
