McCC,CLOC,LLOC,Number of previous modifications,Number of previous fixes,Number of committers,Number of developer commits,target
1,0,21,30,0,9,1634,0
1,0,35,20,0,8,54,0
1,0,1,3,0,2,54,0
1,0,41,6,0,6,54,0
2,0,89,28,0,11,2472,0
3,0,221,76,0,14,2472,0
4,0,64,17,0,9,2319,0
1,0,32,13,0,6,7,0
1,0,31,4,0,4,54,0
6,0,96,6,0,5,7,0
17,0,523,3,0,2,3997,0
2,0,101,16,0,7,2472,0
3,0,91,14,0,9,2319,0
7,0,183,11,0,9,2319,0
9,0,180,22,0,8,2319,0
6,0,177,12,0,8,2319,0
7,0,89,2,0,2,54,0
7,0,133,8,0,4,7,0
5,0,58,5,0,4,1634,0
14,0,293,8,0,5,2319,0
7,0,118,3,0,3,2319,0
1,0,10,1,0,1,3997,0
1,0,48,8,0,5,2319,0
2,0,59,20,0,9,7,0
1,0,71,30,0,9,2472,0
5,0,69,8,0,4,2472,0
1,0,28,13,0,7,7,0
1,0,31,6,0,5,54,0
13,0,182,6,0,4,5350,0
2,0,39,15,0,7,7,0
1,0,49,15,0,7,7,0
2,0,61,22,0,9,7,0
7,0,174,11,0,7,7,0
3,0,143,40,0,9,2472,0
1,0,19,6,0,6,7,0
1,0,53,11,0,7,7,0
4,0,70,17,0,9,7,0
2,0,53,19,0,11,7,0
14,0,250,3,0,3,1296,0
2,0,74,6,0,4,268,0
1,0,89,9,0,4,268,0
5,0,155,9,0,5,5350,0
2,0,38,4,0,3,1126,0
4,0,67,4,0,3,1126,0
1,0,36,3,0,3,2472,0
1,0,27,7,0,3,5350,0
4,0,45,7,0,3,5350,0
1,0,27,6,0,3,5350,0
15,0,240,7,0,4,54,0
6,0,59,4,0,2,54,0
1,0,7,4,0,2,54,0
7,0,90,4,0,2,54,0
13,0,146,18,0,8,2319,0
19,0,197,7,0,5,2319,0
1,0,86,4,0,2,54,0
1,0,25,7,0,4,54,0
1,0,5,4,0,2,54,0
1,0,7,4,0,2,54,0
1,0,6,4,0,2,54,0
1,0,98,10,0,5,5350,0
1,0,5,4,0,2,54,0
1,0,1,4,0,2,54,0
1,0,10,7,0,5,2319,0
1,0,6,4,0,2,54,0
11,0,60,9,0,4,1126,0
7,0,76,4,0,2,54,0
6,0,60,4,0,2,54,0
1,0,7,4,0,2,54,0
7,0,54,4,0,2,54,0
1,0,8,4,0,2,54,0
52,0,303,4,0,2,54,0
27,0,182,4,0,2,54,0
4,0,45,4,0,2,54,0
4,0,45,4,0,2,54,0
1,0,1,4,0,2,54,0
5,0,50,4,0,2,54,0
5,0,72,4,0,2,54,0
7,0,74,4,0,2,54,0
1,0,39,7,0,5,2319,0
1,0,20,7,0,5,2319,0
19,0,273,7,0,5,2319,0
3,0,95,9,0,5,5350,0
1,0,51,7,0,5,2319,0
50,0,538,15,0,5,2319,0
2,0,104,3,0,3,2319,0
3,0,38,3,0,3,2319,0
1,0,53,3,0,3,2319,0
91,0,552,4,0,2,54,0
1,0,10,4,0,2,54,0
9,0,92,4,0,2,54,0
9,0,85,4,0,2,54,0
17,0,138,4,0,2,54,0
1,0,1,4,0,2,54,0
1,0,24,4,0,2,54,0
27,0,223,4,0,2,54,0
22,0,225,4,0,2,54,0
1,0,22,4,0,2,54,0
40,0,282,4,0,2,54,0
5,0,81,9,0,6,2319,0
1,0,8,4,0,2,54,0
3,0,9,4,0,2,54,0
3,0,27,6,0,4,54,0
1,0,19,6,0,4,54,0
26,0,245,8,0,5,54,0
3,0,52,4,0,2,54,0
1,0,8,4,0,2,54,0
1,0,8,4,0,2,54,0
1,0,17,4,0,2,54,0
8,0,62,9,0,6,2319,0
26,0,199,4,0,2,54,0
21,0,285,11,0,6,2319,0
9,0,194,4,0,2,54,0
4,0,33,4,0,2,54,0
2,0,76,7,0,5,2319,0
1,0,59,4,0,2,54,0
1,0,141,4,0,2,54,0
1,0,85,4,0,2,54,0
1,0,72,4,0,2,54,0
1,0,30,9,0,5,54,0
1,0,19,4,0,2,54,0
4,0,131,4,0,2,54,0
1,0,56,4,0,2,54,0
1,0,56,4,0,2,54,0
1,0,85,8,0,5,54,0
1,0,105,4,0,2,54,0
8,0,116,4,0,2,3997,0
1,0,42,6,0,4,2319,0
1,0,39,3,0,1,3997,0
9,0,137,4,0,2,3997,0
11,0,181,9,0,3,5350,0
1,0,50,3,0,1,3997,0
7,0,356,26,0,7,2472,0
2,0,131,3,0,1,3997,0
2,0,94,3,0,1,3997,0
20,0,329,3,0,1,3997,0
1,0,48,3,0,1,3997,0
1,0,88,3,0,1,3997,0
1,0,99,3,0,1,3997,0
1,0,22,3,0,1,3997,0
1,0,42,3,0,1,3997,0
