McCC,CLOC,PDA,PUA,LLOC,LOC,DataClumps,MessageChains,MiddleMan,SpeculativeGenerality,SwitchStatements,MessageChains.1,blank,comment,code,codeLines,target
11,0,6,0,46,145,0.0,0.0,0.0,1.0,0.0,0.0,11.0,87.0,46.0,46.0,1
15,0,7,0,95,204,0.0,0.0,0.0,0.0,0.0,0.0,24.0,84.0,95.0,95.0,1
2,0,3,0,15,63,0.0,0.0,0.0,0.0,0.0,0.0,6.0,41.0,15.0,15.0,1
55,0,16,0,313,668,0.0,1.0,0.0,0.0,0.0,0.0,66.0,288.0,313.0,313.0,1
5,0,6,0,38,124,0.0,0.0,0.0,0.0,0.0,0.0,13.0,72.0,38.0,38.0,1
44,0,12,0,237,467,0.0,2.0,0.0,0.0,0.0,2.0,49.0,180.0,237.0,237.0,1
12,0,9,0,58,193,0.0,0.0,0.0,0.0,0.0,0.0,19.0,115.0,58.0,58.0,1
2,0,6,0,29,121,0.0,0.0,0.0,0.0,0.0,0.0,11.0,80.0,29.0,29.0,1
1,0,2,0,8,45,0.0,0.0,0.0,0.0,0.0,0.0,4.0,32.0,8.0,8.0,1
4,0,5,0,28,97,0.0,0.0,0.0,0.0,0.0,0.0,10.0,58.0,28.0,28.0,1
1,0,2,0,4,36,0.0,0.0,0.0,1.0,0.0,0.0,2.0,29.0,4.0,4.0,0
1,0,2,0,4,36,0.0,0.0,0.0,1.0,0.0,0.0,2.0,29.0,4.0,4.0,0
1,0,2,0,4,37,0.0,0.0,0.0,1.0,0.0,0.0,2.0,30.0,4.0,4.0,0
1,0,5,0,8,74,0.0,0.0,0.0,1.0,0.0,0.0,6.0,59.0,8.0,8.0,0
1,0,7,0,9,88,0.0,0.0,0.0,1.0,0.0,0.0,8.0,70.0,9.0,9.0,0
1,0,1,0,4,36,0.0,0.0,0.0,1.0,0.0,0.0,3.0,28.0,4.0,4.0,0
1,0,2,0,4,36,0.0,0.0,0.0,1.0,0.0,0.0,2.0,29.0,4.0,4.0,0
1,0,5,0,7,58,0.0,0.0,0.0,1.0,0.0,0.0,6.0,44.0,7.0,7.0,0
1,0,2,0,5,37,0.0,0.0,0.0,1.0,0.0,0.0,4.0,27.0,5.0,5.0,0
10,0,7,0,69,168,1.0,1.0,0.0,0.0,0.0,1.0,23.0,75.0,69.0,69.0,0
31,0,11,1,214,425,1.0,2.0,0.0,0.0,0.0,2.0,40.0,170.0,214.0,214.0,1
1,0,4,0,14,61,0.0,0.0,0.0,0.0,0.0,0.0,6.0,40.0,14.0,14.0,1
4,0,7,0,37,162,1.0,0.0,0.0,1.0,0.0,0.0,17.0,107.0,37.0,37.0,1
3,0,3,0,22,77,0.0,0.0,0.0,0.0,0.0,0.0,8.0,46.0,22.0,22.0,1
21,0,9,0,139,310,0.0,0.0,0.0,0.0,0.0,0.0,37.0,133.0,139.0,139.0,1
3,0,4,0,23,86,0.0,0.0,0.0,0.0,0.0,0.0,10.0,52.0,23.0,23.0,1
20,0,10,0,124,280,0.0,1.0,0.0,0.0,0.0,1.0,36.0,119.0,124.0,124.0,1
1,0,2,0,4,37,0.0,0.0,0.0,1.0,0.0,0.0,3.0,29.0,4.0,4.0,0
1,0,2,0,4,38,0.0,0.0,0.0,1.0,0.0,0.0,3.0,30.0,4.0,4.0,0
6,0,15,1,71,211,0.0,0.0,0.0,1.0,0.0,0.0,20.0,119.0,71.0,71.0,1
134,0,25,0,771,1396,0.0,0.0,0.0,0.0,0.0,0.0,117.0,507.0,771.0,771.0,1
1,0,5,0,12,130,0.0,0.0,0.0,1.0,0.0,0.0,7.0,110.0,12.0,12.0,0
1,0,3,0,5,52,0.0,0.0,0.0,1.0,0.0,0.0,3.0,43.0,5.0,5.0,0
1,0,3,0,9,104,0.0,0.0,0.0,1.0,0.0,0.0,5.0,89.0,9.0,9.0,0
1,0,24,0,53,674,0.0,0.0,0.0,1.0,0.0,0.0,35.0,585.0,53.0,53.0,1
1,0,2,0,4,39,0.0,0.0,0.0,1.0,0.0,0.0,2.0,32.0,4.0,4.0,0
1,0,13,0,22,243,0.0,0.0,0.0,1.0,0.0,0.0,16.0,204.0,22.0,22.0,0
1,0,2,0,17,55,0.0,0.0,0.0,8.0,0.0,0.0,5.0,32.0,17.0,17.0,0
7,0,4,0,43,141,0.0,0.0,0.0,1.0,0.0,0.0,9.0,88.0,43.0,43.0,1
3,0,9,0,38,131,0.0,0.0,1.0,0.0,0.0,0.0,15.0,77.0,38.0,38.0,1
3,0,5,0,35,197,0.0,0.0,0.0,0.0,0.0,0.0,22.0,139.0,35.0,35.0,1
36,0,17,0,213,379,0.0,0.0,0.0,0.0,0.0,0.0,29.0,136.0,213.0,213.0,1
1,0,3,0,10,39,0.0,0.0,0.0,1.0,0.0,0.0,4.0,24.0,10.0,10.0,0
3,0,5,0,20,91,0.0,0.0,0.0,0.0,0.0,0.0,6.0,64.0,20.0,20.0,1
33,0,14,0,118,351,0.0,0.0,0.0,0.0,0.0,0.0,30.0,202.0,118.0,118.0,1
1,0,3,0,15,75,0.0,0.0,0.0,1.0,0.0,0.0,8.0,51.0,15.0,15.0,0
12,0,10,0,72,145,0.0,0.0,0.0,0.0,0.0,0.0,14.0,58.0,72.0,72.0,1
6,0,7,0,54,255,0.0,0.0,0.0,0.0,0.0,0.0,15.0,185.0,54.0,54.0,1
1,0,2,0,16,67,0.0,0.0,0.0,2.0,0.0,0.0,7.0,43.0,16.0,16.0,0
6,0,4,0,47,109,0.0,0.0,0.0,0.0,0.0,0.0,8.0,53.0,47.0,47.0,1
1,0,2,0,5,40,0.0,0.0,0.0,1.0,0.0,0.0,3.0,31.0,5.0,5.0,0
2,0,7,0,31,116,1.0,2.0,1.0,0.0,0.0,1.0,11.0,73.0,31.0,31.0,0
5,0,1,3,36,61,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,36.0,36.0,1
1,0,0,2,9,24,0.0,0.0,1.0,0.0,0.0,0.0,4.0,10.0,9.0,9.0,0
4,0,7,0,28,106,0.0,0.0,0.0,0.0,0.0,0.0,2.0,75.0,28.0,28.0,1
1,0,0,0,10,44,0.0,0.0,0.0,0.0,0.0,0.0,4.0,29.0,10.0,10.0,1
9,0,0,3,46,69,0.0,0.0,1.0,0.0,0.0,0.0,10.0,12.0,46.0,46.0,0
14,0,0,4,65,87,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,65.0,65.0,1
2,0,9,0,39,96,0.0,0.0,1.0,0.0,0.0,0.0,12.0,44.0,39.0,39.0,1
3,0,0,3,20,37,0.0,0.0,0.0,1.0,0.0,0.0,5.0,11.0,20.0,20.0,0
1,0,0,4,22,40,0.0,0.0,1.0,0.0,0.0,0.0,7.0,10.0,22.0,22.0,1
1,0,2,5,26,54,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,26.0,26.0,1
1,0,2,3,24,51,0.0,0.0,1.0,0.0,0.0,0.0,9.0,17.0,24.0,24.0,1
13,0,1,3,103,131,0.0,0.0,1.0,0.0,2.0,0.0,13.0,14.0,103.0,103.0,1
1,0,1,2,12,33,0.0,0.0,1.0,0.0,0.0,0.0,5.0,16.0,12.0,12.0,0
1,0,0,3,15,32,0.0,0.0,1.0,0.0,0.0,0.0,6.0,10.0,15.0,15.0,1
1,0,0,2,9,24,0.0,0.0,1.0,0.0,0.0,0.0,4.0,10.0,9.0,9.0,0
7,0,0,7,42,66,1.0,0.0,1.0,0.0,0.0,0.0,13.0,10.0,42.0,42.0,1
1,0,0,0,23,43,0.0,0.0,1.0,1.0,0.0,0.0,7.0,12.0,23.0,23.0,0
6,0,0,11,72,99,1.0,2.0,1.0,4.0,0.0,1.0,16.0,10.0,72.0,72.0,1
2,0,0,3,26,44,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,26.0,26.0,1
2,0,1,4,31,56,0.0,0.0,0.0,1.0,0.0,0.0,10.0,14.0,31.0,31.0,1
10,0,1,3,60,85,0.0,0.0,0.0,0.0,1.0,0.0,10.0,14.0,60.0,60.0,1
19,0,0,1,110,147,1.0,0.0,0.0,10.0,0.0,0.0,15.0,21.0,110.0,110.0,1
17,0,0,4,138,189,1.0,4.0,0.0,6.0,0.0,4.0,19.0,31.0,138.0,138.0,1
2,0,0,3,23,40,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,23.0,23.0,1
10,0,5,0,44,132,0.0,5.0,0.0,0.0,0.0,5.0,15.0,72.0,44.0,44.0,1
1,0,2,0,6,39,0.0,0.0,0.0,1.0,0.0,0.0,6.0,26.0,6.0,6.0,0
1,0,2,0,5,34,0.0,0.0,0.0,1.0,0.0,0.0,3.0,25.0,5.0,5.0,0
1,0,2,0,5,42,0.0,0.0,0.0,1.0,0.0,0.0,5.0,31.0,5.0,5.0,0
1,0,20,0,28,213,0.0,0.0,0.0,1.0,0.0,0.0,23.0,161.0,28.0,28.0,0
1,0,11,0,14,102,0.0,0.0,0.0,1.0,0.0,0.0,12.0,75.0,14.0,14.0,0
1,0,10,0,15,160,0.0,0.0,0.0,1.0,0.0,0.0,13.0,131.0,15.0,15.0,0
1,0,1,0,5,34,0.0,0.0,0.0,1.0,0.0,0.0,3.0,25.0,5.0,5.0,0
1,0,4,0,8,58,0.0,0.0,0.0,1.0,0.0,0.0,9.0,40.0,8.0,8.0,0
1,0,4,0,7,57,0.0,0.0,0.0,1.0,0.0,0.0,5.0,44.0,7.0,7.0,0
1,0,2,0,4,41,0.0,0.0,0.0,1.0,0.0,0.0,2.0,34.0,4.0,4.0,0
1,0,5,0,9,61,0.0,0.0,0.0,0.0,0.0,0.0,7.0,44.0,9.0,9.0,1
1,0,6,0,11,104,0.0,0.0,0.0,1.0,0.0,0.0,10.0,82.0,11.0,11.0,1
8,0,2,0,49,93,0.0,2.0,0.0,0.0,0.0,0.0,15.0,28.0,49.0,49.0,0
24,0,3,0,231,307,0.0,0.0,1.0,0.0,0.0,0.0,34.0,41.0,231.0,231.0,0
1,0,3,0,9,54,0.0,0.0,0.0,1.0,0.0,0.0,5.0,39.0,9.0,9.0,0
4,0,3,1,45,86,0.0,0.0,1.0,0.0,0.0,0.0,13.0,27.0,45.0,45.0,0
8,0,3,0,84,148,0.0,0.0,0.0,0.0,1.0,0.0,20.0,43.0,84.0,84.0,0
10,0,0,0,85,181,1.0,0.0,1.0,2.0,0.0,0.0,23.0,72.0,85.0,85.0,1
12,0,0,0,90,188,1.0,0.0,1.0,2.0,0.0,0.0,24.0,73.0,90.0,90.0,0
55,0,5,0,308,557,0.0,4.0,1.0,0.0,0.0,4.0,57.0,191.0,308.0,308.0,1
1,0,0,0,26,48,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,26.0,26.0,1
11,0,18,4,125,268,1.0,1.0,0.0,5.0,0.0,1.0,40.0,102.0,125.0,125.0,1
80,0,8,1,379,575,1.0,15.0,1.0,4.0,0.0,10.0,76.0,119.0,379.0,379.0,1
1,0,3,0,12,48,0.0,0.0,1.0,0.0,0.0,0.0,5.0,30.0,12.0,12.0,1
44,0,19,5,294,519,1.0,4.0,1.0,2.0,1.0,4.0,79.0,145.0,294.0,294.0,1
62,0,7,1,335,541,1.0,10.0,0.0,1.0,0.0,10.0,68.0,137.0,335.0,335.0,1
67,0,16,1,454,588,0.0,11.0,1.0,3.0,0.0,10.0,63.0,70.0,454.0,454.0,1
1,0,1,1,4,22,0.0,0.0,0.0,1.0,0.0,0.0,3.0,14.0,4.0,4.0,0
1,0,1,1,4,25,0.0,0.0,0.0,1.0,0.0,0.0,3.0,17.0,4.0,4.0,0
10,0,4,21,122,174,1.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,122.0,122.0,0
3,0,5,20,97,149,1.0,0.0,1.0,0.0,0.0,0.0,26.0,25.0,97.0,97.0,0
4,0,0,0,40,74,1.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,40.0,40.0,0
58,0,0,0,605,923,0.0,3.0,0.0,0.0,0.0,3.0,96.0,221.0,605.0,605.0,0
30,0,12,2,260,390,0.0,1.0,0.0,1.0,0.0,1.0,33.0,96.0,260.0,260.0,0
1,0,0,0,13,38,0.0,0.0,1.0,0.0,0.0,0.0,5.0,19.0,13.0,13.0,0
18,0,0,0,163,265,0.0,3.0,0.0,0.0,0.0,3.0,32.0,69.0,163.0,163.0,0
40,0,12,3,285,436,0.0,3.0,0.0,2.0,0.0,3.0,29.0,121.0,285.0,285.0,0
1,0,0,3,55,83,1.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,55.0,55.0,0
2,0,7,1,33,77,0.0,0.0,0.0,1.0,0.0,0.0,12.0,31.0,33.0,33.0,0
27,0,13,4,239,464,1.0,1.0,0.0,2.0,0.0,1.0,33.0,191.0,239.0,239.0,0
1,0,0,3,47,75,1.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,47.0,47.0,0
3,0,0,6,39,61,0.0,0.0,1.0,0.0,0.0,0.0,11.0,10.0,39.0,39.0,0
4,0,0,8,38,60,0.0,0.0,1.0,0.0,0.0,0.0,11.0,10.0,38.0,38.0,0
5,0,6,3,70,151,0.0,0.0,0.0,1.0,0.0,0.0,20.0,60.0,70.0,70.0,0
65,0,12,2,432,616,1.0,24.0,1.0,7.0,0.0,24.0,38.0,145.0,432.0,432.0,0
8,0,1,1,50,82,1.0,1.0,0.0,0.0,0.0,1.0,2.0,29.0,50.0,50.0,0
1,0,0,0,8,51,0.0,0.0,0.0,1.0,0.0,0.0,3.0,39.0,8.0,8.0,0
25,0,1,11,174,215,0.0,3.0,0.0,0.0,0.0,3.0,20.0,20.0,174.0,174.0,0
34,0,4,8,214,295,0.0,6.0,0.0,2.0,1.0,6.0,24.0,56.0,214.0,214.0,0
40,0,11,4,285,492,0.0,7.0,1.0,16.0,0.0,7.0,39.0,167.0,285.0,285.0,0
6,0,1,1,60,97,0.0,1.0,0.0,3.0,0.0,1.0,7.0,29.0,60.0,60.0,0
1,0,0,1,112,135,1.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,112.0,112.0,0
7,0,3,0,32,76,1.0,2.0,0.0,0.0,0.0,2.0,3.0,40.0,32.0,32.0,0
69,0,0,0,415,590,0.0,2.0,0.0,0.0,1.0,1.0,57.0,117.0,415.0,415.0,1
2,0,6,0,73,348,0.0,0.0,0.0,12.0,0.0,0.0,32.0,242.0,73.0,73.0,0
3,0,20,0,76,331,0.0,0.0,0.0,1.0,0.0,0.0,32.0,222.0,76.0,76.0,0
68,0,5,0,332,557,0.0,0.0,0.0,1.0,0.0,0.0,56.0,168.0,332.0,332.0,0
41,0,6,0,226,365,0.0,0.0,0.0,1.0,0.0,0.0,36.0,102.0,226.0,226.0,0
15,0,3,0,87,187,1.0,0.0,0.0,0.0,0.0,0.0,25.0,74.0,87.0,87.0,0
4,0,2,0,48,121,0.0,0.0,0.0,5.0,0.0,0.0,14.0,58.0,48.0,48.0,0
1,0,2,0,4,29,0.0,0.0,0.0,1.0,0.0,0.0,1.0,23.0,4.0,4.0,0
1,0,3,0,7,40,0.0,0.0,0.0,1.0,0.0,0.0,3.0,29.0,7.0,7.0,0
4,0,4,0,54,126,0.0,0.0,1.0,0.0,0.0,0.0,12.0,59.0,54.0,54.0,0
1,0,2,0,6,24,0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,6.0,6.0,0
24,0,0,0,145,233,0.0,1.0,0.0,0.0,1.0,1.0,14.0,73.0,145.0,145.0,1
21,0,11,6,117,224,0.0,2.0,0.0,0.0,0.0,2.0,26.0,80.0,117.0,117.0,0
130,0,5,8,623,929,0.0,21.0,1.0,6.0,1.0,16.0,67.0,238.0,623.0,623.0,1
1,0,2,0,87,181,0.0,0.0,0.0,1.0,0.0,0.0,26.0,67.0,87.0,87.0,0
32,0,7,7,194,317,0.0,3.0,1.0,4.0,1.0,3.0,27.0,95.0,194.0,194.0,1
4,0,6,0,42,91,0.0,1.0,0.0,0.0,0.0,0.0,12.0,36.0,42.0,42.0,0
29,0,5,0,91,177,0.0,0.0,1.0,0.0,0.0,0.0,17.0,68.0,91.0,91.0,0
101,0,21,1,377,544,0.0,8.0,0.0,0.0,0.0,8.0,39.0,127.0,377.0,377.0,0
22,0,3,0,110,184,0.0,1.0,0.0,0.0,1.0,1.0,15.0,58.0,110.0,110.0,0
7,0,3,8,58,96,0.0,4.0,1.0,0.0,0.0,2.0,13.0,25.0,58.0,58.0,0
17,0,5,3,91,156,0.0,0.0,1.0,0.0,0.0,0.0,15.0,49.0,91.0,91.0,0
27,0,13,11,203,385,0.0,0.0,0.0,2.0,0.0,0.0,39.0,142.0,203.0,203.0,0
20,0,2,5,109,159,0.0,1.0,0.0,0.0,0.0,1.0,17.0,32.0,109.0,109.0,0
1,0,4,0,51,92,0.0,0.0,0.0,6.0,0.0,0.0,13.0,27.0,51.0,51.0,0
19,0,1,3,132,192,1.0,6.0,0.0,0.0,0.0,6.0,23.0,36.0,132.0,132.0,1
21,0,2,12,133,251,0.0,2.0,0.0,18.0,0.0,2.0,34.0,83.0,133.0,133.0,0
27,0,0,4,109,145,1.0,2.0,0.0,0.0,0.0,2.0,14.0,21.0,109.0,109.0,0
143,0,18,11,632,883,1.0,15.0,0.0,3.0,2.0,11.0,47.0,203.0,632.0,632.0,1
66,0,5,6,301,415,1.0,2.0,0.0,0.0,0.0,1.0,20.0,93.0,301.0,301.0,0
26,0,1,14,197,315,1.0,0.0,1.0,0.0,0.0,0.0,35.0,82.0,197.0,197.0,0
32,0,2,13,242,317,1.0,10.0,1.0,7.0,0.0,10.0,28.0,46.0,242.0,242.0,0
1,0,2,0,15,43,0.0,0.0,0.0,1.0,0.0,0.0,5.0,22.0,15.0,15.0,0
52,0,2,3,235,329,0.0,10.0,0.0,0.0,0.0,10.0,22.0,71.0,235.0,235.0,0
22,0,1,5,141,180,0.0,0.0,0.0,0.0,0.0,0.0,17.0,21.0,141.0,141.0,1
2,0,1,4,39,78,0.0,0.0,1.0,0.0,0.0,0.0,9.0,29.0,39.0,39.0,0
68,0,2,3,302,434,0.0,2.0,0.0,0.0,0.0,2.0,47.0,84.0,302.0,302.0,1
4,0,4,13,79,125,0.0,0.0,0.0,0.0,0.0,0.0,21.0,24.0,79.0,79.0,1
37,0,0,15,228,329,0.0,0.0,1.0,0.0,1.0,0.0,32.0,68.0,228.0,228.0,0
10,0,1,12,129,177,1.0,1.0,1.0,4.0,0.0,1.0,22.0,25.0,129.0,129.0,0
1,0,2,0,16,43,0.0,0.0,1.0,0.0,0.0,0.0,3.0,23.0,16.0,16.0,0
65,0,0,0,247,331,0.0,7.0,0.0,0.0,0.0,7.0,17.0,66.0,247.0,247.0,1
24,0,5,0,109,210,0.0,2.0,0.0,0.0,0.0,1.0,11.0,89.0,109.0,109.0,1
24,0,7,1,118,193,0.0,0.0,0.0,0.0,0.0,0.0,13.0,61.0,118.0,118.0,1
8,0,6,1,66,121,0.0,4.0,0.0,2.0,0.0,4.0,11.0,43.0,66.0,66.0,0
87,0,5,5,374,617,0.0,4.0,1.0,2.0,2.0,4.0,43.0,199.0,374.0,374.0,1
12,0,3,6,125,191,0.0,0.0,1.0,4.0,0.0,0.0,27.0,38.0,125.0,125.0,0
