McCC,CLOC,LLOC,Number of previous modifications,Number of committers,Number of developer commits,Number of previous fixes,target
1,0,22,2,1,1302,0,0
1,0,11,2,1,1302,0,0
2,0,21,9,2,1302,0,0
3,0,35,7,1,1302,0,0
3,0,24,2,1,1302,0,0
3,0,32,3,1,1302,0,0
1,0,22,10,1,1302,0,0
8,0,67,14,2,1302,0,0
5,0,26,1,1,1302,0,0
2,0,57,11,1,1302,0,0
1,0,21,6,1,1302,0,0
1,0,22,7,1,1302,0,0
2,0,25,9,1,1302,0,0
1,0,25,7,2,1302,0,0
1,0,21,3,1,1302,0,0
2,0,36,4,1,1302,0,0
1,0,16,2,1,1302,0,0
3,0,46,4,1,1302,0,0
1,0,19,1,1,1302,0,0
1,0,13,8,2,1302,0,0
6,0,48,8,1,1302,0,0
36,0,304,13,1,1302,1,0
68,0,283,25,2,1302,0,0
219,0,1557,44,1,1302,1,1
546,0,2507,143,4,1302,8,1
1,0,18,33,1,1302,1,0
41,0,182,17,1,1302,3,0
54,0,725,24,1,1302,0,0
155,0,1260,107,3,1302,7,1
2,0,79,4,1,1302,0,0
59,0,602,128,2,1302,8,0
14,0,168,13,1,1302,0,0
1,0,100,38,2,1302,2,0
59,0,308,36,1,1302,1,0
311,0,1486,96,3,1302,3,1
104,0,529,14,2,1302,0,0
75,0,396,46,1,1302,3,0
29,0,313,26,2,1302,1,0
57,0,1029,47,2,1302,0,0
218,0,1660,87,1,1302,5,0
69,0,442,55,3,1302,3,0
222,0,1253,61,2,1302,4,0
52,0,370,67,1,1302,6,0
64,0,284,12,1,1302,0,1
179,0,669,128,4,1302,10,1
38,0,215,37,1,1302,0,0
139,0,657,112,2,1302,14,1
1,0,4,2,1,1302,0,0
69,0,501,37,1,1302,3,0
12,0,55,31,1,1302,4,0
1,0,4,3,1,1302,0,0
235,0,1945,103,4,1302,12,1
1,0,12,29,1,1302,0,0
2,0,62,10,1,1302,0,0
6,0,119,8,1,1302,0,0
6,0,131,9,1,1302,0,0
12,0,162,9,1,1302,1,0
10,0,90,16,1,1302,2,0
20,0,369,20,1,1302,0,0
1,0,47,13,2,1302,1,0
811,0,6258,7,1,1302,0,0
2,0,51,27,1,1302,1,0
12,0,400,13,2,1302,0,0
1,0,22,7,2,1302,0,0
1,0,19,7,2,1302,0,0
1,0,255,9,1,1302,0,0
2,0,30,3,1,1302,0,0
47,0,582,8,1,1302,0,0
53,0,502,67,2,1302,3,0
2,0,49,27,1,1302,1,0
30,0,218,6,1,1302,0,0
122,0,1422,13,1,1302,0,0
47,0,983,9,1,1302,0,0
111,0,929,9,1,1302,0,0
98,0,685,11,1,1302,0,0
51,0,777,6,1,1302,0,0
