McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of developer commits,Number of committers,target
24,0,289,0,26,4057,1,0
6,0,51,0,30,1,2,0
10,0,80,0,15,4057,1,0
1,0,1,0,5,4057,1,0
13,0,142,0,38,4057,1,0
40,0,561,0,35,4057,1,0
2,0,26,0,6,4057,1,0
4,0,91,0,10,4057,1,0
32,0,292,0,29,4057,1,0
1,0,139,0,49,4057,1,0
1,0,11,0,7,4057,1,0
5,0,68,0,9,4057,1,0
14,0,163,0,9,4057,1,0
6,0,88,0,8,4057,1,0
126,0,679,0,43,4057,1,0
73,0,562,0,38,4057,1,0
20,0,136,0,12,4057,1,0
2,0,154,0,18,4057,1,0
10,0,249,0,28,4057,1,0
16,0,160,0,22,4057,1,0
5,0,48,0,7,4057,1,0
4,0,91,0,10,4057,1,0
1,0,1,0,4,4057,1,0
3,0,167,0,20,4057,1,0
10,0,202,0,21,4057,1,0
7,0,194,0,21,4057,1,0
1,0,4,0,8,4057,1,0
19,0,226,0,21,4057,1,0
2,0,16,0,7,4057,1,0
1,0,41,0,10,4057,1,0
13,0,108,0,8,4057,1,0
4,0,30,0,3,4057,1,0
1,0,38,0,26,4057,1,0
1,0,18,0,22,4057,1,0
1,0,4,0,25,4057,1,0
1,0,11,0,15,4057,1,0
1,0,16,0,5,4057,1,0
1,0,10,0,15,4057,1,0
1,0,23,0,19,4057,1,0
2,0,19,0,13,4057,1,0
1,0,4,0,2,4057,1,0
1,0,17,0,22,4057,1,0
1,0,13,0,33,2,2,0
1,0,16,0,5,4057,1,0
11,0,60,0,16,4057,1,0
1,0,39,0,34,4057,1,0
1,0,16,0,5,4057,1,0
1,0,7,0,9,4057,1,0
17,0,282,0,35,4057,1,0
1,0,5,0,5,4057,1,0
1,0,8,0,13,4057,1,0
1,0,5,0,7,4057,1,0
1,0,6,0,23,4057,1,0
1,0,6,0,10,4057,1,0
6,0,89,0,13,4057,1,0
7,0,62,0,9,4057,1,0
55,0,334,0,26,4057,1,0
88,0,680,0,32,4057,1,0
4,0,37,0,12,4057,1,0
3,0,34,0,14,4057,1,0
5,0,46,0,4,4057,1,1
6,0,59,0,8,4057,1,0
3,0,38,0,13,4057,1,0
11,0,81,0,10,4057,1,0
6,0,57,0,17,4057,1,0
1,0,4,0,7,4057,1,0
2,0,19,0,6,4057,1,0
1,0,10,0,8,4057,1,1
2,0,19,0,6,4057,1,0
1,0,12,0,3,4057,1,0
1,0,7,0,12,4057,1,0
1,0,6,0,8,4057,1,0
1,0,1,0,7,4057,1,0
1,0,6,0,5,4057,1,0
1,0,4,0,3,4057,1,0
1,0,4,0,5,4057,1,0
1,0,5,0,7,4057,1,0
10,0,65,0,6,4057,1,0
24,0,174,0,20,4057,1,0
15,0,115,0,9,4057,1,0
55,0,453,0,10,4057,1,0
1,0,14,0,6,4057,1,0
10,0,74,0,10,4057,1,0
5,0,52,0,17,4057,1,0
1,0,4,0,5,4057,1,0
13,0,59,0,2,4057,1,0
1,0,62,0,5,4057,1,0
1,0,9,0,6,4057,1,0
1,0,18,0,5,4057,1,0
2,0,91,0,13,4057,1,0
1,0,7,0,2,4057,1,0
1,0,62,0,4,4057,1,0
1,0,9,0,5,4057,1,0
1,0,63,0,6,4057,1,0
1,0,9,0,6,4057,1,0
1,0,60,0,4,4057,1,0
1,0,9,0,5,4057,1,0
9,0,106,0,4,4057,1,0
4,0,54,0,2,4057,1,0
1,0,1,0,4,4057,1,0
1,0,60,0,4,4057,1,0
1,0,9,0,5,4057,1,0
5,0,67,0,2,4057,1,0
5,0,23,0,5,4057,1,0
17,0,85,0,5,4057,1,0
1,0,4,0,2,4057,1,0
1,0,4,0,3,4057,1,0
4,0,19,0,2,4057,1,0
46,0,344,0,18,4057,1,0
1,0,37,0,4,4057,1,0
5,0,42,0,5,4057,1,0
1,0,4,0,3,4057,1,0
1,0,1,0,4,4057,1,0
1,0,8,0,4,4057,1,0
1,0,7,0,5,4057,1,0
1,0,5,0,3,4057,1,0
12,0,112,0,6,4057,1,0
1,0,23,0,12,4057,1,0
1,0,30,0,14,4057,1,0
1,0,5,0,5,4057,1,0
7,0,50,0,3,4057,1,0
32,0,243,0,18,4057,1,0
49,0,309,0,15,4057,1,0
1,0,1,0,4,4057,1,0
19,0,155,0,15,4057,1,1
1,0,16,0,8,4057,1,1
3,0,40,0,6,4057,1,1
1,0,16,0,8,4057,1,1
12,0,80,0,21,4057,1,1
1,0,8,0,21,4057,1,0
1,0,22,0,6,4057,1,0
1,0,7,0,14,4057,1,0
15,0,116,0,19,4057,1,1
1,0,8,0,15,4057,1,0
1,0,7,0,12,4057,1,0
22,0,118,0,15,4057,1,0
1,0,1,0,4,4057,1,0
1,0,46,0,1,4057,1,0
11,0,140,0,1,4057,1,0
1,0,30,0,1,4057,1,0
29,0,246,0,1,4057,1,0
1,0,12,0,1,4057,1,0
1,0,7,0,6,4057,1,0
1,0,17,0,8,4057,1,0
1,0,33,0,8,4057,1,0
1,0,7,0,5,4057,1,0
44,0,269,0,11,4057,1,0
11,0,80,0,13,4057,1,0
25,0,161,0,12,4057,1,0
1,0,1,0,4,4057,1,0
1,0,11,0,9,4057,1,0
1,0,12,0,9,4057,1,0
1,0,8,0,7,4057,1,0
1,0,11,0,7,4057,1,0
1,0,21,0,9,4057,1,0
1,0,8,0,1,4057,1,0
1,0,1,0,3,4057,1,0
2,0,21,0,18,4057,1,0
1,0,1,0,3,4057,1,0
1,0,8,0,1,4057,1,0
1,0,1,0,3,4057,1,0
4,0,41,0,14,4057,1,0
6,0,76,0,10,4057,1,0
1,0,23,0,11,4057,1,0
2,0,38,0,7,4057,1,0
4,0,41,0,11,4057,1,0
3,0,50,0,4,4057,1,0
1,0,23,0,10,4057,1,0
1,0,32,0,5,4057,1,0
4,0,31,0,7,4057,1,0
3,0,36,0,9,4057,1,0
8,0,90,0,11,4057,1,0
1,0,24,0,10,4057,1,0
1,0,15,0,6,4057,1,0
3,0,53,0,8,4057,1,0
1,0,20,0,10,4057,1,0
3,0,29,0,10,4057,1,0
5,0,57,0,15,4057,1,0
5,0,64,0,5,4057,1,0
5,0,57,0,7,4057,1,0
6,0,63,0,5,4057,1,0
7,0,93,0,10,4057,1,0
1,0,20,0,6,4057,1,0
149,0,1647,0,7,4057,1,0
1,0,15,0,5,4057,1,0
3,0,64,0,7,4057,1,0
1,0,20,0,6,4057,1,0
4,0,43,0,8,4057,1,0
5,0,61,0,3,4057,1,0
1,0,29,0,8,4057,1,0
3,0,43,0,3,4057,1,0
1,0,23,0,2,4057,1,0
31,0,115,0,4,4057,1,0
2,0,32,0,5,4057,1,0
8,0,122,0,13,4057,1,0
1,0,22,0,5,4057,1,0
2,0,41,0,14,4057,1,0
2,0,22,0,5,4057,1,0
1,0,34,0,15,4057,1,0
2,0,35,0,5,4057,1,0
7,0,52,0,13,4057,1,0
2,0,42,0,8,4057,1,0
1,0,27,0,3,4057,1,0
2,0,279,0,6,4057,1,0
1,0,16,0,7,4057,1,0
6,0,87,0,14,4057,1,0
1,0,27,0,4,4057,1,0
1,0,49,0,9,4057,1,0
1,0,44,0,9,4057,1,0
7,0,51,0,12,4057,1,0
2,0,35,0,7,4057,1,0
1,0,21,0,3,4057,1,0
1,0,15,0,7,4057,1,0
5,0,60,0,9,4057,1,0
1,0,21,0,3,4057,1,0
2,0,45,0,8,4057,1,0
5,0,69,0,9,4057,1,0
1,0,28,0,9,4057,1,0
6,0,55,0,16,4057,1,0
42,0,305,0,34,4057,1,0
13,0,139,0,32,4057,1,0
1,0,1,0,3,4057,1,0
24,0,165,0,2,85,2,0
17,0,127,0,1,4057,1,0
20,0,136,0,1,4057,1,0
1,0,6,0,1,4057,1,0
19,0,114,0,1,4057,1,0
1,0,11,0,1,4057,1,0
1,0,6,0,1,4057,1,0
17,0,163,0,1,4057,1,0
10,0,47,0,1,4057,1,0
1,0,6,0,1,4057,1,0
6,0,78,0,1,4057,1,0
1,0,37,0,1,4057,1,0
17,0,174,0,1,4057,1,0
1,0,37,0,1,4057,1,0
6,0,47,0,1,4057,1,0
1,0,1,0,1,4057,1,0
29,0,123,0,1,4057,1,0
11,0,110,0,18,4057,1,0
1,0,1,0,2,4057,1,0
16,0,120,0,6,4057,1,0
1,0,19,0,2,4057,1,0
18,0,150,0,7,4057,1,0
1,0,1,0,3,4057,1,0
1,0,9,0,2,4057,1,0
1,0,1,0,3,4057,1,0
5,0,42,0,6,4057,1,0
121,0,716,0,86,4057,1,0
7,0,77,0,14,4057,1,0
1,0,7,0,9,4057,1,0
11,0,93,0,8,4057,1,0
10,0,72,0,6,4057,1,0
10,0,73,0,13,4057,1,0
29,0,188,0,28,4057,1,0
1,0,1,0,2,4057,1,0
3,0,47,0,5,4057,1,0
1,0,7,0,3,4057,1,0
2,0,22,0,5,4057,1,0
2,0,22,0,5,4057,1,0
1,0,7,0,4,4057,1,0
26,0,248,0,30,4057,1,0
1,0,1,0,2,4057,1,0
1,0,16,0,3,4057,1,0
11,0,138,0,35,4057,1,0
1,0,17,0,2,4057,1,0
1,0,16,0,3,4057,1,0
9,0,99,0,29,4057,1,0
29,0,245,0,1,4057,1,0
4,0,70,0,1,4057,1,0
1,0,56,0,1,4057,1,0
1,0,1,0,5,4057,2,0
12,0,168,0,12,4057,2,0
3,0,47,0,1,4057,1,0
122,0,821,0,5,4057,1,0
122,0,822,0,5,4057,1,0
126,0,865,0,5,4057,1,0
126,0,865,0,5,4057,1,0
14,0,64,0,3,4057,1,0
3,0,27,0,1,4057,1,0
19,0,71,0,3,4057,1,0
150,0,610,0,9,4057,1,0
4,0,59,0,2,4057,1,0
1,0,1,0,1,4057,1,0
1,0,5,0,1,4057,1,0
4,0,33,0,1,4057,1,0
8,0,42,0,6,4057,1,0
11,0,58,0,4,4057,2,0
5,0,31,0,2,4057,1,0
2,0,14,0,1,4057,1,0
2,0,38,0,2,4057,1,0
2,0,15,0,2,4057,1,0
1,0,25,0,3,4057,2,0
19,0,130,0,3,4057,2,0
5,0,35,0,3,4057,2,0
1,0,15,0,3,4057,2,0
5,0,81,0,3,4057,2,1
1,0,60,0,2,4,1,0
1,0,7,0,2,4,1,0
1,0,7,0,2,4,1,0
10,0,90,0,3,4057,2,0
7,0,56,0,3,4057,2,0
13,0,287,0,3,4057,2,1
2,0,100,0,3,4057,2,0
2,0,26,0,3,4057,2,1
9,0,50,0,3,4057,2,0
6,0,62,0,2,4,1,0
27,0,194,0,2,4,1,0
1,0,12,0,2,4,1,0
20,0,255,0,3,4057,2,0
2,0,84,0,3,4057,2,1
4,0,97,0,3,4057,2,0
1,0,39,0,3,4057,2,1
7,0,56,0,3,4057,2,0
1,0,1,0,7,4057,1,0
5,0,35,0,2,4,1,0
1,0,4,0,2,4,1,0
21,0,208,0,4,1,3,0
1,0,8,0,2,4,1,0
1,0,15,0,2,4,1,0
1,0,4,0,2,4,1,0
1,0,51,0,2,4,1,0
3,0,37,0,2,4,1,0
3,0,27,0,2,4,1,0
11,0,101,0,8,4057,1,0
17,0,145,0,21,4057,1,0
1,0,21,0,13,4057,1,1
5,0,50,0,9,4057,1,1
4,0,46,0,24,4057,1,1
48,0,312,0,45,4057,1,0
24,0,230,0,27,4057,2,1
1,0,15,0,8,4057,1,0
3,0,40,0,13,4057,2,1
22,0,133,0,23,4057,2,0
102,0,572,0,62,4057,1,0
69,0,308,0,35,4057,1,0
5,0,71,0,14,4057,1,1
4,0,47,0,23,4057,1,1
38,0,238,0,43,4057,1,1
23,0,214,0,51,4057,1,0
1,0,24,0,25,4,2,0
106,0,589,0,160,4057,1,0
1,0,1,0,4,4057,1,0
2,0,20,0,2,4057,1,0
12,0,65,0,2,4057,1,0
16,0,261,0,8,4057,1,1
3,0,44,0,6,4057,1,1
1,0,27,0,6,4057,1,1
2,0,28,0,23,4057,1,1
15,0,100,0,18,4057,1,0
16,0,144,0,13,4057,1,1
2,0,28,0,10,4057,1,1
18,0,113,0,17,4057,1,0
25,0,154,0,22,4057,1,0
5,0,71,0,12,4057,1,1
3,0,35,0,23,4057,1,1
30,0,197,0,26,4057,1,1
9,0,90,0,11,4057,1,0
25,0,148,0,24,4057,1,1
1,0,1,0,3,4057,1,0
1,0,15,0,6,4057,1,0
20,0,177,0,21,4057,2,0
1,0,20,0,7,4057,1,0
10,0,64,0,9,4057,1,0
2,0,32,0,11,4057,1,0
18,0,126,0,16,4057,1,0
8,0,48,0,10,4057,1,0
1,0,15,0,8,4057,1,0
1,0,21,0,9,4057,1,0
33,0,831,0,2,4057,1,0
2,0,31,0,2,4057,1,0
34,0,385,0,1,4057,1,0
9,0,55,0,2,4057,1,0
1,0,15,0,2,4057,1,0
1,0,18,0,1,4057,1,0
1,0,15,0,3,4057,1,0
15,0,128,0,8,4057,1,0
1,0,39,0,3,4057,1,0
1,0,18,0,3,4057,1,0
32,0,269,0,13,4057,1,0
4,0,37,0,9,4057,1,0
1,0,133,0,5,4057,1,0
3,0,38,0,9,4057,1,0
1,0,1,0,3,4057,1,0
1,0,17,0,3,4057,1,0
1,0,1,0,5,4057,1,0
15,0,100,0,15,4057,1,0
29,0,201,0,19,4057,1,0
6,0,35,0,6,4057,1,0
1,0,7,0,4,4057,1,0
18,0,171,0,24,4057,1,0
1,0,13,0,7,4057,1,0
1,0,16,0,6,4057,1,0
1,0,22,0,16,2,2,0
1,0,37,0,9,4057,1,0
1,0,17,0,8,4057,1,0
1,0,8,0,4,4057,1,0
1,0,22,0,16,2,2,0
1,0,1,0,4,4057,1,0
1,0,16,0,4,4057,1,0
23,0,147,0,17,4057,1,0
1,0,17,0,7,4057,1,0
3,0,23,0,9,4057,1,0
18,0,136,0,27,4057,1,0
24,0,160,0,24,4057,1,0
16,0,72,0,12,4057,1,0
1,0,1,0,4,4057,1,0
1,0,16,0,5,4057,1,0
43,0,274,0,1,4057,1,0
16,0,68,0,1,4057,1,0
28,0,184,0,1,4057,1,0
1,0,6,0,1,4057,1,0
1,0,17,0,4,4057,1,0
1,0,28,0,15,4057,2,0
36,0,165,0,28,1,3,0
48,0,166,0,30,4057,4,0
1,0,16,0,10,4057,2,0
59,0,301,0,22,4057,2,0
2,0,25,0,8,4057,1,0
4,0,72,0,6,4057,1,0
16,0,127,0,2,4057,1,0
9,0,122,0,39,4057,2,0
3,0,51,0,14,4057,1,0
