Type,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,numberOfBugsFoundUntil:,numberOfNonTrivialBugsFoundUntil:,numberOfMajorBugsFoundUntil:,numberOfCriticalBugsFoundUntil:,numberOfHighPriorityBugsFoundUntil:,target,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,numberOfVersionsUntil:,numberOfFixesUntil:,numberOfRefactoringsUntil:,numberOfAuthorsUntil:,linesAddedUntil:,maxLinesAddedUntil:,avgLinesAddedUntil:,linesRemovedUntil:,maxLinesRemovedUntil:,avgLinesRemovedUntil:,codeChurnUntil:,maxCodeChurnUntil:,avgCodeChurnUntil:,ageWithRespectTo:,weightedAgeWithRespectTo:,CvsEntropy,CvsWEntropy,CvsLinEntropy,CvsLogEntropy,CvsExpEntropy,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc
0,22,1,54,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,4,1,0,2,1.0,0.75,24,24,3,0,0.75,24,0,0,2,2,0,8,33,4,1,4,1,2,4,2,0,2,0,4,2,0,8,33,4,1,4,1,2,4,2,0,2,0,4,2,0,3.0,1.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,24.0,20.0,8.0,1.0,1.0,0.333333,23.0,20.0,7.66667,46.0,9.19048,3.26838,0.0054862,0.155894,9.16383,0.24972,1.0,1.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,2.0,9.0,0.0,0.0,4.0,2.0,2.0,0.0
0,19,1,37,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,9,0,0,0,1.0,0.4,8,8,1,0,0.4,8,0,0,0,0,0,12,19,1,0,1,0,0,1,0,0,0,0,1,0,0,12,19,1,0,1,0,0,1,0,0,0,0,1,0,0,6.0,2.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,21.0,9.0,3.5,7.0,4.0,1.16667,14.0,8.0,2.33333,46.0,19.068,3.26838,0.00375372,0.155894,9.16383,0.24972,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
0,23,1,145,2,0.332599,2,11,3,0.284553,0.317308,35,33,0,4,2,27,0,6,8,0,4,0.8,0.302013,45,14,4,1,0.302013,45,0,0,0,0,0,104,123,0,4,0,4,4,0,4,0,4,74,0,4,0,104,123,0,4,0,4,4,0,4,0,4,74,0,4,0,7.0,1.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,55.0,34.0,7.85714,89.0,56.0,12.7143,-34.0,7.0,-4.85714,46.0,18.9922,6.31013,0.00657466,0.1853,9.29392,0.368531,8.0,1.0,7.0,1.0,6.0,0.0,0.0,0.0,109.0,4.0,9.0,0.0,0.0,0.0,4.0,7.0,26.0
0,31,1,96,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,11,3,238,346,3,8,1.0,0.408451,29,25,3,0,0.408451,29,0,0,0,0,0,42,66,1,1,1,1,5,0,2,0,5,24,0,2,0,42,66,1,1,1,1,5,0,2,0,5,24,0,2,0,7.0,1.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,61.0,32.0,8.71429,162.0,132.0,23.1429,-101.0,26.0,-14.4286,46.0,5.14754,6.31013,0.0168402,0.1853,9.29392,0.368531,229.0,1.0,223.0,7.0,10.0,0.0,1.0,0.0,39.0,5.0,9.0,1.0,3.0,0.0,2.0,28.0,11.0
0,24,1,67,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,6,3,22,19,1,7,1.0,0.55,22,22,7,0,0.55,22,0,0,2,3,0,18,44,1,4,1,4,6,0,6,0,6,4,0,6,0,18,44,1,4,1,4,6,0,6,0,6,4,0,6,0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.8571,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,13.0,0.0,15.0,2.0,1.0,0.0,12.0,6.0,9.0,1.0,0.0,0.0,6.0,7.0,4.0
0,21,1,91,2,0.505155,8,59,8,0.394366,0.5,28,28,1,2,2,18,0,35,52,0,5,0.333333,0.188406,13,13,2,4,0.188406,13,0,0,0,0,0,56,71,2,2,2,2,5,0,5,0,5,31,0,5,0,56,71,2,2,2,2,5,0,5,0,5,31,0,5,0,3.0,1.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,6.0,5.0,2.0,1.0,1.0,0.333333,5.0,4.0,1.66667,45.8571,17.2381,3.26838,0.00136537,0.155894,9.16383,0.24972,40.0,1.0,38.0,2.0,10.0,0.0,2.0,0.0,51.0,5.0,9.0,2.0,0.0,0.0,5.0,12.0,18.0
0,30,1,1143,2,0.0,0,0,0,0.0,0.0,0,0,1,7,4,99,3,6,20,7,16,0.857143,0.176113,87,53,6,1,0.219313,134,0,0,0,0,0,407,983,10,0,10,0,9,0,6,0,9,186,0,6,0,477,1114,23,3,23,3,18,4,10,0,18,212,4,10,0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.8571,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,7.0,8.0,28.0,0.0,10.0,0.0,294.0,8.0,9.0,10.0,3.0,0.0,5.0,116.0,96.0
0,28,1,374,2,0.0,0,0,0,0.0,0.0,0,0,1,8,7,52,1,7,19,0,16,0.764706,0.217391,70,51,13,4,0.225519,76,0,0,0,0,0,252,334,7,5,7,5,16,0,16,3,16,107,0,16,3,261,347,11,5,11,5,17,4,16,3,17,108,4,16,3,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.8571,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,7.0,3.0,78.0,0.0,7.0,0.0,151.0,13.0,9.0,7.0,0.0,0.0,13.0,92.0,49.0
0,26,1,139,2,0.348624,1,8,2,0.210526,0.333333,24,24,7,1,1,21,2,26,45,2,10,0.888889,0.287234,27,27,8,1,0.294118,30,0,0,0,0,0,67,107,1,0,1,0,8,1,8,0,8,31,1,8,0,72,114,1,0,1,0,9,1,8,0,9,32,1,8,0,3.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0,1.0,0.666667,1.0,1.0,0.333333,45.8571,12.8571,3.32672,0.000692066,0.149833,9.15394,0.227553,14.0,1.0,9.0,5.0,21.0,0.0,1.0,0.0,54.0,7.0,9.0,0.0,0.0,1.0,7.0,24.0,19.0
0,20,1,39,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,4,0,6,2,0,4,0.2,0.3,6,6,1,4,0.3,6,0,0,0,0,0,14,20,1,0,1,0,4,0,4,0,4,3,0,4,0,14,20,1,0,1,0,4,0,4,0,4,3,0,4,0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.8571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,25.0,1.0,0.0,0.0,1.0,1.0,1.0
0,22,1,64,2,0.0,0,0,0,0.0,0.0,0,0,0,1,1,9,4,7,26,3,9,0.142857,0.111111,4,4,1,6,0.111111,4,1,1,0,0,1,32,43,3,4,2,2,6,0,6,1,10,12,0,10,1,32,43,3,4,2,2,6,0,6,1,10,12,0,10,1,2.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,4.0,2.0,1.0,1.0,0.5,3.0,3.0,1.5,45.8571,19.2857,1.84703,0.000948744,0.136921,9.09329,0.175609,7.0,2.0,5.0,2.0,6.0,0.0,2.0,0.0,15.0,4.0,15.0,2.0,0.0,0.0,4.0,8.0,5.0
0,20,1,27,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,5,1,0,1,1.0,0.7,7,7,2,0,0.7,7,0,0,3,3,0,3,8,0,0,0,0,1,0,1,0,1,0,0,1,0,3,8,0,0,0,0,1,0,1,0,1,0,0,1,0,2.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,11.0,11.0,5.5,0.0,0.0,0.0,11.0,11.0,5.5,45.8571,19.2857,1.84703,0.00208724,0.136921,9.09329,0.175609,2.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,2.0,2.0,0.0
0,73,1,747,2,0.0,0,0,0,0.0,0.0,0,0,5,8,8,107,15,18,62,25,60,0.92,0.270903,162,125,23,2,0.264182,163,0,0,0,0,0,436,653,14,17,14,17,35,0,24,1,35,232,0,24,1,454,675,14,17,14,17,39,0,28,1,39,238,0,28,1,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.8571,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,19.0,25.0,496.0,0.0,14.0,0.0,389.0,32.0,9.0,14.0,10.0,0.0,21.0,196.0,88.0
0,26,1,52,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,3,2,0,0,2,3,0.5,0.190476,4,4,1,1,0.16,4,0,0,0,0,0,17,23,0,0,0,0,1,0,1,0,1,10,0,1,0,21,27,0,0,0,0,2,0,2,0,2,11,0,2,0,2.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,10.0,10.0,5.0,5.0,5.0,2.5,5.0,5.0,2.5,43.0,16.4286,1.84703,0.00284623,0.136921,9.09329,0.175609,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,24.0,1.0,9.0,0.0,0.0,0.0,1.0,8.0,3.0
0,28,1,68,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,5,1,1,1,1,5,0.5,0.114286,4,4,1,1,0.102564,4,1,1,0,0,1,31,37,20,5,0,1,4,0,1,0,27,18,0,11,2,35,41,20,5,0,1,5,0,2,0,28,19,0,12,2,2.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,10.0,10.0,5.0,5.0,5.0,2.5,5.0,5.0,2.5,43.0,16.4286,1.84703,0.00284623,0.136921,9.09329,0.175609,1.0,2.0,1.0,0.0,6.0,0.0,0.0,1.0,32.0,4.0,17.0,0.0,0.0,0.0,1.0,8.0,5.0
0,23,1,90,2,0.0,0,0,0,0.0,0.0,0,0,8,0,0,8,2,48,15,0,8,1.0,0.727273,48,48,9,0,0.727273,48,0,0,21,31,0,18,68,0,0,0,0,8,0,8,0,8,0,0,8,0,18,68,0,0,0,0,8,0,8,0,8,0,0,8,0,4.0,1.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,32.0,23.0,6.4,23.0,14.0,4.6,9.0,9.0,1.8,44.0,4.66071,4.92306,0.00420458,0.169719,9.2306,0.307768,1.0,1.0,1.0,0.0,28.0,17.0,0.0,0.0,16.0,8.0,9.0,0.0,0.0,0.0,8.0,8.0,8.0
0,22,1,94,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,15,0,57,71,0,15,0.5625,0.619048,39,39,9,7,0.619048,39,0,0,10,10,0,24,73,1,10,1,10,15,0,15,1,15,3,0,15,1,24,73,1,10,1,10,15,0,15,1,15,3,0,15,1,12.0,4.0,0.0,0.0,8.0,0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,50.0,13.0,3.57143,76.0,24.0,5.42857,-26.0,7.0,-1.85714,120.429,36.46,10.0513,0.0111325,0.167436,9.34078,0.242297,52.0,1.0,52.0,0.0,91.0,12.0,1.0,0.0,9.0,14.0,9.0,0.0,0.0,0.0,14.0,14.0,3.0
0,22,1,60,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,7,5,112,239,8,15,0.375,0.314286,11,10,3,5,0.314286,11,0,0,0,0,0,24,39,1,7,1,7,7,1,7,0,7,7,1,7,0,24,39,1,7,1,7,7,1,7,0,7,7,1,7,0,7.0,3.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,2.0,36.0,15.0,4.0,9.0,5.0,1.0,27.0,15.0,3.0,48.8571,5.69841,6.32077,0.00285952,0.180927,9.28597,0.35212,110.0,1.0,110.0,1.0,15.0,0.0,1.0,0.0,18.0,6.0,9.0,0.0,0.0,0.0,6.0,16.0,6.0
0,22,1,39,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,5,3,3,3,2,3,0.5,0.26087,6,6,1,1,0.26087,6,0,0,0,0,0,17,18,0,0,0,0,1,0,1,0,1,10,0,1,0,17,18,0,0,0,0,1,0,1,0,1,10,0,1,0,7.0,3.0,0.0,0.0,5.0,0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,23.0,7.0,2.875,21.0,9.0,2.625,2.0,3.0,0.25,139.714,66.1242,5.99636,0.00281802,0.153529,9.22107,0.215916,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,15.0,2.0,9.0,0.0,0.0,0.0,2.0,4.0,5.0
