McCC,CLOC,LLOC,Number of previous modifications,Number of committers,Number of developer commits,Number of previous fixes,target
1,0,22,1,1,1302,0,0
1,0,12,1,1,1302,0,0
2,0,19,4,2,3,0,0
1,0,21,2,1,1302,0,0
8,0,63,8,2,1302,0,0
5,0,26,1,1,1302,0,0
2,0,29,3,1,1302,0,0
3,0,25,2,1,1302,0,0
1,0,22,2,1,1302,0,0
1,0,18,2,1,1302,0,0
2,0,19,2,1,1302,0,0
1,0,21,3,2,3,0,0
1,0,18,2,1,1302,0,0
1,0,16,1,1,1302,0,0
3,0,41,1,1,1302,0,0
1,0,19,1,1,1302,0,0
7,0,53,1,1,1302,0,0
5,0,43,4,1,1302,0,0
41,0,197,36,5,1302,0,1
44,0,329,3,1,1302,0,0
24,0,143,6,2,3,0,0
21,0,130,3,1,1302,0,0
337,0,1641,35,3,1302,1,1
6,0,44,13,2,1302,0,0
12,0,113,19,1,1302,0,0
7,0,91,10,1,1302,0,0
15,0,151,17,3,1302,0,0
1,0,7,10,1,1302,0,0
31,0,171,6,1,1302,1,1
2,0,89,4,1,1302,0,1
3,0,98,4,1,1302,0,1
24,0,219,25,2,1302,1,0
29,0,244,46,2,1302,1,1
18,0,200,2,1,1302,0,0
1,0,17,12,2,1302,1,0
23,0,312,14,2,1302,1,0
91,0,192,4,1,1302,0,0
148,0,882,28,3,1302,0,1
13,0,68,5,1,1302,0,0
102,0,515,8,2,1302,0,0
80,0,583,4,1,1302,0,0
31,0,280,10,2,1302,0,0
3,0,37,6,2,1302,0,0
46,0,443,6,2,1302,0,0
1,0,131,10,1,1302,0,0
8,0,123,14,2,1302,0,0
354,0,1249,17,1,1302,0,0
56,0,418,10,2,1302,0,1
15,0,123,7,1,1302,0,0
31,0,342,1,1,1302,0,1
79,0,450,1,1,1302,0,1
41,0,365,2,1,1302,0,1
1,0,4,1,1,1302,0,0
21,0,128,8,1,1302,0,1
1,0,3,1,1,1302,0,0
30,0,182,17,1,1302,0,1
75,0,559,25,2,1302,1,1
2,0,52,4,1,1302,0,0
6,0,110,3,1,1302,0,0
6,0,110,3,1,1302,0,0
5,0,38,2,1,1302,0,0
811,0,6259,2,1,1302,0,0
2,0,33,9,1,1302,0,0
10,0,362,7,2,1302,0,0
1,0,15,5,2,1302,0,0
1,0,13,5,2,1302,0,0
1,0,190,4,1,1302,0,0
47,0,587,2,1,1302,0,0
19,0,226,22,2,1302,1,0
2,0,32,9,1,1302,0,0
30,0,212,4,1,1302,0,0
120,0,1342,3,1,1302,0,0
25,0,503,2,1,1302,0,0
85,0,813,3,1,1302,0,0
81,0,647,3,1,1302,0,0
1,0,13,7,2,1302,0,0
5,0,44,3,1,1302,0,0
2,0,25,3,1,1302,0,0
1,0,43,12,1,1302,0,0
110,0,686,3,1,1302,0,0
1,0,215,16,1,1302,0,0
1,0,48,8,1,1302,0,0
2,0,107,6,2,1302,1,0
1,0,22,4,1,1302,0,0
6,0,93,2,1,1302,0,0
3,0,30,2,1,1302,0,0
1,0,51,3,1,1302,0,0
33,0,107,2,1,1302,0,0
35,0,260,9,1,1302,0,0
2,0,31,8,1,1302,0,0
3,0,74,9,1,1302,0,0
9,0,67,5,1,1302,0,0
23,0,204,6,1,1302,0,0
6,0,51,6,1,1302,0,0
4,0,53,1,1,1302,0,0
1,0,21,2,2,1302,0,0
5,0,51,1,1,1302,0,0
2,0,21,2,1,1302,2,0
1,0,25,1,1,1302,0,0
1,0,147,8,2,1302,1,0
6,0,134,4,1,1302,0,0
6,0,109,9,2,1302,0,0
196,0,1334,5,2,1302,0,0
16,0,43,2,1,1302,0,0
1,0,64,3,1,1302,0,0
3,0,44,3,1,1302,0,0
32,0,88,1,1,1302,0,0
1,0,69,5,1,1302,0,0
2,0,19,3,1,1302,0,0
28,0,63,1,1,1302,0,0
33,0,367,8,1,1302,0,0
19,0,171,6,2,1302,0,0
1,0,69,5,1,1302,0,0
2,0,40,1,1,1302,0,0
15,0,242,1,1,1302,0,0
4,0,86,1,1,1302,0,0
1,0,8,1,1,1302,0,0
4,0,18,12,2,1302,1,0
1375,0,11307,1,1,1302,0,0
2,0,33,1,1,1302,0,0
3,0,42,1,1,1302,0,0
13,0,176,10,1,1302,0,0
1,0,0,20,1,1302,0,0
