McCC,CLOC,LLOC,Number of previous fixes,Number of committers,Number of previous modifications,Number of developer commits,target
1,0,5,0,2,5,219,0
18,0,137,0,5,12,1464,0
3,0,27,1,4,4,56,0
6,0,66,1,8,36,2597,0
6,0,52,0,7,24,219,0
4,0,49,2,9,33,1464,0
4,0,39,0,7,23,1283,0
14,0,101,3,9,42,2597,0
57,0,442,5,10,129,2597,1
16,0,132,5,5,19,423,0
3,0,42,0,4,8,219,0
2,0,49,1,5,12,2597,0
3,0,62,1,5,15,219,0
7,0,41,0,3,6,219,0
17,0,200,2,7,49,38,0
1,0,48,0,5,6,219,0
1,0,76,0,6,12,1464,0
1,0,153,0,5,9,219,0
1,0,34,0,5,10,219,0
1,0,69,0,5,9,219,0
1,0,209,0,5,11,219,0
1,0,118,0,4,9,219,0
1,0,41,0,4,9,219,0
1,0,111,0,5,16,2597,0
1,0,62,0,4,9,219,0
2,0,25,1,4,6,592,0
9,0,47,0,3,3,219,0
6,0,45,0,3,10,219,0
15,0,97,1,4,12,219,0
1,0,18,0,4,5,219,0
1,0,18,0,5,8,592,0
1,0,25,0,4,5,219,0
1,0,126,0,3,6,219,0
1,0,209,0,3,7,219,0
8,0,66,0,4,11,219,0
1,0,16,0,3,3,219,0
2,0,18,0,4,9,219,0
66,0,385,1,7,24,1464,0
1,0,14,0,4,10,219,0
7,0,54,0,6,32,1464,0
6,0,68,0,5,26,219,0
1,0,16,0,5,14,219,0
1,0,9,0,4,12,219,0
11,0,59,0,7,25,1283,0
1,0,7,0,4,12,219,0
1,0,35,0,7,16,2597,0
3,0,185,0,8,37,27,0
1,0,11,0,5,9,219,0
1,0,69,1,5,13,219,0
1,0,14,0,5,9,219,0
1,0,82,0,6,16,219,0
1,0,13,0,4,9,2597,0
1,0,79,1,7,19,27,0
9,0,63,1,5,18,1283,0
9,0,56,1,5,11,1283,0
1,0,11,0,5,11,219,0
6,0,78,0,6,20,219,0
1,0,13,0,5,12,2597,0
3,0,57,0,6,16,2597,0
1,0,7,0,5,10,219,0
2,0,67,0,6,19,219,0
1,0,47,0,6,16,2597,0
1,0,14,0,5,10,2597,0
1,0,86,0,8,27,2597,0
4,0,370,0,8,53,2597,0
1,0,10,0,4,8,219,0
1,0,61,1,6,10,219,0
1,0,36,0,4,6,219,0
1,0,28,0,6,28,2597,0
79,0,436,5,8,72,1464,0
1,0,21,0,5,19,2597,0
55,0,377,6,9,54,2597,0
1,0,22,0,6,20,592,0
8,0,127,0,6,31,592,0
1,0,46,0,7,25,2597,0
1,0,16,0,6,16,2597,0
5,0,116,1,10,31,27,0
9,0,401,0,11,81,27,0
1,0,10,0,6,17,2597,0
15,0,121,2,10,27,27,0
1,0,11,0,6,17,2597,0
11,0,83,2,10,27,27,0
1,0,19,0,6,11,2597,0
1,0,127,0,9,30,27,0
1,0,3,0,5,12,2597,0
1,0,79,0,5,15,2597,0
1,0,5,0,4,10,219,0
5,0,51,0,4,11,2597,0
5,0,27,0,5,15,219,0
1,0,6,0,5,8,1283,0
1,0,30,0,6,24,1283,0
97,0,490,1,8,81,1283,0
1,0,26,0,6,16,219,0
16,0,189,0,6,27,1464,0
12,0,73,1,5,21,592,0
1,0,61,0,8,20,2597,0
1,0,24,0,7,18,2597,0
5,0,119,1,10,33,27,0
1,0,17,0,5,10,2597,0
1,0,79,0,7,21,2597,0
8,0,410,0,11,98,27,1
1,0,10,0,6,17,2597,0
15,0,124,2,10,48,27,0
1,0,11,0,6,21,2597,0
11,0,86,2,9,37,592,0
1,0,18,0,5,10,2597,0
1,0,84,0,10,35,27,0
1,0,19,0,4,7,2597,0
1,0,75,0,5,15,1464,0
1,0,5,0,4,10,219,0
5,0,51,0,5,13,1283,0
5,0,27,0,5,12,219,0
1,0,6,0,5,10,1283,0
1,0,31,0,6,26,592,0
105,0,585,3,8,69,592,0
1,0,8,0,5,11,219,0
4,0,50,0,6,22,1464,0
1,0,33,0,5,16,1283,0
1,0,13,0,6,18,2597,0
1,0,88,0,9,32,1464,0
1,0,8,0,6,16,219,0
11,0,93,2,7,28,1283,1
9,0,58,1,5,20,1283,0
1,0,20,0,6,29,1464,0
10,0,95,0,6,18,219,0
12,0,117,0,7,31,219,0
5,0,63,0,5,19,219,0
23,0,178,2,9,57,423,0
17,0,172,0,5,22,1283,0
17,0,120,1,5,15,423,0
17,0,138,1,5,20,219,0
23,0,196,7,8,68,2597,0
18,0,108,1,7,23,219,0
1,0,16,0,6,12,219,0
22,0,168,1,7,29,219,0
17,0,138,1,7,29,219,0
23,0,194,7,8,61,2597,0
2,0,56,1,7,21,219,0
5,0,90,1,5,13,219,0
6,0,101,3,5,21,1464,0
3,0,82,4,6,20,1464,0
3,0,80,4,6,20,423,0
1,0,5,0,4,5,219,0
5,0,61,0,5,9,219,0
1,0,6,0,4,9,219,0
1,0,7,0,5,14,1464,0
3,0,28,0,5,14,1464,0
4,0,32,0,4,9,219,0
1,0,33,0,4,9,219,0
2,0,21,0,4,10,219,0
9,0,66,1,5,20,1283,0
1,0,37,0,4,9,219,0
3,0,24,0,4,10,219,0
9,0,59,1,5,22,1283,0
1,0,11,0,5,8,219,0
1,0,21,0,5,10,219,0
5,0,84,0,4,10,1464,0
1,0,48,2,7,22,1283,0
13,0,78,1,8,35,2597,0
1,0,27,0,2,4,219,0
13,0,72,1,3,7,1283,0
39,0,176,1,4,13,2597,0
6,0,41,1,5,9,1283,0
134,0,624,1,5,22,1464,0
1,0,11,0,2,2,219,0
5,0,24,1,3,7,1283,0
2,0,48,1,4,5,423,0
9,0,111,1,3,3,219,0
13,0,64,1,3,9,1283,0
3,0,53,0,4,8,38,0
1,0,61,0,2,2,219,0
52,0,230,2,5,26,1464,0
1,0,19,0,3,3,219,0
55,0,210,1,3,8,1283,0
4,0,77,0,4,10,2597,0
26,0,143,2,5,15,1283,0
1,0,37,0,2,4,219,0
24,0,121,2,3,11,2597,0
32,0,138,2,4,13,1283,0
1,0,7,0,2,2,219,0
13,0,80,1,3,7,1283,0
18,0,112,5,7,27,2597,0
