McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of committers,Number of developer commits,target
6,0,52,1,12,2,1300,0
40,0,277,2,51,2,1300,0
114,0,657,6,186,2,1843,0
12,0,73,0,50,2,1300,0
14,0,82,0,22,2,1843,0
1,0,25,0,8,2,1843,0
57,0,312,0,38,2,1843,1
17,0,168,1,44,2,1843,1
1,0,74,0,22,2,1300,0
22,0,110,0,11,2,1843,0
24,0,98,0,21,2,1843,0
3,0,22,0,7,2,1843,0
58,0,372,2,47,2,1843,0
67,0,565,0,90,2,1843,0
11,0,40,0,10,2,1843,0
30,0,262,0,55,3,68,0
1,0,67,0,22,2,1843,0
16,0,204,0,88,2,1843,0
1,0,37,0,23,1,1843,0
12,0,67,0,48,3,1843,0
4,0,69,0,31,2,1300,0
3,0,63,1,15,2,1843,0
1,0,4,0,19,1,1843,0
42,0,362,1,72,2,1300,0
1,0,58,0,47,2,1843,0
18,0,97,0,25,2,1300,0
40,0,290,0,73,2,1843,0
54,0,319,1,91,3,1843,0
1,0,8,0,4,1,1843,0
23,0,90,0,10,1,1843,0
3,0,19,0,9,2,1843,0
11,0,58,0,11,2,1300,0
2,0,20,0,14,2,1300,0
2,0,31,0,8,2,1300,0
18,0,94,0,40,2,1843,0
1,0,10,0,16,2,1300,0
4,0,43,0,22,2,1843,0
6,0,56,0,2,2,1300,0
1,0,3,0,5,1,1843,0
59,0,205,0,22,2,1843,0
12,0,122,1,28,2,1843,0
1,0,22,0,4,2,1300,0
4,0,43,0,16,2,1300,0
1,0,9,0,3,1,1843,0
1,0,11,0,10,2,1843,0
3,0,65,0,15,2,1300,0
35,0,195,0,51,2,1300,0
82,0,451,4,105,3,1843,0
1,0,33,0,14,2,1300,0
8,0,91,1,20,2,1843,0
32,0,144,0,67,2,1843,0
45,0,219,3,55,2,1300,0
5,0,137,1,28,2,1843,0
7,0,75,0,22,2,1300,0
22,0,87,1,35,2,1843,0
6,0,80,0,10,2,1843,0
1,0,6,0,5,1,1843,0
2,0,23,0,15,2,1300,0
4,0,52,0,21,2,1300,0
1,0,10,0,15,1,1843,0
21,0,143,1,15,3,1843,0
4,0,32,0,9,2,1300,0
64,0,278,0,54,2,1843,0
26,0,224,0,65,2,1843,0
