McCC,CLOC,PDA,PUA,LLOC,LOC,ID.1,LongName.1,Parent.1,McCC.1,CLOC.1,LLOC.1,Number of previous fixes,Number of committers,Number of previous modifications,Number of developer commits,target
3,0,0,17,62,84,17,0,7,3,0,62,0,5,11,208,0
1,0,12,1,53,155,19,1,7,1,0,53,0,7,26,1840,0
10,0,31,1,165,585,20,2,7,10,0,165,0,8,38,55,0
4,0,12,1,63,179,22,3,7,4,0,63,0,6,28,1840,0
1,0,2,1,14,30,23,4,7,1,0,14,0,2,2,258,0
6,0,1,1,34,54,24,5,7,6,0,34,0,4,11,258,0
1,0,0,2,7,10,68,6,15,1,0,7,0,1,1,1840,0
1,0,0,2,7,10,69,7,15,1,0,7,0,1,1,1840,0
1,0,0,2,17,23,143,8,44,1,0,17,0,1,1,1840,0
3,0,0,5,37,52,144,9,44,3,0,37,1,4,11,1840,0
5,0,0,2,23,30,145,10,44,5,0,23,0,1,1,1840,0
7,0,0,6,55,71,146,11,44,7,0,55,0,2,2,258,0
2,0,0,3,26,35,147,12,44,2,0,26,0,1,2,1840,1
8,0,0,3,54,67,193,13,64,8,0,54,0,1,2,1840,1
2,0,0,1,23,30,194,14,64,2,0,23,0,4,6,1840,0
2,0,0,1,23,30,195,15,64,2,0,23,0,4,6,1840,0
20,0,0,2,91,114,198,16,64,20,0,91,1,2,4,1840,0
3,0,0,3,28,37,200,17,64,3,0,28,0,3,5,1840,0
1,0,0,1,26,34,201,18,64,1,0,26,0,4,8,1840,0
24,0,0,3,114,142,202,19,64,24,0,114,0,1,1,1840,0
5,0,0,3,56,70,203,20,64,5,0,56,0,1,3,1840,0
9,0,0,3,66,85,204,21,64,9,0,66,0,1,2,1840,1
14,0,0,4,82,102,205,22,64,14,0,82,0,2,3,1840,0
1,0,0,2,12,17,206,23,66,1,0,12,0,2,2,1840,0
16,0,0,4,101,131,207,24,66,16,0,101,0,2,6,1840,0
5,0,0,2,41,53,208,25,66,5,0,41,0,2,2,1840,1
3,0,0,3,29,39,232,26,74,3,0,29,0,2,5,1840,0
6,0,0,3,43,53,234,27,74,6,0,43,0,3,7,55,1
4,0,0,3,37,43,245,28,74,4,0,37,0,1,1,55,0
18,0,0,3,103,139,254,29,74,18,0,103,0,3,6,55,0
2,0,0,1,33,42,5,30,2,2,0,33,1,2,4,1840,0
2,0,0,1,33,41,6,31,2,2,0,33,1,3,3,648,0
22,0,0,3,140,173,7,32,2,22,0,140,2,3,7,55,1
2,0,0,1,33,42,8,33,2,2,0,33,1,2,3,1840,0
15,0,0,2,94,121,9,34,2,15,0,94,1,3,6,55,1
1,0,0,1,34,41,25,35,10,1,0,34,0,2,2,1840,0
14,0,0,4,91,115,26,36,10,14,0,91,0,1,2,1840,0
1,0,0,1,34,41,27,37,10,1,0,34,0,2,2,1840,0
4,0,0,2,31,40,28,38,11,4,0,31,0,2,3,1840,0
3,0,0,2,27,34,29,39,11,3,0,27,0,2,4,1840,1
5,0,0,2,41,52,30,40,11,5,0,41,0,2,3,1840,0
51,0,0,3,196,235,31,41,11,51,0,196,3,8,44,1840,1
6,0,0,2,39,52,32,42,11,6,0,39,0,2,3,1840,0
4,0,0,2,31,39,33,43,11,4,0,31,0,2,3,1840,0
9,0,0,2,47,59,34,44,11,9,0,47,0,2,4,1840,0
2,0,0,2,26,32,35,45,11,2,0,26,1,3,3,648,1
14,0,0,2,92,114,36,46,11,14,0,92,1,3,8,1840,0
6,0,0,2,47,60,37,47,11,6,0,47,0,3,4,1840,1
11,0,0,2,72,91,38,48,11,11,0,72,0,2,5,1840,0
12,0,0,2,69,94,39,49,11,12,0,69,2,3,5,1840,1
5,0,0,2,39,49,40,50,11,5,0,39,0,2,4,1840,1
12,0,0,2,73,99,41,51,11,12,0,73,0,2,3,1840,0
3,0,0,2,29,36,42,52,11,3,0,29,0,2,2,1840,0
7,0,0,2,47,63,43,53,11,7,0,47,1,2,4,1840,0
12,0,0,2,44,49,44,54,11,12,0,44,0,1,1,258,0
3,0,0,2,28,35,45,55,12,3,0,28,0,1,2,1840,0
10,0,0,2,53,65,46,56,12,10,0,53,0,2,3,1840,1
23,0,0,4,155,202,47,57,12,23,0,155,0,2,10,1840,1
3,0,0,2,28,35,48,58,12,3,0,28,0,1,2,1840,0
14,0,0,3,92,113,49,59,13,14,0,92,0,5,14,55,1
13,0,0,3,80,96,50,60,13,13,0,80,1,8,27,55,1
5,0,0,3,51,64,51,61,13,5,0,51,0,2,9,1840,0
15,0,0,3,83,105,52,62,13,15,0,83,2,7,28,208,0
17,0,0,2,76,97,53,63,14,17,0,76,1,6,43,1840,0
16,0,0,2,74,95,54,64,14,16,0,74,1,6,41,1840,0
25,0,0,2,93,120,55,65,14,25,0,93,1,6,46,1840,0
7,0,0,2,50,64,56,66,14,7,0,50,0,6,32,1840,0
37,0,0,2,134,172,57,67,14,37,0,134,0,7,61,1840,1
46,0,0,2,129,166,58,68,14,46,0,129,1,6,44,1840,0
