McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of committers,Number of developer commits,target
18,0,112,0,15,0,0,0
1,0,122,0,19,4,6,0
5,0,51,0,8,0,0,0
6,0,57,0,6,0,0,0
29,0,368,0,47,0,0,0
234,0,1526,0,203,4,6,0
4,0,23,0,4,0,0,0
1,0,349,0,56,4,6,0
1,0,13,0,3,0,0,0
3,0,22,0,59,1,3122,0
1,0,7,0,3,0,0,0
40,0,332,0,66,0,0,0
2,0,16,0,3,0,0,0
1,0,15,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
5,0,80,0,33,0,0,0
1,0,20,0,3,0,0,0
5,0,45,0,3,0,0,0
15,0,164,0,16,0,0,1
14,0,94,0,36,2,6,0
20,0,81,0,29,2,6,0
32,0,130,0,18,0,0,0
1,0,5,0,3,0,0,0
1,0,13,0,9,0,0,0
1,0,4,0,1,0,0,0
1,0,3,0,1,0,0,0
1,0,12,0,11,0,0,0
2,0,46,0,18,0,0,0
1,0,11,0,2,0,0,0
8,0,45,0,2,0,0,0
5,0,62,0,9,0,0,0
1,0,4,0,2,0,0,0
1,0,6,0,3,0,0,0
1,0,17,0,1,0,0,0
1,0,9,0,7,0,0,0
8,0,68,0,17,0,0,0
1,0,5,0,3,0,0,0
1,0,12,0,12,0,0,0
1,0,8,0,5,0,0,0
18,0,136,0,25,0,0,0
1,0,4,0,3,0,0,0
1,0,27,0,2,0,0,0
1,0,4,0,2,0,0,0
10,0,54,0,8,0,0,0
32,0,360,0,142,0,0,1
1,0,7,0,3,0,0,0
1,0,12,0,4,0,0,0
1,0,9,0,2,0,0,0
1,0,12,0,1,0,0,0
38,0,338,0,68,2,6,0
1,0,23,0,9,0,0,0
1,0,11,0,4,0,0,0
1,0,13,0,4,0,0,0
1,0,24,0,4,0,0,0
1,0,6,0,4,0,0,0
1,0,6,0,1,0,0,0
1,0,5,0,10,0,0,0
1,0,49,0,1,0,0,0
1,0,55,0,2,0,0,0
4,0,43,0,9,0,0,0
2,0,30,0,5,0,0,0
1,0,76,0,58,4,6,0
1,0,71,0,36,2,6,0
12,0,62,0,7,0,0,0
1,0,5,0,6,0,0,0
1,0,13,0,6,0,0,0
16,0,112,0,20,0,0,0
10,0,91,0,16,0,0,0
1,0,6,0,5,0,0,0
12,0,41,0,2,0,0,0
4,0,32,0,7,0,0,0
12,0,297,0,76,4,420,0
1,0,5,0,5,0,0,0
1,0,5,0,2,0,0,0
3,0,247,0,59,2,6,0
1,0,5,0,2,0,0,0
3,0,13,0,4,0,0,0
1,0,11,0,11,0,0,0
4,0,45,0,11,0,0,0
1,0,10,0,5,0,0,0
3,0,17,0,3,0,0,0
29,0,86,0,6,0,0,0
13,0,88,0,17,0,0,0
5,0,50,0,3,0,0,0
1,0,4,0,3,0,0,0
1,0,11,0,2,0,0,0
2,0,72,0,12,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,20,0,2,0,0,0
1,0,11,0,1,0,0,0
1,0,11,0,2,0,0,0
1,0,7,0,3,0,0,0
4,0,45,0,5,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,19,0,5,0,0,0
1,0,11,0,4,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,10,0,1,0,0,0
1,0,10,0,1,0,0,0
1,0,11,0,2,0,0,0
1,0,10,0,2,0,0,0
1,0,28,0,3,0,0,0
115,0,421,0,35,0,0,0
1,0,18,0,5,0,0,0
31,0,142,0,12,0,0,0
2,0,21,0,3,0,0,0
1,0,14,0,8,0,0,0
17,0,89,0,8,0,0,0
1,0,12,0,9,4,6,0
5,0,109,0,6,0,0,0
7,0,90,0,8,4,6,0
4,0,81,0,9,4,6,0
1,0,37,0,4,0,0,0
65,0,365,0,14,4,6,0
25,0,211,0,49,0,0,0
1,0,24,0,15,0,0,0
9,0,46,0,2,0,0,0
93,0,406,0,30,0,0,0
51,0,353,0,9,0,0,0
14,0,96,0,4,0,0,0
9,0,44,0,1,0,0,0
1,0,67,0,42,0,0,1
7,0,200,0,25,0,0,1
1,0,5,0,2,0,0,0
1,0,19,0,6,0,0,0
27,0,108,0,2,0,0,0
1,0,8,0,5,0,0,0
3,0,32,0,14,0,0,1
6,0,50,0,6,0,0,0
1,0,11,0,3,0,0,0
1,0,8,0,16,0,0,0
18,0,157,0,35,0,0,1
1,0,26,0,19,0,0,1
1,0,30,0,26,0,0,0
29,0,288,0,22,2,3122,1
2,0,80,0,11,0,0,0
8,0,99,0,15,0,0,0
18,0,134,0,16,0,0,0
80,0,446,0,22,0,0,1
77,0,683,0,107,0,0,0
1,0,11,0,21,0,0,0
60,0,346,0,21,0,0,1
37,0,377,0,30,0,0,1
5,0,62,0,10,0,0,0
5,0,53,0,10,0,0,0
9,0,69,0,6,0,0,1
1,0,11,0,2,0,0,0
35,0,144,0,9,0,0,1
36,0,138,0,11,0,0,1
4,0,39,0,32,2,6,1
5,0,32,0,3,0,0,0
10,0,124,0,11,0,0,0
8,0,69,0,7,0,0,0
22,0,152,0,6,0,0,0
6,0,95,0,9,0,0,0
18,0,109,0,8,0,0,0
1,0,6,0,4,0,0,0
7,0,39,0,19,0,0,0
1,0,8,0,3,0,0,0
1,0,14,0,3,0,0,0
44,0,223,0,19,5,6,0
1,0,11,0,2,0,0,0
8,0,59,0,29,3,6,1
29,0,156,0,47,4,420,1
54,0,226,0,20,4,6,1
1,0,10,0,2,0,0,0
8,0,87,0,17,0,0,0
20,0,149,0,42,0,0,0
10,0,97,0,3,0,0,0
1,0,16,0,1,0,0,0
1,0,6,0,4,0,0,0
2,0,17,0,3,0,0,0
3,0,121,0,9,0,0,0
1,0,8,0,11,0,0,0
3,0,32,0,24,0,0,0
1,0,12,0,3,0,0,0
15,0,32,0,13,0,0,0
4,0,28,0,3,0,0,0
1,0,38,0,29,0,0,0
38,0,302,0,87,0,0,0
6,0,67,0,4,0,0,0
1,0,17,0,18,0,0,0
1,0,7,0,4,0,0,0
1,0,8,0,2,0,0,0
1,0,20,0,18,0,0,0
157,0,339,0,74,0,0,1
