McCC,CLOC,LLOC,Number of previous fixes,Number of committers,Number of previous modifications,Number of developer commits,target
38,0,360,1,9,182,232,1
3,0,35,0,1,2,1840,0
9,0,38,0,5,13,1840,0
3,0,55,0,3,15,1840,0
2,0,49,0,3,15,1840,0
6,0,34,0,2,6,1840,0
22,0,103,1,4,14,232,0
6,0,63,1,2,10,1840,0
2,0,130,1,4,27,768,1
8,0,305,1,8,89,768,1
6,0,62,0,4,12,232,0
3,0,33,0,4,10,258,0
5,0,79,0,3,12,270,0
44,0,181,1,5,21,1840,0
17,0,161,0,5,33,232,0
1,0,7,0,3,5,208,0
1,0,10,0,1,1,270,0
27,0,163,0,5,12,232,1
142,0,752,1,8,128,232,1
1,0,10,0,5,6,232,0
18,0,99,0,5,18,768,0
7,0,72,0,2,3,270,0
7,0,43,0,2,14,1840,0
81,0,241,0,8,74,1840,0
79,0,311,0,6,74,232,1
5,0,22,0,4,18,232,0
93,0,328,0,6,86,1840,1
3,0,19,0,3,5,232,0
8,0,59,0,3,12,1840,0
8,0,56,1,4,29,1840,0
6,0,66,0,3,3,258,0
3,0,49,0,5,34,270,0
43,0,238,0,6,18,1840,1
22,0,119,0,3,11,270,0
3,0,34,0,2,8,1840,0
18,0,85,0,3,12,232,0
5,0,45,0,1,1,1840,0
3,0,32,0,2,3,1840,0
2,0,19,0,3,6,1840,0
2,0,22,0,3,10,1840,0
7,0,31,0,2,7,1840,0
3,0,30,0,3,13,1840,0
32,0,240,0,2,18,1840,0
3,0,21,0,4,14,1840,0
3,0,20,0,3,4,1840,0
3,0,20,0,2,16,1840,0
1,0,24,0,2,2,232,0
1,0,25,0,1,7,1840,0
101,0,436,0,7,42,1840,1
18,0,134,0,2,3,1840,0
133,0,222,0,6,31,232,0
106,0,385,0,5,75,1840,0
69,0,437,2,7,49,208,0
13,0,60,0,3,12,1840,1
14,0,48,0,3,12,1840,0
131,0,295,0,4,27,1840,0
37,0,182,0,3,19,768,1
29,0,259,0,3,8,232,0
39,0,192,0,4,38,768,1
26,0,94,0,2,17,232,0
18,0,74,0,3,20,1840,1
3,0,374,0,6,30,232,1
99,0,319,1,7,60,1840,0
5,0,61,0,3,25,768,0
15,0,99,1,3,21,1840,0
15,0,109,1,5,30,1840,0
12,0,68,1,4,51,1840,0
3,0,29,0,3,23,768,0
14,0,97,2,5,38,1840,1
4,0,37,0,4,17,1840,0
9,0,46,1,4,7,232,0
13,0,81,1,4,21,1840,0
5,0,33,1,5,17,1840,0
12,0,56,0,6,23,1840,0
5,0,33,1,4,13,1840,0
4,0,31,0,5,32,1840,0
4,0,28,0,1,4,1840,0
10,0,69,0,3,14,1840,1
8,0,63,1,4,19,1840,0
13,0,105,1,5,47,1840,0
27,0,144,1,6,34,208,0
7,0,55,0,4,14,270,0
16,0,86,1,6,25,1840,0
7,0,55,0,5,17,1840,0
43,0,219,0,7,34,232,1
16,0,103,0,5,25,1840,0
10,0,71,1,6,34,1840,0
21,0,95,1,5,39,1840,0
19,0,88,1,5,37,1840,0
32,0,121,1,5,43,1840,0
14,0,76,0,5,29,1840,0
21,0,113,0,5,47,1840,0
41,0,143,1,5,39,1840,0
46,0,192,1,6,42,1840,0
42,0,141,1,6,55,1840,0
27,0,121,2,5,38,1840,0
36,0,145,1,6,39,1840,0
31,0,126,1,5,45,1840,0
28,0,110,0,6,37,1840,0
8,0,50,0,4,17,1840,0
12,0,74,0,5,23,1840,1
11,0,74,1,4,16,232,0
13,0,96,1,4,21,232,0
11,0,81,1,4,17,232,0
13,0,83,0,3,5,232,0
7,0,39,0,2,2,270,0
1,0,18,0,1,2,270,0
1,0,62,0,2,4,1840,0
1,0,21,0,1,3,1840,0
1,0,30,0,1,6,1840,0
1,0,67,0,2,3,1840,0
34,0,232,0,1,2,270,0
2,0,86,0,2,2,1840,0
1,0,15,0,2,4,1840,0
1,0,38,0,2,3,1840,0
1,0,6,0,2,3,1840,1
1,0,38,0,1,2,1840,1
1,0,11,0,2,3,1840,1
1,0,28,0,1,2,1840,0
1,0,13,0,1,2,1840,1
1,0,13,0,1,2,1840,0
1,0,9,0,2,4,768,0
1,0,10,0,2,2,1840,0
1,0,8,0,1,2,1840,0
1,0,8,0,1,2,1840,0
1,0,8,0,1,2,1840,0
1,0,44,0,1,3,1840,0
2,0,53,0,1,3,1840,0
1,0,27,0,1,2,1840,0
1,0,35,0,1,3,1840,0
1,0,28,0,1,3,1840,0
11,0,71,0,3,5,232,0
9,0,62,0,3,5,232,0
25,0,150,0,3,12,232,0
1,0,13,0,3,17,1840,0
3,0,29,1,2,7,232,0
15,0,57,1,4,29,1840,0
3,0,41,1,3,13,1840,0
7,0,70,1,4,19,1840,0
5,0,47,0,4,23,1840,0
12,0,52,2,5,32,1840,1
1,0,19,0,2,4,1840,0
2,0,37,0,2,5,1840,0
2,0,22,0,1,1,1840,0
3,0,41,0,2,8,1840,0
2,0,22,0,1,2,1840,0
17,0,62,0,3,9,1840,0
1,0,16,0,3,8,768,0
3,0,37,0,1,1,1840,0
12,0,82,0,2,3,1840,0
1,0,19,0,2,3,768,0
22,0,103,1,5,36,1840,0
93,0,360,2,5,69,1840,0
124,0,434,1,8,73,1840,0
110,0,359,3,6,60,1840,0
6,0,34,0,2,2,232,0
1,0,14,0,2,9,232,0
23,0,130,0,2,4,1840,0
4,0,31,1,2,4,1840,0
73,0,245,0,2,19,232,1
2,0,37,0,2,6,232,0
17,0,101,0,3,17,768,1
