McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of committers,Number of developer commits,target
5,0,9,0,4,2,1300,0
6,0,34,0,5,2,1300,0
14,0,14,0,5,2,1300,0
7,0,46,0,6,2,1843,0
3,0,22,0,18,2,1300,0
3,0,25,0,4,2,1300,0
2,0,10,0,5,1,1843,0
22,0,108,0,26,2,1300,0
37,0,185,0,39,2,1300,0
2,0,12,0,5,1,1843,0
1,0,13,0,9,2,1300,0
3,0,26,0,51,2,1300,0
1,0,10,0,17,2,1300,0
1,0,12,0,3,1,1843,0
3,0,25,0,1,1,1843,0
1,0,23,0,9,2,1843,0
39,0,268,1,45,2,1843,0
106,0,625,1,155,2,1300,0
12,0,73,0,46,2,1300,0
14,0,82,0,20,2,1843,0
1,0,25,0,8,2,1843,0
53,0,301,0,19,2,1300,0
17,0,155,1,32,2,1300,0
1,0,49,0,18,2,1300,0
22,0,110,0,11,2,1843,0
25,0,99,0,16,2,1843,0
59,0,295,0,54,2,1300,1
3,0,22,0,7,2,1843,0
23,0,223,1,38,2,1300,1
56,0,501,0,72,2,1300,0
12,0,40,0,7,2,1300,0
30,0,268,0,46,2,1300,0
1,0,67,0,22,2,1843,0
16,0,228,0,72,2,1300,0
1,0,37,0,23,1,1843,0
10,0,61,0,40,2,1300,0
4,0,69,0,30,2,1300,0
1,0,4,0,19,1,1843,0
40,0,360,0,66,2,1843,1
1,0,58,0,47,2,1843,0
18,0,97,0,24,2,1300,0
40,0,288,0,64,2,1300,0
55,0,279,0,57,2,1300,1
1,0,8,0,4,1,1843,0
23,0,90,0,10,1,1843,0
3,0,19,0,9,2,1843,0
10,0,56,0,8,2,1843,0
1,0,14,0,11,2,1843,0
1,0,23,0,4,1,1843,0
22,0,117,0,36,2,1843,0
1,0,11,0,13,1,1843,0
4,0,43,0,22,2,1843,0
1,0,3,0,5,1,1843,0
59,0,204,0,19,2,1300,0
8,0,81,0,21,2,1300,0
1,0,16,0,2,1,1843,0
4,0,43,0,15,2,1300,0
1,0,9,0,3,1,1843,0
1,0,11,0,10,2,1843,0
3,0,70,0,12,2,1843,0
35,0,200,0,48,2,1300,0
74,0,406,0,88,2,1300,0
1,0,36,0,11,2,1843,0
8,0,84,0,13,2,1300,0
32,0,144,0,67,2,1843,0
42,0,203,0,48,2,1300,1
5,0,130,0,23,2,1300,0
7,0,77,0,19,1,1843,0
25,0,92,0,32,2,1300,0
2,0,53,0,5,2,1300,0
1,0,6,0,5,1,1843,0
2,0,23,0,14,2,1300,0
4,0,52,0,20,2,1300,0
1,0,10,0,15,1,1843,0
21,0,148,0,8,3,1843,0
4,0,32,0,7,2,1843,0
64,0,278,0,48,2,1300,0
28,0,247,0,56,2,1300,0
1,0,13,0,9,1,1843,0
1,0,104,2,111,2,1300,1
88,0,573,0,143,2,1300,0
