McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of developer commits,Number of committers,target
76,0,857,2,39,4057,4,1
12,0,107,2,5,1649,2,0
1,0,34,0,3,1649,2,0
25,0,185,1,6,1649,2,1
19,0,83,0,3,1649,2,1
19,0,86,0,4,1649,2,1
1,0,13,0,6,1649,2,0
1,0,5,0,1,4057,1,0
56,0,290,0,2,4057,1,0
1,0,166,1,31,4057,4,1
1,0,19,2,6,1649,2,0
1,0,9,0,3,1649,2,0
5,0,68,0,4,4057,2,0
17,0,170,0,6,4057,3,0
6,0,88,0,4,4057,2,0
1,0,151,0,50,1649,5,1
5,0,51,0,4,1649,2,1
161,0,1322,4,42,1649,6,1
33,0,265,1,15,4057,3,0
2,0,173,1,23,4057,4,1
16,0,681,0,3,1649,2,1
7,0,173,0,3,1649,2,1
1,0,14,0,2,4057,1,0
1,0,12,0,9,4057,3,1
1,0,1,0,9,4057,2,0
43,0,324,2,9,1649,2,0
29,0,262,1,4,4057,2,0
16,0,96,0,3,1649,2,0
16,0,151,1,11,4057,2,1
15,0,121,1,2,4057,1,1
10,0,234,0,3,4057,1,1
4,0,214,0,3,4057,1,1
21,0,252,1,6,1649,2,1
17,0,108,0,1,4057,1,0
1,0,10,0,1,4057,1,0
6,0,97,1,12,4057,2,0
3,0,171,1,22,4057,4,1
1,0,8,0,3,1649,2,0
7,0,221,2,26,4057,4,1
9,0,703,2,28,1649,4,1
90,0,484,1,21,4057,3,1
2,0,24,2,5,1649,2,0
44,0,409,1,14,4057,2,1
14,0,290,1,10,4057,1,1
123,0,1380,0,3,4057,2,0
5,0,315,1,4,1649,2,0
1,0,6,0,1,1649,1,0
1,0,17,0,1,1649,1,0
1,0,24,0,1,1649,1,0
11,0,169,0,1,4057,1,0
1,0,40,0,1,1649,1,0
11,0,146,0,2,4057,2,0
1,0,28,0,1,71,1,0
1,0,20,0,1,1649,1,0
1,0,6,0,1,1649,1,0
1,0,17,0,1,1649,1,0
1,0,16,0,1,1649,1,0
1,0,129,0,1,1649,1,0
1,0,23,0,1,1649,1,0
17,0,425,0,4,4057,2,0
1,0,67,1,13,4057,3,0
11,0,64,4,17,4057,3,1
6,0,38,4,20,4057,3,1
1,0,76,0,20,4057,3,1
18,0,104,6,29,4057,3,1
1,0,15,0,5,4057,2,0
1,0,15,0,7,4057,3,0
1,0,15,0,6,4057,3,0
8,0,55,0,3,72,2,0
34,0,179,0,17,4057,3,1
1,0,17,0,6,72,2,0
1,0,15,0,6,4057,3,0
4,0,34,1,18,1649,3,1
29,0,177,1,15,1649,3,1
15,0,62,0,15,4057,3,0
