McCC,CLOC,LLOC,Number of previous modifications,Number of previous fixes,Number of committers,Number of developer commits,target
1,0,11,6,0,5,1404,0
1,0,30,6,0,5,1404,0
1,0,20,11,0,7,1404,0
1,0,27,14,0,6,1404,0
5,0,91,14,0,6,1404,0
1,0,20,7,0,6,1404,0
1,0,26,17,0,8,1404,0
1,0,20,10,0,6,1404,0
14,0,92,9,0,6,1404,0
1,0,12,8,0,6,1404,0
26,0,317,14,0,7,1404,0
1,0,1,7,0,4,1404,0
1,0,7,8,0,6,1404,0
1,0,24,8,0,6,1404,0
1,0,21,9,0,6,1404,0
1,0,63,6,0,4,1404,0
1,0,11,8,0,6,1404,0
1,0,35,10,0,7,1404,0
3,0,31,9,0,6,1404,0
8,0,130,9,0,6,1404,0
2,0,70,18,0,9,1404,0
2,0,71,10,0,8,1404,0
37,0,246,10,0,8,5350,0
18,0,183,11,0,6,1404,0
1,0,55,14,0,8,1404,0
2,0,65,13,0,7,1404,0
15,0,150,14,0,7,1404,0
2,0,67,14,0,9,1404,0
5,0,76,14,0,8,1404,0
4,0,55,6,0,4,1404,0
1,0,20,8,0,6,1404,0
1,0,19,8,0,6,1404,0
4,0,42,7,0,6,1404,0
12,0,107,9,0,6,1404,0
1,0,5,6,0,4,1404,0
2,0,24,6,0,4,1404,0
3,0,119,10,0,7,1404,0
4,0,103,9,0,7,1404,0
10,0,238,11,0,8,1404,0
5,0,68,11,0,6,1404,0
1,0,72,9,0,6,1404,0
1,0,11,6,0,5,1404,0
1,0,25,8,0,5,1404,0
2,0,34,8,0,6,1404,0
1,0,4,6,0,4,1404,0
4,0,42,5,0,4,1404,0
1,0,15,9,0,7,505,0
1,0,38,13,0,10,1296,0
2,0,51,10,0,7,505,0
2,0,49,31,0,10,505,0
2,0,61,6,0,4,505,0
1,0,20,13,0,8,5350,0
1,0,43,56,0,11,5350,0
6,0,89,35,0,14,3997,0
1,0,31,19,0,7,505,0
2,0,35,18,0,8,505,0
1,0,46,35,0,10,5350,0
1,0,17,1,0,1,2319,0
1,0,110,47,0,10,2472,0
1,0,39,2,0,2,1126,0
5,0,107,10,0,1,2319,0
2,0,138,73,0,13,2319,0
7,0,164,73,0,13,2472,0
1,0,324,22,0,10,505,0
1,0,70,15,0,9,505,0
2,0,521,104,0,15,2319,0
2,0,81,28,0,10,505,0
1,0,169,2,0,2,310,0
1,0,28,8,0,7,505,0
1,0,110,57,0,11,505,0
1,0,190,36,0,10,2319,0
1,0,34,47,0,10,360,0
1,0,46,7,0,5,310,0
1,0,65,29,0,10,360,0
3,0,52,38,0,11,2319,0
1,0,135,65,0,10,2319,0
4,0,92,95,0,12,2319,0
1,0,96,39,0,11,505,0
1,0,138,40,0,11,505,0
3,0,651,136,0,15,505,0
2,0,481,74,0,14,505,0
1,0,33,45,0,11,505,0
5,0,242,83,0,11,505,0
3,0,191,46,0,10,2319,0
1,0,24,23,0,9,360,0
1,0,172,26,0,10,505,0
1,0,100,61,0,11,505,0
1,0,46,37,0,10,360,0
1,0,133,79,0,10,2472,0
2,0,265,56,0,11,2472,0
1,0,122,55,0,11,505,0
1,0,110,57,0,10,360,0
1,0,5,4,0,2,1296,0
3,0,177,68,0,11,505,0
1,0,28,19,0,9,2319,0
1,0,21,6,0,4,2319,0
1,0,34,7,0,5,2319,0
5,0,78,22,0,11,3997,0
2,0,50,2,0,2,2472,0
6,0,284,40,0,12,2472,0
1,0,21,13,0,8,505,0
1,0,21,4,0,3,3997,0
1,0,18,7,0,4,2319,0
1,0,20,9,0,7,2472,0
3,0,156,41,0,9,3997,0
1,0,527,4,0,3,2,0
1,0,10,1,0,1,268,0
1,0,10,1,0,1,268,0
1,0,10,1,0,1,268,0
1,0,10,1,0,1,268,0
1,0,10,1,0,1,268,0
9,0,155,5,0,4,2472,0
1,0,31,26,0,11,505,0
1,0,38,4,0,3,1634,0
1,0,56,17,0,7,1634,0
1,0,43,9,0,6,2319,0
2,0,81,32,0,11,505,0
1,0,79,28,0,8,1634,0
1,0,36,13,0,7,505,0
33,0,458,22,0,9,310,1
10,0,142,38,0,10,505,0
1,0,8,2,0,2,505,0
1,0,77,9,0,5,505,0
4,0,123,3,0,1,2319,0
5,0,40,7,0,4,2319,0
1,0,19,30,0,9,505,0
1,0,19,7,0,5,268,0
2,0,21,20,0,8,1296,0
1,0,20,8,0,4,2319,0
1,0,29,4,0,3,2319,0
1,0,28,25,0,8,505,0
2,0,28,13,0,7,5350,0
2,0,28,13,0,7,5350,0
2,0,28,13,0,7,5350,0
1,0,11,13,0,7,5350,0
2,0,28,13,0,7,5350,0
2,0,28,13,0,7,5350,0
2,0,28,13,0,7,5350,0
4,0,28,13,0,7,5350,0
2,0,28,13,0,7,5350,0
1,0,18,5,0,3,5350,0
1,0,16,12,0,6,5350,0
4,0,31,12,0,6,5350,0
1,0,16,10,0,6,5350,0
1,0,20,4,0,3,268,0
21,0,162,42,0,12,5350,0
10,0,69,19,0,9,5350,0
29,0,207,17,0,7,1636,0
1,0,16,12,0,6,5350,0
4,0,27,12,0,6,5350,0
27,0,221,7,0,4,2319,0
2,0,28,12,0,6,5350,0
1,0,13,10,0,5,5350,0
1,0,8,9,0,6,2319,0
1,0,16,12,0,6,5350,0
1,0,14,12,0,6,5350,0
1,0,16,12,0,6,5350,0
4,0,40,15,0,6,5350,0
1,0,5,3,0,2,1296,0
1,0,5,17,0,8,1296,0
1,0,21,8,0,5,268,0
18,0,215,57,0,11,2319,0
3,0,22,19,0,8,2319,0
1,0,5,11,0,6,2319,0
4,0,32,8,0,6,2472,0
1,0,8,8,0,6,2319,0
2,0,31,19,0,8,1296,0
1,0,10,8,0,4,2319,0
1,0,4,4,0,3,5350,0
1,0,5,4,0,2,1126,0
1,0,20,1,0,1,268,0
34,0,477,136,0,17,5350,0
1,0,25,4,0,2,5350,0
2,0,27,30,0,12,5350,0
5,0,30,4,0,3,1126,0
1,0,41,58,0,13,1634,0
1,0,19,5,0,4,268,0
1,0,20,7,0,5,268,0
5,0,97,74,0,14,1634,0
1,0,9,6,0,4,2319,0
1,0,35,6,0,2,2319,0
19,0,187,32,0,10,5350,0
1,0,35,6,0,4,2319,0
1,0,19,6,0,4,2319,0
7,0,97,8,0,6,1296,0
1,0,39,2,0,2,360,0
1,0,18,1,0,1,268,0
7,0,151,71,0,13,5350,0
1,0,18,9,0,5,268,0
1,0,7,12,0,7,5350,0
1,0,19,11,0,7,268,0
2,0,31,1,0,1,268,0
1,0,29,3,0,3,533,0
1,0,23,3,0,3,533,0
9,0,91,17,0,7,268,0
1,0,51,6,0,3,1296,0
1,0,51,3,0,3,505,0
3,0,74,26,0,8,2319,0
2,0,13,12,0,7,7,0
3,0,49,6,0,4,2319,0
2,0,34,24,0,8,5350,0
7,0,61,2,0,2,268,0
5,0,66,25,0,9,5350,0
7,0,98,30,0,9,505,0
5,0,58,3,0,3,268,0
1,0,7,19,0,8,268,0
3,0,39,16,0,9,268,0
5,0,55,23,0,9,268,0
5,0,59,41,0,12,2472,0
7,0,76,1,0,1,2319,0
