target,la,ld,nf,nd,ns,ent,revd,nrev,rtime,tcmt,hcmt,self,ndev,age,nuc,app,aexp,rexp,oexp,arexp,rrexp,orexp,asexp,rsexp,osexp,asawr,rsawr,osawr
0,2,1,1,1,1,0.0,True,1.0,86076.0,7.0,3.0,False,14.0,1890922.0,30.0,2.0,230.0,2124.0,2124.0,226.0,1658.0,1658.0,188.0,1620.0,1620.0,0.0126126126126126,0.1081748415081748,0.1081748415081748
1,58,40,3,1,1,0.5697313679131986,True,4.0,90215.0,11.0,4.0,False,22.0,185202.66666666663,105.0,1.0,1264.0,2567.0,2900.0,1210.0,2135.0,2418.0,697.0,1837.0,2032.0,0.0490823430138527,0.1292454820336122,0.1429575979185711
0,32,28,2,1,1,0.783776947484701,True,2.0,6941.0,7.0,2.0,False,4.0,1204190.0,8.0,2.0,70.0,137.0,137.0,70.0,137.0,137.0,64.0,113.0,113.0,0.0149425287356321,0.0262068965517241,0.0262068965517241
0,13,24,1,1,1,0.0,True,1.0,35064.0,14.0,1.0,False,2.0,457974.0,2.0,2.0,301.0,608.0,608.0,300.0,606.0,606.0,70.0,124.0,124.0,0.0396426577331099,0.0697934115019542,0.0697934115019542
0,309,311,29,19,3,0.7197356977550267,True,1.0,530425.0,4.0,3.0,False,25.0,781466.1034482758,129.0,2.0,2.0,1878.0,1879.0,2.0,1745.0,1746.0,2.0,1733.0,1734.0,0.0002334993773349,0.1349626400996264,0.1350404732254047
0,51,1,2,2,2,0.3912435636292556,True,3.0,697233.0,24.0,13.0,False,4.0,217983.5,15.0,2.0,26.0,413.0,431.0,26.0,412.0,430.0,23.0,409.0,424.0,0.0032245062474808,0.0550853150611312,0.0571006314658068
1,72,3,13,1,1,0.7455237971731502,True,1.0,412251.0,4.0,3.0,False,37.0,477172.2307692308,150.0,2.0,30.0,564.0,577.0,30.0,551.0,564.0,29.0,290.0,303.0,0.0036496350364963,0.0354014598540146,0.0369829683698296
0,2,1,2,2,1,0.9182958340544896,True,3.0,175812.0,15.0,4.0,False,26.0,2175.0,65.0,1.0,2711.0,4129.0,4854.0,2216.0,2905.0,3458.0,2033.0,3311.0,3836.0,0.0981044711329764,0.1597453335262624,0.1850672840399363
0,21,1,3,2,2,0.6913698302025114,True,2.0,23031.0,6.0,2.0,False,15.0,1747412.0,19.0,2.0,70.0,728.0,728.0,70.0,725.0,725.0,68.0,720.0,720.0,0.0067893338581127,0.0709436190101348,0.0709436190101348
1,96,63,8,4,1,0.6876595301022492,True,8.0,504957.0,30.0,7.0,False,35.0,683614.375,109.0,3.0,830.0,2822.0,2822.0,828.0,2814.0,2814.0,661.0,1919.0,1919.0,0.081758676052859,0.2371248610596517,0.2371248610596517
1,101,31,6,3,2,0.8468862444073827,True,4.0,200153.0,12.0,2.0,False,8.0,414026.5,22.0,2.0,855.0,929.0,929.0,612.0,683.0,683.0,818.0,887.0,887.0,0.0428436911487759,0.0464532328939108,0.0464532328939108
