McCC,CLOC,LLOC,Number of previous fixes,Number of developer commits,Number of committers,Number of previous modifications,target
575,0,2143,0,4735,1,1,0
13,0,91,0,4735,1,1,0
18,0,91,0,4735,1,1,0
13,0,88,0,4735,1,1,0
7,0,62,0,4735,1,1,0
18,0,86,0,4735,1,1,0
1,0,1,0,4735,1,1,0
20,0,158,0,4735,1,1,0
33,0,172,0,4735,1,1,0
169,0,693,0,4735,1,1,0
12,0,103,0,4735,1,1,0
378,0,1379,0,4735,1,1,0
135,0,659,0,4735,1,1,0
5,0,43,0,4735,1,1,0
163,0,573,0,4735,1,1,0
1,0,1,0,4735,1,1,0
110,0,488,0,4735,1,1,0
1,0,11,0,4735,1,1,0
1,0,16,0,4735,1,1,0
10,0,67,0,4735,1,1,0
1,0,10,0,4735,1,1,0
9,0,112,0,4735,1,1,0
17,0,150,0,4735,1,1,0
246,0,1345,0,4735,1,1,0
17,0,84,0,4735,1,2,1
1,0,9,0,4735,1,2,0
1,0,17,0,4735,1,2,0
1,0,12,0,4735,1,2,0
1,0,9,0,4735,1,2,0
1,0,12,0,4735,1,2,0
1,0,14,0,4735,1,3,0
1,0,9,0,4735,1,2,0
1,0,4,0,4735,1,2,0
14,0,69,1,4735,2,4,0
28,0,159,0,4735,2,24,0
1,0,9,0,11,2,5,0
1,0,15,0,4735,1,2,0
1,0,5,0,4735,1,2,0
5,0,197,0,762,3,6,0
1,0,7,0,4735,1,2,0
1,0,6,0,11,2,2,0
3,0,31,0,4735,1,2,0
1,0,4,0,4735,1,2,0
1,0,12,0,4735,1,2,0
1,0,24,0,4735,2,3,0
1,0,5,0,4735,1,2,0
1,0,11,0,4735,1,2,0
1,0,6,0,4735,1,2,0
1,0,7,0,4735,1,2,0
1,0,22,0,4735,1,2,0
1,0,8,0,4735,1,2,0
15,0,70,0,4735,1,2,0
1,0,12,0,4735,1,2,0
2,0,54,0,4735,2,4,0
2,0,20,0,11,2,4,0
2,0,10,0,11,2,2,0
9,0,39,0,4735,1,2,0
25,0,200,0,4735,2,7,0
1,0,10,0,11,2,3,0
1,0,85,0,762,4,8,0
1,0,62,0,4735,2,4,0
1,0,148,0,4735,3,7,0
1,0,150,0,11,2,2,0
20,0,108,1,4735,1,2,0
1,0,19,0,4735,1,1,1
2,0,179,0,4735,1,3,1
50,0,250,0,4735,1,1,0
48,0,339,0,4735,1,3,0
31,0,181,0,4735,1,1,0
5,0,35,0,4735,1,1,0
187,0,820,0,4735,2,2,0
15,0,138,0,4735,1,2,0
1,0,18,0,4735,1,2,1
1,0,15,0,4735,1,2,0
16,0,129,0,4735,1,2,0
43,0,196,0,4735,1,6,0
2,0,20,0,4735,1,1,0
1,0,14,0,4735,1,1,0
49,0,225,0,4735,2,9,1
1,0,50,0,4735,1,1,0
15,0,173,0,4735,1,4,0
1,0,58,0,4735,1,1,0
3,0,48,0,4735,1,2,0
2,0,19,0,4735,1,1,0
1,0,33,0,4735,1,1,0
1,0,44,0,4735,1,4,0
1,0,18,0,4735,1,1,0
11,0,74,0,4735,1,1,0
18,0,299,0,4735,2,6,0
1,0,143,1,4735,2,2,0
2,0,16,0,4735,1,1,0
3,0,48,0,4735,1,1,0
28,0,180,0,4735,1,1,0
10,0,101,0,4735,1,2,0
