McCC,CLOC,LLOC,Number of developer commits,Number of previous modifications,Number of previous fixes,Number of committers,target
1,0,3,2053,7,0,6,0
18,0,337,831,315,10,11,1
3,0,23,831,4,0,3,0
4,0,127,831,36,0,6,0
6,0,71,831,32,1,7,0
1,0,8,831,12,0,4,0
8,0,217,831,72,1,10,0
1,0,23,1733,16,1,6,0
1,0,60,1733,20,1,6,0
66,0,288,753,39,1,8,0
1,0,6,2053,8,0,3,0
1,0,11,2053,21,0,6,1
1,0,15,831,18,0,6,0
6,0,111,831,26,1,5,1
1,0,8,1733,6,0,4,0
2,0,23,831,13,0,6,1
4,0,46,2899,18,0,6,0
2,0,14,2053,11,0,5,0
25,0,208,831,45,1,7,1
1,0,6,1733,6,0,4,0
7,0,45,1733,12,0,4,0
27,0,169,831,21,0,5,1
10,0,149,753,9,0,4,1
3,0,65,753,15,0,6,1
2,0,37,2053,5,0,3,0
4,0,53,753,17,0,6,1
31,0,369,753,25,5,6,1
5,0,53,831,11,0,5,1
3,0,74,831,20,0,5,1
5,0,95,753,23,4,6,1
31,0,492,831,63,2,7,1
16,0,238,753,26,0,6,1
14,0,207,753,25,0,5,1
5,0,92,753,16,0,6,1
1,0,7,831,20,0,5,1
3,0,59,753,15,0,6,1
2,0,42,2053,19,0,6,0
1,0,12,2053,9,0,3,0
1,0,44,831,14,0,5,0
1,0,13,2053,8,0,3,0
1,0,10,2053,10,0,4,0
1,0,11,2053,8,0,3,0
4,0,70,753,30,0,5,1
1,0,4,831,11,0,4,0
1,0,4,575,4,0,3,0
15,0,87,831,16,0,5,0
16,0,200,753,68,7,7,1
1,0,4,2053,5,0,4,0
1,0,6,2053,9,0,4,0
17,0,124,831,28,0,5,0
14,0,115,753,22,0,5,0
2,0,37,2053,9,0,6,0
10,0,48,1118,18,1,7,0
1,0,4,2053,8,0,5,0
3,0,19,2053,11,0,5,0
1,0,4,1733,2,0,2,0
1,0,7,1733,6,0,4,0
7,0,47,1733,3,0,2,0
3,0,16,831,5,0,2,0
3,0,16,791,8,0,5,0
1,0,18,831,5,0,2,0
81,0,532,831,116,2,7,1
2,0,57,753,20,1,7,0
3,0,46,2053,10,0,4,1
14,0,143,1733,23,0,5,0
2,0,29,2053,8,0,4,0
2,0,17,753,6,0,4,0
1,0,35,831,19,3,6,0
7,0,122,2053,31,4,6,0
5,0,76,753,21,3,6,1
2,0,44,753,17,0,5,0
4,0,66,753,25,3,6,0
1,0,35,831,19,3,6,0
1,0,24,2053,17,0,5,0
4,0,82,1733,16,3,7,0
8,0,146,831,49,14,8,0
2,0,78,2053,13,3,7,0
15,0,109,753,10,0,3,0
1,0,48,831,12,0,5,0
1,0,87,2053,18,0,5,0
3,0,76,831,12,0,5,0
3,0,93,753,12,0,5,0
1,0,48,831,12,0,5,0
2,0,56,2053,11,0,5,0
