McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of committers,Number of developer commits,target
6,0,52,1,12,2,1300,0
40,0,277,2,51,2,1300,0
109,0,637,3,167,2,1300,1
12,0,73,0,50,2,1300,0
14,0,82,0,20,2,1843,0
1,0,25,0,8,2,1843,0
47,0,279,0,30,2,1843,0
17,0,162,1,37,2,1843,0
1,0,74,0,22,2,1300,0
22,0,110,0,11,2,1843,0
24,0,98,0,19,2,1300,0
3,0,22,0,7,2,1843,0
58,0,372,2,47,2,1843,0
65,0,565,0,86,2,1300,0
12,0,40,0,8,2,1300,0
30,0,262,0,52,2,1300,0
1,0,67,0,22,2,1843,0
17,0,202,0,81,2,1300,0
1,0,37,0,23,1,1843,0
10,0,61,0,44,2,1300,0
4,0,69,0,31,2,1300,0
28,0,114,1,11,2,1300,0
1,0,4,0,19,1,1843,0
42,0,362,1,72,2,1300,0
1,0,58,0,47,2,1843,0
18,0,97,0,25,2,1300,0
40,0,292,0,70,2,1300,0
25,0,226,1,72,2,1300,0
1,0,8,0,4,1,1843,0
23,0,90,0,10,1,1843,0
3,0,19,0,9,2,1843,0
11,0,58,0,11,2,1300,0
2,0,20,0,14,2,1300,0
2,0,30,0,6,2,1843,0
18,0,94,0,40,2,1843,0
1,0,10,0,16,2,1300,0
4,0,43,0,22,2,1843,0
1,0,3,0,5,1,1843,0
59,0,204,0,20,2,1300,0
10,0,98,0,24,2,1300,1
1,0,22,0,4,2,1300,0
4,0,43,0,16,2,1300,0
1,0,9,0,3,1,1843,0
1,0,11,0,10,2,1843,0
3,0,65,0,15,2,1300,0
35,0,195,0,51,2,1300,0
74,0,414,0,95,2,1843,1
1,0,33,0,14,2,1300,0
8,0,84,0,16,2,1300,1
32,0,144,0,67,2,1843,0
43,0,207,1,53,2,1843,1
5,0,130,0,26,2,1300,1
7,0,75,0,22,2,1300,0
25,0,92,0,33,2,1300,1
6,0,75,0,8,2,1300,0
1,0,6,0,5,1,1843,0
2,0,23,0,15,2,1300,0
4,0,52,0,21,2,1300,0
1,0,10,0,15,1,1843,0
21,0,144,0,13,3,1300,1
4,0,32,0,9,2,1300,0
64,0,278,0,52,2,1843,0
24,0,230,0,59,2,1300,0
1,0,13,0,9,1,1843,0
