McCC,CLOC,LLOC,Number of previous fixes,Number of developer commits,Number of committers,Number of previous modifications,target
13,0,88,0,4735,1,2,0
18,0,88,0,4735,1,2,0
13,0,85,0,4735,1,2,0
18,0,83,0,4735,1,2,0
35,0,174,0,4735,1,2,0
1,0,60,1,1466,2,3,0
4,0,19,0,374,2,2,0
21,0,127,1,89,2,3,1
1,0,9,1,1466,1,2,0
1,0,17,1,1466,1,2,0
1,0,12,1,1466,1,2,0
1,0,12,1,1466,1,2,0
1,0,14,1,1466,1,2,0
1,0,9,1,1466,1,2,0
1,0,4,1,1466,1,2,0
31,0,157,5,1,8,14,0
108,0,515,4,762,15,132,1
1,0,9,1,12,5,11,0
1,0,15,2,479,4,7,0
1,0,5,1,1466,2,3,0
6,0,295,1,1466,16,46,0
1,0,31,1,1466,3,6,0
1,0,50,1,12,5,11,0
3,0,31,1,234,3,6,0
1,0,15,1,12,4,6,0
1,0,11,1,1466,3,3,0
11,0,199,0,246,2,2,0
1,0,6,0,474,1,1,0
1,0,8,0,12,3,4,0
1,0,5,0,12,2,2,0
1,0,10,1,38,1,3,0
1,0,12,1,1466,2,4,0
1,0,24,1,1466,3,4,0
1,0,9,0,474,2,4,0
1,0,26,0,230,1,1,0
1,0,4,1,4735,2,4,0
1,0,19,2,1466,2,4,0
1,0,6,1,1466,2,3,0
1,0,32,1,474,2,6,0
1,0,7,1,1466,2,4,0
1,0,27,1,1466,3,5,0
1,0,10,1,1466,3,4,0
15,0,70,1,1466,2,4,0
1,0,12,1,1466,2,4,1
3,0,50,2,4735,6,12,0
2,0,20,1,1466,3,6,0
2,0,10,1,1466,3,3,0
9,0,39,1,1466,2,4,0
26,0,204,3,66,8,18,1
1,0,9,0,1466,1,1,0
1,0,10,0,1466,1,2,0
1,0,146,1,46,16,27,0
1,0,132,1,319,6,14,0
1,0,9,0,1466,1,1,0
1,0,92,0,1466,1,1,0
1,0,187,0,185,11,29,0
1,0,197,0,319,9,16,0
1,0,38,1,479,3,5,0
20,0,112,1,762,3,6,1
1,0,17,0,230,1,1,0
1,0,9,0,230,1,2,0
2,0,62,1,1466,4,11,0
7,0,51,0,1466,1,1,0
1,0,27,2,1466,5,12,0
46,0,506,5,1466,8,27,0
1,0,7,2,479,1,3,0
20,0,215,0,1466,2,2,1
1,0,12,1,479,2,4,0
2,0,40,1,230,1,4,0
1,0,24,0,230,2,3,0
48,0,304,0,479,3,10,0
1,0,6,0,1466,1,2,0
1,0,7,2,479,1,3,0
1,0,4,1,479,2,3,0
1,0,5,1,479,2,6,0
112,0,812,1,1466,4,7,0
52,0,73,0,1466,3,4,1
14,0,80,0,319,2,2,0
12,0,57,0,89,1,1,0
1,0,15,0,34,2,2,0
12,0,59,0,231,1,1,0
4,0,32,2,1466,3,7,0
1,0,72,0,4735,1,2,0
12,0,70,0,46,4,5,0
9,0,65,0,1466,1,1,0
14,0,89,0,1466,1,2,0
19,0,77,0,89,3,5,0
2,0,26,0,231,1,1,0
1,0,5,0,231,1,1,0
11,0,136,0,1466,1,2,1
130,0,592,0,1,13,23,0
19,0,139,1,1466,4,14,0
4,0,44,0,231,1,1,0
1,0,4,0,231,1,1,0
2,0,33,0,479,3,3,0
2,0,34,0,479,3,3,0
1,0,20,1,479,3,8,0
2,0,31,0,1466,2,2,0
7,0,95,2,479,5,8,0
7,0,64,1,479,4,10,1
1,0,15,0,1466,2,3,0
16,0,131,1,1466,2,7,0
67,0,452,3,230,7,24,1
2,0,20,0,4735,1,1,0
2,0,34,0,1466,1,1,0
1,0,10,0,1466,1,1,0
31,0,144,0,230,3,3,0
78,0,360,0,479,3,3,0
67,0,451,0,230,3,9,1
1,0,14,0,1466,2,2,0
36,0,211,2,1466,5,22,0
36,0,219,0,230,2,4,0
12,0,184,0,1466,1,1,0
23,0,230,0,230,2,5,1
8,0,30,0,479,2,2,0
9,0,178,0,1466,1,1,0
8,0,194,0,479,3,5,1
1,0,8,0,4735,1,1,0
1,0,64,0,474,2,3,0
1,0,4,0,4735,1,1,0
19,0,186,1,1466,4,14,0
2,0,37,0,244,1,1,0
1,0,9,0,4735,1,1,0
1,0,52,0,811,2,2,0
1,0,30,0,4735,1,1,0
3,0,48,0,1466,2,3,0
1,0,13,0,1466,2,3,0
29,0,362,0,230,4,14,0
1,0,13,0,4735,1,1,0
44,0,216,1,479,2,5,0
1,0,16,0,4735,1,1,0
1,0,13,1,762,1,1,0
1,0,9,0,762,1,1,0
1,0,13,1,5,2,2,0
1,0,17,0,1466,1,1,0
1,0,17,0,1466,1,1,0
1,0,48,0,230,6,9,0
1,0,50,1,1466,5,15,0
46,0,430,0,230,6,20,1
14,0,135,0,1466,1,1,0
31,0,177,0,230,6,12,0
1,0,17,0,1466,1,1,0
23,0,205,1,1466,6,12,0
1,0,17,0,31,2,2,0
4,0,66,0,4735,1,3,0
1,0,58,0,4735,1,1,0
1,0,12,0,1466,1,2,1
10,0,79,0,230,6,6,0
5,0,551,5,185,12,41,1
1,0,18,0,319,2,3,0
1,0,5,0,762,2,2,0
1,0,8,0,1466,2,2,0
104,0,700,12,185,9,64,0
29,0,293,3,185,8,34,1
7,0,53,0,230,6,6,0
1,0,53,0,1466,2,3,0
2,0,35,0,4735,1,1,0
1,0,21,0,1466,2,4,0
104,0,550,15,66,14,38,1
2,0,36,0,4735,1,1,0
86,0,460,5,811,6,24,1
2,0,35,0,4735,1,1,0
1,0,31,0,319,1,2,0
45,0,374,1,1466,3,7,1
1,0,20,1,319,2,5,0
2,0,15,0,319,1,1,0
1,0,11,0,319,1,1,0
2,0,39,0,319,1,1,0
10,0,36,0,319,1,1,0
1,0,12,0,319,1,1,0
1,0,16,0,319,1,1,0
1,0,12,0,319,1,1,0
1,0,14,0,319,1,1,0
1,0,40,0,319,1,1,0
8,0,123,0,1466,2,2,0
3,0,101,0,474,2,6,0
13,0,111,0,89,3,4,0
1,0,6,0,89,1,1,0
9,0,56,0,4735,1,1,0
27,0,193,1,1466,5,11,0
1,0,12,0,1466,2,3,0
1,0,4,0,4735,1,1,0
1,0,4,0,474,2,2,0
9,0,108,0,89,6,10,1
6,0,44,0,89,4,4,0
1,0,65,0,4735,2,2,0
1,0,5,0,474,1,1,0
6,0,59,0,1466,1,1,0
22,0,233,1,1466,5,8,0
1,0,66,2,234,5,9,0
1,0,6,0,4735,1,1,0
1,0,6,2,246,3,4,1
2,0,63,0,230,1,2,0
2,0,37,2,234,2,3,0
1,0,16,0,230,1,2,1
8,0,69,0,230,4,6,0
36,0,194,0,185,1,1,1
70,0,497,3,230,7,28,1
1,0,38,1,246,8,10,0
66,0,470,0,374,3,4,1
1,0,17,1,244,1,1,0
1,0,49,1,762,2,7,0
1,0,12,0,762,2,2,0
1,0,47,1,762,10,16,0
112,0,894,16,511,14,73,0
16,0,103,0,1466,2,2,0
1,0,15,0,511,3,3,0
1,0,15,0,319,1,1,0
1,0,13,0,319,1,1,0
4,0,97,0,319,1,1,0
97,0,676,6,319,6,20,1
30,0,208,0,319,1,2,0
1,0,11,0,319,1,1,0
2,0,16,0,319,1,1,0
17,0,187,1,31,2,4,0
1,0,15,0,319,1,1,0
1,0,10,0,319,1,1,0
11,0,116,0,319,1,2,0
185,0,1076,9,319,7,24,1
5,0,39,0,319,1,3,0
25,0,84,0,762,2,2,0
85,0,641,9,319,9,65,1
4,0,57,0,4735,1,2,0
10,0,148,0,4735,1,7,0
1,0,7,1,4735,1,2,0
1,0,3,0,4735,1,1,0
1,0,37,0,4735,1,1,0
3,0,21,1,511,1,1,0
1,0,23,0,4735,1,1,0
1,0,14,0,4735,1,1,0
1,0,7,0,4735,1,1,0
9,0,74,1,479,4,6,0
1,0,23,0,244,2,3,0
1,0,8,0,4735,1,1,0
10,0,92,0,244,2,2,0
8,0,61,0,89,1,4,1
5,0,60,0,1466,3,7,0
1,0,17,0,89,2,2,0
1,0,7,1,4735,1,2,0
6,0,58,0,4735,1,3,0
1,0,17,0,89,2,2,0
1,0,7,0,4735,1,1,0
3,0,29,0,511,1,1,1
24,0,336,4,244,7,25,1
1,0,10,0,474,2,3,1
1,0,97,0,474,2,3,0
1,0,8,0,4735,1,1,0
45,0,257,5,474,6,15,1
2,0,31,1,1466,2,2,0
1,0,18,1,1466,2,2,0
43,0,239,2,230,3,4,0
1,0,6,1,1466,2,2,0
