McCC,CLOC,LLOC,Number of developer commits,Number of committers,Number of previous fixes,Number of previous modifications,target
5,0,28,0,0,0,1,0
2,0,17,0,0,0,1,0
7,0,34,0,0,0,1,0
1,0,9,0,0,0,1,0
1,0,10,0,0,0,1,0
1,0,3,0,0,0,1,0
3,0,41,0,0,0,1,0
1,0,57,0,0,0,1,0
1,0,5,0,0,0,1,0
1,0,5,0,0,0,1,0
4,0,53,0,0,0,1,1
12,0,81,0,0,0,1,0
25,0,205,0,0,0,1,0
1,0,11,0,0,0,1,0
7,0,109,0,0,0,1,0
52,0,350,0,0,0,1,0
1,0,21,0,0,0,1,0
1,0,16,0,0,0,1,0
1,0,32,0,0,0,1,0
2,0,68,0,0,0,1,0
1,0,19,0,0,0,1,0
1,0,27,0,0,0,1,0
1,0,58,0,0,0,1,0
1,0,42,0,0,0,1,0
11,0,100,0,0,0,1,0
3,0,50,0,0,0,1,0
1,0,15,0,0,0,1,0
1,0,25,0,0,0,1,0
18,0,165,0,0,0,1,0
2,0,25,0,0,0,1,0
8,0,275,0,0,0,1,0
8,0,275,0,0,0,1,0
1,0,50,0,0,0,1,0
27,0,237,0,0,0,1,0
1,0,12,0,0,0,1,0
1,0,36,0,0,0,1,1
8,0,82,0,0,0,1,0
3,0,30,0,0,0,1,0
1,0,15,0,0,0,1,0
1,0,11,0,0,0,1,0
8,0,58,0,0,0,1,0
8,0,61,0,0,0,1,1
5,0,21,0,0,0,1,0
2,0,24,0,0,0,1,0
3,0,33,0,0,0,1,0
2,0,22,0,0,0,1,0
2,0,28,0,0,0,1,1
9,0,74,0,0,0,1,1
3,0,21,0,0,0,1,0
3,0,49,0,0,0,1,0
5,0,88,0,0,0,1,0
6,0,99,0,0,0,1,0
17,0,109,0,0,0,1,0
4,0,36,0,0,0,1,0
10,0,149,0,0,0,1,0
2,0,30,0,0,0,1,1
1,0,11,0,0,0,1,0
3,0,24,0,0,0,1,0
1,0,14,0,0,0,1,0
1,0,11,0,0,0,1,0
1,0,11,0,0,0,1,0
3,0,22,0,0,0,1,0
3,0,44,0,0,0,1,1
3,0,58,0,0,0,1,1
26,0,124,0,0,0,1,0
1,0,21,0,0,0,1,0
1,0,19,0,0,0,1,0
3,0,18,0,0,0,1,0
1,0,10,0,0,0,1,0
2,0,28,0,0,0,1,0
1,0,14,0,0,0,1,0
2,0,28,0,0,0,1,0
3,0,20,0,0,0,1,0
1,0,14,0,0,0,1,0
2,0,17,0,0,0,1,0
3,0,33,0,0,0,1,0
1,0,10,0,0,0,1,0
1,0,10,0,0,0,1,0
3,0,39,0,0,0,1,0
2,0,34,0,0,0,1,1
2,0,25,0,0,0,1,0
2,0,50,0,0,0,1,1
2,0,26,0,0,0,1,0
2,0,40,0,0,0,1,0
4,0,50,0,0,0,1,0
2,0,45,0,0,0,1,1
2,0,23,0,0,0,1,0
4,0,46,0,0,0,1,0
2,0,48,0,0,0,1,1
3,0,47,0,0,0,1,0
3,0,39,0,0,0,1,0
2,0,34,0,0,0,1,1
5,0,101,0,0,0,1,0
3,0,44,0,0,0,1,0
5,0,44,0,0,0,1,0
12,0,99,0,0,0,1,0
10,0,91,0,0,0,1,1
10,0,84,0,0,0,1,0
5,0,39,0,0,0,1,0
4,0,48,0,0,0,1,0
10,0,80,0,0,0,1,0
5,0,32,0,0,0,1,0
5,0,31,0,0,0,1,0
13,0,81,0,0,0,1,0
2,0,40,0,0,0,1,0
8,0,74,0,0,0,1,0
1,0,10,0,0,0,1,0
85,0,801,0,0,0,1,1
4,0,61,0,0,0,1,1
5,0,67,0,0,0,1,1
9,0,48,0,0,0,1,1
6,0,48,0,0,0,1,1
6,0,45,0,0,0,1,1
15,0,71,0,0,0,1,1
4,0,24,0,0,0,1,0
9,0,76,0,0,0,1,1
2,0,19,0,0,0,1,0
9,0,48,0,0,0,1,1
12,0,75,0,0,0,1,0
8,0,47,0,0,0,1,1
1,0,11,0,0,0,1,0
9,0,59,0,0,0,1,1
8,0,51,0,0,0,1,1
1,0,8,0,0,0,1,0
5,0,40,0,0,0,1,0
1,0,18,0,0,0,1,0
1,0,19,0,0,0,1,0
8,0,87,0,0,0,1,1
5,0,101,0,0,0,1,0
17,0,220,0,0,0,1,1
1,0,65,0,0,0,1,0
4,0,25,0,0,0,1,0
3,0,26,0,0,0,1,0
8,0,458,0,0,0,1,0
8,0,75,0,0,0,1,0
1,0,22,0,0,0,1,0
12,0,88,0,0,0,1,0
1,0,11,0,0,0,1,0
3,0,35,0,0,0,1,1
4,0,31,0,0,0,1,0
1,0,8,0,0,0,1,0
3,0,25,0,0,0,1,0
1,0,7,0,0,0,1,0
11,0,83,0,0,0,1,0
7,0,85,0,0,0,1,0
69,0,566,0,0,0,1,0
4,0,26,0,0,0,1,0
1,0,15,0,0,0,1,0
1,0,5,0,0,0,1,0
1,0,11,0,0,0,1,0
3,0,61,0,0,0,1,0
2,0,22,0,0,0,1,0
5,0,72,0,0,0,1,0
5,0,79,0,0,0,1,0
4,0,40,0,0,0,1,0
1,0,32,0,0,0,1,0
16,0,84,0,0,0,1,0
4,0,42,0,0,0,1,0
11,0,82,0,0,0,1,0
58,0,386,0,0,0,1,0
63,0,475,0,0,0,1,0
66,0,293,0,0,0,1,0
7,0,65,0,0,0,1,0
25,0,131,0,0,0,1,0
16,0,119,0,0,0,1,0
7,0,85,0,0,0,1,0
1,0,7,0,0,0,1,0
1,0,21,0,0,0,1,0
2,0,37,0,0,0,1,0
1,0,19,0,0,0,1,0
4,0,33,0,0,0,1,0
3,0,42,0,0,0,1,0
1,0,4,0,0,0,1,0
1,0,5,0,0,0,1,0
3,0,42,0,0,0,1,0
11,0,60,0,0,0,1,0
16,0,113,0,0,0,1,1
3,0,34,0,0,0,1,0
16,0,94,0,0,0,1,0
7,0,77,0,0,0,1,0
5,0,31,0,0,0,1,0
9,0,130,0,0,0,1,1
2,0,18,0,0,0,1,0
