McCC,CLOC,LLOC,Number of developer commits,Number of previous modifications,Number of previous fixes,Number of committers,target
1,0,3,1118,8,0,7,0
16,0,51,1118,7,1,4,0
46,0,294,1118,18,1,5,0
1,0,1,1118,7,1,4,0
4,0,34,1118,7,1,4,0
1,0,12,407,7,0,4,0
9,0,56,407,31,0,10,0
8,0,85,2899,463,20,23,1
1,0,8,968,21,0,10,0
1,0,1,407,9,0,6,0
1,0,12,407,13,0,7,0
9,0,270,407,149,1,19,1
5,0,107,1118,50,2,15,0
5,0,93,1147,51,1,16,1
1,0,20,1147,22,2,10,0
1,0,1,407,9,0,6,0
11,0,70,1147,48,4,14,0
1,0,46,407,45,1,15,0
75,0,319,407,113,3,17,1
16,0,105,407,11,0,10,0
1,0,6,407,12,0,7,0
1,0,6,407,14,0,7,0
1,0,7,1147,28,0,11,1
1,0,22,1147,68,4,14,1
1,0,1,407,9,0,6,0
2,0,18,407,26,0,11,0
243,0,1392,1147,33,0,13,0
1,0,1,407,10,0,8,0
1,0,24,407,6,0,5,0
5,0,67,407,5,0,4,0
13,0,396,2899,10,0,6,1
3,0,25,407,6,0,5,0
5,0,206,407,9,0,5,1
7,0,82,2899,9,0,6,0
1,0,1,407,6,0,5,0
33,0,238,1147,17,0,8,1
1,0,19,1147,141,8,19,1
1,0,5,407,18,0,11,0
1,0,1,407,9,0,6,0
8,0,163,407,58,6,14,0
2,0,102,407,60,3,15,0
2,0,91,407,46,3,13,0
2,0,37,407,19,0,10,0
2,0,86,407,28,2,13,1
4,0,54,407,60,3,16,0
33,0,478,407,119,13,16,1
5,0,57,1118,48,3,15,0
3,0,84,407,44,3,13,0
4,0,97,429,77,13,17,1
93,0,1034,1147,230,18,18,1
11,0,204,407,59,3,14,1
11,0,322,407,139,9,18,0
13,0,240,407,101,12,15,0
12,0,214,1147,78,5,13,0
5,0,104,407,63,3,15,0
1,0,11,1147,37,3,10,0
2,0,76,407,68,4,16,0
1,0,1,407,17,0,10,0
2,0,60,407,29,0,11,0
1,0,17,1147,29,0,10,1
1,0,52,407,53,3,16,1
1,0,15,1118,34,2,13,0
1,0,13,1147,27,0,9,1
1,0,9,1147,19,1,10,1
1,0,11,1118,9,0,4,0
14,0,158,1147,122,15,18,1
1,0,4,1118,12,0,5,0
1,0,6,407,17,1,8,0
1,0,1,407,9,0,6,0
27,0,251,407,220,13,20,1
1,0,4,1118,6,0,5,0
1,0,6,1118,10,0,5,0
2,0,42,1118,17,0,9,0
11,0,58,407,34,1,13,0
8,0,73,1147,25,0,11,1
1,0,1,407,9,0,6,0
3,0,15,1118,12,0,6,0
3,0,22,407,31,0,13,0
1,0,18,1118,10,0,6,0
24,0,258,2899,10,1,4,1
15,0,152,407,13,0,7,1
57,0,396,2899,10,1,4,1
1,0,12,407,18,0,9,0
29,0,293,2899,33,1,9,1
2,0,40,1147,16,0,7,1
10,0,120,2899,41,2,9,1
16,0,87,2899,23,1,8,1
1,0,1,1118,7,0,5,0
7,0,61,1147,17,1,7,1
32,0,359,1147,139,7,20,1
64,0,546,407,199,19,21,1
11,0,76,1147,67,5,17,0
14,0,98,1147,54,0,15,1
1,0,1,407,9,0,6,0
4,0,42,407,12,0,7,0
8,0,57,407,29,2,13,0
44,0,273,407,130,9,21,1
29,0,228,407,267,16,20,1
2,0,106,407,80,3,15,1
16,0,196,407,88,4,16,1
10,0,142,407,31,2,12,1
15,0,157,407,77,2,14,1
38,0,259,407,67,7,14,1
2,0,25,407,8,0,7,1
1,0,12,407,10,0,7,0
1,0,1,407,9,0,6,0
12,0,140,407,16,0,8,0
1,0,1,407,9,0,7,0
15,0,165,407,24,1,8,0
21,0,164,407,23,2,9,0
32,0,216,407,9,0,7,0
2,0,17,407,9,0,7,0
1,0,35,407,9,0,7,0
7,0,143,407,15,0,8,0
5,0,81,407,15,0,8,0
3,0,56,407,15,0,8,0
4,0,70,407,9,0,7,0
1,0,35,407,9,0,7,0
1,0,1,407,9,0,7,0
1,0,24,1118,21,0,7,0
4,0,82,1118,30,3,12,0
2,0,125,1118,11,3,7,0
21,0,263,407,31,3,9,0
1,0,56,1118,13,0,7,0
1,0,84,407,21,3,8,0
18,0,531,1118,7,2,5,0
11,0,289,1147,35,8,10,0
1,0,44,1118,17,7,7,0
2,0,102,407,33,1,14,0
3,0,54,407,8,0,6,0
15,0,125,407,20,0,7,0
1,0,113,2899,3,0,2,0
1,0,69,1118,6,0,4,0
8,0,118,2899,3,0,3,0
15,0,133,407,7,0,6,0
2,0,208,407,32,2,14,0
1,0,48,407,12,2,7,0
1,0,75,407,25,3,11,0
1,0,58,407,17,2,8,0
1,0,87,407,8,2,3,0
5,0,159,1118,30,0,8,0
1,0,195,1118,18,0,7,0
2,0,178,407,22,0,12,0
2,0,146,407,22,0,12,0
3,0,64,407,47,0,13,0
1,0,153,407,25,0,12,0
2,0,72,407,18,0,10,0
14,0,542,407,34,0,12,0
5,0,165,1118,95,7,19,0
3,0,117,1118,45,2,14,0
2,0,12,1118,6,2,3,0
3,0,48,1118,13,2,5,0
1,0,44,1118,32,0,11,0
9,0,87,407,20,3,10,0
1,0,49,407,13,0,5,0
1,0,45,1118,14,0,6,0
1,0,39,407,13,0,5,0
7,0,109,1147,16,0,7,0
