McCC,CLOC,LLOC,Number of previous fixes,Number of committers,Number of previous modifications,Number of developer commits,target
34,0,323,1,6,132,270,0
9,0,40,0,4,10,270,0
3,0,46,0,3,12,270,0
1,0,42,0,3,14,270,0
6,0,34,0,2,4,270,0
20,0,91,0,2,8,1840,1
5,0,61,0,1,5,1840,1
9,0,288,0,4,45,1840,1
5,0,52,0,3,7,1840,0
3,0,34,0,2,4,1840,0
13,0,90,0,2,7,1840,0
7,0,41,0,2,8,1840,0
5,0,81,0,3,9,1840,0
54,0,209,0,3,7,1840,1
17,0,162,0,4,31,258,0
1,0,5,0,2,3,768,0
37,0,290,0,4,20,1840,0
1,0,7,0,4,4,1840,0
154,0,836,0,5,96,270,1
1,0,5,0,4,4,1840,0
14,0,89,0,4,13,1840,0
7,0,43,0,2,14,1840,0
3,0,27,0,4,6,1840,0
7,0,39,0,4,5,1840,0
101,0,298,0,5,38,1840,0
48,0,221,0,4,31,270,1
4,0,23,0,3,9,1840,0
59,0,267,0,4,54,1840,0
3,0,19,0,1,3,768,0
17,0,103,0,2,9,1840,0
2,0,35,0,2,3,1840,1
6,0,60,0,2,2,1840,0
3,0,49,0,5,34,270,0
41,0,232,0,2,9,768,0
23,0,119,0,3,9,1840,0
3,0,34,0,2,7,270,0
5,0,36,0,1,3,1840,0
2,0,16,0,3,4,270,0
2,0,22,0,3,9,270,0
7,0,31,0,2,5,1840,0
3,0,29,0,3,11,1840,0
32,0,238,0,2,14,1840,0
5,0,27,0,3,10,270,0
1,0,25,0,1,6,1840,0
95,0,407,0,4,24,1840,0
116,0,215,0,3,7,1840,0
107,0,372,0,4,49,270,0
26,0,234,0,3,9,270,1
13,0,60,0,3,11,270,0
14,0,48,0,2,6,1840,0
122,0,296,0,2,15,1840,0
49,0,225,0,2,7,1840,0
29,0,260,0,2,4,1840,0
24,0,154,0,2,13,1840,0
14,0,84,0,1,9,1840,0
18,0,82,0,2,12,1840,0
2,0,278,0,3,14,258,0
89,0,308,0,3,23,270,1
4,0,51,0,3,17,270,0
13,0,97,0,2,17,1840,1
14,0,108,0,4,25,1840,1
12,0,77,0,2,35,1840,1
2,0,26,0,2,18,1840,0
14,0,96,1,4,26,270,1
4,0,37,0,3,14,1840,0
13,0,78,1,3,16,1840,0
4,0,29,0,4,14,270,1
10,0,53,0,4,16,270,0
4,0,29,0,3,10,1840,1
4,0,27,0,4,27,1840,0
7,0,60,0,3,14,1840,1
11,0,119,0,3,30,270,1
24,0,124,0,3,15,1840,1
7,0,55,0,4,14,270,0
16,0,84,1,4,19,1840,0
7,0,60,0,4,13,270,0
37,0,211,0,4,28,270,0
16,0,98,0,5,22,270,0
10,0,70,0,5,28,270,1
14,0,76,0,3,16,1840,1
12,0,66,0,3,14,1840,1
21,0,89,0,3,13,1840,1
5,0,44,0,3,15,1840,0
12,0,63,0,3,13,1840,0
30,0,121,0,3,13,1840,1
34,0,149,0,4,17,1840,1
33,0,113,0,4,26,1840,1
13,0,76,0,3,12,1840,1
33,0,122,0,4,17,1840,1
17,0,80,0,3,20,1840,1
17,0,71,0,4,14,1840,0
10,0,65,0,3,14,1840,0
11,0,69,0,3,17,1840,0
10,0,75,0,2,9,1840,1
11,0,88,0,2,8,1840,1
10,0,82,0,2,10,1840,1
1,0,9,0,1,4,1840,0
1,0,10,0,4,5,1840,0
1,0,10,0,4,5,1840,0
1,0,10,0,4,5,1840,0
1,0,15,0,1,1,1840,0
1,0,46,0,2,3,768,0
1,0,21,0,1,3,1840,0
1,0,30,0,1,6,1840,0
1,0,44,0,4,11,1840,0
2,0,86,0,2,2,1840,0
1,0,15,0,2,4,1840,0
1,0,38,0,2,3,1840,0
1,0,6,0,2,3,1840,0
1,0,38,0,1,2,1840,0
1,0,11,0,2,3,1840,0
1,0,28,0,1,2,1840,0
1,0,13,0,1,2,1840,0
1,0,13,0,1,2,1840,0
1,0,9,0,2,4,768,0
1,0,10,0,2,2,1840,0
1,0,8,0,1,2,1840,0
1,0,8,0,1,2,1840,0
1,0,8,0,1,2,1840,0
1,0,44,0,1,3,1840,0
2,0,53,0,1,3,1840,0
1,0,27,0,1,2,1840,0
1,0,35,0,1,3,1840,0
1,0,28,0,1,3,1840,0
1,0,13,0,1,3,1840,0
2,0,30,0,1,1,1840,1
8,0,52,0,2,7,1840,1
3,0,36,0,2,6,1840,1
7,0,65,0,2,6,1840,1
5,0,49,0,2,7,270,0
2,0,23,0,1,1,1840,0
7,0,55,0,2,7,1840,1
1,0,19,0,2,2,270,0
2,0,36,0,1,1,1840,0
3,0,47,0,1,3,270,0
19,0,100,0,3,4,270,1
40,0,200,0,3,9,1840,1
18,0,95,0,3,14,1840,1
60,0,260,0,2,8,270,1
82,0,265,0,3,13,1840,1
92,0,293,0,4,20,1840,0
82,0,292,0,3,19,1840,1
35,0,157,0,2,11,1840,0
1,0,13,0,1,4,258,0
1,0,9,0,1,6,258,0
4,0,20,0,2,3,1840,0
1,0,12,0,1,4,258,0
1,0,9,0,1,2,258,0
9,0,35,0,2,3,1840,0
1,0,61,0,1,4,258,0
22,0,148,0,2,13,1840,0
3,0,37,0,1,1,1840,0
2,0,35,0,1,1,1840,1
1,0,20,0,1,1,1840,1
1,0,15,0,1,1,1840,0
8,0,58,0,1,1,1840,1
3,0,33,0,1,1,1840,1
6,0,70,0,1,3,1840,1
2,0,27,0,1,1,1840,1
3,0,21,0,1,1,1840,0
2,0,35,0,1,1,1840,0
1,0,11,0,1,1,1840,0
1,0,11,0,1,1,1840,0
1,0,20,0,1,2,1840,0
32,0,161,0,2,5,270,1
4,0,27,0,1,1,1840,0
1,0,23,0,1,1,1840,0
1,0,31,0,1,1,1840,0
1,0,21,0,1,2,1840,0
1,0,13,0,1,2,1840,0
2,0,23,0,1,1,1840,0
9,0,68,0,1,3,1840,1
1,0,19,0,1,3,258,0
2,0,12,0,1,3,258,0
1,0,8,0,1,2,258,0
1,0,6,0,1,2,258,0
33,0,204,0,2,14,258,1
1,0,61,0,1,2,258,0
5,0,28,0,2,2,1840,0
14,0,105,0,4,16,1840,0
