McCC,CLOC,LLOC,Number of previous modifications,Number of previous fixes,Number of committers,Number of developer commits,target
26,0,189,4,0,2,4843,0
1,0,7,3,0,2,20,0
18,0,312,116,0,6,4843,0
1,0,68,12,0,3,4843,0
6,0,59,4,0,3,4843,0
3,0,27,2,0,1,4843,0
46,0,265,26,0,3,4843,0
3,0,37,1,0,1,1328,0
1,0,24,1,0,1,224,0
8,0,80,4,0,2,4843,0
17,0,102,20,0,2,4843,0
19,0,124,8,0,2,4843,0
3,0,65,1,0,1,4843,0
3,0,65,5,0,2,4843,0
5,0,37,1,0,1,4843,0
3,0,37,5,0,1,4843,0
12,0,55,2,0,1,4843,0
39,0,182,26,0,2,4843,0
5,0,30,3,0,1,4843,0
9,0,56,7,0,1,4843,0
4,0,33,2,0,1,4843,0
11,0,42,2,0,2,20,0
10,0,43,2,0,1,4843,0
31,0,181,10,0,3,4843,0
18,0,129,23,0,3,4843,0
300,0,870,11,0,1,4843,0
12,0,405,3,0,1,4843,0
1,0,58,7,0,2,4843,0
8,0,64,61,0,6,4843,0
32,0,251,1,0,1,4843,0
115,0,1019,98,0,3,4843,0
6,0,81,10,0,2,4843,0
5,0,42,7,0,2,4843,0
1,0,11,1,0,1,4843,0
6,0,66,6,0,2,4843,0
5,0,55,5,0,1,4843,0
119,0,569,37,0,2,4843,0
15,0,319,55,0,3,4843,0
15,0,104,3,0,2,4843,0
23,0,122,1,0,1,4843,0
11,0,208,14,0,1,4843,0
20,0,113,1,0,1,4843,0
42,0,200,4,0,2,4843,0
4,0,41,1,0,1,4843,0
1,0,19,8,0,2,4843,0
1,0,6,1,0,1,4843,0
16,0,67,2,0,2,20,0
31,0,159,7,0,2,4843,0
16,0,180,10,0,2,4843,0
2,0,26,2,0,2,20,0
18,0,87,4,0,2,4843,0
1,0,14,5,0,2,20,0
1,0,14,5,0,2,20,0
3,0,37,8,0,1,4843,0
1,0,5,1,0,1,4843,0
16,0,69,3,0,1,4843,0
39,0,290,16,0,2,4843,0
86,0,259,24,0,3,4843,0
25,0,115,5,0,2,4843,0
42,0,231,2,0,1,4843,0
3,0,39,2,0,1,4843,0
1,0,19,2,0,1,4843,0
2,0,25,2,0,1,4843,0
8,0,65,2,0,1,4843,0
8,0,53,2,0,2,20,0
19,0,178,9,0,2,4843,0
1,0,12,1,0,1,4843,0
12,0,82,1,0,1,4843,0
9,0,78,4,0,2,4843,0
1,0,27,6,0,1,4843,0
10,0,62,2,0,2,20,0
5,0,42,5,0,2,4843,0
106,0,526,23,0,1,4843,0
20,0,146,6,0,2,4843,0
10,0,63,1,0,1,4843,0
9,0,92,6,0,2,20,0
14,0,77,2,0,2,20,0
3,0,28,2,0,2,20,0
4,0,62,2,0,2,20,0
2,0,23,2,0,2,20,0
11,0,82,2,0,2,20,0
9,0,83,2,0,2,20,0
134,0,433,5,0,2,4843,0
26,0,168,2,0,2,20,0
3,0,30,2,0,2,20,0
1,0,32,2,0,2,20,0
52,0,368,3,0,3,152,0
216,0,822,2,0,2,20,0
18,0,111,5,0,2,4843,0
221,0,1145,6,0,3,4843,0
12,0,50,2,0,1,4843,0
1,0,17,2,0,2,20,0
1,0,15,2,0,2,20,0
38,0,205,2,0,2,20,0
45,0,247,3,0,2,4843,0
48,0,490,17,0,2,4843,0
8,0,53,3,0,2,4843,0
12,0,72,8,0,2,4843,0
41,0,331,10,0,1,4843,0
1,0,14,2,0,1,4843,0
2,0,18,1,0,1,4843,0
5,0,23,8,0,3,4843,0
4,0,41,1,0,1,4843,0
286,0,1398,14,0,2,4843,0
11,0,43,1,0,1,4843,0
4,0,39,1,0,1,4843,0
4,0,60,1,0,1,4843,0
7,0,73,4,0,2,4843,0
2,0,30,1,0,1,4843,0
81,0,297,2,0,1,4843,0
22,0,235,1,0,1,4843,0
26,0,128,3,0,1,4843,0
14,0,88,1,0,1,4843,0
5,0,30,1,0,1,4843,0
17,0,87,1,0,1,4843,0
8,0,77,7,0,2,4843,0
76,0,319,20,0,4,4843,0
10,0,48,2,0,1,4843,0
13,0,62,4,0,2,4843,0
7,0,168,3,0,1,4843,0
1,0,19,1,0,1,152,0
2,0,31,1,0,1,152,0
17,0,157,11,0,3,4843,0
5,0,40,1,0,1,152,0
5,0,39,1,0,1,152,0
70,0,686,18,0,3,4843,0
4,0,59,1,0,1,152,0
6,0,40,2,0,1,4843,0
46,0,336,8,0,1,4843,1
1,0,12,1,0,1,4843,0
4,0,46,11,0,4,152,0
9,0,64,8,0,2,4843,0
1,0,25,5,0,1,4843,0
11,0,81,5,0,2,4843,0
2,0,28,2,0,1,4843,0
1,0,12,1,0,1,4843,0
3,0,52,6,0,1,4843,0
34,0,186,6,0,1,4843,0
10,0,86,21,0,3,4843,0
6,0,69,9,0,2,4843,0
12,0,72,4,0,1,4843,0
40,0,203,12,0,2,4843,0
102,0,608,41,0,3,4843,0
22,0,121,11,0,2,4843,0
2,0,21,3,0,2,20,0
24,0,161,17,0,2,4843,0
45,0,401,44,0,3,4843,0
21,0,148,16,0,2,4843,0
28,0,150,3,0,1,4843,0
1,0,21,4,0,2,4843,0
7,0,29,1,0,1,4843,0
7,0,32,1,0,1,4843,0
28,0,207,25,0,2,4843,0
7,0,39,1,0,1,4843,0
14,0,169,19,0,2,4843,0
1,0,19,3,0,1,4843,0
38,0,405,5,0,1,4843,0
63,0,417,56,0,5,4843,0
20,0,132,10,0,2,4843,0
47,0,263,34,0,4,4843,0
26,0,148,22,0,3,4843,0
38,0,197,12,0,1,4843,0
17,0,107,3,0,1,4843,0
1,0,8,3,0,2,4843,0
6,0,108,2,0,1,4843,0
3,0,383,20,0,1,4843,0
7,0,198,10,0,2,4843,0
66,0,536,21,0,5,4843,0
3,0,57,12,0,5,152,0
12,0,141,2,0,1,4843,0
3,0,75,2,0,1,4843,0
552,0,2133,143,0,6,56,0
25,0,134,22,0,2,4843,0
25,0,146,12,0,2,4843,0
103,0,427,43,0,2,4843,0
31,0,185,12,0,2,4843,0
1,0,15,5,0,1,4843,0
4,0,66,7,0,1,4843,0
139,0,403,7,0,2,4843,0
3,0,53,5,0,1,4843,0
25,0,212,7,0,2,4843,0
34,0,201,5,0,3,4843,0
54,0,249,10,0,3,4843,0
1,0,62,3,0,1,4843,0
15,0,119,15,0,3,4843,0
7,0,58,5,0,2,4843,0
8,0,67,4,0,1,4843,0
24,0,111,9,0,2,4843,0
14,0,99,12,0,2,4843,0
7,0,57,3,0,2,20,0
445,0,1989,151,0,6,4843,0
37,0,224,16,0,3,4843,0
32,0,250,7,0,2,4843,0
4,0,48,6,0,2,4843,0
13,0,61,5,0,2,4843,0
28,0,115,5,0,2,4843,0
8,0,87,4,0,1,4843,0
3,0,52,12,0,4,4843,0
14,0,74,5,0,2,4843,0
38,0,230,8,0,2,4843,0
22,0,96,3,0,2,4843,0
25,0,161,25,0,2,4843,0
12,0,71,7,0,1,4843,0
3,0,51,3,0,2,20,0
7,0,50,10,0,2,4843,0
14,0,114,6,0,2,4843,0
7,0,64,5,0,1,4843,0
12,0,112,7,0,2,4843,0
5,0,71,12,0,2,4843,0
5,0,74,12,0,2,4843,0
9,0,186,10,0,3,4843,0
67,0,345,5,0,1,4843,0
9,0,114,7,0,1,4843,0
5,0,59,5,0,2,4843,0
5,0,59,5,0,2,4843,0
43,0,348,4,0,1,4843,0
6,0,36,1,0,1,4843,0
22,0,115,4,0,2,4843,0
1,0,32,1,0,1,4843,0
28,0,155,7,0,2,4843,0
41,0,152,8,0,3,4843,0
