McCC,CLOC,LLOC,Number of previous modifications,Number of committers,Number of developer commits,Number of previous fixes,target
1,0,22,1,1,1302,0,0
1,0,12,1,1,1302,0,0
2,0,21,6,2,1302,0,0
2,0,24,2,1,1302,0,0
1,0,13,6,1,1302,0,0
8,0,63,10,2,1302,0,0
2,0,28,1,1,1302,0,0
5,0,26,1,1,1302,0,0
1,0,46,7,1,1302,0,0
1,0,22,5,1,1302,0,0
1,0,22,5,1,1302,0,0
2,0,22,5,1,1302,0,0
2,0,20,2,1,1302,0,0
1,0,25,4,2,1302,0,0
1,0,21,3,1,1302,0,0
1,0,16,2,1,1302,0,0
3,0,45,3,1,1302,0,0
1,0,19,1,1,1302,0,0
7,0,55,4,1,1302,0,0
5,0,46,6,1,1302,0,0
50,0,302,58,5,1302,1,1
36,0,264,7,1,1302,0,1
26,0,200,11,2,1302,0,0
111,0,399,10,1,1302,0,1
452,0,2055,56,3,1302,4,1
39,0,430,2,1,1302,0,0
1,0,11,15,1,1302,0,1
27,0,125,11,1,1302,2,0
1,0,96,8,1,1302,1,0
4,0,108,8,1,1302,1,0
110,0,818,48,2,1302,1,1
34,0,345,71,2,1302,2,1
14,0,175,6,1,1302,0,0
1,0,23,22,2,1302,1,1
23,0,350,23,2,1302,1,1
91,0,216,7,1,1302,0,1
227,0,1197,53,3,1302,2,0
102,0,516,9,2,1302,0,0
57,0,407,7,1,1302,0,0
31,0,277,11,2,1302,0,0
3,0,37,6,2,1302,0,0
39,0,222,13,1,1302,1,1
39,0,294,11,2,1302,0,1
10,0,100,22,2,1302,0,0
485,0,1575,34,1,1302,0,1
62,0,454,28,2,1302,2,1
27,0,182,8,1,1302,2,1
56,0,479,29,1,1302,3,1
118,0,697,51,1,1302,3,1
15,0,211,14,1,1302,0,0
100,0,659,43,1,1302,6,1
1,0,4,1,1,1302,0,0
52,0,349,7,1,1302,0,1
8,0,31,23,1,1302,2,1
1,0,3,1,1,1302,0,0
34,0,193,34,1,1302,2,0
85,0,607,40,2,1302,2,1
8,0,98,26,1,1302,0,0
2,0,52,6,1,1302,0,0
6,0,110,5,1,1302,0,0
6,0,122,6,1,1302,0,0
14,0,153,5,1,1302,0,0
811,0,6251,4,1,1302,0,0
2,0,35,13,1,1302,0,0
12,0,386,8,2,1302,0,0
1,0,15,5,2,1302,0,0
1,0,13,5,2,1302,0,0
1,0,240,5,1,1302,0,0
47,0,584,4,1,1302,0,0
19,0,214,29,2,1302,1,0
2,0,34,13,1,1302,0,0
30,0,212,4,1,1302,0,0
122,0,1385,6,1,1302,0,0
47,0,981,5,1,1302,0,0
111,0,926,6,1,1302,0,0
98,0,683,7,1,1302,0,0
51,0,782,2,1,1302,0,0
1,0,15,9,2,1302,0,0
5,0,44,6,1,1302,0,0
3,0,13,2,1,1302,0,0
1,0,26,17,1,1302,0,0
110,0,686,3,1,1302,0,0
2,0,289,28,1,1302,0,0
1,0,61,10,1,1302,0,0
2,0,112,7,2,1302,1,0
13,0,188,9,1,1302,0,0
3,0,30,5,1,1302,0,1
1,0,60,7,1,1302,0,0
33,0,107,2,1,1302,0,0
44,0,427,29,1,1302,1,0
2,0,31,14,1,1302,0,0
3,0,89,17,1,1302,0,0
1,0,16,2,1,1302,0,0
1,0,9,2,1,1302,0,0
9,0,71,2,1,1302,1,0
12,0,120,3,1,1302,1,0
12,0,87,3,1,1302,0,0
1,0,55,3,1,1302,0,0
5,0,34,1,1,1302,0,0
5,0,85,2,1,1302,0,0
7,0,91,2,1,1302,0,0
2,0,17,1,1,1302,1,0
1,0,52,1,1,1302,0,0
2,0,15,2,1,1302,2,0
6,0,43,9,1,1302,0,0
23,0,206,8,1,1302,0,0
6,0,51,8,1,1302,0,0
4,0,53,1,1,1302,0,0
1,0,21,3,2,1302,0,0
5,0,51,2,1,1302,0,0
2,0,54,1,1,1302,1,0
2,0,20,4,1,1302,2,0
1,0,11,1,1,1302,0,0
1,0,25,1,1,1302,0,0
1,0,151,9,2,1302,1,0
6,0,134,4,1,1302,0,0
6,0,109,9,2,1302,0,0
196,0,1334,6,2,1302,0,0
16,0,43,3,1,1302,0,0
23,0,139,9,1,1302,0,0
1,0,64,4,1,1302,0,0
32,0,88,1,1,1302,0,0
1,0,69,6,1,1302,0,0
28,0,63,1,1,1302,0,0
36,0,373,19,1,1302,1,0
21,0,305,15,2,1302,2,0
3,0,80,6,1,1302,0,0
8,0,91,8,1,1302,0,0
23,0,309,15,1,1302,0,0
1,0,9,2,1,1302,0,0
1,0,34,6,1,1302,0,0
4,0,18,14,2,1302,1,0
1375,0,11296,2,1,1302,0,0
1,0,72,2,1,1302,0,0
23,0,159,10,1,1302,4,0
4,0,66,3,1,1302,0,0
14,0,194,13,1,1302,0,0
