Type,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,target
0,14,1,73,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,18,4,2,2,15,25,0.0909091,0.0754717,4,4,1,10,0.0754717,4,2,2,2,2,1,49,60,0,14,0,6,10,0,10,0,18,20,0,18,0,49,60,0,14,0,6,10,0,10,0,18,20,0,18,0,10.0,1.0,2.0,5.0,41.0,45.0,2.0,3.0,10.0,2.0,173.0,0.0,0.0,0.0,0.466666667,1.0,1.0,16.3,9.0,1.8,0
1,18,1,44,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,8,3,53,51,0,8,0.555556,0.666667,20,20,5,4,0.666667,20,1,1,2,4,1,10,27,0,14,0,8,8,0,8,0,14,0,0,14,0,10,27,0,14,0,8,8,0,8,0,14,0,0,14,0,8.0,1.0,0.0,52.0,8.0,28.0,49.0,3.0,8.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
0,11,1,77,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,12,1,12,18,2,10,0.666667,0.3125,20,20,6,3,0.3125,20,0,0,0,0,0,44,67,4,4,4,4,8,0,8,0,8,18,0,8,0,44,67,4,4,4,4,8,0,8,0,8,18,0,8,0,8.0,1.0,0.0,12.0,17.0,20.0,11.0,1.0,8.0,0.5,121.0,1.0,1.0,0.0,0.34375,1.0,1.0,13.625,6.0,1.5,0
1,8,1,11,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,19,5,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,6,7,0,4,4,0,2,0,2,2,0,2,0,2,0,0,2,0,4,4,0,2,0,2,2,0,2,0,2,0,0,2,0,2.0,1.0,0.0,15.0,2.0,1.0,15.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
0,13,1,26,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,0,10,11,0,3,0.25,0.263158,5,5,1,3,0.263158,5,0,0,0,0,0,14,14,2,1,2,1,3,0,3,0,3,4,0,3,0,14,14,2,1,2,1,3,0,3,0,3,4,0,3,0,3.0,1.0,0.0,11.0,4.0,0.0,11.0,0.0,3.0,0.5,20.0,1.0,0.0,0.0,0.555555556,0.0,0.0,5.0,1.0,0.6667,0
0,16,1,97,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,16,4,5,8,15,28,0.214286,0.128571,9,9,3,11,0.128571,9,2,2,0,0,1,61,82,8,12,2,6,13,0,13,0,23,28,0,20,3,61,82,8,12,2,6,13,0,13,0,23,28,0,20,3,13.0,2.0,0.0,10.0,33.0,52.0,6.0,4.0,13.0,0.333333333,206.0,1.0,2.0,0.45,0.282051282,1.0,1.0,14.69230769,5.0,1.1538,0
0,17,1,173,2,0.0,0,0,0,0.0,0.0,0,0,1,4,2,27,3,11,32,3,16,0.692308,0.272,34,34,9,4,0.234483,34,3,3,0,0,1,91,137,11,10,5,4,13,0,12,0,28,48,0,24,6,111,157,14,11,8,5,16,2,14,0,31,55,2,26,6,13.0,3.0,0.0,12.0,26.0,48.0,10.0,3.0,12.0,0.633333333,242.0,1.0,1.0,0.545454545,0.222222222,1.0,1.0,17.23076923,6.0,1.5385,0
1,10,1,21,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,1,11,3,0,2,0.333333,0.666667,8,8,1,2,0.666667,8,0,0,1,6,0,4,12,0,1,0,1,2,0,2,0,2,0,0,2,0,4,12,0,1,0,1,2,0,2,0,2,0,0,2,0,2.0,1.0,0.0,10.0,2.0,1.0,10.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,1.0,1.0,0
0,16,1,98,2,0.123636,1,4,1,0.120482,0.142857,10,10,1,1,1,21,5,17,31,14,30,0.0588235,0.0540541,4,4,1,16,0.0540541,4,3,3,0,0,1,70,83,3,14,3,8,16,0,16,0,26,28,0,26,0,70,83,3,14,3,8,16,0,16,0,26,28,0,26,0,16.0,2.0,0.0,16.0,32.0,86.0,12.0,4.0,16.0,0.511111111,187.0,0.0,1.0,0.409090909,0.294642857,1.0,8.0,10.5,1.0,0.8125,0
0,14,1,123,2,0.124542,1,4,1,0.0909091,0.120482,10,10,1,1,1,23,5,4,6,10,25,0.125,0.117021,11,11,2,14,0.117021,11,1,1,0,0,1,83,110,6,8,6,8,15,0,15,0,15,36,0,15,0,83,110,6,8,6,8,15,0,15,0,15,36,0,15,0,15.0,1.0,0.0,8.0,36.0,35.0,2.0,6.0,15.0,0.666666667,214.0,1.0,3.0,0.0,0.25,1.0,1.0,12.86666667,3.0,1.0667,0
0,34,1,436,2,0.0,0,0,0,0.0,0.0,0,0,2,3,3,77,11,18,62,26,70,0.157895,0.192837,70,66,6,32,0.192837,70,2,2,0,0,1,293,403,14,22,14,22,44,0,37,0,44,170,0,37,0,293,403,14,22,14,22,44,0,37,0,44,170,0,37,0,45.0,1.0,0.0,19.0,113.0,634.0,9.0,11.0,37.0,0.844155844,1006.0,1.0,5.0,0.0,0.141608392,0.0,0.0,21.04444444,9.0,1.5778,0
0,38,1,476,2,0.0227704,1,3,1,0.022779,0.0292398,10,10,2,4,3,94,24,17,34,55,111,0.122807,0.124339,47,42,7,50,0.120823,47,2,2,0,0,1,331,428,20,25,18,25,56,0,56,10,56,184,2,56,10,342,439,22,25,20,25,58,0,58,10,58,187,2,58,10,56.0,1.0,0.0,33.0,146.0,1146.0,12.0,23.0,56.0,0.853535354,1086.0,1.0,5.0,0.0,0.079545455,0.0,0.0,18.07142857,6.0,1.4107,0
0,16,1,80,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,13,4,4,5,6,18,0.0769231,0.0714286,4,4,1,12,0.0714286,4,1,1,0,0,1,52,65,6,6,6,6,12,0,12,0,12,19,0,12,0,52,65,6,6,6,6,12,0,12,0,12,19,0,12,0,12.0,1.0,0.0,8.0,19.0,44.0,4.0,4.0,12.0,0.833333333,85.0,1.0,3.0,0.0,0.236111111,1.0,1.0,5.583333333,2.0,1.0,0
0,9,1,13,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,3,3,1,1,2,0.0,0.0,0,0,0,2,0.0,0,1,1,1,1,1,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,2.0,1.0,1.0,6.0,4.0,1.0,3.0,3.0,2.0,2.0,8.0,0.0,0.0,0.0,0.625,0.0,0.0,3.0,1.0,0.5,0
