numberOfVersionsUntil:,numberOfFixesUntil:,numberOfRefactoringsUntil:,numberOfAuthorsUntil:,linesAddedUntil:,maxLinesAddedUntil:,avgLinesAddedUntil:,linesRemovedUntil:,maxLinesRemovedUntil:,avgLinesRemovedUntil:,codeChurnUntil:,maxCodeChurnUntil:,avgCodeChurnUntil:,ageWithRespectTo:,weightedAgeWithRespectTo:,target,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs
12,1,0,6,12.0,1.0,1.0,12.0,1.0,1.0,0.0,0.0,0.0,244.714,954.643,1,0,0,0,0
49,9,1,3,2311.0,644.0,471.633,3683.0,2030.0,751.633,-1372.0,218.0,-28.0,66.0,351.323,1,0,0,0,0
32,4,0,10,424.0,58.0,13.25,238.0,51.0,74.375,186.0,51.0,58.125,368.143,168.949,0,0,0,0,0
2,0,0,2,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,231.429,807.143,0,0,0,0,0
2,1,0,1,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,325.857,397.857,0,0,0,0,0
24,4,0,9,999.0,468.0,41.625,251.0,69.0,104.583,748.0,420.0,311.667,368.143,314.776,0,0,0,0,0
7,0,0,4,30.0,20.0,428.571,19.0,9.0,271.429,11.0,11.0,157.143,242.143,324.762,0,0,0,0,0
1,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,657.143,0.0,0,0,0,0,0
14,2,0,7,134.0,36.0,957.143,22.0,5.0,157.143,112.0,33.0,8.0,242.143,500.437,1,0,0,0,0
6,1,0,3,349.0,274.0,581.667,283.0,274.0,471.667,66.0,38.0,11.0,121.571,103.953,0,0,0,0,0
10,0,0,4,422.0,324.0,42.2,342.0,324.0,34.2,80.0,49.0,8.0,905.714,158.812,0,0,0,0,0
1,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,627.143,0.0,0,0,0,0,0
5,0,0,3,5.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,250.143,139.429,0,0,0,0,0
6,1,0,4,14.0,6.0,233.333,13.0,6.0,216.667,1.0,2.0,0.166667,180.143,573.265,0,0,0,0,0
3,1,0,2,3.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,307.429,404.286,0,0,0,0,0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
