McCC,CLOC,LLOC,Number of developer commits,Number of previous modifications,Number of previous fixes,Number of committers,target
1,0,3,15,12,0,10,0
16,0,51,15,11,1,7,0
46,0,294,15,22,1,8,0
1,0,1,15,11,1,7,0
4,0,34,15,11,1,7,0
1,0,16,15,6,0,5,0
10,0,60,15,2,0,2,0
11,0,102,15,2,0,2,0
1,0,9,15,2,0,2,0
1,0,8,15,2,0,2,0
1,0,1,15,4,0,3,0
1,0,12,15,4,0,3,0
10,0,295,15,11,0,11,0
5,0,107,15,2,0,2,0
5,0,95,15,2,0,2,0
1,0,20,15,2,0,2,0
3,0,35,15,9,0,7,0
1,0,1,15,4,0,3,0
11,0,70,15,2,0,2,0
24,0,126,15,3,0,3,0
1,0,46,15,2,0,2,0
82,0,402,15,17,2,12,0
16,0,105,15,6,0,5,0
1,0,6,15,4,0,3,0
1,0,6,15,4,0,3,0
1,0,7,15,2,0,2,0
1,0,18,15,4,0,4,0
1,0,1,15,4,0,3,0
2,0,18,15,4,1,3,0
242,0,1331,15,2,0,2,0
1,0,1,15,2,0,2,0
1,0,24,15,2,0,2,0
3,0,53,15,8,2,5,1
6,0,83,15,6,0,5,0
18,0,471,1733,19,1,11,1
3,0,25,15,2,0,2,0
5,0,224,1733,11,1,7,0
7,0,82,15,2,0,2,0
1,0,1,15,4,0,3,0
29,0,200,15,2,0,2,0
1,0,19,15,4,0,3,0
1,0,5,15,2,0,2,0
1,0,1,15,4,0,3,0
2,0,113,15,9,0,7,1
2,0,115,15,7,0,6,1
2,0,37,15,4,1,3,0
2,0,86,15,8,0,6,1
4,0,56,15,4,0,4,1
29,0,482,15,11,1,6,1
5,0,57,15,2,0,2,0
10,0,269,15,8,0,6,1
4,0,109,15,9,1,6,1
94,0,1207,296,35,3,10,1
16,0,257,15,7,0,6,1
14,0,378,15,18,1,7,1
13,0,274,15,9,0,6,1
16,0,295,15,4,0,4,1
5,0,107,15,6,0,5,1
8,0,188,15,8,0,6,1
2,0,77,15,6,0,4,1
1,0,1,15,2,0,2,0
2,0,98,15,7,0,6,1
1,0,18,15,7,3,5,0
1,0,66,1733,6,1,4,0
1,0,15,15,2,0,2,0
1,0,19,15,6,0,4,0
1,0,8,15,6,0,5,0
1,0,11,15,2,0,2,0
14,0,154,15,11,0,6,1
1,0,4,15,2,0,2,0
1,0,8,1733,2,1,1,0
1,0,14,1733,3,1,1,0
1,0,6,15,2,0,2,0
1,0,1,15,4,0,3,0
27,0,262,1733,10,1,6,1
1,0,4,15,2,0,2,0
1,0,6,15,2,0,2,0
1,0,1,15,4,0,3,0
10,0,121,1733,4,1,3,0
13,0,123,1733,9,1,5,0
2,0,42,15,2,0,2,0
11,0,58,15,2,0,2,0
11,0,96,15,8,0,5,1
1,0,1,15,2,0,2,0
3,0,15,15,2,0,2,0
3,0,22,15,2,0,2,0
1,0,18,15,2,0,2,0
24,0,266,15,9,1,6,1
17,0,168,15,10,4,6,1
61,0,516,15,19,2,8,1
1,0,12,15,2,0,2,0
30,0,298,15,9,1,6,1
2,0,45,15,4,0,4,1
12,0,168,15,17,5,9,1
17,0,91,15,3,1,3,0
1,0,1,15,2,0,2,0
7,0,61,15,2,0,2,1
12,0,205,15,9,4,6,0
34,0,303,15,9,0,6,1
3,0,20,15,4,0,3,0
8,0,67,15,14,0,6,0
14,0,97,15,2,0,2,0
1,0,1,15,4,0,3,0
4,0,42,15,4,0,3,0
8,0,57,15,4,0,3,0
22,0,191,15,6,3,4,0
