McCC,CLOC,PDA,PUA,LLOC,LOC,ID.1,LongName.1,Parent.1,McCC.1,CLOC.1,LLOC.1,Number of previous fixes,Number of previous modifications,Number of committers,Number of developer commits,target
20,0,0,12,119,155,14,0,3,20,0,119,0,29,3,3122,0
1,0,5,44,168,264,290,1,53,1,0,168,0,34,6,3122,0
5,0,0,8,56,83,306,2,53,5,0,56,0,11,3,16,0
6,0,1,8,57,92,307,3,53,6,0,57,0,6,0,0,1
34,0,14,11,366,567,311,4,53,34,0,366,1,79,7,1345,0
234,0,4,63,1569,2117,322,5,53,234,0,1569,1,304,13,3122,1
4,0,0,4,27,36,329,6,53,4,0,27,0,12,4,1345,0
2,0,1,83,615,724,330,7,53,2,0,615,0,91,9,1345,1
1,0,0,2,14,34,331,8,53,1,0,14,0,8,3,3122,0
24,0,1,5,103,153,1302,9,191,24,0,103,0,23,7,1345,0
1,0,1,1,6,29,1303,10,191,1,0,6,0,4,0,0,0
1,0,1,1,6,29,1304,11,191,1,0,6,0,5,0,0,0
14,0,8,3,79,165,1305,12,191,14,0,79,0,11,0,0,0
2,0,2,5,34,71,1306,13,191,2,0,34,0,8,4,3122,0
2,0,2,1,32,92,1307,14,191,2,0,32,0,2,0,0,0
1,0,1,1,5,29,1308,15,191,1,0,5,0,3,0,0,0
1,0,1,5,21,50,1309,16,191,1,0,21,0,2,0,0,0
2,0,1,1,15,39,1310,17,191,2,0,15,1,2,2,33,0
341,0,51,31,1855,2948,1313,18,191,341,0,1855,0,74,4,1345,0
32,0,6,17,196,335,1314,19,191,32,0,196,0,12,0,0,0
19,0,2,11,172,256,1315,20,191,19,0,172,0,5,0,0,0
4,0,1,7,29,57,1316,21,191,4,0,29,0,4,0,0,0
1,0,4,5,47,120,1317,22,191,1,0,47,0,10,3,16,0
13,0,29,2,156,462,1318,23,191,13,0,156,0,3,0,0,0
32,0,1,14,148,198,1311,24,191,32,0,148,0,18,6,3122,0
130,0,12,6,390,600,1312,25,191,130,0,390,0,54,7,1345,0
1,0,22,0,28,327,1319,26,191,1,0,28,0,4,0,0,0
1,0,16,0,22,247,1320,27,191,1,0,22,0,4,0,0,0
6,0,8,1,43,141,1321,28,191,6,0,43,0,4,0,0,0
4,0,1,1,18,48,1325,29,194,4,0,18,0,2,0,0,0
1,0,1,1,7,13,1326,30,194,1,0,7,0,7,3,3122,0
4,0,2,0,25,67,1327,31,194,4,0,25,0,9,3,3122,0
3,0,1,1,14,43,1328,32,194,3,0,14,0,3,0,0,0
10,0,1,1,65,112,1329,33,194,10,0,65,0,5,0,0,0
1,0,1,4,17,46,1331,34,196,1,0,17,0,2,0,0,0
1,0,1,4,16,44,1332,35,196,1,0,16,0,2,0,0,0
1,0,1,1,13,40,1333,36,197,1,0,13,0,5,3,3122,0
12,0,1,10,81,122,1334,37,197,12,0,81,0,5,3,3122,1
1,0,1,3,14,41,1335,38,197,1,0,14,0,5,3,3122,0
1,0,1,3,7,33,1336,39,197,1,0,7,0,5,3,3122,0
1,0,0,3,11,33,1337,40,197,1,0,11,0,6,0,0,0
27,0,1,9,166,213,1338,41,197,27,0,166,0,28,3,3122,0
7,0,6,0,57,121,1339,42,197,7,0,57,0,7,4,16,0
1,0,1,4,16,29,1340,43,197,1,0,16,0,3,0,0,0
1,0,1,2,7,31,1341,44,197,1,0,7,0,5,3,3122,0
1,0,1,3,14,41,1342,45,197,1,0,14,0,5,3,3122,0
1,0,1,1,13,48,1343,46,197,1,0,13,0,3,0,0,0
1,0,0,2,4,21,1344,47,198,1,0,4,0,2,0,0,0
1,0,1,0,11,37,1345,48,198,1,0,11,0,2,0,0,0
9,0,0,7,61,97,1346,49,198,9,0,61,0,28,3,1345,1
1,0,2,1,5,34,1347,50,198,1,0,5,0,8,0,0,0
1,0,1,3,7,33,1348,51,198,1,0,7,0,2,0,0,0
5,0,1,3,32,67,1349,52,198,5,0,32,0,3,0,0,0
1,0,1,4,7,33,1350,53,198,1,0,7,0,4,0,0,0
1,0,1,0,18,46,1351,54,198,1,0,18,0,3,0,0,0
20,0,3,4,117,169,1352,55,198,20,0,117,0,20,6,3122,1
1,0,1,7,28,57,1353,56,198,1,0,28,0,6,0,0,0
1,0,0,5,19,25,1354,57,198,1,0,19,0,2,0,0,0
1,0,0,6,23,31,1355,58,198,1,0,23,0,2,0,0,0
2,0,1,5,50,81,1356,59,198,2,0,50,0,6,2,1345,0
7,0,1,1,42,74,1357,60,198,7,0,42,0,8,2,1345,0
2,0,0,4,19,25,1358,61,199,2,0,19,0,9,4,3122,0
1,0,1,2,6,12,1359,62,199,1,0,6,0,4,2,3122,0
85,0,0,9,367,494,1360,63,199,85,0,367,1,57,6,3122,0
1,0,1,0,8,41,1361,64,199,1,0,8,0,1,0,0,0
1,0,0,4,6,10,1362,65,199,1,0,6,0,9,4,3122,0
53,0,1,6,222,258,1363,66,199,53,0,222,1,6,2,3122,1
1,0,1,5,30,42,1364,67,199,1,0,30,0,4,2,3122,0
100,0,0,5,417,456,1365,68,199,100,0,417,0,23,4,3122,0
