McCC,CLOC,LLOC,Number of previous modifications,Number of previous fixes,Number of committers,Number of developer commits,target
1,0,11,8,0,7,257,0
1,0,30,6,0,5,1404,0
1,0,20,13,0,9,257,0
1,0,21,17,0,7,310,0
5,0,91,17,0,7,310,0
1,0,20,7,0,6,1404,0
1,0,26,17,0,8,1404,0
1,0,20,13,0,8,310,0
14,0,92,9,0,6,1404,0
1,0,12,8,0,6,1404,0
26,0,317,14,0,7,1404,0
1,0,1,7,0,4,1404,0
1,0,7,8,0,6,1404,0
1,0,24,8,0,6,1404,0
1,0,21,11,0,8,257,0
1,0,63,6,0,4,1404,0
1,0,11,8,0,6,1404,0
1,0,35,10,0,7,1404,0
3,0,31,9,0,6,1404,0
8,0,130,9,0,6,1404,0
2,0,70,18,0,9,1404,0
2,0,71,13,0,9,310,0
37,0,246,15,0,10,257,0
18,0,183,11,0,6,1404,0
1,0,55,18,0,11,257,0
2,0,65,13,0,7,1404,0
15,0,150,14,0,7,1404,0
2,0,67,14,0,9,1404,0
5,0,76,14,0,8,1404,0
4,0,55,6,0,4,1404,0
1,0,20,8,0,6,1404,0
1,0,19,8,0,6,1404,0
4,0,42,7,0,6,1404,0
12,0,107,9,0,6,1404,0
1,0,5,6,0,4,1404,0
2,0,24,6,0,4,1404,0
3,0,119,13,0,8,828,0
4,0,106,15,0,9,257,0
10,0,239,20,0,10,257,0
5,0,68,14,0,7,828,0
1,0,72,9,0,6,1404,0
1,0,11,6,0,5,1404,0
1,0,25,8,0,5,1404,0
2,0,34,8,0,6,1404,0
1,0,4,6,0,4,1404,0
4,0,53,12,0,9,257,0
1,0,15,9,0,7,505,0
1,0,38,16,0,11,2319,0
32,0,460,59,1,15,533,0
10,0,142,41,0,10,5350,0
1,0,8,2,0,2,505,0
1,0,77,16,0,8,2319,0
4,0,122,9,0,3,5350,0
5,0,40,12,0,7,5350,0
1,0,19,31,0,9,2319,0
1,0,19,10,0,5,2319,0
2,0,21,20,0,8,1296,0
1,0,16,11,0,6,5350,0
1,0,29,4,0,3,2319,0
1,0,28,30,0,10,3997,0
2,0,28,13,0,7,5350,0
2,0,28,13,0,7,5350,0
2,0,28,13,0,7,5350,0
1,0,11,13,0,7,5350,0
2,0,28,13,0,7,5350,0
2,0,28,13,0,7,5350,0
2,0,28,13,0,7,5350,0
4,0,28,13,0,7,5350,0
