McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of committers,Number of developer commits,target
21,0,123,0,37,6,3122,0
1,0,172,0,42,9,2,0
1,0,25,0,6,4,2,0
5,0,66,1,16,4,3122,0
22,0,145,1,4,2,3122,1
10,0,219,0,16,5,2,1
6,0,96,0,11,5,2,0
34,0,359,2,97,9,3122,0
229,0,1538,5,360,17,3122,1
4,0,27,0,12,4,1345,0
3,0,659,1,122,12,3122,0
1,0,14,0,8,3,3122,0
1,0,71,0,5,5,2,0
3,0,22,0,127,7,3122,0
1,0,7,0,3,0,0,0
43,0,367,0,118,9,3122,1
2,0,16,0,3,0,0,0
1,0,15,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
2,0,80,1,17,5,1,0
6,0,82,0,40,4,3122,0
1,0,20,0,3,0,0,0
1,0,4,0,4,2,3122,0
1,0,7,0,11,4,3122,0
1,0,4,0,4,2,3122,0
5,0,42,0,4,2,3122,0
1,0,8,0,4,2,3122,0
13,0,112,2,38,7,2,0
1,0,58,0,4,2,3122,0
14,0,94,0,48,5,3122,0
20,0,81,0,33,3,3122,0
5,0,53,1,12,5,1,0
3,0,29,2,16,6,3122,1
1,0,6,1,9,4,3122,0
1,0,6,0,7,4,1,0
2,0,26,1,9,4,3122,1
1,0,22,0,7,4,1,0
49,0,194,0,38,7,1,1
1,0,5,0,3,0,0,0
1,0,21,0,26,6,1,0
1,0,4,0,5,2,3122,0
1,0,16,0,20,5,3122,1
2,0,64,0,32,6,3122,1
1,0,11,0,2,0,0,0
8,0,45,0,2,0,0,0
6,0,79,0,18,4,3122,0
1,0,4,0,2,0,0,0
1,0,6,0,3,0,0,0
1,0,17,0,4,3,1345,0
1,0,16,0,20,6,3122,0
9,0,108,0,31,7,2,0
1,0,6,0,5,2,1345,0
1,0,12,0,16,3,16,0
1,0,6,1,18,6,3122,0
17,0,126,0,40,7,3122,1
1,0,5,0,4,1,3122,0
1,0,8,0,10,5,3122,0
3,0,34,0,10,5,3122,0
1,0,27,0,2,0,0,0
1,0,4,0,2,0,0,0
11,0,58,0,11,2,1345,1
33,0,487,5,355,12,3122,1
1,0,7,0,3,0,0,0
1,0,12,0,4,0,0,0
47,0,395,0,118,9,3122,1
1,0,23,0,9,0,0,0
1,0,11,0,4,0,0,0
1,0,32,0,5,5,16,0
1,0,13,0,4,0,0,0
1,0,24,0,4,0,0,0
1,0,6,0,4,0,0,0
1,0,6,0,1,0,0,0
1,0,40,0,4,2,3122,0
1,0,5,0,10,0,0,0
