McCC,CLOC,LLOC,Number of previous fixes,Number of developer commits,Number of committers,Number of previous modifications,target
17,0,84,0,4735,1,5,0
1,0,9,0,4735,1,1,0
1,0,16,1,4735,1,2,0
1,0,12,0,4735,1,1,0
1,0,9,0,4735,1,2,0
1,0,12,0,4735,1,1,0
1,0,9,0,4735,1,1,0
1,0,9,0,4735,1,1,0
1,0,4,0,4735,1,1,0
13,0,61,0,4735,1,9,0
2,0,46,0,4735,1,5,1
1,0,6,0,4735,1,2,0
1,0,12,0,4735,1,5,0
1,0,5,0,4735,1,2,0
1,0,7,0,4735,1,4,0
3,0,30,0,4735,1,4,0
1,0,4,0,4735,1,4,0
2,0,10,0,4735,1,5,0
1,0,12,0,4735,1,1,0
1,0,5,0,4735,1,1,0
1,0,11,0,4735,1,2,0
1,0,6,0,4735,1,1,0
1,0,7,0,4735,1,1,0
1,0,22,0,4735,1,1,0
1,0,8,0,4735,1,5,0
15,0,70,0,4735,1,1,0
1,0,118,0,4735,1,32,0
1,0,59,0,4735,1,21,0
2,0,14,0,4735,1,1,0
9,0,39,0,4735,1,1,0
26,0,191,0,4735,1,25,0
1,0,6,0,4735,1,1,0
1,0,27,1,4735,1,6,0
1,0,14,0,4735,1,5,0
1,0,5,0,4735,1,2,0
1,0,76,0,4735,1,17,0
1,0,60,0,4735,1,9,0
1,0,119,0,4735,1,18,0
1,0,1,0,4735,1,1,0
1,0,154,0,4735,3,33,0
18,0,95,1,4735,1,6,0
1,0,41,0,319,2,20,1
7,0,46,0,4735,1,5,0
1,0,12,0,4735,1,4,0
1,0,18,1,4735,1,10,0
2,0,179,0,4735,1,17,0
1,0,4,0,4735,1,2,0
1,0,4,0,4735,1,2,0
1,0,4,0,4735,1,1,0
1,0,7,0,4735,1,3,0
124,0,942,0,4735,1,2,0
22,0,33,0,4735,1,2,0
37,0,209,0,4735,2,4,0
5,0,77,0,4735,1,1,0
2,0,27,0,4735,1,1,0
48,0,341,1,4735,1,10,0
9,0,39,0,4735,1,1,0
3,0,156,0,4735,1,2,0
6,0,49,0,4735,1,1,0
10,0,59,0,4735,1,1,0
1,0,7,0,4735,1,1,0
1,0,54,0,4735,1,2,0
27,0,167,0,4735,1,1,0
1,0,26,0,4735,1,1,0
25,0,98,0,4735,1,1,0
1,0,7,0,4735,1,1,0
11,0,134,0,4735,1,1,0
183,0,798,0,4735,1,6,0
14,0,129,0,4735,1,1,0
15,0,126,0,4735,1,2,0
1,0,14,0,4735,1,8,0
2,0,27,0,4735,1,9,0
4,0,67,0,4735,1,11,0
1,0,7,0,4735,1,1,0
15,0,118,0,4735,1,8,0
1,0,11,0,4735,1,3,0
13,0,91,2,4735,1,12,0
