Type,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,numberOfBugsFoundUntil:,numberOfNonTrivialBugsFoundUntil:,numberOfMajorBugsFoundUntil:,numberOfCriticalBugsFoundUntil:,numberOfHighPriorityBugsFoundUntil:,target,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,numberOfVersionsUntil:,numberOfFixesUntil:,numberOfRefactoringsUntil:,numberOfAuthorsUntil:,linesAddedUntil:,maxLinesAddedUntil:,avgLinesAddedUntil:,linesRemovedUntil:,maxLinesRemovedUntil:,avgLinesRemovedUntil:,codeChurnUntil:,maxCodeChurnUntil:,avgCodeChurnUntil:,ageWithRespectTo:,weightedAgeWithRespectTo:,CvsEntropy,CvsWEntropy,CvsLinEntropy,CvsLogEntropy,CvsExpEntropy,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc
0,18,1,116,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,9,2,30,52,0,8,1.0,0.59375,57,57,9,0,0.59375,57,1,1,1,1,1,39,99,10,6,6,6,8,0,8,0,8,16,4,8,0,39,99,10,6,6,6,8,0,8,0,8,16,4,8,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,14.0,1.0,0.0,6.0,141.0,48.0,10.0714,106.0,73.0,7.57143,35.0,48.0,2.5,335.286,84.8956,7.46676,0.0032692,0.0170365,0.191806,0.031409,4.0,1.0,4.0,0.0,21.0,1.0,6.0,4.0,26.0,7.0,12.0,6.0,0.0,0.0,7.0,7.0,8.0
0,29,1,206,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,28,1,33,39,2,12,1.0,0.517442,89,89,10,0,0.517442,89,0,0,1,1,0,83,178,3,7,3,7,10,0,9,0,10,57,0,9,0,83,178,3,7,3,7,10,0,9,0,10,57,0,9,0,4.0,3.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,127.0,87.0,18.1429,34.0,25.0,4.85714,93.0,87.0,13.2857,85.2857,11.5861,6.40904,0.0218543,0.0262141,0.197824,0.0674566,25.0,1.0,23.0,2.0,36.0,1.0,3.0,0.0,78.0,9.0,0.0,1.0,1.0,0.0,8.0,39.0,26.0
0,30,1,188,2,0.0,0,0,0,0.0,0.0,0,0,4,0,0,10,4,153,246,8,18,1.0,0.801242,129,129,11,0,0.801242,129,0,0,0,0,0,32,159,0,6,0,6,10,0,10,0,10,10,0,10,0,32,159,0,6,0,6,10,0,10,0,10,10,0,10,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,13.0,9.0,4.33333,10.0,9.0,3.33333,3.0,3.0,1.0,85.2857,52.7033,2.67051,0.00496457,0.016802,0.0963492,0.059399,36.0,1.0,34.0,2.0,15.0,0.0,0.0,0.0,18.0,6.0,6.0,0.0,0.0,0.0,6.0,24.0,6.0
0,37,1,232,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,23,5,49,75,8,21,1.0,0.645,129,122,13,0,0.645,129,0,0,0,0,0,71,196,5,12,5,12,13,0,12,0,13,35,0,12,0,71,196,5,12,5,12,13,0,12,0,13,35,0,12,0,6.0,4.0,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,13.0,0.0,0.0,3.0,184.0,48.0,14.1538,68.0,16.0,5.23077,116.0,48.0,8.92308,85.2857,13.2958,8.84204,0.0876132,0.0628371,0.325697,0.158513,50.0,1.0,46.0,5.0,78.0,0.0,5.0,0.0,66.0,13.0,6.0,5.0,1.0,0.0,12.0,40.0,23.0
0,35,1,155,2,0.0,0,0,0,0.0,0.0,0,0,5,2,2,29,8,31,93,4,26,0.0526316,0.0645161,6,5,1,18,0.0645161,6,2,4,7,35,2,87,121,6,5,6,5,22,0,18,2,27,36,0,23,2,87,121,6,5,6,5,22,0,18,2,27,36,0,23,2,5.0,4.0,2.0,0.0,1.0,0,0.0,0.0,0.0,0.0,37.0,1.0,1.0,9.0,352.0,83.0,9.51351,319.0,74.0,8.62162,33.0,17.0,0.891892,335.286,139.881,16.8267,0.0600861,0.0387867,0.438454,0.0532943,37.0,3.0,31.0,6.0,210.0,7.0,6.0,0.0,78.0,21.0,23.0,5.0,0.0,0.0,18.0,47.0,28.0
0,17,1,47,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,7,2,8,10,1,6,0.0,0.0416667,1,0,0,5,0.0416667,1,0,0,2,4,0,23,31,1,0,1,0,5,0,4,0,5,10,0,4,0,23,31,1,0,1,0,5,0,4,0,5,10,0,4,0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,126.0,60.0,15.75,24.0,13.0,3.0,102.0,60.0,12.75,92.5714,11.1236,8.88385,0.0341483,0.0346881,0.269441,0.0855135,8.0,1.0,7.0,1.0,10.0,2.0,1.0,0.0,21.0,5.0,6.0,1.0,0.0,0.0,4.0,11.0,7.0
0,15,1,58,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,13,2,9,9,4,10,0.0,0.0285714,1,0,0,6,0.0285714,1,3,5,4,20,1,34,44,8,8,2,3,6,0,5,0,33,17,0,28,2,34,44,8,8,2,3,6,0,5,0,33,17,0,28,2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,110.0,56.0,15.7143,6.0,4.0,0.857143,104.0,56.0,14.8571,92.5714,6.81558,8.13388,0.021011,0.0270611,0.23711,0.0521245,9.0,4.0,7.0,2.0,15.0,4.0,2.0,1.0,31.0,6.0,44.0,1.0,0.0,0.0,5.0,14.0,12.0
0,30,1,195,2,0.0,0,0,0,0.0,0.0,0,0,6,2,2,15,4,4,6,0,10,0.625,0.271429,19,15,5,3,0.294521,43,0,0,0,0,0,51,84,3,3,3,3,10,1,7,0,10,23,1,7,0,103,166,3,3,3,3,18,1,15,0,18,50,1,15,0,2.0,2.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,17.0,1.0,0.0,7.0,98.0,23.0,5.76471,94.0,51.0,5.52941,4.0,13.0,0.235294,302.0,130.593,16.9512,0.0184052,0.037431,0.43579,0.0512815,2.0,1.0,2.0,2.0,45.0,0.0,3.0,0.0,51.0,10.0,0.0,2.0,3.0,0.0,7.0,20.0,15.0
0,42,1,284,2,0.0,0,0,0,0.0,0.0,0,0,1,8,8,38,10,2,7,8,16,1.0,0.371287,75,69,7,0,0.338912,81,0,0,0,0,0,127,208,1,5,1,5,8,0,6,1,8,88,0,6,1,158,243,3,5,3,5,12,0,10,1,12,104,0,10,1,2.0,2.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,219.0,160.0,73.0,92.0,59.0,30.6667,127.0,127.0,42.3333,41.1429,2.70385,3.03875,0.0701787,0.0157907,0.102722,0.0490101,8.0,1.0,2.0,6.0,36.0,0.0,1.0,0.0,127.0,9.0,6.0,1.0,2.0,0.0,7.0,73.0,34.0
0,26,1,78,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,12,2,1,5,2,8,0.0,0.0222222,1,0,0,7,0.0222222,1,0,0,0,0,0,44,53,4,2,4,2,6,0,6,0,6,27,0,6,0,44,53,4,2,4,2,6,0,6,0,6,27,0,6,0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,12.0,11.0,4.0,26.0,14.0,8.66667,-14.0,0.0,-4.66667,77.4286,38.0238,3.19948,0.00543121,0.0133136,0.0998805,0.034302,2.0,1.0,1.0,1.0,10.0,0.0,4.0,0.0,35.0,5.0,6.0,4.0,0.0,0.0,5.0,16.0,11.0
