McCC,CLOC,LLOC,Number of previous fixes,Number of committers,Number of previous modifications,Number of developer commits,target
1,0,5,0,1,3,2597,0
18,0,137,0,4,6,2597,0
3,0,24,0,2,2,1464,0
6,0,64,1,7,27,1464,0
6,0,50,0,6,20,2597,0
4,0,47,0,7,20,1464,0
4,0,35,0,6,16,2597,0
13,0,97,1,7,25,1464,1
50,0,411,3,8,90,2597,1
16,0,132,0,1,4,2597,1
3,0,42,0,3,6,592,0
2,0,49,0,2,4,592,1
2,0,40,0,3,11,592,1
7,0,41,0,2,4,1283,0
12,0,163,0,4,26,2597,1
1,0,76,0,3,5,1464,0
1,0,153,0,3,5,1464,0
1,0,34,0,3,6,592,0
1,0,69,0,3,5,1464,0
1,0,209,0,3,7,1464,0
1,0,118,0,3,5,1464,0
1,0,41,0,3,5,1464,0
1,0,111,0,4,7,1464,0
1,0,62,0,3,5,1464,0
9,0,47,0,1,1,1283,0
6,0,45,0,1,8,1464,0
15,0,96,0,2,8,1464,1
1,0,18,0,3,3,1464,0
1,0,18,0,3,3,1464,0
1,0,25,0,3,3,1464,0
1,0,126,0,2,4,2597,0
1,0,209,0,2,5,2597,0
8,0,66,0,4,7,2597,0
1,0,16,0,1,1,1283,0
2,0,18,0,4,7,2597,0
66,0,385,0,6,16,1283,0
1,0,14,0,4,8,2597,0
7,0,48,0,6,18,2597,0
6,0,68,0,5,20,2597,0
1,0,16,0,5,12,2597,0
1,0,9,0,4,10,2597,0
11,0,59,0,6,18,2597,0
1,0,7,0,4,10,2597,0
1,0,35,0,5,9,1464,0
3,0,185,0,6,15,1464,0
1,0,11,0,5,7,1464,0
1,0,69,1,5,11,1464,0
1,0,14,0,5,7,1464,0
1,0,82,0,6,14,1464,0
1,0,13,0,4,6,2597,0
1,0,79,1,5,9,1464,0
9,0,63,0,5,11,2597,0
9,0,56,0,3,4,2597,0
1,0,11,0,5,8,1464,0
6,0,78,0,6,14,2597,0
1,0,13,0,4,6,2597,0
3,0,57,0,6,11,2597,0
1,0,7,0,4,6,2597,0
2,0,67,0,6,16,592,0
1,0,47,0,5,11,592,0
