McCC,CLOC,LLOC,Number of committers,Number of developer commits,Number of previous modifications,Number of previous fixes,target
1,0,32,0,0,1,0,0
1,0,16,0,0,1,0,0
1,0,15,0,0,1,0,0
1,0,15,0,0,1,0,0
5,0,57,0,0,1,0,0
1,0,37,0,0,1,0,0
1,0,37,0,0,1,0,0
1,0,37,0,0,1,0,0
1,0,39,0,0,1,0,0
1,0,37,0,0,1,0,0
1,0,37,0,0,1,0,0
1,0,37,0,0,1,0,0
11,0,119,0,0,1,0,0
1,0,20,0,0,1,0,0
1,0,20,0,0,1,0,0
1,0,34,0,0,1,0,0
1,0,20,0,0,1,0,0
1,0,20,0,0,1,0,0
5,0,92,0,0,1,0,0
1,0,28,0,0,1,0,0
2,0,39,0,0,1,0,0
9,0,102,0,0,1,0,0
1,0,30,0,0,1,0,0
13,0,58,0,0,1,0,0
6,0,53,0,0,1,0,0
2,0,37,0,0,1,0,0
3,0,37,0,0,1,0,0
2,0,39,0,0,1,0,0
1,0,30,0,0,1,0,0
6,0,65,0,0,1,0,0
33,0,236,0,0,1,0,0
6,0,52,1,70,2,0,0
5,0,76,0,0,1,0,0
50,0,602,1,70,2,0,0
28,0,201,0,0,1,0,0
6,0,92,0,0,1,0,0
1,0,33,0,0,1,0,0
11,0,190,0,0,1,0,0
3,0,24,0,0,1,0,0
1,0,14,1,70,2,0,0
1,0,162,0,0,1,0,0
145,0,670,2,70,6,0,0
50,0,269,0,0,1,0,0
111,0,1495,1,70,2,0,0
41,0,134,0,0,1,0,0
112,0,868,1,70,2,0,0
8,0,92,0,0,1,0,0
10,0,67,0,0,1,0,0
20,0,105,0,0,1,0,0
1,0,12,0,0,1,0,0
16,0,122,0,0,1,0,0
17,0,268,0,0,1,0,0
6,0,51,0,0,1,0,0
1,0,11,0,0,1,0,0
1,0,11,0,0,1,0,0
1,0,14,0,0,1,0,0
2,0,141,0,0,1,0,0
4,0,37,0,0,1,0,0
1,0,50,0,0,1,0,0
1,0,22,0,0,1,0,0
1,0,22,0,0,1,0,0
1,0,56,0,0,1,0,0
1,0,113,0,0,1,0,0
1,0,29,0,0,1,0,0
1,0,45,0,0,1,0,0
2,0,25,0,0,1,0,0
1,0,28,1,70,2,0,0
32,0,882,0,0,1,0,0
3,0,229,1,70,2,0,0
1,0,63,0,0,1,0,0
2,0,110,0,0,1,0,0
6,0,245,0,0,1,0,0
