McCC,CLOC,LLOC,Number of previous fixes,Number of committers,Number of previous modifications,Number of developer commits,target
1,0,5,0,2,5,219,0
17,0,137,0,5,12,1464,0
4,0,37,1,5,9,1464,0
1,0,11,0,2,4,1464,0
1,0,9,0,2,4,1464,0
5,0,48,0,3,8,1464,0
6,0,66,1,7,31,219,0
6,0,52,0,7,24,219,0
6,0,69,1,9,30,1464,1
4,0,39,0,7,23,1283,0
2,0,60,0,3,3,1464,0
14,0,101,2,7,31,219,1
5,0,88,1,2,5,1464,0
61,0,459,5,10,126,2597,0
16,0,133,5,5,19,423,0
3,0,42,0,4,8,219,0
3,0,78,1,5,10,1464,0
3,0,62,1,5,15,219,0
7,0,41,0,3,6,219,0
18,0,232,2,6,45,592,0
1,0,48,0,5,6,219,0
1,0,83,0,6,12,1464,0
1,0,153,0,5,9,219,0
1,0,34,0,5,10,219,0
1,0,69,0,5,9,219,0
1,0,209,0,5,11,219,0
1,0,118,0,4,9,219,0
1,0,41,0,4,9,219,0
1,0,111,0,5,16,2597,0
1,0,62,0,4,9,219,0
2,0,26,1,4,6,592,0
9,0,47,0,3,3,219,0
6,0,45,0,3,10,219,0
15,0,97,1,4,12,219,0
1,0,18,0,4,5,219,0
2,0,31,0,5,8,592,0
1,0,17,0,1,1,592,0
1,0,25,0,4,5,219,0
1,0,126,0,3,6,219,0
1,0,209,0,3,7,219,0
1,0,16,0,3,3,219,0
2,0,18,0,4,9,219,0
64,0,385,1,7,24,1464,0
1,0,14,0,4,10,219,0
7,0,53,0,6,32,1464,0
6,0,68,0,5,26,219,0
1,0,16,0,5,14,219,0
1,0,9,0,4,12,219,0
17,0,115,0,7,25,1283,0
1,0,7,0,4,12,219,0
1,0,46,0,7,15,423,0
9,0,261,0,7,30,1283,0
1,0,19,0,5,9,219,0
1,0,71,1,5,13,219,0
1,0,16,0,5,9,219,0
1,0,84,0,6,16,219,0
1,0,13,0,4,8,219,0
1,0,85,1,6,15,423,0
9,0,63,1,5,18,1283,0
9,0,56,1,5,11,1283,0
1,0,10,0,5,11,219,0
8,0,95,0,6,20,219,0
1,0,10,0,1,1,219,0
1,0,13,0,5,10,1464,0
3,0,57,0,6,14,1464,0
1,0,7,0,5,10,219,0
1,0,46,0,6,19,219,0
1,0,32,0,5,14,219,0
1,0,14,0,4,8,219,0
1,0,86,0,7,25,219,0
2,0,264,0,7,49,2597,0
1,0,10,0,4,8,219,0
1,0,61,1,6,10,219,0
1,0,20,0,6,26,1464,0
1,0,7,0,1,1,219,0
1,0,9,0,1,1,219,0
21,0,204,5,8,69,1464,0
1,0,17,0,5,17,1464,0
36,0,303,6,9,52,1464,0
1,0,24,0,6,20,592,0
5,0,155,0,6,31,592,0
1,0,46,0,6,23,1464,0
1,0,8,0,1,1,1283,0
18,0,127,0,2,2,423,0
1,0,15,0,5,14,1283,0
5,0,116,1,8,24,2597,0
5,0,330,0,8,69,592,0
1,0,10,0,5,15,219,0
15,0,128,2,8,23,423,0
1,0,11,0,5,15,219,0
11,0,90,2,8,22,423,0
1,0,23,0,6,10,423,0
1,0,13,0,1,1,423,0
1,0,99,0,1,1,423,0
4,0,154,0,8,25,423,0
1,0,5,0,4,10,219,0
1,0,19,0,4,4,1464,0
5,0,28,0,5,15,219,0
1,0,23,0,6,23,592,0
1,0,13,0,4,4,1464,0
1,0,13,0,1,1,1283,0
34,0,219,1,8,79,592,0
26,0,140,0,4,5,423,0
7,0,74,1,4,6,95,0
1,0,22,0,6,16,219,0
7,0,143,0,6,27,1464,0
1,0,52,0,7,18,592,0
1,0,20,0,6,16,423,0
6,0,116,1,8,29,423,0
1,0,17,0,4,8,219,0
1,0,80,0,6,18,219,0
1,0,11,0,1,1,592,0
1,0,97,0,1,2,592,0
8,0,344,0,9,90,592,0
1,0,10,0,5,15,219,0
15,0,130,2,8,43,423,0
1,0,11,0,5,19,219,0
11,0,92,2,7,31,1464,0
1,0,12,0,1,1,423,0
2,0,118,0,1,1,423,0
1,0,18,0,4,8,219,0
1,0,91,0,8,29,2597,0
1,0,5,0,4,10,219,0
1,0,18,0,1,1,592,0
5,0,28,0,5,12,219,0
1,0,34,0,6,25,1464,0
1,0,12,0,5,10,592,0
1,0,13,0,3,7,219,0
79,0,483,3,8,68,592,0
1,0,9,0,5,11,219,0
4,0,56,0,6,22,1464,0
1,0,3,0,5,16,1283,0
1,0,13,0,5,16,219,0
1,0,39,0,1,1,592,0
1,0,95,0,8,28,1283,0
1,0,13,0,6,16,219,0
16,0,136,2,7,28,1283,0
9,0,58,1,5,20,1283,0
5,0,65,0,6,29,1464,0
7,0,66,1,5,7,1283,0
1,0,26,0,5,9,423,0
10,0,95,0,6,18,219,0
12,0,117,0,7,31,219,0
5,0,63,0,5,19,219,0
1,0,22,0,2,3,423,0
32,0,229,2,9,57,423,0
1,0,12,0,5,12,423,0
1,0,11,0,4,5,219,0
4,0,42,0,3,3,1283,0
4,0,63,0,5,10,1283,1
17,0,170,0,5,22,1283,0
18,0,135,1,5,15,423,0
48,0,279,7,8,66,592,0
1,0,15,0,6,12,219,0
35,0,228,7,8,59,592,0
2,0,56,1,7,21,219,0
5,0,90,1,5,13,219,0
