McCC,CLOC,PDA,PUA,LLOC,LOC,DataClumps,MessageChains,MiddleMan,SpeculativeGenerality,SwitchStatements,MessageChains.1,blank,comment,code,codeLines,target
1,0,0,0,11,62,0.0,0.0,1.0,0.0,0.0,0.0,5.0,45.0,10.0,10.0,0
66,0,5,0,613,986,0.0,5.0,1.0,0.0,0.0,2.0,124.0,248.0,613.0,613.0,0
2,0,2,0,52,92,0.0,1.0,0.0,0.0,0.0,1.0,6.0,33.0,52.0,52.0,0
4,0,1,0,23,64,0.0,1.0,0.0,0.0,0.0,1.0,5.0,35.0,23.0,23.0,0
5,0,12,0,83,245,0.0,0.0,0.0,1.0,0.0,0.0,32.0,129.0,83.0,83.0,0
1,0,4,0,114,419,0.0,2.0,0.0,0.0,0.0,0.0,59.0,245.0,114.0,114.0,0
1,0,1,0,4,38,0.0,0.0,0.0,1.0,0.0,0.0,4.0,29.0,4.0,4.0,0
1,0,2,0,4,48,0.0,0.0,0.0,0.0,0.0,0.0,3.0,40.0,4.0,4.0,0
1,0,7,0,10,90,0.0,0.0,0.0,0.0,0.0,0.0,10.0,69.0,10.0,10.0,0
1,0,5,0,8,74,0.0,0.0,0.0,0.0,0.0,0.0,8.0,57.0,8.0,8.0,0
1,0,1,1,4,36,0.0,0.0,0.0,1.0,0.0,0.0,2.0,29.0,4.0,4.0,0
1,0,3,0,9,52,0.0,0.0,0.0,0.0,0.0,0.0,5.0,37.0,9.0,9.0,0
1,0,2,0,5,44,0.0,0.0,0.0,0.0,0.0,0.0,5.0,33.0,5.0,5.0,0
2,0,6,0,22,88,0.0,1.0,0.0,0.0,0.0,0.0,9.0,56.0,22.0,22.0,0
59,0,7,0,311,519,0.0,0.0,0.0,0.0,0.0,0.0,55.0,131.0,285.0,285.0,1
1,0,1,0,41,229,0.0,0.0,0.0,1.0,0.0,0.0,44.0,143.0,41.0,41.0,0
1,0,3,0,7,49,0.0,0.0,0.0,0.0,0.0,0.0,5.0,36.0,7.0,7.0,0
