McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of committers,Number of developer commits,target
5,0,42,0,8,3,3122,0
1,0,111,0,3,3,561,0
18,0,108,0,5,4,3122,0
1,0,27,0,3,3,561,0
2,0,36,0,8,4,3122,0
1,0,15,0,3,3,561,0
1,0,62,0,3,3,561,0
1,0,42,0,3,3,561,0
1,0,42,0,3,3,561,0
48,0,166,0,1,1,3122,0
1,0,219,0,5,3,3122,0
1,0,82,0,3,3,561,0
1,0,8,0,3,3,561,0
4,0,49,0,6,4,3122,0
15,0,210,0,3,3,561,0
7,0,60,0,3,3,561,0
1,0,8,0,3,3,561,0
4,0,37,0,3,3,561,0
1,0,33,0,3,3,561,0
9,0,618,0,16,7,561,0
1,0,96,1,8,4,3122,0
1,0,191,0,5,3,3122,0
1,0,24,0,7,4,3122,0
1,0,94,0,6,3,16,0
1,0,297,0,10,4,3122,0
1,0,320,0,11,4,3122,0
1,0,241,0,7,4,3122,0
2,0,38,0,7,4,3122,0
1,0,117,0,12,5,327,0
8,0,83,0,7,5,1345,0
4,0,130,1,14,7,327,0
1,0,15,1,1,1,561,0
1,0,119,1,1,1,420,0
7,0,260,0,10,3,1345,0
1,0,68,1,9,5,3122,0
1,0,64,0,1,0,0,0
4,0,54,0,8,4,3122,0
7,0,70,0,9,4,3122,0
5,0,56,0,8,4,3122,0
9,0,110,0,8,4,3122,0
11,0,82,0,8,4,3122,0
6,0,85,0,8,4,3122,0
1,0,39,0,8,4,3122,0
1,0,48,0,8,4,3122,0
1,0,36,0,8,4,3122,0
1,0,37,0,8,4,3122,0
1,0,56,0,8,4,3122,0
1,0,37,0,8,4,3122,0
1,0,38,0,3,3,561,0
1,0,36,0,8,4,3122,0
1,0,36,0,7,4,3122,0
1,0,36,0,7,4,3122,0
1,0,36,0,7,4,3122,0
1,0,36,0,7,4,3122,0
2,0,45,0,7,4,3122,0
4,0,116,2,10,4,3122,0
2,0,25,0,6,3,420,0
4,0,33,0,7,4,113,0
1,0,8,0,4,3,420,0
1,0,8,0,4,3,420,0
1,0,8,0,4,3,420,0
1,0,17,0,5,5,3122,0
1,0,52,0,1,1,3122,0
2,0,92,0,4,3,3122,0
7,0,122,0,17,6,3122,0
1,0,44,3,8,3,561,0
4,0,533,0,6,2,561,0
3,0,302,0,6,2,561,0
2,0,268,0,6,2,561,0
3,0,87,0,3,2,561,0
2,0,343,1,12,5,17,0
2,0,49,0,3,2,17,0
1,0,161,0,9,3,561,0
1,0,52,0,4,3,3122,0
1,0,36,0,4,2,3122,0
1,0,91,0,3,3,327,0
38,0,718,0,12,5,1345,0
1,0,288,1,16,3,561,0
8,0,692,1,35,6,3122,0
1,0,258,1,19,3,3122,0
2,0,50,1,11,4,3122,0
