McCC,CLOC,LLOC,Number of developer commits,Number of previous modifications,Number of previous fixes,Number of committers,target
14,0,74,1118,5,0,1,0
1,0,60,2899,7,0,3,0
1,0,10,86,1,0,1,0
10,0,74,575,22,0,3,0
1,0,6,2899,3,0,2,0
1,0,65,575,7,0,2,0
7,0,82,2899,6,0,3,0
6,0,40,2053,7,0,3,0
4,0,28,1118,3,0,2,0
5,0,48,1118,3,0,2,0
1,0,16,86,1,0,1,0
7,0,77,575,22,0,3,0
1,0,77,575,16,0,3,0
3,0,70,2899,21,0,4,0
41,0,278,2899,50,0,4,0
1,0,23,1118,4,0,2,0
6,0,64,2899,3,0,1,0
4,0,54,2899,11,0,3,0
1,0,8,1118,5,0,2,0
27,0,189,575,13,0,2,0
24,0,315,2899,85,0,4,0
1,0,27,86,5,0,3,0
14,0,79,2899,39,0,4,0
12,0,75,1118,23,0,3,0
1,0,9,575,1,0,1,0
4,0,95,1118,3,0,2,0
1,0,22,1118,7,0,2,0
1,0,23,575,1,0,1,0
1,0,34,1118,5,0,2,0
1,0,22,1118,4,0,2,0
4,0,102,1118,12,0,3,0
4,0,70,2899,11,0,3,0
12,0,300,1118,55,0,3,0
5,0,68,1118,6,0,2,0
4,0,67,575,1,0,1,0
5,0,168,1118,16,0,3,0
8,0,34,575,5,0,2,0
1,0,9,86,4,0,3,0
41,0,202,2899,63,0,4,0
21,0,237,1118,30,0,3,0
1,0,11,86,5,0,3,0
3,0,22,1118,12,0,3,0
4,0,27,1118,12,0,3,0
1,0,28,575,4,0,2,0
23,0,188,2899,35,0,4,0
15,0,157,2899,17,0,4,0
4,0,36,575,1,0,1,0
5,0,136,2899,4,0,3,0
3,0,47,1118,12,0,3,0
4,0,73,575,15,0,4,0
1,0,25,575,9,0,2,0
10,0,82,1118,10,0,3,0
2,0,22,1118,8,0,2,0
1,0,25,1118,7,0,2,0
15,0,102,1118,4,0,2,0
10,0,73,2899,6,0,3,0
3,0,44,1118,7,0,3,0
41,0,159,2899,9,0,3,0
5,0,56,575,5,0,2,0
1,0,45,575,6,0,2,0
11,0,102,575,31,0,3,0
5,0,41,575,5,0,2,0
8,0,60,575,4,0,2,0
9,0,69,575,2,0,1,0
9,0,102,1118,7,0,2,0
2,0,63,575,1,0,1,0
3,0,62,2053,8,0,4,0
1,0,60,575,6,0,2,0
1,0,218,2899,8,0,4,0
1,0,17,1118,5,0,2,0
1,0,26,575,8,0,2,0
1,0,71,86,2,0,1,0
9,0,293,1118,17,0,3,0
10,0,160,0,2,0,0,0
8,0,190,575,27,0,2,0
3,0,31,1118,8,0,2,0
17,0,232,575,16,0,2,0
2,0,59,1118,11,0,2,0
43,0,906,1118,43,0,4,0
21,0,380,1118,16,0,2,0
11,0,238,575,15,0,2,0
19,0,257,0,1,0,0,0
20,0,224,1118,14,0,2,0
29,0,686,2899,50,0,4,0
1,0,34,1118,4,0,1,0
9,0,160,1118,17,0,2,0
2,0,128,1118,8,0,2,0
2,0,48,575,1,0,1,0
2,0,10,1118,4,0,2,0
15,0,119,575,2,0,2,0
3,0,36,575,2,0,2,0
3,0,36,86,23,0,3,0
1,0,156,86,4,0,3,0
2,0,86,575,4,0,1,0
2,0,65,575,4,0,1,0
48,0,1035,575,32,0,3,0
20,0,195,1118,4,0,2,0
15,0,108,575,1,0,1,0
4,0,34,2899,10,0,3,0
1,0,17,2899,4,0,2,0
1,0,9,575,1,0,1,0
1,0,59,2899,5,0,2,0
4,0,56,575,2,0,1,0
2,0,25,2899,4,0,2,0
2,0,14,575,1,0,1,0
35,0,152,2899,9,0,3,0
1,0,32,2899,9,0,3,0
1,0,187,2899,1,0,1,0
28,0,144,1118,8,0,3,1
64,0,354,1118,5,0,2,1
2,0,215,1118,5,0,2,1
37,0,169,575,29,0,3,0
8,0,56,1118,6,0,1,0
1,0,11,2899,3,0,1,0
8,0,185,2899,1,0,1,0
169,0,1238,1118,165,0,4,1
12,0,112,1118,18,0,1,0
141,0,1016,2899,76,0,4,1
5,0,44,1118,5,0,2,0
2,0,47,2899,11,0,3,0
1,0,43,575,5,0,2,0
33,0,264,2899,23,0,3,0
6,0,60,2899,30,0,3,0
114,0,1393,2899,121,0,4,0
1,0,11,1118,1,0,1,0
3,0,142,2899,58,0,3,0
408,0,1785,2899,195,0,4,1
544,0,3515,2899,290,0,4,1
1,0,52,1118,11,0,1,0
1,0,17,2899,4,0,1,0
11,0,180,2899,1,0,1,0
7,0,50,2899,3,0,2,0
3,0,39,2899,1,0,1,0
1,0,62,2899,2,0,1,0
14,0,90,2899,6,0,2,0
3,0,58,575,2,0,2,0
1,0,5,1118,3,0,1,0
29,0,168,1118,1,0,1,0
1,0,46,2899,2,0,2,0
1,0,6,1118,1,0,1,0
1,0,8,1118,5,0,2,0
58,0,521,2899,61,0,4,1
12,0,96,2899,21,0,3,0
3,0,25,1118,4,0,1,0
106,0,748,2899,204,0,4,0
2,0,10,1118,6,0,2,0
22,0,108,1118,1,0,1,0
4,0,220,2899,48,0,4,0
1,0,5,1118,3,0,1,0
1,0,4,2899,2,0,1,0
9,0,102,2899,1,0,1,0
1,0,4,1118,2,0,1,0
1,0,20,1118,6,0,1,0
1,0,4,1118,2,0,1,0
1,0,6,575,1,0,1,0
6,0,52,1118,13,0,3,0
9,0,118,2899,10,0,4,0
84,0,410,2899,60,0,4,0
1,0,4,2899,1,0,1,0
4,0,99,2899,4,0,2,0
1,0,4,1118,1,0,1,0
1,0,7,2899,2,0,1,0
10,0,165,2899,1,0,1,0
4,0,36,1118,6,0,1,0
1,0,6,2899,2,0,2,1
14,0,148,1118,19,0,2,1
1,0,18,2899,8,0,3,0
50,0,834,2899,5,0,2,1
32,0,146,2899,7,0,2,1
1,0,4,1118,1,0,1,0
14,0,128,2899,27,0,2,0
1,0,5,2899,2,0,2,0
7,0,264,2899,1,0,1,0
1,0,27,1118,5,0,1,0
42,0,230,2899,8,0,2,1
1,0,10,2899,1,0,1,0
47,0,451,2899,138,0,4,1
1,0,21,1118,10,0,2,0
18,0,49,2899,6,0,4,0
5,0,28,1118,3,0,1,0
174,0,661,2899,80,0,4,1
30,0,234,1118,17,0,2,0
1,0,4,1118,3,0,1,0
1,0,19,2899,1,0,1,0
1,0,7,2899,7,0,3,0
25,0,312,2899,1,0,1,0
1,0,97,1118,61,0,4,1
15,0,255,1118,22,0,2,0
7,0,244,1118,38,0,3,0
1,0,10,1118,1,0,1,0
1,0,14,2899,3,0,1,0
24,0,389,2899,1,0,1,0
1,0,5,2899,3,0,2,0
7,0,177,2899,1,0,1,0
1,0,40,1118,6,0,2,0
8,0,43,575,11,0,3,1
1,0,4,1118,3,0,1,0
79,0,393,1118,11,0,3,1
30,0,538,2899,13,0,3,0
12,0,158,1118,33,0,2,0
14,0,124,2899,19,0,3,0
1,0,8,2899,6,0,3,0
7,0,129,2899,1,0,1,0
81,0,362,1118,41,0,3,1
1,0,15,1118,4,0,1,0
16,0,105,2899,11,0,3,0
6,0,32,1118,7,0,1,0
1,0,12,1118,6,0,1,0
1,0,21,1118,5,0,1,0
1,0,18,1118,7,0,1,0
1,0,34,1118,5,0,1,0
3,0,33,2899,1,0,1,0
1,0,16,1118,7,0,1,0
34,0,190,1118,22,0,2,1
186,0,915,1118,93,0,4,1
32,0,237,2053,46,0,4,1
4,0,14,1118,5,0,1,0
