McCC,CLOC,LLOC,Number of previous fixes,Number of committers,Number of previous modifications,Number of developer commits,target
1,0,5,0,2,5,219,0
18,0,137,0,5,8,219,0
3,0,24,0,3,3,2597,1
6,0,66,1,7,31,219,0
6,0,52,0,7,24,219,0
4,0,49,0,7,26,219,1
4,0,39,0,7,20,219,0
14,0,101,2,7,31,219,1
48,0,401,4,8,102,592,1
17,0,145,4,4,12,1464,1
3,0,42,0,4,8,219,0
2,0,49,1,4,7,1283,0
3,0,62,1,5,15,219,0
7,0,41,0,3,6,219,0
17,0,200,2,6,39,56,0
1,0,48,0,5,6,219,0
1,0,76,0,5,9,219,0
1,0,153,0,5,9,219,0
1,0,34,0,5,10,219,0
1,0,69,0,5,9,219,0
1,0,209,0,5,11,219,0
1,0,118,0,4,9,219,0
1,0,41,0,4,9,219,0
1,0,111,0,5,11,219,0
1,0,62,0,4,9,219,0
2,0,25,1,4,5,219,0
9,0,47,0,3,3,219,0
6,0,45,0,3,10,219,0
15,0,97,1,4,12,219,0
1,0,18,0,4,5,219,0
1,0,18,0,5,8,592,0
1,0,25,0,4,5,219,0
1,0,126,0,3,6,219,0
1,0,209,0,3,7,219,0
8,0,66,0,4,11,219,0
1,0,16,0,3,3,219,0
2,0,18,0,4,9,219,0
66,0,385,0,6,20,219,1
1,0,14,0,4,10,219,0
7,0,48,0,6,25,592,0
6,0,68,0,5,26,219,0
1,0,16,0,5,14,219,0
1,0,9,0,4,12,219,0
11,0,59,0,7,22,1464,0
1,0,7,0,4,12,219,0
1,0,35,0,6,12,1283,0
3,0,185,0,6,18,1283,0
1,0,11,0,5,9,219,0
1,0,69,1,5,13,219,0
1,0,14,0,5,9,219,0
1,0,82,0,6,16,219,0
1,0,13,0,4,8,219,0
1,0,79,1,5,12,219,0
9,0,63,0,5,13,219,1
9,0,56,0,4,6,219,1
1,0,11,0,5,11,219,0
6,0,78,0,6,19,219,0
1,0,13,0,4,9,219,0
3,0,57,0,6,13,219,0
1,0,7,0,5,10,219,0
2,0,67,0,6,19,219,0
1,0,47,0,5,14,219,0
1,0,14,0,4,8,219,0
1,0,86,0,7,25,219,0
4,0,370,0,7,49,2597,0
1,0,10,0,4,8,219,0
1,0,61,1,6,10,219,0
1,0,36,0,4,6,219,0
1,0,28,0,6,25,592,0
78,0,436,4,7,64,2597,1
1,0,21,0,5,16,1464,0
55,0,377,2,6,39,1464,1
1,0,22,0,6,18,1464,0
8,0,127,0,6,24,1464,0
1,0,46,0,6,18,1464,0
1,0,16,0,4,13,219,0
5,0,116,1,8,21,219,0
9,0,401,0,7,56,2597,0
1,0,10,0,5,15,219,0
15,0,121,1,7,17,219,1
1,0,11,0,5,15,219,0
11,0,83,1,7,16,219,1
1,0,19,0,4,8,219,0
1,0,127,0,7,21,2597,0
1,0,3,0,5,12,2597,0
1,0,79,0,5,15,2597,0
1,0,5,0,4,10,219,0
5,0,51,0,4,11,2597,0
5,0,27,0,5,15,219,0
1,0,6,0,5,8,1283,0
1,0,30,0,6,19,219,0
97,0,490,1,7,57,1464,0
1,0,26,0,6,16,219,0
16,0,185,0,6,22,219,0
12,0,73,0,5,15,219,1
1,0,61,0,5,11,219,0
1,0,24,0,4,13,219,0
5,0,116,1,6,18,219,0
1,0,17,0,4,8,219,0
1,0,79,0,6,18,219,0
8,0,407,0,8,74,2597,0
1,0,10,0,5,15,219,0
15,0,121,1,7,32,219,1
1,0,11,0,5,19,219,0
11,0,83,1,7,21,219,1
1,0,18,0,4,8,219,0
1,0,84,0,8,29,2597,0
1,0,19,0,4,7,2597,0
1,0,75,0,5,15,1464,0
1,0,5,0,4,10,219,0
5,0,51,0,5,13,1283,0
5,0,27,0,5,12,219,0
1,0,6,0,5,10,1283,0
1,0,31,0,6,20,219,0
105,0,585,3,7,61,592,0
1,0,8,0,5,11,219,0
4,0,50,0,6,22,1464,0
1,0,33,0,5,16,1283,0
1,0,13,0,5,16,219,0
1,0,88,0,8,28,1283,0
1,0,8,0,6,16,219,0
11,0,93,1,6,22,1464,1
9,0,58,0,5,15,219,1
1,0,20,0,6,20,592,0
10,0,95,0,6,18,219,0
6,0,77,0,6,23,592,0
5,0,63,0,5,19,219,0
23,0,178,2,8,54,1464,0
17,0,172,0,5,21,219,0
17,0,120,1,4,7,1283,0
17,0,138,1,5,20,219,0
23,0,196,5,8,52,219,1
18,0,108,1,7,23,219,0
1,0,16,0,6,12,219,0
22,0,168,1,7,29,219,0
17,0,138,1,7,29,219,0
23,0,194,5,8,48,219,1
2,0,56,1,7,21,219,0
5,0,90,1,5,13,219,0
6,0,101,3,4,16,219,0
3,0,82,2,5,11,219,1
3,0,80,3,5,17,1283,1
1,0,5,0,4,5,219,0
5,0,61,0,5,9,219,0
1,0,6,0,4,9,219,0
1,0,5,0,4,9,219,0
3,0,27,0,4,9,219,0
4,0,32,0,4,9,219,0
1,0,33,0,4,9,219,0
2,0,21,0,4,10,219,0
9,0,66,0,5,15,219,1
1,0,37,0,4,9,219,0
3,0,24,0,4,10,219,0
9,0,59,0,5,17,219,1
1,0,11,0,5,8,219,0
1,0,21,0,5,10,219,0
5,0,84,0,4,10,1464,0
1,0,48,0,6,19,2597,1
13,0,78,1,7,30,592,0
1,0,27,0,2,4,219,0
13,0,72,0,2,2,219,1
39,0,176,0,2,4,219,1
6,0,41,0,2,2,219,1
134,0,624,0,5,11,592,1
1,0,11,0,2,2,219,0
5,0,24,0,2,2,219,1
2,0,48,0,2,2,219,1
9,0,111,1,3,3,219,0
13,0,64,0,2,4,219,1
3,0,53,0,3,6,219,0
1,0,61,0,2,2,219,0
52,0,230,1,3,11,219,1
1,0,19,0,3,3,219,0
55,0,210,0,2,3,219,1
4,0,77,0,4,9,1283,0
26,0,143,1,2,5,219,1
1,0,37,0,2,4,219,0
24,0,121,1,3,4,219,1
32,0,138,1,3,5,219,1
1,0,7,0,2,2,219,0
13,0,80,0,2,2,219,1
18,0,112,3,3,9,219,1
36,0,176,1,2,3,2597,1
1,0,7,0,2,2,219,0
1,0,19,0,2,2,219,0
20,0,94,0,3,5,219,1
1,0,33,0,2,2,219,0
1,0,55,0,2,2,219,0
10,0,62,1,3,4,219,1
1,0,4,0,2,5,219,0
1,0,60,0,4,6,219,0
2,0,48,1,5,15,592,0
8,0,47,0,5,12,219,0
8,0,47,0,6,10,1283,0
3,0,23,0,3,3,219,0
1,0,35,0,2,2,219,0
1,0,7,0,2,2,219,0
1,0,607,1,5,13,592,0
1,0,11,0,2,2,219,0
1,0,24,0,2,2,219,0
1,0,11,0,2,2,219,0
1,0,19,0,2,2,219,0
1,0,50,1,8,18,219,0
169,0,1175,2,9,120,592,1
1,0,5,0,2,3,219,0
2,0,27,0,4,8,1464,0
1,0,53,1,3,5,219,0
23,0,164,0,7,83,219,0
1,0,4,0,4,6,219,0
1,0,6,0,4,6,219,0
1,0,17,0,6,26,219,0
8,0,111,0,7,31,219,0
3,0,34,1,4,8,219,0
6,0,274,3,6,27,1464,1
1,0,16,0,2,3,219,0
2,0,103,0,4,7,219,0
9,0,61,0,4,5,219,0
1,0,31,0,5,13,219,0
13,0,235,0,7,29,219,0
1,0,7,0,3,3,219,0
9,0,60,0,5,9,219,0
9,0,60,0,4,5,219,0
1,0,6,0,3,7,219,0
10,0,78,3,3,16,219,1
1,0,48,4,5,33,2597,0
58,0,494,13,5,64,2597,1
7,0,52,0,1,4,2597,0
1,0,8,0,1,3,2597,0
2,0,21,0,2,2,2597,0
1,0,4,0,1,2,2597,0
1,0,5,0,2,3,2597,0
18,0,168,6,7,55,1464,1
1,0,19,0,1,2,2597,0
3,0,10,0,1,5,2597,0
1,0,5,0,1,1,2597,0
1,0,18,0,2,2,2597,0
20,0,131,0,4,9,219,0
1,0,8,0,3,5,343,0
5,0,19,0,2,2,2597,0
1,0,16,0,1,3,2597,0
8,0,97,6,4,11,1464,0
