McCC,CLOC,PDA,PUA,LLOC,LOC,ID.1,LongName.1,Parent.1,McCC.1,CLOC.1,LLOC.1,Number of previous modifications,Number of previous fixes,Number of committers,Number of developer commits,target
1,0,0,2,11,34,372,0,42,1.0,0.0,11.0,13.0,0.0,9.0,665.0,0
1,0,0,5,30,57,403,1,42,1.0,0.0,30.0,10.0,0.0,6.0,665.0,0
1,0,0,6,20,48,434,2,42,1.0,0.0,20.0,18.0,0.0,11.0,665.0,0
1,0,0,4,21,45,457,3,42,1.0,0.0,21.0,21.0,0.0,8.0,665.0,0
5,0,1,10,91,131,513,4,42,5.0,0.0,91.0,21.0,0.0,8.0,665.0,0
1,0,0,6,20,48,514,5,42,1.0,0.0,20.0,11.0,0.0,7.0,665.0,0
1,0,0,9,26,56,530,6,42,1.0,0.0,26.0,21.0,0.0,9.0,665.0,0
1,0,0,4,20,46,547,7,42,1.0,0.0,20.0,17.0,0.0,9.0,665.0,0
14,0,0,0,92,118,592,8,42,14.0,0.0,92.0,13.0,0.0,7.0,665.0,0
1,0,0,2,12,35,627,9,42,1.0,0.0,12.0,12.0,0.0,7.0,665.0,0
26,0,0,31,318,378,651,10,42,26.0,0.0,318.0,20.0,0.0,9.0,665.0,0
1,0,0,1,7,29,696,11,42,1.0,0.0,7.0,12.0,0.0,7.0,665.0,0
1,0,0,7,21,49,739,12,42,1.0,0.0,21.0,16.0,0.0,9.0,665.0,0
1,0,0,10,63,94,740,13,42,1.0,0.0,63.0,10.0,0.0,5.0,665.0,0
1,0,0,2,11,34,751,14,42,1.0,0.0,11.0,12.0,0.0,7.0,665.0,0
1,0,0,6,35,62,757,15,42,1.0,0.0,35.0,14.0,0.0,8.0,665.0,0
3,0,0,0,31,57,1655,16,263,3.0,0.0,31.0,13.0,0.0,7.0,665.0,0
8,0,0,0,130,166,1663,17,263,8.0,0.0,130.0,13.0,0.0,7.0,665.0,0
2,0,0,2,71,102,1667,18,263,2.0,0.0,71.0,25.0,0.0,11.0,665.0,0
2,0,0,2,70,102,1668,19,263,2.0,0.0,70.0,22.0,0.0,11.0,665.0,0
35,0,0,1,238,270,1669,20,263,35.0,0.0,238.0,20.0,0.0,11.0,665.0,0
18,0,1,0,183,241,1670,21,263,18.0,0.0,183.0,15.0,0.0,7.0,665.0,0
1,0,0,2,61,94,1684,22,263,1.0,0.0,61.0,29.0,0.0,13.0,1296.0,0
2,0,0,2,71,102,1685,23,263,2.0,0.0,71.0,20.0,0.0,9.0,665.0,0
2,0,0,2,68,100,1686,24,263,2.0,0.0,68.0,21.0,0.0,11.0,665.0,0
5,0,0,3,80,114,1687,25,263,5.0,0.0,80.0,21.0,0.0,11.0,665.0,0
4,0,0,0,55,85,3038,26,373,4.0,0.0,55.0,10.0,0.0,5.0,665.0,0
1,0,0,0,20,48,3075,27,373,1.0,0.0,20.0,12.0,0.0,7.0,665.0,0
1,0,0,0,19,45,3076,28,373,1.0,0.0,19.0,12.0,0.0,7.0,665.0,0
4,0,0,0,42,68,3077,29,373,4.0,0.0,42.0,11.0,0.0,7.0,665.0,0
12,0,1,3,107,146,3078,30,373,12.0,0.0,107.0,13.0,0.0,7.0,665.0,0
1,0,0,0,5,26,3079,31,373,1.0,0.0,5.0,10.0,0.0,5.0,665.0,0
2,0,0,0,24,51,3080,32,373,2.0,0.0,24.0,10.0,0.0,5.0,665.0,0
1,0,0,0,1,24,659,33,42,1.0,0.0,1.0,11.0,0.0,5.0,665.0,0
3,0,0,16,119,161,881,34,122,3.0,0.0,119.0,17.0,0.0,9.0,665.0,0
4,0,0,6,122,159,928,35,122,4.0,0.0,122.0,22.0,0.0,11.0,665.0,0
4,0,0,6,158,213,958,36,122,4.0,0.0,158.0,35.0,0.0,15.0,1296.0,0
5,0,0,5,67,96,983,37,122,5.0,0.0,67.0,25.0,0.0,10.0,5350.0,0
1,0,0,5,72,105,1688,38,270,1.0,0.0,72.0,15.0,0.0,9.0,665.0,0
1,0,0,1,11,33,1241,39,196,1.0,0.0,11.0,16.0,0.0,7.0,5350.0,0
1,0,0,2,29,55,1242,40,196,1.0,0.0,29.0,20.0,0.0,7.0,5350.0,0
2,0,0,3,34,58,1265,41,201,2.0,0.0,34.0,12.0,0.0,7.0,665.0,0
1,0,0,2,4,26,1266,42,201,1.0,0.0,4.0,10.0,0.0,5.0,665.0,0
4,0,0,4,50,79,1268,43,203,4.0,0.0,50.0,23.0,0.0,10.0,5350.0,0
1,0,0,2,15,38,1248,44,198,1.0,0.0,15.0,13.0,0.0,8.0,665.0,0
1,0,0,2,40,78,1249,45,198,1.0,0.0,40.0,31.0,0.0,13.0,5350.0,0
2,0,0,6,69,104,1299,46,207,2.0,0.0,69.0,14.0,0.0,6.0,5350.0,0
1,0,1,4,75,112,1318,47,215,1.0,0.0,75.0,8.0,0.0,6.0,665.0,0
1,0,8,0,15,82,1304,48,211,1.0,0.0,15.0,4.0,0.0,3.0,665.0,0
1,0,4,0,7,42,1305,49,211,1.0,0.0,7.0,4.0,0.0,3.0,665.0,0
2,0,0,5,90,121,1306,50,212,2.0,0.0,90.0,4.0,0.0,4.0,2472.0,0
3,0,0,22,342,444,1307,51,212,3.0,0.0,342.0,3.0,0.0,3.0,2319.0,0
20,0,0,10,161,203,1323,52,217,20.0,0.0,161.0,2.0,0.0,2.0,665.0,0
1,0,1,7,46,79,1325,53,217,1.0,0.0,46.0,4.0,0.0,2.0,665.0,0
1,0,0,6,13,39,1326,54,217,1.0,0.0,13.0,2.0,0.0,2.0,665.0,0
31,0,0,3,245,290,1327,55,217,31.0,0.0,245.0,12.0,2.0,4.0,1296.0,0
1,0,8,0,38,126,1308,56,213,1.0,0.0,38.0,1.0,0.0,1.0,828.0,0
1,0,13,1,62,148,1309,57,213,1.0,0.0,62.0,3.0,0.0,2.0,2472.0,0
4,0,0,3,74,119,1303,58,210,4.0,0.0,74.0,3.0,0.0,3.0,1296.0,0
1,0,0,23,282,341,1328,59,218,1.0,0.0,282.0,13.0,2.0,5.0,1296.0,0
6,0,0,2,91,136,1340,60,222,6.0,0.0,91.0,10.0,0.0,7.0,5350.0,0
17,0,1,4,517,644,1341,61,222,17.0,0.0,517.0,21.0,0.0,9.0,828.0,0
2,0,1,1,91,154,1342,62,222,2.0,0.0,91.0,23.0,0.0,8.0,3997.0,0
3,0,0,2,65,109,1343,63,222,3.0,0.0,65.0,24.0,0.0,12.0,2472.0,0
8,0,0,2,128,188,1344,64,222,8.0,0.0,128.0,22.0,0.0,9.0,665.0,0
4,0,1,7,166,223,1345,65,222,4.0,0.0,166.0,19.0,0.0,12.0,310.0,0
9,0,0,2,170,211,1346,66,222,9.0,0.0,170.0,35.0,0.0,10.0,310.0,0
6,0,1,7,178,236,1347,67,222,6.0,0.0,178.0,20.0,0.0,11.0,1126.0,0
7,0,0,8,95,142,1348,68,222,7.0,0.0,95.0,4.0,0.0,2.0,3997.0,0
7,0,0,6,136,178,1370,69,224,7.0,0.0,136.0,22.0,0.0,11.0,5350.0,0
5,0,0,0,58,94,1372,70,226,5.0,0.0,58.0,5.0,0.0,4.0,1634.0,0
14,0,3,12,266,350,1373,71,226,14.0,0.0,266.0,11.0,0.0,7.0,1126.0,0
7,0,0,6,89,125,1374,72,226,7.0,0.0,89.0,8.0,0.0,6.0,5350.0,0
1,0,0,1,10,33,1375,73,226,1.0,0.0,10.0,1.0,0.0,1.0,3997.0,0
1,0,0,6,48,83,1376,74,226,1.0,0.0,48.0,9.0,0.0,6.0,1126.0,0
2,0,0,5,59,91,1350,75,223,2.0,0.0,59.0,2.0,0.0,2.0,2319.0,0
1,0,1,1,70,225,1351,76,223,1.0,0.0,70.0,10.0,0.0,5.0,2319.0,0
5,0,1,3,64,250,1352,77,223,5.0,0.0,64.0,9.0,0.0,5.0,2319.0,0
1,0,1,1,30,97,1353,78,223,1.0,0.0,30.0,6.0,0.0,5.0,2319.0,0
1,0,0,3,31,57,1354,79,223,1.0,0.0,31.0,4.0,0.0,4.0,2472.0,0
1,0,0,2,10,31,1356,80,223,1.0,0.0,10.0,1.0,0.0,1.0,3997.0,0
1,0,0,2,10,31,1357,81,223,1.0,0.0,10.0,1.0,0.0,1.0,3997.0,0
16,0,0,8,322,397,1358,82,223,16.0,0.0,322.0,24.0,0.0,10.0,5350.0,0
1,0,0,2,11,33,1359,83,223,1.0,0.0,11.0,2.0,0.0,2.0,2319.0,0
3,0,0,3,50,79,1360,84,223,3.0,0.0,50.0,7.0,0.0,5.0,2319.0,0
1,0,0,4,49,75,1361,85,223,1.0,0.0,49.0,4.0,0.0,4.0,2472.0,0
1,0,4,1,55,103,1362,86,223,1.0,0.0,55.0,17.0,0.0,7.0,3997.0,0
7,0,0,10,173,227,1363,87,223,7.0,0.0,173.0,12.0,0.0,6.0,5350.0,0
3,0,3,1,50,92,1364,88,223,3.0,0.0,50.0,12.0,0.0,9.0,3997.0,0
2,0,1,2,133,294,1365,89,223,2.0,0.0,133.0,12.0,0.0,5.0,3997.0,0
2,0,1,2,124,292,1366,90,223,2.0,0.0,124.0,13.0,0.0,7.0,2319.0,0
1,0,0,3,34,63,1367,91,223,1.0,0.0,34.0,12.0,0.0,8.0,5350.0,0
1,0,1,1,44,151,1368,92,223,1.0,0.0,44.0,14.0,0.0,7.0,3997.0,0
3,0,1,1,72,141,1369,93,223,3.0,0.0,72.0,11.0,0.0,6.0,3997.0,0
2,0,0,4,59,87,1371,94,225,2.0,0.0,59.0,9.0,0.0,7.0,2472.0,0
14,0,0,12,321,398,1377,95,227,14.0,0.0,321.0,17.0,0.0,8.0,2472.0,0
1,0,1,4,25,56,1391,96,233,1.0,0.0,25.0,7.0,0.0,4.0,54.0,0
1,0,2,0,5,48,1392,97,233,1.0,0.0,5.0,4.0,0.0,2.0,54.0,0
1,0,2,0,7,54,1393,98,233,1.0,0.0,7.0,4.0,0.0,2.0,54.0,0
1,0,2,0,6,43,1394,99,233,1.0,0.0,6.0,4.0,0.0,2.0,54.0,0
1,0,21,0,109,443,1395,100,233,1.0,0.0,109.0,11.0,0.0,5.0,5350.0,0
1,0,2,0,5,38,1396,101,233,1.0,0.0,5.0,4.0,0.0,2.0,54.0,0
1,0,3,1,10,61,1398,102,233,1.0,0.0,10.0,7.0,0.0,5.0,2319.0,0
1,0,2,0,6,38,1399,103,233,1.0,0.0,6.0,4.0,0.0,2.0,54.0,0
11,0,2,0,60,118,1401,104,235,11.0,0.0,60.0,10.0,0.0,4.0,5350.0,0
7,0,2,2,76,144,1403,105,237,7.0,0.0,76.0,4.0,0.0,2.0,54.0,0
6,0,3,1,60,124,1404,106,237,6.0,0.0,60.0,4.0,0.0,2.0,54.0,0
1,0,3,0,7,43,1405,107,237,1.0,0.0,7.0,4.0,0.0,2.0,54.0,0
7,0,3,1,54,111,1406,108,237,7.0,0.0,54.0,4.0,0.0,2.0,54.0,0
1,0,4,0,8,52,1407,109,237,1.0,0.0,8.0,4.0,0.0,2.0,54.0,0
52,0,9,0,303,443,1408,110,237,52.0,0.0,303.0,4.0,0.0,2.0,54.0,0
