numberOfVersionsUntil:,numberOfFixesUntil:,numberOfRefactoringsUntil:,numberOfAuthorsUntil:,linesAddedUntil:,maxLinesAddedUntil:,avgLinesAddedUntil:,linesRemovedUntil:,maxLinesRemovedUntil:,avgLinesRemovedUntil:,codeChurnUntil:,maxCodeChurnUntil:,avgCodeChurnUntil:,ageWithRespectTo:,weightedAgeWithRespectTo:,target,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs
5,0,0,2,185.0,95.0,37.0,24.0,20.0,4.8,161.0,95.0,32.2,595.714,0.96139,0,0,0,0,0
10,1,0,7,22.0,10.0,2.2,12.0,3.0,1.2,10.0,10.0,1.0,335.286,121.584,0,0,0,0,0
2,0,0,2,8.0,8.0,4.0,15.0,15.0,7.5,-7.0,0.0,-3.5,103.429,692.857,0,0,0,0,0
2,0,0,2,10.0,10.0,5.0,18.0,18.0,9.0,-8.0,0.0,-4.0,922.857,581.429,0,0,0,0,0
5,0,0,3,14.0,6.0,2.8,11.0,5.0,2.2,3.0,2.0,0.6,183.857,103.633,0,0,0,0,0
75,0,0,5,1019.0,107.0,135.867,1267.0,559.0,168.933,-248.0,104.0,-330.667,188.143,16.434,0,0,0,0,0
410,15,7,8,2715.0,81.0,662.195,1242.0,326.0,302.927,1473.0,81.0,359.268,178.714,680.586,1,2,0,0,0
10,0,0,5,42.0,17.0,4.2,38.0,18.0,3.8,4.0,3.0,0.4,240.714,115.966,0,0,0,0,0
8,1,1,3,21.0,10.0,2.625,20.0,6.0,2.5,1.0,10.0,0.125,150.429,320.612,0,0,0,0,0
5,0,0,3,12.0,8.0,2.4,51.0,46.0,10.2,-39.0,6.0,-7.8,852.857,317.857,0,0,0,0,0
6,0,0,3,82.0,50.0,136.667,48.0,42.0,8.0,34.0,50.0,566.667,113.286,387.613,1,1,0,0,0
8,0,0,5,107.0,49.0,13.375,82.0,63.0,10.25,25.0,33.0,3.125,133.571,879.239,0,0,0,0,0
5,0,0,3,14.0,8.0,2.8,10.0,8.0,2.0,4.0,8.0,0.8,102.0,248.776,0,0,0,0,0
9,0,0,4,79.0,32.0,877.778,53.0,42.0,588.889,26.0,26.0,288.889,144.286,747.306,0,0,0,0,0
7,0,0,4,314.0,106.0,448.571,131.0,88.0,187.143,183.0,91.0,261.429,186.714,707.525,0,0,0,0,0
6,1,0,3,94.0,39.0,156.667,7.0,5.0,116.667,87.0,39.0,14.5,64.0,775.988,0,0,0,0,0
17,1,0,1,44.0,9.0,258.824,13.0,7.0,0.764706,31.0,8.0,182.353,494.286,138.409,0,0,0,0,0
45,1,1,8,986.0,179.0,219.111,735.0,150.0,163.333,251.0,91.0,557.778,222.0,104.763,1,1,0,0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.429,0.0,0,0,0,0,0
12,1,0,7,81.0,47.0,6.75,71.0,41.0,591.667,10.0,6.0,0.833333,335.286,133.847,0,0,0,0,0
31,0,0,4,472.0,105.0,152.258,674.0,378.0,217.419,-202.0,75.0,-651.613,104.286,275.042,0,0,0,0,0
17,0,3,1,126.0,23.0,741.176,397.0,326.0,233.529,-271.0,22.0,-159.412,524.286,104.875,0,0,0,0,0
36,0,0,5,176.0,17.0,488.889,208.0,37.0,577.778,-32.0,15.0,-0.888889,240.714,651.428,0,0,0,0,0
39,0,2,4,627.0,185.0,160.769,417.0,91.0,106.923,210.0,185.0,538.462,155.429,410.601,1,0,0,0,0
5,0,0,3,15.0,11.0,3.0,13.0,11.0,2.6,2.0,1.0,0.4,128.143,834.857,1,0,0,0,0
15,0,0,3,440.0,191.0,293.333,68.0,45.0,453.333,372.0,191.0,24.8,156.429,132.305,1,0,0,0,0
61,1,1,8,592.0,62.0,970.492,743.0,176.0,121.803,-151.0,53.0,-247.541,335.286,156.247,1,0,0,0,0
18,1,0,5,706.0,157.0,392.222,268.0,160.0,148.889,438.0,121.0,243.333,151.143,609.278,0,0,0,0,0
6,1,0,3,22.0,10.0,366.667,9.0,6.0,1.5,13.0,10.0,216.667,169.0,745.844,0,0,0,0,0
3,0,0,3,21.0,11.0,7.0,19.0,19.0,633.333,2.0,10.0,0.666667,128.429,498.639,0,0,0,0,0
4,0,0,3,18.0,10.0,4.5,15.0,9.0,3.75,3.0,2.0,0.75,183.857,116.056,0,0,0,0,0
54,1,0,9,775.0,195.0,143.519,594.0,127.0,11.0,181.0,79.0,335.185,335.286,138.62,0,0,0,0,0
12,0,0,4,277.0,116.0,230.833,114.0,58.0,9.5,163.0,116.0,135.833,151.0,211.171,0,0,0,0,0
12,0,1,2,94.0,34.0,783.333,40.0,23.0,333.333,54.0,34.0,4.5,158.0,253.055,0,0,0,0,0
34,2,1,8,204.0,30.0,6.0,168.0,38.0,494.118,36.0,10.0,105.882,335.286,133.715,0,0,0,0,0
42,1,0,9,657.0,203.0,156.429,466.0,141.0,110.952,191.0,194.0,454.762,302.571,884.264,1,0,0,0,0
5,0,1,3,8.0,4.0,1.6,9.0,6.0,1.8,-1.0,1.0,-0.2,144.857,942.143,0,0,0,0,0
24,0,0,4,937.0,640.0,390.417,629.0,564.0,262.083,308.0,640.0,128.333,156.571,11.344,0,0,0,0,0
7,0,0,4,28.0,10.0,4.0,15.0,5.0,214.286,13.0,10.0,185.714,187.143,653.571,0,0,0,0,0
10,0,0,5,52.0,18.0,5.2,38.0,20.0,3.8,14.0,11.0,1.4,263.429,112.464,0,0,0,0,0
2,0,1,2,14.0,14.0,7.0,21.0,21.0,10.5,-7.0,0.0,-3.5,955.714,585.714,0,0,0,0,0
5,0,0,2,242.0,118.0,48.4,37.0,23.0,7.4,205.0,118.0,41.0,595.714,163.872,0,0,0,0,0
10,0,0,6,42.0,10.0,4.2,37.0,9.0,3.7,5.0,3.0,0.5,227.0,714.558,0,0,0,0,0
7,0,0,3,106.0,49.0,151.429,35.0,14.0,5.0,71.0,49.0,101.429,151.143,206.159,0,0,0,0,0
16,0,0,7,204.0,75.0,12.75,108.0,71.0,6.75,96.0,69.0,6.0,246.571,991.989,0,0,0,0,0
12,0,0,7,96.0,54.0,8.0,97.0,52.0,808.333,-1.0,4.0,-0.0833333,227.429,703.393,1,0,0,0,0
5,0,0,4,17.0,10.0,3.4,8.0,6.0,1.6,9.0,10.0,1.8,136.286,341.597,1,0,0,0,0
5,0,2,2,41.0,11.0,8.2,37.0,35.0,7.4,4.0,10.0,0.8,982.857,484.634,0,0,0,0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.714,0.0,0,0,0,0,0
2,0,0,1,80.0,80.0,40.0,0.0,0.0,0.0,80.0,80.0,40.0,36.0,0.0,0,0,0,0,0
15,0,0,5,196.0,45.0,130.667,118.0,51.0,786.667,78.0,43.0,5.2,144.286,569.934,0,0,0,0,0
28,0,0,7,136.0,25.0,485.714,146.0,30.0,521.429,-10.0,12.0,-0.357143,227.429,784.916,0,0,0,0,0
5,0,0,4,53.0,24.0,10.6,49.0,25.0,9.8,4.0,10.0,0.8,110.143,395.687,0,0,0,0,0
8,0,0,5,41.0,17.0,5.125,34.0,17.0,4.25,7.0,10.0,0.875,240.714,624.983,0,0,0,0,0
4,0,0,2,26.0,11.0,6.5,18.0,13.0,4.5,8.0,9.0,2.0,718.571,273.242,0,0,0,0,0
13,0,0,5,410.0,130.0,315.385,90.0,33.0,692.308,320.0,130.0,246.154,151.143,316.415,0,0,0,0,0
32,3,0,4,254.0,78.0,79.375,122.0,50.0,38.125,132.0,74.0,4.125,147.429,320.484,0,0,0,0,0
2,0,0,2,5.0,5.0,2.5,8.0,8.0,4.0,-3.0,0.0,-1.5,518.571,177.143,0,0,0,0,0
20,1,0,7,110.0,24.0,5.5,107.0,26.0,5.35,3.0,22.0,0.15,302.571,107.86,0,0,0,0,0
2,0,0,2,1.0,1.0,0.5,2.0,2.0,1.0,-1.0,0.0,-0.5,69.0,328.571,0,0,0,0,0
49,2,0,5,910.0,216.0,185.714,481.0,162.0,981.633,429.0,210.0,87.551,189.429,492.801,0,0,0,0,0
7,0,3,4,34.0,15.0,485.714,28.0,24.0,4.0,6.0,15.0,0.857143,955.714,402.227,0,0,0,0,0
3,0,0,3,16.0,15.0,533.333,15.0,14.0,5.0,1.0,1.0,0.333333,133.571,917.232,0,0,0,0,0
29,2,1,5,613.0,232.0,211.379,416.0,170.0,143.448,197.0,199.0,67.931,175.857,976.434,1,0,0,0,0
11,2,2,4,26.0,10.0,236.364,33.0,23.0,3.0,-7.0,10.0,-0.636364,128.286,177.967,0,0,0,0,0
4,0,0,2,53.0,40.0,13.25,79.0,66.0,19.75,-26.0,0.0,-6.5,100.143,596.846,0,0,0,0,0
19,2,0,4,889.0,224.0,467.895,135.0,102.0,710.526,754.0,224.0,396.842,925.714,165.832,1,0,1,0,0
7,0,0,2,216.0,100.0,308.571,15.0,9.0,214.286,201.0,100.0,287.143,611.429,264.087,0,0,0,0,0
35,0,0,8,293.0,76.0,837.143,286.0,104.0,817.143,7.0,22.0,0.2,240.714,690.843,0,0,0,0,0
38,2,0,8,715.0,146.0,188.158,671.0,125.0,176.579,44.0,82.0,115.789,263.429,629.702,0,0,0,0,0
10,1,1,3,123.0,52.0,12.3,16.0,6.0,1.6,107.0,52.0,10.7,150.571,913.357,0,0,0,0,0
4,0,1,2,21.0,13.0,5.25,48.0,37.0,12.0,-27.0,0.0,-6.75,108.143,364.082,0,0,0,0,0
10,0,1,1,257.0,86.0,25.7,83.0,66.0,8.3,174.0,85.0,17.4,521.429,10.075,0,0,0,0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0,0,0,0,0
48,1,0,7,920.0,132.0,191.667,1041.0,305.0,216.875,-121.0,78.0,-252.083,297.571,457.129,0,0,0,0,0
6,0,0,3,10.0,4.0,166.667,10.0,4.0,166.667,0.0,2.0,0.0,183.857,953.429,0,0,0,0,0
2,0,0,2,3.0,3.0,1.5,4.0,4.0,2.0,-1.0,0.0,-0.5,109.286,751.429,0,0,0,0,0
13,0,0,5,53.0,13.0,407.692,40.0,11.0,307.692,13.0,10.0,1.0,191.143,448.544,0,0,0,0,0
19,1,0,6,391.0,281.0,205.789,907.0,516.0,477.368,-516.0,5.0,-271.579,240.714,260.142,0,0,0,0,0
2,0,0,1,2.0,2.0,1.0,5.0,5.0,2.5,-3.0,0.0,-1.5,724.286,1.0,0,0,0,0,0
22,1,0,9,107.0,24.0,486.364,99.0,44.0,4.5,8.0,9.0,0.363636,302.571,137.402,0,0,0,0,0
2,0,0,2,10.0,10.0,5.0,17.0,17.0,8.5,-7.0,0.0,-3.5,602.857,261.429,0,0,0,0,0
2,0,0,2,25.0,25.0,12.5,26.0,26.0,13.0,-1.0,0.0,-0.5,110.429,742.857,0,0,0,0,0
8,0,0,3,111.0,86.0,13.875,96.0,86.0,12.0,15.0,86.0,1.875,592.857,18.314,0,0,0,0,0
19,0,0,5,235.0,43.0,123.684,295.0,89.0,155.263,-60.0,20.0,-315.789,263.429,410.887,0,0,0,0,0
14,1,0,6,72.0,23.0,514.286,87.0,29.0,621.429,-15.0,14.0,-107.143,180.571,648.433,0,0,0,0,0
6,0,0,3,124.0,52.0,206.667,15.0,14.0,2.5,109.0,52.0,181.667,151.0,107.108,0,0,0,0,0
14,1,0,5,174.0,45.0,124.286,185.0,58.0,132.143,-11.0,28.0,-0.785714,302.571,726.289,0,0,0,0,0
4,0,0,1,34.0,31.0,8.5,32.0,31.0,8.0,2.0,31.0,0.5,592.857,0.252101,0,0,0,0,0
31,2,1,8,228.0,103.0,735.484,203.0,100.0,654.839,25.0,6.0,0.806452,335.286,972.782,0,0,0,0,0
2,0,0,2,11.0,11.0,5.5,5.0,5.0,2.5,6.0,6.0,3.0,183.857,148.0,0,0,0,0,0
18,1,0,7,131.0,38.0,727.778,113.0,43.0,627.778,18.0,14.0,1.0,335.286,103.218,0,0,0,0,0
14,1,0,5,230.0,53.0,164.286,127.0,33.0,907.143,103.0,32.0,735.714,201.286,123.433,0,0,0,0,0
46,3,0,8,970.0,176.0,21.087,646.0,178.0,140.435,324.0,81.0,704.348,335.286,113.183,0,0,0,0,0
4,0,0,2,198.0,94.0,49.5,162.0,146.0,40.5,36.0,80.0,9.0,100.143,306.407,0,0,0,0,0
3,0,1,1,10.0,10.0,333.333,1.0,1.0,0.333333,9.0,10.0,3.0,982.857,285.714,0,0,0,0,0
2,0,1,2,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,955.714,585.714,0,0,0,0,0
12,0,1,3,265.0,97.0,220.833,189.0,135.0,15.75,76.0,49.0,633.333,108.143,489.294,1,0,0,0,0
3,0,0,1,86.0,43.0,286.667,0.0,0.0,0.0,86.0,43.0,286.667,611.429,142.857,0,0,0,0,0
60,1,0,7,3422.0,490.0,570.333,3402.0,490.0,56.7,20.0,209.0,0.333333,263.429,53.676,0,0,0,0,0
23,0,0,4,580.0,168.0,252.174,181.0,47.0,786.956,399.0,168.0,173.478,155.857,292.953,1,0,1,1,0
5,0,0,3,67.0,32.0,13.4,3.0,2.0,0.6,64.0,32.0,12.8,139.571,346.482,0,0,0,0,0
45,2,1,8,742.0,304.0,164.889,670.0,223.0,148.889,72.0,81.0,1.6,335.286,120.691,0,0,0,0,0
13,0,0,4,394.0,114.0,303.077,139.0,84.0,106.923,255.0,109.0,196.154,147.0,45.653,1,0,0,0,0
23,0,0,4,559.0,140.0,243.043,199.0,48.0,865.217,360.0,140.0,156.522,154.857,371.881,0,0,0,0,0
4,0,0,3,50.0,33.0,12.5,30.0,23.0,7.5,20.0,10.0,5.0,129.429,606.971,0,0,0,0,0
11,0,0,4,194.0,83.0,176.364,20.0,7.0,181.818,174.0,83.0,158.182,151.143,118.527,0,0,0,0,0
5,0,1,4,107.0,101.0,21.4,117.0,115.0,23.4,-10.0,3.0,-2.0,955.714,570.841,0,0,0,0,0
10,0,0,4,314.0,130.0,31.4,29.0,12.0,2.9,285.0,130.0,28.5,151.143,159.236,0,0,0,0,0
13,0,0,4,221.0,62.0,17.0,72.0,50.0,553.846,149.0,62.0,114.615,151.143,350.976,0,0,0,0,0
19,0,0,3,296.0,105.0,155.789,282.0,115.0,148.421,14.0,79.0,0.736842,104.286,324.546,0,0,0,0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.286,0.0,0,0,0,0,0
10,1,0,4,391.0,162.0,39.1,69.0,37.0,6.9,322.0,162.0,32.2,151.143,155.722,0,0,0,0,0
3,0,0,2,44.0,34.0,146.667,12.0,11.0,4.0,32.0,33.0,106.667,59.0,741.558,1,0,0,0,0
26,0,0,6,233.0,55.0,896.154,137.0,43.0,526.923,96.0,53.0,369.231,227.429,583.875,0,0,0,0,0
13,0,0,3,480.0,382.0,369.231,880.0,382.0,676.923,-400.0,382.0,-307.692,592.857,0.961607,0,0,0,0,0
23,1,0,7,298.0,117.0,129.565,296.0,211.0,128.696,2.0,36.0,0.0869565,227.429,109.638,0,0,0,0,0
9,0,0,4,22.0,6.0,244.444,20.0,5.0,222.222,2.0,3.0,0.222222,201.286,504.221,0,0,0,0,0
7,0,0,4,22.0,10.0,314.286,23.0,12.0,328.571,-1.0,10.0,-0.142857,227.429,549.675,0,0,0,0,0
9,0,1,3,133.0,75.0,147.778,71.0,29.0,788.889,62.0,74.0,688.889,158.0,245.231,0,0,0,0,0
83,3,1,9,1996.0,718.0,240.482,1671.0,657.0,201.325,325.0,83.0,391.566,335.286,109.549,1,0,1,0,0
9,0,0,4,516.0,277.0,573.333,133.0,107.0,147.778,383.0,277.0,425.556,595.714,129.956,0,0,0,0,0
4,0,0,3,16.0,10.0,4.0,4.0,3.0,1.0,12.0,10.0,3.0,188.429,251.875,0,0,0,0,0
21,1,0,4,501.0,104.0,238.571,416.0,104.0,198.095,85.0,40.0,404.762,143.857,248.993,0,0,0,0,0
4,0,0,2,34.0,17.0,8.5,111.0,88.0,27.75,-77.0,0.0,-19.25,76.0,261.345,0,0,0,0,0
4,0,0,3,64.0,46.0,16.0,56.0,48.0,14.0,8.0,10.0,2.0,151.143,882.589,0,0,0,0,0
2,0,0,2,11.0,11.0,5.5,11.0,11.0,5.5,0.0,0.0,0.0,116.143,80.0,1,0,0,0,0
3,0,0,3,2.0,1.0,0.666667,2.0,1.0,0.666667,0.0,0.0,0.0,852.857,342.857,0,0,0,0,0
22,2,0,8,172.0,78.0,781.818,142.0,72.0,645.455,30.0,15.0,136.364,335.286,129.655,0,0,0,0,0
10,1,0,3,219.0,113.0,21.9,167.0,69.0,16.7,52.0,62.0,5.2,150.857,302.061,0,0,0,0,0
12,0,1,2,72.0,40.0,6.0,79.0,46.0,658.333,-7.0,2.0,-0.583333,104.429,171.627,1,0,0,0,0
2,0,0,1,5.0,5.0,2.5,6.0,6.0,3.0,-1.0,0.0,-0.5,721.429,38.0,0,0,0,0,0
4,0,0,2,106.0,51.0,26.5,4.0,4.0,1.0,102.0,51.0,25.5,151.143,461.456,0,0,0,0,0
2,0,0,1,22.0,22.0,11.0,20.0,20.0,10.0,2.0,2.0,1.0,102.143,68.0,0,0,0,0,0
2,0,0,2,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,944.286,602.857,0,0,0,0,0
11,1,0,7,59.0,33.0,536.364,44.0,24.0,4.0,15.0,9.0,136.364,335.286,127.363,0,0,0,0,0
27,1,0,8,351.0,87.0,13.0,341.0,89.0,126.296,10.0,43.0,0.37037,335.286,987.196,1,0,0,0,0
