McCC,CLOC,LLOC,Number of previous fixes,Number of developer commits,Number of committers,Number of previous modifications,target
17,0,84,0,4735,1,5,0
1,0,9,0,4735,1,1,0
1,0,12,0,4735,1,1,1
1,0,12,0,4735,1,1,0
1,0,9,0,4735,1,2,0
1,0,12,0,4735,1,1,0
1,0,9,0,4735,1,1,0
1,0,9,0,4735,1,1,0
1,0,4,0,4735,1,1,0
13,0,61,0,4735,1,9,0
2,0,46,0,4735,1,5,0
1,0,6,0,4735,1,2,0
1,0,12,0,4735,1,5,0
1,0,5,0,4735,1,2,0
1,0,7,0,4735,1,4,0
3,0,30,0,4735,1,3,0
1,0,4,0,4735,1,4,0
10,0,37,0,4735,1,4,0
1,0,12,0,4735,1,1,0
1,0,5,0,4735,1,1,0
1,0,11,0,4735,1,2,0
1,0,6,0,4735,1,1,0
1,0,7,0,4735,1,1,0
1,0,22,0,4735,1,1,0
1,0,8,0,4735,1,5,0
15,0,70,0,4735,1,1,0
1,0,100,0,4735,1,28,0
1,0,56,0,4735,1,18,0
2,0,14,0,4735,1,1,0
9,0,39,0,4735,1,1,0
24,0,183,0,4735,1,23,0
1,0,27,1,4735,1,6,0
1,0,14,0,4735,1,5,0
1,0,5,0,4735,1,2,0
1,0,68,0,4735,1,14,0
1,0,60,0,4735,1,9,0
1,0,107,0,4735,1,15,0
1,0,1,0,4735,1,1,0
1,0,146,0,4735,2,28,0
6,0,56,0,4735,1,5,1
1,0,42,0,4735,1,18,0
7,0,46,0,4735,1,4,0
1,0,12,0,4735,1,4,0
1,0,17,0,4735,1,9,1
2,0,174,0,4735,1,16,0
1,0,4,0,4735,1,2,0
1,0,4,0,4735,1,2,0
1,0,4,0,4735,1,1,0
1,0,7,0,4735,1,3,0
124,0,942,0,4735,1,2,0
18,0,30,0,4735,1,1,0
37,0,215,0,2,2,3,0
2,0,27,0,4735,1,1,0
9,0,39,0,4735,1,1,0
3,0,156,0,4735,1,2,0
6,0,49,0,4735,1,1,0
10,0,59,0,4735,1,1,0
1,0,7,0,4735,1,1,0
1,0,54,0,4735,1,2,0
27,0,167,0,4735,1,1,0
1,0,26,0,4735,1,1,0
1,0,7,0,4735,1,1,0
11,0,134,0,4735,1,1,0
143,0,638,0,4735,1,3,0
14,0,129,0,4735,1,1,0
15,0,126,0,4735,1,2,0
1,0,14,0,4735,1,8,0
2,0,27,0,4735,1,9,0
4,0,67,0,4735,1,11,0
1,0,7,0,4735,1,1,0
15,0,118,0,4735,1,8,0
1,0,11,0,4735,1,3,0
13,0,81,1,4735,1,8,1
1,0,9,0,4735,1,1,0
1,0,14,0,4735,1,7,0
1,0,20,0,4735,1,4,0
44,0,235,0,4735,1,47,1
