McCC,CLOC,LLOC,Number of developer commits,Number of previous modifications,Number of previous fixes,Number of committers,target
1,0,5,1118,1,0,1,0
4,0,34,575,18,0,3,0
1,0,20,1118,9,0,3,0
1,0,8,1118,6,0,3,0
1,0,59,1118,6,0,3,0
4,0,56,1118,5,0,3,0
2,0,25,1118,6,0,3,0
2,0,14,1118,2,0,2,0
35,0,154,1118,15,0,3,0
1,0,32,1118,13,0,3,0
1,0,187,1118,2,0,2,0
27,0,182,2899,35,1,5,0
69,0,382,575,34,8,6,1
4,0,226,2899,15,1,2,0
64,0,317,575,71,2,7,0
7,0,53,2899,10,0,3,0
1,0,11,1118,6,0,2,0
8,0,185,1118,5,0,2,0
180,0,1278,575,245,6,6,1
148,0,1048,575,121,7,6,1
2,0,47,1118,12,0,3,0
2,0,22,2899,5,0,2,0
1,0,43,1118,6,0,2,0
48,0,326,575,55,5,5,1
127,0,1482,2899,61,3,5,1
6,0,61,1118,42,0,3,1
4,0,42,1118,9,0,3,0
4,0,48,1118,5,0,3,0
1,0,145,2899,73,1,4,0
405,0,1714,575,314,16,7,1
629,0,3807,2899,461,24,8,1
3,0,77,1118,15,0,2,0
1,0,17,1118,8,0,2,0
11,0,176,1118,8,0,2,0
7,0,50,2899,9,0,2,0
1,0,20,2899,10,0,4,0
1,0,18,2899,7,0,2,0
3,0,39,2899,3,0,2,0
1,0,62,1118,8,0,2,0
15,0,96,2899,21,2,5,0
3,0,58,2899,6,0,3,0
1,0,6,575,7,0,4,0
30,0,176,2899,15,2,3,0
1,0,46,2899,7,0,2,0
1,0,6,1118,4,0,2,0
1,0,8,1118,8,0,3,0
70,0,623,575,99,5,6,1
12,0,96,1118,25,0,3,0
5,0,39,575,16,0,3,0
111,0,799,575,257,2,6,1
2,0,10,2899,11,0,4,0
4,0,277,575,108,2,6,1
1,0,5,1118,3,0,1,0
1,0,4,1118,5,0,2,0
9,0,103,1118,6,0,3,0
1,0,4,1118,2,0,1,0
1,0,20,2899,10,0,2,0
1,0,4,1118,2,0,1,0
1,0,10,2899,14,1,3,0
6,0,52,1118,13,0,3,0
9,0,128,575,33,0,5,0
86,0,416,575,94,0,6,0
1,0,4,1118,4,0,2,0
4,0,121,1118,16,0,4,0
1,0,4,1118,1,0,1,0
1,0,7,1118,5,0,2,0
10,0,181,575,18,0,5,0
4,0,36,1118,6,0,1,0
1,0,6,831,6,1,3,0
16,0,167,1118,31,1,4,0
4,0,46,1118,9,0,2,0
1,0,19,2899,14,1,4,0
47,0,870,575,61,2,5,1
34,0,170,2899,41,4,5,0
1,0,4,1118,1,0,1,0
21,0,149,575,36,0,4,0
1,0,6,1118,7,0,3,0
7,0,283,575,14,1,4,0
1,0,27,1118,8,0,2,0
42,0,232,2899,19,1,4,0
1,0,10,2899,3,0,2,0
56,0,521,575,239,3,7,0
1,0,24,2899,27,0,4,0
23,0,74,2899,16,1,5,0
5,0,28,1118,3,0,1,0
18,0,97,575,5,0,2,0
192,0,945,575,186,8,5,1
27,0,174,575,42,0,4,0
1,0,4,1118,5,0,2,0
1,0,19,1118,7,0,2,0
1,0,7,1118,10,0,3,0
25,0,306,1118,14,0,3,0
1,0,100,2899,72,1,4,0
7,0,246,575,61,4,5,0
1,0,11,1118,8,0,2,0
1,0,14,1118,6,0,2,0
24,0,389,575,9,0,4,0
1,0,5,1118,10,2,3,0
7,0,178,1118,12,2,4,0
1,0,37,2899,12,0,3,0
8,0,48,575,28,1,5,0
1,0,4,1118,3,0,1,0
77,0,391,575,67,5,5,0
27,0,523,575,29,1,3,0
17,0,194,575,61,0,3,0
14,0,127,1118,31,2,5,0
1,0,8,1118,9,0,3,0
7,0,128,1118,13,0,3,0
84,0,405,575,78,9,4,0
1,0,15,2899,8,0,2,0
17,0,109,575,19,0,4,0
6,0,32,2899,11,0,2,0
1,0,18,1118,8,0,3,0
1,0,6,2899,2,0,2,0
1,0,6,1118,4,0,3,0
1,0,7,2899,2,0,2,0
1,0,5,575,1,0,1,0
1,0,9,1118,7,0,2,0
33,0,255,575,30,0,4,0
1,0,9,2899,5,0,2,0
1,0,11,1118,3,0,2,0
1,0,59,1118,21,0,4,0
3,0,22,1118,5,0,1,0
1,0,8,1118,8,0,1,0
1,0,5,1118,4,0,1,0
9,0,179,575,56,0,5,1
1,0,15,2899,2,0,1,0
1,0,34,2899,32,0,3,0
1,0,4,1118,4,0,1,0
1,0,23,2899,14,0,2,0
1,0,6,1118,7,0,1,0
1,0,12,1118,5,0,2,0
1,0,5,1118,7,0,1,0
1,0,4,1118,5,0,1,0
1,0,9,1118,15,0,3,0
1,0,62,575,48,0,4,0
12,0,78,575,16,0,3,0
1,0,30,575,3,0,2,0
1,0,30,1118,6,0,2,0
1,0,6,1118,5,0,1,0
1,0,6,1118,7,0,1,1
1,0,36,1118,5,0,3,0
1,0,4,1118,7,0,2,0
1,0,33,2899,9,0,5,0
3,0,20,1118,2,0,1,0
1,0,6,1118,6,0,1,0
1,0,9,1118,7,0,2,0
5,0,43,575,11,0,5,0
1,0,5,1118,4,0,2,0
1,0,11,1118,3,0,1,0
1,0,4,575,9,0,4,0
1,0,13,1118,7,0,2,0
1,0,9,1118,9,0,1,0
1,0,6,1118,3,0,1,0
1,0,9,1118,8,0,1,0
1,0,5,1118,2,0,2,0
1,0,16,2899,17,0,3,0
1,0,28,2899,10,0,3,0
2,0,28,1118,6,0,1,0
1,0,6,1118,7,0,1,0
1,0,12,1118,2,0,1,0
1,0,5,1118,8,0,2,0
1,0,35,2899,19,0,3,0
1,0,25,1118,5,0,1,0
1,0,8,2899,3,0,1,0
1,0,14,575,8,0,3,0
1,0,17,575,6,0,2,0
1,0,4,1118,3,0,1,0
1,0,28,1118,23,2,5,0
1,0,8,2899,8,0,3,0
1,0,4,1118,3,0,1,0
1,0,16,2899,7,0,3,0
1,0,12,2899,14,0,2,0
1,0,21,1118,8,0,2,0
1,0,18,1118,10,0,2,0
1,0,34,1118,16,0,2,0
3,0,33,2899,8,0,2,0
3,0,47,2899,18,1,2,0
18,0,129,2899,52,1,4,0
174,0,935,2899,154,6,5,1
37,0,273,2899,93,2,5,0
4,0,14,2899,15,0,2,0
1,0,7,2899,15,0,2,0
2,0,73,2899,20,0,4,0
6,0,98,2899,29,0,3,0
1,0,36,2899,17,0,2,0
10,0,74,2899,11,0,2,0
4,0,31,831,18,0,3,0
10,0,80,575,26,2,4,0
1,0,6,2899,6,0,2,0
1,0,7,1118,8,0,2,0
1,0,30,575,20,0,3,0
19,0,130,1118,8,0,4,0
3,0,99,1118,8,0,2,0
1,0,72,1118,11,0,3,0
2,0,20,1118,3,0,2,0
83,0,707,2899,68,0,5,0
1,0,4,1118,6,0,1,0
10,0,55,831,2,0,2,0
60,0,354,2899,29,2,5,0
1,0,43,2899,7,0,2,0
1,0,49,2899,8,0,2,0
4,0,85,2899,17,0,3,0
1,0,20,1118,3,0,2,0
11,0,73,1118,7,0,2,0
3,0,18,1118,3,0,2,0
6,0,68,2899,14,0,3,0
1,0,38,2899,8,0,2,0
1,0,45,1118,12,0,3,0
1,0,42,1118,8,0,3,0
2,0,53,2899,7,0,2,0
1,0,43,831,4,0,2,0
54,0,389,2899,50,0,4,0
1,0,38,1118,3,0,2,0
1,0,77,1118,12,0,3,0
2,0,46,1118,3,0,1,0
1,0,24,1118,3,0,2,0
1,0,42,1118,2,0,1,0
1,0,88,1118,13,0,3,0
2,0,70,2899,7,0,2,0
1,0,56,1118,6,0,1,0
7,0,175,2899,18,0,4,0
1,0,53,2899,6,0,2,0
5,0,86,2899,9,0,2,0
1,0,43,2899,8,0,2,0
8,0,83,1118,17,0,3,1
1,0,73,2899,7,0,2,0
3,0,86,1118,4,0,2,0
1,0,54,2899,7,0,2,0
1,0,51,2899,3,0,2,0
6,0,97,1118,8,0,2,0
15,0,124,2899,14,0,3,0
8,0,74,1118,10,0,3,0
1,0,20,1118,3,0,2,0
2,0,36,2899,7,0,2,0
1,0,26,1118,3,0,2,0
2,0,62,2899,7,0,2,0
248,0,980,2899,94,0,4,1
33,0,525,1118,9,1,4,0
13,0,92,1118,9,0,2,0
1,0,35,1118,4,0,1,0
1,0,4,575,1,0,1,0
20,0,209,1118,11,1,4,0
30,0,273,1118,7,1,3,0
19,0,133,1118,9,0,3,0
22,0,140,575,40,0,4,0
19,0,116,2899,8,0,4,0
7,0,68,1118,8,0,3,0
1,0,7,1118,4,0,2,0
224,0,1125,2899,53,1,5,0
52,0,312,1118,9,0,2,0
1,0,67,1118,4,0,2,0
11,0,167,2899,17,0,4,0
1,0,44,1118,6,0,2,0
27,0,179,1118,17,0,3,0
