McCC,CLOC,LLOC,Number of previous modifications,Number of previous fixes,Number of committers,Number of developer commits,target
1,0,11,21,0,12,3,0
1,0,30,18,0,9,3,0
1,0,20,26,0,13,3,0
1,0,21,29,0,11,3,0
5,0,91,29,0,11,3,0
1,0,20,19,0,9,3,0
1,0,26,29,0,11,3,0
1,0,13,11,0,8,3,0
1,0,20,25,0,11,3,0
14,0,92,21,0,9,3,0
1,0,13,25,0,11,3,0
26,0,330,36,0,14,3,0
1,0,1,19,0,8,3,0
1,0,29,9,0,7,3,0
1,0,7,20,0,9,3,0
1,0,21,25,0,11,3,0
1,0,63,18,0,8,3,0
3,0,31,21,0,9,3,0
8,0,130,21,0,9,3,0
1,0,69,37,0,12,412,0
2,0,70,34,0,13,412,0
35,0,238,30,0,13,3,0
5,0,109,9,0,6,3,0
18,0,183,23,0,9,3,0
2,0,80,37,0,15,3,0
1,0,55,39,0,12,3,0
1,0,80,11,0,7,3,0
2,0,69,39,0,13,3,0
4,0,55,18,0,8,3,0
1,0,20,20,0,9,3,0
1,0,19,20,0,9,3,0
4,0,42,19,0,9,3,0
12,0,107,21,0,9,3,0
1,0,5,18,0,8,3,0
2,0,24,18,0,8,3,0
2,0,110,37,0,15,3,0
4,0,127,37,0,13,412,0
1,0,64,43,0,17,3,0
1,0,72,29,0,14,3,0
1,0,75,9,0,6,3,0
1,0,11,31,0,11,1636,0
1,0,27,38,0,12,3,0
2,0,36,28,0,12,3,0
1,0,4,18,0,8,3,0
4,0,50,32,0,13,3,0
1,0,16,25,0,12,1636,0
1,0,56,11,0,6,1296,0
2,0,69,34,0,11,665,0
1,0,86,24,0,11,2319,0
29,0,596,189,2,22,5350,0
15,0,194,82,0,17,9,0
1,0,10,19,0,8,1636,0
1,0,92,69,0,18,2319,0
4,0,124,15,0,6,815,0
5,0,41,18,0,9,815,0
1,0,21,13,0,5,412,0
1,0,28,43,0,12,2472,0
1,0,20,16,0,8,815,0
2,0,29,39,0,14,412,0
1,0,17,17,0,9,815,0
1,0,37,25,0,11,412,0
1,0,41,49,0,15,9,0
2,0,28,13,0,7,5350,0
2,0,28,13,0,7,5350,0
2,0,28,13,0,7,5350,0
1,0,11,13,0,7,5350,0
2,0,28,13,0,7,5350,0
2,0,28,13,0,7,5350,0
2,0,28,13,0,7,5350,0
4,0,28,13,0,7,5350,0
2,0,28,13,0,7,5350,0
1,0,18,5,0,3,5350,0
