McCC,CLOC,LLOC,Number of previous modifications,Number of previous fixes,Number of committers,Number of developer commits,target
49,0,280,4,0,2,4843,0
1,0,32,1,0,1,1328,0
27,0,221,8,0,3,1328,0
1,0,7,4,0,2,4843,0
20,0,358,159,0,7,1328,1
1,0,157,40,0,3,4843,0
9,0,94,8,0,4,4843,0
3,0,27,2,0,1,4843,0
26,0,160,39,0,3,4843,0
15,0,71,6,0,1,1328,0
6,0,55,4,0,3,12,0
11,0,72,4,0,1,4843,0
1,0,24,2,0,1,224,0
69,0,423,3,0,2,1328,0
8,0,80,4,0,2,4843,0
14,0,91,23,0,2,4843,0
13,0,70,5,0,1,4843,0
3,0,34,2,0,1,4843,0
42,0,227,12,0,2,4843,0
3,0,66,2,0,1,4843,0
3,0,66,6,0,2,4843,0
7,0,55,3,0,1,4843,0
3,0,34,6,0,1,4843,0
12,0,55,2,0,1,4843,0
41,0,208,1,0,1,4843,0
53,0,241,3,0,1,4843,1
7,0,39,4,0,1,4843,1
17,0,107,1,0,1,4843,0
9,0,57,8,0,1,4843,0
4,0,33,2,0,1,4843,0
60,0,332,10,0,1,4843,0
13,0,64,4,0,1,4843,0
20,0,150,12,0,1,4843,1
7,0,91,2,0,1,4843,0
11,0,42,2,0,2,20,0
15,0,49,5,0,3,75,0
150,0,688,21,0,2,4843,1
36,0,271,11,0,1,4843,0
22,0,88,3,0,1,4843,0
15,0,147,4,0,1,1328,1
1,0,46,1,0,1,56,0
5,0,33,2,0,1,4843,0
2,0,14,1,0,1,4843,0
41,0,347,8,0,1,4843,0
2,0,22,3,0,1,4843,0
2,0,43,16,0,1,4843,0
370,0,1206,49,0,2,4843,0
227,0,1077,41,0,1,4843,1
11,0,147,14,0,1,4843,0
73,0,273,21,0,1,4843,0
28,0,151,2,0,1,4843,0
1,0,3,3,0,1,4843,0
53,0,291,8,0,1,4843,0
6,0,94,4,0,1,4843,0
7,0,83,3,0,1,4843,0
219,0,1016,53,0,1,4843,0
23,0,104,12,0,1,4843,0
28,0,264,17,0,1,4843,0
35,0,147,7,0,1,4843,0
28,0,278,16,0,3,4843,0
1,0,33,4,0,1,4843,0
24,0,200,8,0,2,4843,0
151,0,504,12,0,1,4843,0
40,0,97,4,0,1,4843,0
61,0,452,24,0,1,4843,0
15,0,77,4,0,1,4843,0
117,0,609,21,0,2,4843,0
8,0,63,3,0,1,4843,0
7,0,107,12,0,3,75,0
23,0,167,20,0,1,4843,0
7,0,48,8,0,1,4843,0
79,0,440,9,0,1,4843,0
8,0,64,7,0,1,4843,0
24,0,104,8,0,1,4843,0
16,0,88,3,0,1,4843,0
4,0,69,3,0,1,4843,0
4,0,68,3,0,1,4843,0
3,0,72,3,0,2,4843,0
4,0,68,2,0,1,4843,0
3,0,62,29,0,1,4843,0
4,0,68,2,0,1,4843,0
163,0,810,65,0,2,4843,0
7,0,57,2,0,1,4843,0
4,0,38,7,0,1,4843,0
13,0,64,4,0,1,4843,0
15,0,88,6,0,1,4843,0
2,0,60,6,0,1,4843,0
12,0,117,20,0,1,4843,0
18,0,146,15,0,1,4843,0
41,0,207,22,0,1,4843,0
2,0,56,4,0,1,4843,0
14,0,78,4,0,1,4843,0
38,0,227,13,0,1,4843,0
22,0,103,4,0,1,4843,0
10,0,75,5,0,1,4843,0
25,0,163,14,0,1,4843,0
20,0,105,12,0,1,4843,0
5,0,99,4,0,1,4843,0
11,0,62,1,0,1,4843,0
7,0,48,9,0,1,4843,0
22,0,103,1,0,1,4843,0
26,0,177,20,0,1,4843,0
23,0,138,11,0,1,4843,0
9,0,65,10,0,1,4843,0
19,0,161,12,0,1,4843,0
43,0,177,25,0,2,4843,0
32,0,186,11,0,1,4843,0
16,0,136,13,0,1,4843,1
39,0,244,21,0,1,4843,0
50,0,305,25,0,1,4843,1
36,0,215,18,0,1,4843,0
9,0,81,3,0,1,4843,0
42,0,214,16,0,1,4843,1
9,0,70,4,0,1,4843,0
15,0,131,8,0,1,4843,0
6,0,64,7,0,1,4843,0
6,0,64,4,0,1,4843,0
6,0,64,6,0,1,4843,0
10,0,52,6,0,1,4843,0
49,0,378,4,0,1,4843,0
6,0,36,1,0,1,4843,0
28,0,138,4,0,1,4843,0
1,0,22,7,0,1,4843,0
77,0,433,23,0,1,4843,1
82,0,365,7,0,1,4843,0
48,0,272,8,0,1,4843,0
2,0,57,4,0,1,4843,0
2,0,46,1,0,1,152,0
30,0,195,10,0,1,4843,0
19,0,121,2,0,1,4843,0
42,0,276,4,0,1,4843,0
5,0,72,8,0,1,4843,0
12,0,173,6,0,2,1328,0
3,0,82,5,0,1,4843,0
5,0,72,10,0,1,4843,0
2,0,51,4,0,1,4843,0
2,0,51,3,0,1,4843,0
66,0,358,11,0,2,4843,1
32,0,180,3,0,1,4843,0
5,0,47,3,0,1,4843,0
38,0,231,20,0,1,4843,0
10,0,86,9,0,1,4843,0
18,0,112,10,0,1,4843,0
5,0,75,7,0,1,4843,0
1,0,27,7,0,1,4843,0
3,0,67,3,0,1,4843,0
5,0,63,7,0,1,4843,0
11,0,94,15,0,1,4843,0
9,0,51,6,0,1,4843,0
30,0,211,27,0,1,4843,0
27,0,176,17,0,1,4843,0
15,0,163,2,0,1,4843,0
5,0,68,7,0,1,4843,0
13,0,196,3,0,2,4843,1
5,0,44,8,0,1,4843,0
1,0,21,1,0,1,4843,0
38,0,207,22,0,3,4843,0
18,0,129,25,0,3,4843,0
338,0,1023,42,0,2,4843,0
12,0,408,6,0,1,4843,0
1,0,53,9,0,2,4843,0
2,0,27,69,0,7,12,0
32,0,251,1,0,1,4843,0
35,0,159,2,0,1,4843,0
164,0,1349,142,0,5,1328,1
6,0,81,11,0,2,4843,1
1,0,11,1,0,1,4843,0
6,0,66,8,0,2,4843,0
4,0,38,9,0,1,4843,0
138,0,701,69,0,4,56,0
15,0,367,97,0,5,56,0
15,0,104,3,0,2,4843,0
23,0,122,1,0,1,4843,0
20,0,113,1,0,1,4843,0
42,0,200,5,0,2,4843,0
3,0,40,5,0,1,4843,0
1,0,23,13,0,3,1328,0
1,0,6,1,0,1,4843,0
16,0,67,2,0,2,20,0
1,0,19,1,0,1,4843,0
16,0,180,11,0,2,4843,0
2,0,26,2,0,2,20,0
31,0,210,28,1,4,56,0
20,0,143,6,0,1,4843,0
18,0,87,5,0,2,4843,0
1,0,14,6,0,2,4843,0
1,0,14,6,0,2,4843,0
3,0,37,8,0,1,4843,0
1,0,5,1,0,1,4843,0
18,0,73,6,0,2,1328,0
63,0,417,37,0,3,1328,0
47,0,284,9,0,2,4843,0
1,0,27,2,0,1,4843,0
19,0,312,17,0,2,1328,0
93,0,307,31,0,4,12,0
25,0,115,6,0,2,4843,0
45,0,238,8,0,2,4843,0
3,0,39,2,0,1,4843,0
1,0,17,2,0,1,4843,0
19,0,199,6,0,1,4843,0
2,0,36,5,0,1,4843,0
2,0,27,4,0,1,4843,0
8,0,65,4,0,1,4843,0
10,0,59,4,0,3,1328,0
24,0,184,12,0,2,4843,0
1,0,12,1,0,1,4843,0
12,0,82,1,0,1,4843,0
13,0,99,7,0,3,1328,0
2,0,25,1,0,1,1328,0
6,0,104,17,0,2,4843,0
1,0,27,6,0,1,4843,0
10,0,62,3,0,2,4843,0
5,0,42,8,0,2,4843,0
107,0,527,28,0,1,4843,0
23,0,157,10,0,3,4843,1
10,0,63,1,0,1,4843,0
14,0,77,3,0,2,4843,0
3,0,28,3,0,2,4843,0
4,0,62,3,0,2,4843,0
2,0,23,3,0,2,4843,0
11,0,82,3,0,2,4843,0
9,0,83,3,0,2,4843,0
136,0,440,9,0,3,1328,0
26,0,168,3,0,2,4843,0
3,0,30,3,0,2,4843,0
1,0,32,3,0,2,4843,0
1,0,50,1,0,1,1328,0
52,0,367,5,0,4,1328,0
216,0,822,3,0,2,4843,0
18,0,111,6,0,2,4843,0
221,0,1145,7,0,3,4843,0
13,0,51,4,0,1,4843,0
1,0,17,3,0,2,4843,0
1,0,15,3,0,2,4843,0
38,0,205,3,0,2,4843,0
45,0,247,4,0,2,4843,0
41,0,413,6,0,1,4843,0
4,0,27,1,0,1,4843,0
18,0,218,4,0,1,4843,0
8,0,98,6,0,1,4843,0
33,0,395,12,0,1,4843,1
10,0,61,8,0,2,4843,1
12,0,76,13,0,2,4843,0
6,0,25,1,0,1,4843,0
4,0,51,6,0,1,4843,0
19,0,94,4,0,1,4843,0
344,0,1888,96,0,2,4843,1
28,0,300,24,0,1,4843,0
2,0,34,3,0,1,4843,0
36,0,223,10,0,2,4843,0
81,0,297,3,0,1,4843,0
22,0,241,4,0,1,4843,0
26,0,128,4,0,1,4843,0
14,0,88,2,0,1,4843,0
5,0,30,2,0,1,4843,0
17,0,99,3,0,1,4843,0
86,0,402,45,0,4,4843,1
14,0,80,10,0,1,4843,0
13,0,59,6,0,2,4843,0
7,0,168,10,0,1,4843,0
37,0,262,16,0,2,1328,0
34,0,279,6,0,2,4843,0
1,0,19,1,0,1,152,0
2,0,31,1,0,1,152,0
17,0,162,20,0,5,4843,0
5,0,40,1,0,1,152,0
5,0,42,7,0,3,4843,0
74,0,730,33,0,4,4843,0
4,0,59,1,0,1,152,0
7,0,46,2,0,2,4843,0
7,0,34,1,0,1,1328,0
129,0,577,16,0,2,1328,1
78,0,300,10,0,2,4843,1
15,0,65,1,0,1,1328,0
9,0,81,1,0,1,1328,0
38,0,179,5,0,2,4843,0
6,0,35,1,0,1,1328,0
2,0,15,1,0,1,1328,0
18,0,82,5,0,2,1328,1
32,0,339,1,0,1,1328,0
1,0,5,4,0,2,1328,1
25,0,100,1,0,1,1328,0
11,0,33,2,0,1,1328,0
4,0,21,1,0,1,1328,0
7,0,82,1,0,1,1328,0
3,0,22,2,0,2,4843,0
14,0,64,1,0,1,1328,0
19,0,109,8,0,2,1328,1
12,0,52,6,0,1,4843,0
91,0,614,37,1,2,4843,0
1,0,12,3,0,1,4843,0
1,0,12,2,0,1,4843,0
4,0,43,16,0,4,4843,1
5,0,45,5,0,1,4843,1
8,0,64,4,0,1,4843,0
7,0,57,15,0,2,4843,0
1,0,56,9,0,1,4843,0
2,0,43,10,0,1,4843,0
72,0,418,40,0,3,4843,0
7,0,73,21,0,2,4843,0
32,0,197,17,0,1,4843,0
3,0,30,20,0,2,4843,0
208,0,986,90,0,3,4843,0
28,0,145,24,0,3,4843,0
2,0,27,6,0,2,4843,0
48,0,292,31,0,2,4843,0
56,0,473,69,0,4,4843,0
21,0,161,19,0,2,4843,0
28,0,153,5,0,1,4843,0
1,0,21,5,0,2,4843,0
1,0,11,3,0,1,4843,0
7,0,29,2,0,1,4843,0
6,0,32,4,0,1,4843,0
25,0,307,49,0,2,4843,0
26,0,535,36,0,1,4843,0
3,0,63,5,0,1,4843,0
6,0,30,3,0,1,4843,0
15,0,263,33,0,2,4843,0
1,0,19,3,0,1,4843,0
9,0,85,6,0,1,4843,0
1,0,56,3,0,1,4843,0
11,0,55,1,0,1,4843,0
27,0,429,20,0,1,4843,0
90,0,601,77,0,6,4843,0
20,0,135,13,0,2,4843,0
1,0,8,6,0,3,4843,0
6,0,108,3,0,1,4843,0
239,0,1582,16,0,2,1328,0
27,0,180,6,0,2,1328,0
4,0,230,3,0,1,4843,0
2,0,19,1,0,1,4843,0
4,0,377,39,0,2,4843,0
6,0,26,2,0,1,4843,0
33,0,398,28,0,2,4843,0
5,0,23,2,0,1,4843,0
14,0,279,22,0,2,1328,0
61,0,520,5,0,4,4843,0
4,0,61,5,0,2,1328,0
5,0,189,1,0,1,4843,0
5,0,105,3,0,1,4843,0
12,0,141,3,0,1,4843,0
4,0,39,5,0,1,4843,0
31,0,116,4,0,3,4843,0
9,0,79,9,0,1,4843,0
5,0,36,3,0,2,1328,0
61,0,437,4,0,1,4843,0
65,0,303,1,0,1,4843,0
3,0,75,2,0,1,4843,0
61,0,433,3,0,1,4843,0
