McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of committers,Number of developer commits,target
20,0,119,0,29,3,3122,0
1,0,168,0,34,6,3122,0
5,0,56,0,11,3,16,0
6,0,57,0,6,0,0,1
34,0,366,1,79,7,1345,0
234,0,1569,1,304,13,3122,1
4,0,27,0,12,4,1345,0
2,0,615,0,91,9,1345,1
1,0,14,0,8,3,3122,0
3,0,22,0,102,4,3122,0
1,0,7,0,3,0,0,0
40,0,339,0,99,7,3122,0
2,0,16,0,3,0,0,0
1,0,15,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
5,0,110,0,7,4,3122,1
6,0,82,0,40,4,3122,0
1,0,20,0,3,0,0,0
1,0,4,0,4,2,3122,0
1,0,7,0,11,4,3122,0
1,0,4,0,4,2,3122,0
5,0,42,0,4,2,3122,0
1,0,8,0,4,2,3122,0
10,0,79,1,26,5,1345,1
1,0,58,0,4,2,3122,0
14,0,94,0,48,5,3122,0
20,0,81,0,33,3,3122,0
1,0,13,0,7,4,3122,1
2,0,12,0,2,1,3122,1
1,0,6,0,2,1,3122,0
1,0,6,0,2,1,3122,0
1,0,11,0,2,1,3122,0
1,0,22,0,2,1,3122,0
42,0,170,0,32,6,3122,0
1,0,5,0,3,0,0,0
1,0,19,0,16,5,3122,0
1,0,4,0,5,2,3122,0
1,0,14,0,17,5,1345,0
2,0,58,0,29,6,3122,0
1,0,11,0,2,0,0,0
8,0,45,0,2,0,0,0
5,0,64,0,13,3,3122,0
1,0,4,0,2,0,0,0
1,0,6,0,3,0,0,0
1,0,17,0,4,3,1345,0
1,0,16,0,16,4,16,0
9,0,100,0,25,4,16,0
1,0,6,0,5,2,1345,0
1,0,12,0,16,3,16,0
1,0,6,0,13,5,16,0
17,0,126,0,35,5,1345,1
1,0,5,0,4,1,3122,0
1,0,27,0,2,0,0,0
1,0,4,0,2,0,0,0
11,0,58,0,11,2,1345,0
33,0,448,2,297,8,3122,1
1,0,7,0,3,0,0,0
1,0,12,0,4,0,0,0
43,0,355,0,97,7,3122,1
1,0,23,0,9,0,0,0
1,0,11,0,4,0,0,0
1,0,32,0,5,5,16,0
1,0,13,0,4,0,0,0
1,0,24,0,4,0,0,0
1,0,6,0,4,0,0,0
1,0,6,0,1,0,0,0
1,0,40,0,4,2,3122,0
1,0,5,0,10,0,0,0
1,0,49,0,1,0,0,0
4,0,43,0,13,4,16,0
2,0,30,0,5,0,0,0
1,0,82,0,78,8,3122,1
1,0,73,0,53,7,3122,1
12,0,62,0,7,0,0,1
1,0,6,0,12,3,3122,0
1,0,13,0,6,0,0,0
25,0,213,0,45,7,1345,1
10,0,97,0,27,4,1345,1
1,0,6,0,5,0,0,0
12,0,41,0,2,0,0,0
4,0,40,0,11,2,1345,0
14,0,323,0,98,7,3122,0
1,0,5,0,5,0,0,0
1,0,5,0,2,0,0,0
3,0,271,0,77,8,3122,0
1,0,5,0,2,0,0,0
3,0,13,0,4,0,0,0
2,0,22,0,4,2,3122,0
1,0,11,0,11,0,0,0
4,0,45,0,11,0,0,0
1,0,10,0,5,0,0,0
3,0,17,0,3,0,0,0
29,0,79,0,17,5,3122,0
18,0,127,0,38,7,1345,0
5,0,54,0,11,4,3122,0
1,0,4,0,3,0,0,0
1,0,9,0,4,3,3122,0
1,0,11,0,2,0,0,0
2,0,68,0,23,4,3122,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,20,0,2,0,0,0
1,0,11,0,1,0,0,0
1,0,11,0,2,0,0,0
1,0,7,0,3,0,0,0
4,0,45,0,5,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,19,0,5,0,0,0
1,0,11,0,4,0,0,0
1,0,11,0,2,0,0,0
1,0,11,0,2,0,0,0
1,0,10,0,1,0,0,0
1,0,10,0,1,0,0,0
1,0,11,0,2,0,0,0
1,0,10,0,2,0,0,0
1,0,28,0,3,0,0,0
140,0,483,4,78,8,3122,1
1,0,18,0,8,3,1345,0
41,0,188,0,21,5,3122,0
2,0,21,0,3,0,0,0
1,0,18,0,13,3,3122,0
26,0,134,0,9,1,1345,0
1,0,13,0,12,6,16,0
5,0,109,0,10,4,16,0
7,0,90,0,8,4,6,0
4,0,81,0,9,4,6,0
1,0,37,0,5,1,1345,0
65,0,365,0,14,4,6,0
26,0,213,0,53,2,1345,0
1,0,24,0,15,0,0,0
