McCC,CLOC,LLOC,Number of committers,Number of developer commits,Number of previous fixes,Number of previous modifications,target
3,0,52,0,0,0,1,0
1,0,1,0,0,0,1,0
4,0,28,0,0,0,1,0
1,0,26,0,0,0,1,0
1,0,24,0,0,0,1,0
22,0,151,3,107,0,12,0
1,0,9,0,0,0,1,0
13,0,60,0,0,0,1,0
1,0,22,0,0,0,1,0
4,0,66,1,20,0,10,0
7,0,67,0,0,0,7,0
1,0,23,0,0,0,1,0
1,0,1,0,0,0,1,0
1,0,4,0,0,0,1,0
1,0,5,0,0,0,1,0
9,0,81,0,0,0,1,0
1,0,36,0,0,0,1,0
1,0,7,0,0,0,1,0
9,0,100,0,0,0,1,0
25,0,173,2,20,1,8,0
32,0,235,0,0,0,2,0
1,0,1,0,0,0,1,0
1,0,11,0,0,0,1,0
1,0,11,3,107,0,61,1
1,0,1,0,0,0,1,0
7,0,92,0,0,0,1,0
13,0,124,0,0,0,2,0
1,0,9,0,0,0,1,0
1,0,9,1,4,0,5,0
21,0,225,4,134,3,29,1
2,0,23,0,0,0,12,0
1,0,9,0,0,0,2,0
1,0,9,0,0,0,1,0
1,0,9,2,134,0,21,0
13,0,81,0,0,0,2,0
1,0,10,0,0,0,1,0
1,0,1,0,0,0,1,0
1,0,9,1,107,0,11,0
1,0,16,0,0,0,1,0
6,0,65,0,0,0,17,0
3,0,36,0,0,0,2,0
3,0,32,0,0,0,1,0
12,0,47,1,20,0,9,0
1,0,8,0,0,0,4,0
2,0,15,2,14,1,8,1
1,0,6,0,0,0,1,0
1,0,10,0,0,0,1,0
6,0,73,0,0,0,7,0
1,0,32,0,0,0,24,0
1,0,1,1,20,0,3,0
2,0,33,1,107,0,3,0
5,0,70,1,107,0,11,1
1,0,25,2,107,0,16,0
1,0,8,0,0,0,2,0
2,0,19,1,107,0,1,0
3,0,43,2,3,0,5,1
1,0,12,1,107,0,4,0
1,0,6,1,107,0,12,0
2,0,30,1,107,0,7,1
2,0,32,0,0,0,3,1
1,0,13,1,107,0,7,0
1,0,16,1,107,0,7,0
1,0,21,0,0,0,8,0
1,0,4,0,0,0,3,0
11,0,113,1,3,0,23,1
5,0,87,0,0,0,18,0
1,0,1,0,0,0,1,0
2,0,56,0,0,0,24,0
1,0,61,4,3,0,18,1
1,0,9,0,0,0,7,0
1,0,12,0,0,0,4,0
1,0,7,0,0,0,2,0
17,0,199,5,134,1,82,1
1,0,7,0,0,0,1,0
1,0,1,0,0,0,3,0
6,0,94,3,2,2,40,1
19,0,204,3,134,4,57,1
3,0,63,1,4,0,50,0
23,0,117,2,107,0,24,0
1,0,7,2,107,0,11,0
1,0,7,0,0,0,3,0
12,0,100,0,0,0,39,0
8,0,118,1,4,0,27,0
3,0,23,0,0,0,3,0
1,0,33,0,0,0,8,0
2,0,41,0,0,0,10,0
1,0,8,0,0,0,2,0
1,0,6,0,0,0,1,1
1,0,6,0,0,0,1,1
9,0,71,0,0,0,2,0
1,0,7,0,0,0,1,0
1,0,5,0,0,0,1,1
1,0,25,0,0,0,6,1
14,0,165,1,20,0,33,1
1,0,7,0,0,0,1,0
4,0,43,0,0,0,4,0
4,0,36,0,0,0,3,0
2,0,12,0,0,0,2,0
1,0,18,0,0,0,1,0
2,0,15,0,0,0,2,0
1,0,10,0,0,0,4,0
1,0,9,0,0,0,2,0
3,0,20,0,0,0,2,0
1,0,26,0,0,0,4,0
1,0,20,0,0,0,4,0
5,0,54,0,0,0,6,0
1,0,20,0,0,0,4,0
